,name
0,Musical Instruments - Instrument Accessories - Orchestral Strings Accessories & Parts
1,Bags & Cases
2,Bows
3,Cleaning & Care
4,"Endpins, Rests & Wheels"
5,Parts
6,Rosin
7,Shoulder & Chin Rests
8,Stands & Hangers
9,Strings
10,Cello
11,Upright Bass
12,Viola
13,Violin
14,Cello
15,Upright Bass
16,Viola
17,Violin
18,Cello
19,Upright Bass
20,Viola
21,Violin
22,Cello
23,Upright Bass
24,Viola
25,Violin
26,Viola
27,Violin
28,Cello
29,Upright Bass
30,Viola
31,Violin
32,"Clothing, Shoes & Jewelry - Boys - Jewelry"
33,Bracelets
34,Necklaces
35,Cuff Links
36,Rings
37,Tie Clips
38,"Clothing, Shoes & Jewelry - Girls - Jewelry"
39,Anklets
40,Bracelets
41,Brooches & Pins
42,Earrings
43,Necklaces & Pendants
44,Rings
45,Bangle
46,Charm
47,Cuff
48,Identification
49,Link
50,Ball
51,Drop & Dangle
52,Hoop
53,Stud
54,Chains
55,Lockets
56,Pendants
57,"Clothing, Shoes & Jewelry - Women - Jewelry"
58,Anklets
59,Bracelets
60,Brooches & Pins
61,Earrings
62,Jewelry Sets
63,Necklaces
64,Rings
65,Wedding & Engagement
66,Smart Jewelry
67,Body Jewelry
68,Bangle
69,Charms & Charm Bracelets
70,Cuff
71,Identification
72,Link
73,Strand
74,Stretch
75,Tennis
76,Wrap
77,Ball
78,Clip-Ons
79,Cuffs & Wraps
80,Drop & Dangle
81,Earring Jackets
82,Hoop
83,Stud
84,Chains
85,Chokers
86,Collars
87,Lockets
88,Pearl Strands
89,Pendants
90,Pendant Enhancers
91,Strands
92,Y-Necklaces
93,Bands
94,Stacking
95,Statement
96,Anniversary Rings
97,Bridal Sets
98,Engagement Rings
99,Eternity Rings
100,Promise Rings
101,Ring Enhancers
102,Wedding Bands
103,Body Chains
104,Dental Grills
105,Faux Body Piercing Jewelry
106,Piercing Jewelry
107,Toe Rings
108,Charm Bracelets
109,Charms
110,Barbells
111,Plugs
112,Retainers
113,Rings
114,Screws
115,Studs
116,Tapers
117,Tunnels
118,Italian Style
119,Link
120,Snake
121,Bead
122,Clasp
123,Italian Style
124,"Clothing, Shoes & Jewelry - Men - Jewelry"
125,Bracelets
126,Cuff Links
127,Earrings
128,Necklaces
129,Rings
130,Shirt Studs
131,Tie Clips
132,Tie Pins
133,Wedding Rings
134,Body Jewelry
135,Cuff
136,Identification
137,Link
138,Dental Grills
139,Faux Body Piercing Jewelry
140,Piercing Jewelry
141,Toe Rings
142,Barbells
143,Plugs
144,Retainers
145,Rings
146,Screws
147,Studs
148,Tapers
149,Tunnels
