Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
agate,agate bracelet,41,False,B07RJFSGMS,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329758.29,4.5,23571,,,,False,True,200+ bought in past month,/MOOHAM-Mens-Bracelet-Giftsfor-Grandfather/dp/B07RJFSGMS/ref=sr_1_42?dib=eyJ2IjoiMSJ9.6jGi-zKdytBgkdZsOVFzd1Qap1M-0i2X5BieVgCjSF63xeJnXfe8WnX80ZiRNSe-8n60lH2CwJXjaphjxnmi6zkiXMV4BScNy-PsOyhe51rLrymj7TcQGoXU-Noe3TkOiIwQbyqEfWnir3h9xiamQpitFemo3UP3VOXOPPouJ6bhCRmKC7fD3gLH_EhmhiJnGn4Zj3M6QyeY_PAkeF3PAZ7EoICFla9Y3TUPw2uXfZFrgxQP5-sHze-Kl_8EPl2yBN3nxAcj-ndq68IKDdzwOP44f3ZlKoPz7uW9t-FKAcQ.H9BIgZq2fl7uMEY5YpYwxoH5qSKZPeds5bbMNaQaZtw&dib_tag=se&keywords=agate+bracelet&qid=1719059663&sr=8-42,https://m.media-amazon.com/images/I/61obFjlhlvL._AC_UL320_.jpg
agate,agate anklet,54,False,B07N8JF8C9,Gold Anklet for Women Flat Mariner Anklet 18K Gold Plated Flat Marina Link Anklet for Women - Made In Brazil,12.99,USD,232066.35,4.6,17865,19.99,7.0,0.35,False,True,2K+ bought in past month,/Barzel-Gold-Plated-Marina-Anklet/dp/B07N8JF8C9/ref=sr_1_55?dib=eyJ2IjoiMSJ9.2SmPTXOG1sgVlh2KSS7OnhbgqM_H1emkI-wQ-YY-Ba15-C2As3OWvP1NjxRRh1ZbJreDUWTrQV7W_GiJ1mHOEzOUtvQ6j6iZKBVoWPsJYqtO_8MiTXrE3oQqakI679GxdLBQdLKyTcgprfmT0e5AmmjnGM_fuUlAMYq3gO2MZiNZy15R3DtWTYkgU5mSf-q9ZNCNJ0r4EdYjaWS11DCEwcyYE0091f6L9dtbpqGL8xZ9hpoBBl4CbN1Bh5x2uM0CTAG53dA_5jUQnPYkjnkyUOAm9owy5MFgFjiWfqtqM6k.6gxR0VHIl1d8PIxQP-HdDm6741FW8cb7zEqFhWPFGag&dib_tag=se&keywords=agate+anklet&qid=1719048782&sr=8-55,https://m.media-amazon.com/images/I/51ntlg+Y98L._AC_UL320_.jpg
agate,agate anklet,233,False,B07RT49GR5,"Inspirational Gifts for Women, Morse Code Funny Gifts Bracelets for Women, Morse Code Bracelets Friend Gifts",15.98,USD,203553.24,4.7,12738,,,,False,True,,/Bracelet-Jewelry-Sterling-Silver-inspirational/dp/B07RT49GR5/ref=sr_1_234?dib=eyJ2IjoiMSJ9.qpWj6US5A2DN0RoHV-EblpoSrsmLOSXwVo-DjPzN40jphKTFf5zam-VaHruoYSeyNxQHP0GBcZ34YiEKvsjed0wYPlXXSNNB76UHswuIRBjD2sskcqhzbdFKy7Vb_5ljzBZWcpEFJFulcefOyc3nB8SLzqoIEU0HD9_VOQFFC_-iTX3oF3_z5CYblzmAP7bh2iDUc9SEshHlkIhqL2-tEHab6FSp0UYtIcLVYtioR-Q_gCnSF4quRvYl01jU_BoJotWB4vtHwlvPZ9yTaMVtdVsRrFLheRIRzAuJXhabNNE.0YfGnDMXI0uJHH4xXGQGpGhJCpXqcZeGz-aJDRNrOeY&dib_tag=se&keywords=agate+anklet&qid=1719048789&sr=8-234,https://m.media-amazon.com/images/I/71+6-Y8zd8L._AC_UL320_.jpg
agate,agate crystal,60,False,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,True,50+ bought in past month,/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sr_1_61?dib=eyJ2IjoiMSJ9.p4S_B9fmawriP6si2OzcRErjCtUGLSIFgnQvmGzcIFFJybyhynLQcsMHf-MwGGvyPXYjw26qzHLZcfywVdHpa8gIrogIkgJb6P0p1FtUEPgpnop5RVSfLVuJI6GZMSyZ9MPnebe_6W8kvshplgxFJHUZt6MQ8Rgbx35qE5J9kI8kcMrdJVPjIzRkruU6PIjfeDl4L0Nzv6BtHgFiBb4429Nc23S8Y-k6UGngMJQW3N64YjrCJK3qdohYfkWR0TZxIZVnC7K136dDYLHEniV-xv-Oy6aqaiSD73SAu7e-i5E.6Fnhz3DAEYh2509OBynQc4aMHRIWJOOdKndob6YfSQ4&dib_tag=se&keywords=agate+crystal&qid=1719048800&sr=8-61,https://m.media-amazon.com/images/I/91jha8iMV1L._AC_UL320_.jpg
agate,agate bracelet,139,False,B075M53HWY,Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,9.99,USD,179070.75,4.5,17925,,,,False,True,,/Hamoery-Chakras-Bracelet-Braided-Natural/dp/B075M53HWY/ref=sr_1_140?dib=eyJ2IjoiMSJ9.IqVHjnSVqn3aBoplwtudEYXXn765L-RECUXEEQ87zvgLZOuQWGwHdy9WtNMDjc4WLu9LV6pBqDGKk8lyFQmreg1oB18Zqqx917F9kIIcpG1yEPd7q2Z1hs_QUo0F_1gcqWuN58Ax-TI56QJckPDbnAxZyloaN2Rv6J-_1hj8n9aCxuU0KNixChJa4v8hvzLETCymvkV5_7P3sZ-sJD7ORpnT7c1R_z_1SGt3t7L0CIJHZSIMwJk3a3pzxqGUeShyb9zc1l_FOv85jDP3vxlCHw1FyB7W7mo3MdM9YhfMKVA.JcBD8AIwRdnUMq1nMrQ05eQGOEA6fs4LolxIysAHxHM&dib_tag=se&keywords=agate+bracelet&qid=1719059667&sr=8-140,https://m.media-amazon.com/images/I/71MGcAmRGiL._AC_UL320_.jpg
agate,agate anklet,143,False,B086HBY98X,"Heart Initial Ankle Bracelets for Women, 14K Gold Filled Handmade Dainty Layered Anklet Letter Initial Heart Ankle Bracelets for Women Beach Jewelry Gifts",14.99,USD,157619.85,4.4,10515,,,,False,True,100+ bought in past month,/Turandoss-Bracelets-Initials-Bracelet-Extension/dp/B086HBY98X/ref=sr_1_144?dib=eyJ2IjoiMSJ9.PLdYNdlWCddufzak7hTqTjIirpS6JW9dH9JT4Go-tce1N6ZhImYB3TKZVSSBaD4ymTAU_oFs7KR_XRboFO5zk2dbT-I6CPbQqSmFky2pFy5vIw3gJhOJXgjE3vVAvKxeT9sFmtUVyuGjJVFgwJok4-0jLoiIi-OldE7t2KumAGXnqQISR2TMZSS_4lmXzj3xQP9UvWqDZQ49EIJbU4cR-EQS1od0nlch3fQCerHTVWDlL5YB_S3_ocGukz8ga8XWb-g_Bll6Qq-V9It2P9Rftw0zIG6Oj6JAX26aRFwFtT4.5ncE2t0F3fqK1uK6Zn2JGOpB7oUWb_dbufnPyF5wTAY&dib_tag=se&keywords=agate+anklet&qid=1719048784&sr=8-144,https://m.media-amazon.com/images/I/714mRDCS9GL._AC_UL320_.jpg
agate,agate anklet,69,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141396.15,4.6,10885,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_70?dib=eyJ2IjoiMSJ9.2SmPTXOG1sgVlh2KSS7OnhbgqM_H1emkI-wQ-YY-Ba15-C2As3OWvP1NjxRRh1ZbJreDUWTrQV7W_GiJ1mHOEzOUtvQ6j6iZKBVoWPsJYqtO_8MiTXrE3oQqakI679GxdLBQdLKyTcgprfmT0e5AmmjnGM_fuUlAMYq3gO2MZiNZy15R3DtWTYkgU5mSf-q9ZNCNJ0r4EdYjaWS11DCEwcyYE0091f6L9dtbpqGL8xZ9hpoBBl4CbN1Bh5x2uM0CTAG53dA_5jUQnPYkjnkyUOAm9owy5MFgFjiWfqtqM6k.6gxR0VHIl1d8PIxQP-HdDm6741FW8cb7zEqFhWPFGag&dib_tag=se&keywords=agate+anklet&qid=1719048782&sr=8-70,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
agate,agate anklet,77,False,B07VK73G36,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,11.99,USD,138124.8,4.5,11520,,,,False,True,,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07VK73G36/ref=sr_1_78?dib=eyJ2IjoiMSJ9.2SmPTXOG1sgVlh2KSS7OnhbgqM_H1emkI-wQ-YY-Ba15-C2As3OWvP1NjxRRh1ZbJreDUWTrQV7W_GiJ1mHOEzOUtvQ6j6iZKBVoWPsJYqtO_8MiTXrE3oQqakI679GxdLBQdLKyTcgprfmT0e5AmmjnGM_fuUlAMYq3gO2MZiNZy15R3DtWTYkgU5mSf-q9ZNCNJ0r4EdYjaWS11DCEwcyYE0091f6L9dtbpqGL8xZ9hpoBBl4CbN1Bh5x2uM0CTAG53dA_5jUQnPYkjnkyUOAm9owy5MFgFjiWfqtqM6k.6gxR0VHIl1d8PIxQP-HdDm6741FW8cb7zEqFhWPFGag&dib_tag=se&keywords=agate+anklet&qid=1719048782&sr=8-78,https://m.media-amazon.com/images/I/61auWk1Nr1L._AC_UL320_.jpg
agate,agate stone,83,False,B07PN66HQ6,Natural Stone Beads 100pcs 8mm India Agate Round Genuine Real Stone Beading Loose Gemstone Hole Size 1mm DIY Charm Smooth Beads for Bracelet Necklace Earrings Jewelry Making (India Agate),12.99,USD,132485.01,4.4,10199,19.99,7.0,0.35,False,True,200+ bought in past month,/Natural-Gemstone-Bracelet-Necklace-Earrings/dp/B07PN66HQ6/ref=sr_1_85?dib=eyJ2IjoiMSJ9.P32YoXFVG3BNXISSl5cOwMZ0GgnkhIvjR_xXPUpz2u1-o1tjXnPvYz-VDQScaCJt0AqngesddFwHQqNYPrbKRDgaPsoXtjQvbyrd6iblooA2EVIfRDfczltO6hm9dXlEqsGLjeD2Z3h0p2swwMu6w86BopN1IVOUPvEoWNfJy1R_suu9xhjGp1tx_mb5OBDDrCVEtKWXoUh0Tw91m6QbWBK1E7KQOC0RDNVWgXHcD2iH4q5ktSr-iy9OSVUkiClR44H0vy7S6vNS9I6fJ9OWAZY3GvHnuy_zHi9q3lrb91A.j4XEamT2jlfeFugS8UVu5ePMPZu_V5iZcb2QCRcrGZw&dib_tag=se&keywords=agate+stone&qid=1719048697&sr=8-85,https://m.media-amazon.com/images/I/71TjTyY53hL._AC_UL320_.jpg
agate,agate crystal,243,False,B00M9R31E4,"JIC Gem Pink Dyed Agate Bookends Geode Book Ends Stone Bookends for Shelves to Hold Books Heavy Duty with Rubber Bumpers for Decoration Brazilian(1 Pair, 3-4 LBS)",36.99,USD,126690.75,4.3,3425,39.99,3.0,0.08,False,True,,/JIC-Gem-Polished-Agate-Bookend/dp/B00M9R31E4/ref=sr_1_240?dib=eyJ2IjoiMSJ9.5T0SMrMsUfHJjpLy5r6YCg79tbVy7MR24sQwPLsjVIr8x9ugjIlj83L2wno0k5PYrlr71ZPrS72e2fJ6yP6ZO0ylGfuEueiRZgCgNZ1eOno1N-XtJL5SPG1fLUwEU32W7nx5p1Cy6wxHt08UTI5LeCHyAcogkA19ucfA8x9EW3U5L-aReUwDqwLjnz2KppBdKjkEZlg8KL_4ksge4zM20l8qB8IUit9LP37llxuTcyfKavN20GHImNhuxILM2OephtaqsVNRgKzxAqBHsiusrV27rfnfv1QT60OOu4DDg0Q.KDCfImFYuMbqeT0Coe0gsdM_zGWJoge1nKSqjRDH_TI&dib_tag=se&keywords=agate+crystal&qid=1719048804&sr=8-240,https://m.media-amazon.com/images/I/61Uc9wsAyxL._AC_UL320_.jpg
