Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
aura quartz,aura quartz necklace; aura quartz earrings,65; 116,False,B01HR41YUG,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",70.0,USD,1101030.0,4.6,15729,,,,False,True,100+ bought in past month,/Kendra-Scott-Pendant-Necklace-Iridescent/dp/B01HR41YUG/ref=sr_1_62?dib=eyJ2IjoiMSJ9.wn0xOjOsm_XDS_QqzGt8Er1c6SatiL8sNZNfwObgdU85ig5UZ8TPkixVqXVFBcZ9BNa4KyX1mE0VANhpr_QUIllXW5GmaIsGXuO6_Y1PySXZmP8wO7ZhtK_VCQg2q4cPY3eemaz2x3gL6mUxd-txNlB2ezD8YMJUH01vSxG-8PewTg8GQ3r0jvGzZdVyLG8WtE96K9at3tRFVK3DviIKe3phKhxlRg3g8H75iiJdHHhrsiBLJ7bYDRPyIRM-V1GQf_oXY2WMbFjjxgyjVKMf3gHokSW6FZ8T3QoeGKMH1WE.B8fWSUfWWDbu8zadFBBdfm3KIib-FcJOYGqDo0Rrf8c&dib_tag=se&keywords=aura+quartz+necklace&qid=1719048376&sr=8-62,https://m.media-amazon.com/images/I/61ABEj48oDL._AC_UL320_.jpg
aura quartz,aura quartz crystal,228,False,B0BTX36MRF,"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",70.0,USD,1101030.0,4.6,15729,,,,False,True,50+ bought in past month,/Kendra-Scott-Necklace-Gold-Plated-Mulberry/dp/B0BTX36MRF/ref=sr_1_229?dib=eyJ2IjoiMSJ9.az4Ork6iNplYRxEGyOzcVFyMi3QdgVfK03QmBr4N1NhkRav58JBKhizn8zvKFxYO1_wmkFNZZEqk-ayK8PbRuNSxeYOJ4jFHcV0NbfVdHjQvCHR-Ra8wGIS8fhLsq7lhjrDVWDPpmKZsq0IajqACwZaDVLurnNYJcLbpdBMlH3--E9iGBhFflfk5z1ECord0Z38n7VO7XkHK0FBhL_IwXFShzn71jvsadXEGnJ6KqBll-kA1mRj0_ynQJYIkrjd9idyDreF2S5MsYFzGKu-VmgsoDPZJUSpYTTgdKtPzbE0.zWILXdORHFOEm9PXQ8MX92_HArdEib3D0uW4UE2bSVs&dib_tag=se&keywords=aura+quartz+crystal&qid=1719048447&sr=8-229,https://m.media-amazon.com/images/I/61T5SBoD4ML._AC_UL320_.jpg
aura quartz,aura quartz jewelry,30,False,B00RYURH8M,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",43.99,USD,691918.71,4.6,15729,55.0,11.01,0.2,False,True,2K+ bought in past month,/Kendra-Scott-Signature-Pendant-Necklace/dp/B00RYURH8M/ref=sr_1_31?dib=eyJ2IjoiMSJ9.ivvrHMPQ6L1-NCklEN17vu-9FdcYd8JwpBHSD3A-AIvTCOqCdnZthKIF6oIkmnf5xZQbBJbdjaYxTn7-KXogmiq1I5Z2EIdczRdpJwaLoMh3uYI9jH9xkPAsyg7Esn3ElC34G7F5qXThwoUnHs-hTldTV3DW_xVD_FpdSwvKXUDWGjJaZb1YBjH3vpPjwbmwIeAC4G0Pg-sMjkcS2tS6hetRMkgC8vlazwyZ8t8eGI1geW8Oif57OVIMirehGdBttiHA_8FmlMtZFZd3GwGPp49TYjh6td-QTwmKcQWo97Q.vMBaUleyYR7SuoKkhXrqyENAMnA2QVhcMFjTV9nEm7U&dib_tag=se&keywords=aura+quartz+jewelry&qid=1719048406&sr=8-31,https://m.media-amazon.com/images/I/51dSKjL6BxL._AC_UL320_.jpg
aura quartz,aura quartz ring,88,False,B0772JDS51,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288059.85,4.6,18015,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B0772JDS51/ref=sr_1_89?dib=eyJ2IjoiMSJ9.3c9AZCsVCzFs2IaA_aUgdhG7N65luR5r17JRmx6qO_2gGTH_nw8fpeUyZ6_GJ6giL6x69h46rCz4iFNdO2AFKCmLLmhuM-G64qDfV7upWh17XCwK1piDy0ku-W1xc7WODTnLxuSDTB6zph3J0t3NywWv4gu1Ytytdzt34c2xioYdH7t6uh4e7WQH-vK4aRAmKYicHYCN_7fL50fdtW69px04IV0CvNux0trv8NwuXxox4NIrmRVPf9UOxfJDS8w_kjUZNmkZR6C8EYW-DUwjXxXAm0Eq9DxndGGTAqlLN-c.X3bsBpaWXvwZGKfBPNZwacZf9ngXHIQ_Qt5rQzEXh4M&dib_tag=se&keywords=aura+quartz+ring&qid=1719048391&sr=8-89,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
aura quartz,aura quartz ring,176,False,B07MBWRPPN,CHOOSE YOUR COLOR Sterling Silver Heart Halo Promise Ring,48.69,USD,187553.88,4.2,3852,,,,False,False,,/Sterling-Silver-Faceted-Natural-Genuine/dp/B07MBWRPPN/ref=sr_1_177?dib=eyJ2IjoiMSJ9.HmURsZ6i_iTe09vTnaBsApvLir0Ce9kOqpx3DQS9Q2p-81vd2IbC5CxRkc753qLbAMc80zUSKJACSOisai8kNOSFprJceQsdHk-ZSbkEme8pj0O2Sn98Wd86QnqfuJejPIVjn6CXUXskGz_M4zl1QXJmkQDqQfzO7S-wRy-0l5A4W592QbAcl6SR3xoRtvZnNKZ98sE3gBzNX6naEG6LIL1nDiD2eZgaKN1GoPX96AkkLLc2mLSKwEXfFF4t1XXUQ1Z0Caw9CoFhcphjzIl2DuE78Jw2D-a8alo7iS-TYR0.X2mFHeTqbESLqeShIHmQmgsqrXy7IuxJwJaCGs2BN_o&dib_tag=se&keywords=aura+quartz+ring&qid=1719048396&sr=8-177,https://m.media-amazon.com/images/I/71U4F+AJFvL._AC_UL320_.jpg
aura quartz,aura quartz crystal,69,False,B09M98D9C2,Healing Crystal Collection (Chakra Travel),26.26,USD,150601.1,4.7,5735,28.0,1.74,0.06,False,True,50+ bought in past month,/Crystalya-Travel-Crystals-Healing-Collection/dp/B09M98D9C2/ref=sr_1_70?dib=eyJ2IjoiMSJ9.8sDKH9souWm5vbcMsGiNMjvl_n0mVdWycxJLdk6yumNkHOe5Ttmcajb2LxWYJuMlWErw1kj2jdJYgrj4rC_gavJxxCUDy0Q3hQcSCH5vPeN3g5OcCX5f-jUzeiYzfS6KPFNj_RpbgoMWtP1QPpTTTi9Okaaxq9k5QJOtGVj4QB7ij09sWqvZrXqzzxgEGoLO4tTJO_5LpFtP7IBaC3vWBTkxzWPUEEE5BBwViEpRekW4e_ufZgd1pzZm5l6l0c8ihwY4jEWSwNogv04YPvmGVcabapu58PYBJzljEC4fMyY.QeNwf_jG7GcvUjKiuAb9GrpEFVpCnuzBZTArPjSz2W4&dib_tag=se&keywords=aura+quartz+crystal&qid=1719048442&sr=8-70,https://m.media-amazon.com/images/I/91ELvDuvceL._AC_UL320_.jpg
aura quartz,aura quartz crystal,94,False,B07DK7J52N,"Orgonite Crystal Handmade Seven Chakra Gemstone Pyramid - Orgone Chakra Healing Stone Pyramids for Spiritual Healing, Meditaion, Yoga, Reiki Gifts, Office and Home Decor",29.95,USD,121297.5,4.6,4050,,,,False,True,200+ bought in past month,/Orgonite-Crystal-Handmade-Gemstone-Pyramid/dp/B07DK7J52N/ref=sr_1_95?dib=eyJ2IjoiMSJ9.8sDKH9souWm5vbcMsGiNMjvl_n0mVdWycxJLdk6yumNkHOe5Ttmcajb2LxWYJuMlWErw1kj2jdJYgrj4rC_gavJxxCUDy0Q3hQcSCH5vPeN3g5OcCX5f-jUzeiYzfS6KPFNj_RpbgoMWtP1QPpTTTi9Okaaxq9k5QJOtGVj4QB7ij09sWqvZrXqzzxgEGoLO4tTJO_5LpFtP7IBaC3vWBTkxzWPUEEE5BBwViEpRekW4e_ufZgd1pzZm5l6l0c8ihwY4jEWSwNogv04YPvmGVcabapu58PYBJzljEC4fMyY.QeNwf_jG7GcvUjKiuAb9GrpEFVpCnuzBZTArPjSz2W4&dib_tag=se&keywords=aura+quartz+crystal&qid=1719048442&sr=8-95,https://m.media-amazon.com/images/I/61RY90yxjBL._AC_UL320_.jpg
aura quartz,aura quartz bracelet,60,False,B086Q5JX2W,"Lava Rock Diffuser Bracelet with Essential Oil Stone Beaded Bracelets for Women Yoga Beads, Crystal Gift for Women",26.99,USD,119025.9,4.6,4410,,,,False,True,300+ bought in past month,/Bracelet-Aromatherapy-Essential-Diffuser-Relaxation/dp/B086Q5JX2W/ref=sr_1_61?dib=eyJ2IjoiMSJ9.BXxtkcNOIe2DeXpsnUl7o_RT45y1yz6C_RH3USNiCxLyxGM9xzu7P2FJo6NBDWdIwjR88HkkIU9Ylp72po73x7c-IbPti8nweAO4p7j9XY8e8lAUtwWXSAD-sBZZXNkBoC5kgnk2E5aZ9RuVCH5UP5rGdcoXaz7I9YFlnEIMg3PGnFy2BFquEFWTUqi_FYi1kxA-7lUMKxFwohIdmTs6xUrxbFLCeqrulCEh7nauLEyTVdK6nqh-2zRKXaiZZVtP6kwWIPMXLg2o3IuLUcI9Mhkc_ROoHr3334ecdKx6A1c.LA2VzfqM71zl4kmvJM4RYxeKpDSoCrMVE33SJUaDIcA&dib_tag=se&keywords=aura+quartz+bracelet&qid=1719059616&sr=8-61,https://m.media-amazon.com/images/I/717ZqT4EcHL._AC_UL320_.jpg
aura quartz,aura quartz anklet,80,False,B07PDPKD48,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,9.99,USD,115084.8,4.5,11520,,,,False,True,500+ bought in past month,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07PDPKD48/ref=sr_1_81?dib=eyJ2IjoiMSJ9.dBP4bcJO121kasEWHxHOVGglgRSJpC-gyMX5O8p7x4HBKbIlAZQWL0sneu-m6-j9rTCjsTZBs3A6gkeXBQ2HQ2yosv1nUHWx3xybaEVQD2C6O7IPpvI60ykW_8ozM4lxqj155RmqMOqMBcDNUJu6_9Z9JfI-Ifj5I21tVqSU0b38-YdADhcYJrMQ3shLEG0LayHKD878lHlzQseTjYK1IK76-n1r8q-7q7FFhH0xouLOTYaxiqXkeYvOZVODHB__bqgIfEk3ScrNyLEwB0KX8suYGwkWC51Nt4VM1v8SJ5Y.FjjHnZnTM58ApzAn_xDpGM3GulAyY7MhKOO4oMg7bko&dib_tag=se&keywords=aura+quartz+anklet&qid=1719048433&sr=8-81,https://m.media-amazon.com/images/I/61J1QNMMkUL._AC_UL320_.jpg
aura quartz,aura quartz jewelry; aura quartz earrings,224; 84,False,B0BTX4MXXQ,Lee Drop Earrings for Women,70.0,USD,101080.0,4.7,1444,,,,False,True,,/Kendra-Scott-Earrings-Gold-Plated-Mulberry/dp/B0BTX4MXXQ/ref=sr_1_213?dib=eyJ2IjoiMSJ9.fXaCI8rSTgMubgj5kZnyCLkGNRyZY6YemDjC9GhVhhbcwpka2IrVyEDyFh-TqqrgjfScxyr394Q46QnEDKtxwINTed0-ZzwLu08hA94MeVX565rvIn0Ib3MjEnmhRGoggJPSISqKbe_lfGUDMv4VFQQTNLrabqUHVtDWLrOH8p5NtvvYUY-ZtDTa-e2mIwC57rS74M8iV7mSL1v1mlhhtUN2VE-tXqUqp_K-uj8HlII49N58tfB8YTaxTZurqTNFYehFe6GpJjlYGR3wRTEWdne2KszBpvkssO502HS2oAk.TX88Fpx9sdWrDfMhFGfXey3m_QPEF0y3jMrVkykVDh8&dib_tag=se&keywords=aura+quartz+jewelry&qid=1719048413&sr=8-213,https://m.media-amazon.com/images/I/61ucIpBdhvL._AC_UL320_.jpg
