Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
aventurine,aventurine stone,36,False,B07BNTCHX5,"Green Aventurine Gemstone Tree of Life - Crystal Tree for Positive Energy, Feng Shui Decor - Handmade Chakra Tree, Good Luck - Money Bonsai, Healing Stones, Meditation Accessories, Spiritual Gift",26.48,USD,238531.84,4.6,9008,,,,False,True,,/Crocon-Gemstone-Prosperity-Spiritual-Aventurine/dp/B07BNTCHX5/ref=sr_1_38?dib=eyJ2IjoiMSJ9.J0ir2fRreF_fyi8KQoHQ7gR31xvIkHnBxmSeOmp4HQI-Eoz-PdU-1uhVurfrfPgFoPJlgIPSDce55JDjaqDzxr8eiYdftkZ5BkJJkOn4c51jalneQ6rXdO1Jk87MaOM9-3YChqncd-wefo-JpVAISlFeUPEQYXg1tdYr-vuQdvPIlxpiLx-pV7CU-tLj8iDQVsLbb-mXr3EUVEHYKCKcHz8DGnaTUW8B4Ik-Qk9VsTj0_i9PlVpzrQV-JqQJz327kgHHoagib6rHIM_pMnGaeJy4_qycZbhHBdor-Knk02I.eEiO2dFBUH-6NGEn075eYmp73--iz-9ob23hBSmwejI&dib_tag=se&keywords=aventurine+stone&qid=1719048811&sr=8-38,https://m.media-amazon.com/images/I/91UsikpcYlL._AC_UL320_.jpg
aventurine,aventurine stone; aventurine jewelry; aventurine crystal,299; 102; 33,False,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,True,50+ bought in past month,/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sr_1_301?dib=eyJ2IjoiMSJ9.2-CnDnLngTU7WDHL1_v_GfSvIaFZNPRScDH3evviz6hyKweipp0lFyTKeghlNX484c3QJz-cE9g6Dx6ta5veFQQrU2isLy4D4avd3zWs-d84EvKKEGiE3VtytyX-4hV7nYHN2krqX-STBSwkbyWv1yHmYWUCb6-DxcupRnOzzNo-kBI3XY0gELrcN4LMkCzHVV6SU_maXpgyxbhHxBzkdAkwl6MKslG6JD30C4v0jpNqNbAfbm4Tm5lKgxr58NVPBby_UYBlvTAKoPXDYPsRtw.QxXy5byujwMFDhKqKESHR7YqEnx5nKJAQicGAqq7VLk&dib_tag=se&keywords=aventurine+stone&qid=1719048822&sr=8-301,https://m.media-amazon.com/images/I/91jha8iMV1L._AC_UL320_.jpg
aventurine,aventurine anklet,83,False,B07VF4VZL4,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,11.99,USD,138124.8,4.5,11520,,,,False,True,,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07VF4VZL4/ref=sr_1_84?dib=eyJ2IjoiMSJ9.mIm3oQ_ltLYD4_3ZbOU8jfObFv6UMcl1Q8g53p5Ih9ReJqEF6QfNRu8FzwMyq8FYoGktdcqVFL4Y7D1MhpsJUvbXAF577f58gTWWAzmp_gQfj_Ks9tjGZv2pt46XNiTrDJSqvSDvZuRWFU16aN4lI2SwfftEvlggnbcjy2YOzY2RsPcLiGROz9ww1xG5bDKS8GLMvcnUJZOAAtJXwHjJhJxXOQl0oZxsB6oNwpj9XDNVFu_kAY-Aa9iBECcv4Xdz2sfKhi1qpgdxZxvhOwbvpn2mETC0gh-D0LxpRlKA9_c.zkstE1BL8hIjLFkgZWX-DkXQSLtNZZu4P7YIYJHwfiQ&dib_tag=se&keywords=aventurine+anklet&qid=1719049199&sr=8-84,https://m.media-amazon.com/images/I/61bSfis-hHL._AC_UL320_.jpg
aventurine,aventurine stone; aventurine necklace; aventurine jewelry,217; 184; 157,False,B07V3QGHYW,"Natural Stone Beads 100pcs 8mm Yellow Aventurine Round Genuine Real Stone Beading Loose Gemstone Hole Size 1mm DIY Smooth Beads for Bracelet Necklace Earrings Jewelry Making (Yellow Aventurine, 8mm)",12.99,USD,132485.01,4.4,10199,,,,False,True,,/8mm-Yellow-Aventurine-Gemstone-Bracelet/dp/B07V3QGHYW/ref=sr_1_219?dib=eyJ2IjoiMSJ9.stQ6LJDrwBml_uQBJl_oDNHT8wtiJXmfYi4FGNuOJT0bv0480Q6BtSR8h1hYDpAf9XwD3adswBDD_3u3DofFxJb7ZAKqW6bHQpZvOYpHcxOLZMk9HQCkDk_alW3qXpAzXcuHhtUFK_WII0gDpuaXynME64r4c1GdXlryiq9_6WKMM43QTaX8cAuQtCixbi24fqh4jGKX4MeGdFduEm3unhDloJpDS0tCA75choARE0eyU2q8LJ9AQGx3ivipbWYIO8vOT1E_WRB0DT0iB17uTB9hvJWRh7ataNQDT9JJteI.CMgBoDFSoQiGvfRpmRLtY-nv9mK1puXIAJgBstRKOec&dib_tag=se&keywords=aventurine+stone&qid=1719048818&sr=8-219,https://m.media-amazon.com/images/I/61r6bWGdwML._AC_UL320_.jpg
aventurine,aventurine stone; aventurine crystal,158; 139,False,B08QZDBQDF,Green Aventurine Crystals and Healing Stones Car Decorations Hanging Ornament Meditation Hanging Ornament Window Ornament for Home Decor Party Decor,11.99,USD,126902.16,4.7,10584,12.99,1.0,0.08,False,True,,/Nicestone-Aventurine-Crystals-Decorations-Meditation/dp/B08QZDBQDF/ref=sr_1_160?dib=eyJ2IjoiMSJ9.0pUlwDCr3t54wZJrrpYEUKnqDpDD1LfU6e1bZcLpgbdTQB8r7_exiUFjOSmGXahUG1iAZTmBPSfR0btYt1LO4qWA1fuoBYqLw5LyWVGHNcJit2OdYgqNbXLPsAQi7qq0hxmlVSnCox8CZj9R5pRWc3oByzEK03zf5I7dx5yVF6pEqqVFWWw3S4VuIlmSlzxi0gMAHGsnMT9Zx1sO9t4JPJZtJ--w3TJAotOUSmfgjXSpebrkG3cwHz0azHXAVFwK17BNZJE3Fh9Fv9vLjj8MZIHrfHrwMkCv8KQUX4AV1LY.Qb5j51JtQHG_6Meo4IC5SKWIuknWizyWgYR3wdbzqmM&dib_tag=se&keywords=aventurine+stone&qid=1719048816&sr=8-160,https://m.media-amazon.com/images/I/4174bsHmUWL._AC_UL320_.jpg
aventurine,aventurine bracelet,144,False,B07PDPKD48,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,9.99,USD,115084.8,4.5,11520,,,,False,True,500+ bought in past month,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07PDPKD48/ref=sr_1_142?dib=eyJ2IjoiMSJ9.mrg2yvVCVApzSDbmXxJwY5glDJkgNCE3bS0gpU0yYkxhMDW0U4TgOU1lj7U7FpXd4egh5gHUq7gHSGLfDoD5q9EVXbnwmcm1wZ9SosZvNQaQecX-MN0pJESAXCibtZAlaOQm6np-fFaGG5D9qVMQA6B69j9MjgyT0ub8wUF_IY9qj2LNHdBh6IL6De-Tv4OwrLXIOlUttv_NZkb45Dq7g0KD3XfCnXOyaY9mPpKC50s8WGG_K4XxIKo6eK3sRfImzajgP4H3P3PgH104dOXM7X0lVumyvenVce7YMf4vVik.r6CJuJ2Md6obQe_MM0sMCs2cggATUetLjCY2cc1T38k&dib_tag=se&keywords=aventurine+bracelet&qid=1719059684&sr=8-142,https://m.media-amazon.com/images/I/61J1QNMMkUL._AC_UL320_.jpg
aventurine,aventurine jewelry; aventurine crystal,71; 154,False,B07V8RKQZ7,LPBeads 100PCS 8mm Natural Green Aventurine Beads Gemstone Round Loose Beads for Jewelry Making with Crystal Stretch Cord,11.99,USD,105284.19,4.6,8781,,,,False,True,50+ bought in past month,/LPBeads-Natural-Aventurine-Gemstone-Jewelry/dp/B07V8RKQZ7/ref=sr_1_72?dib=eyJ2IjoiMSJ9.LxCn-CLba4RkGAOnkSECi4_ZbNIp2VSQH6AjmFC8ACtxXiKvwz4n8HZoGamdqlUNXR94Jz1jZCws21xubgAh-vgJFK-neblOPaDNCILH_wvwHCLsLkR5kKRB8kYNMVaoAFr52GkL3KzOtsh8jhdqESqNWP1Q9fF3ID3hc4odsn50vFMqswLdGFcB0zLY8h5pLq3AbSz07juvoBxvCNkrbpobXjtNt7EJC2LlwHEEwH3IKEuo-zlWhjy5jDG901yfP07INO7dvTDWyNHnYqwbMz0N6APtQFjFVyNd9G9bBYY.6yHFpONkZRGVUykK9teQQ3TYhqq32rhYUVEgEKrlTtw&dib_tag=se&keywords=aventurine+jewelry&qid=1719048859&sr=8-72,https://m.media-amazon.com/images/I/61SJvf--c1L._AC_UL320_.jpg
aventurine,aventurine bracelet,129,False,B07RGT27WH,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,16.99,USD,103655.99,4.5,6101,,,,False,True,,/TUMBEELLUWA-Bracelets-Bracelet-Handmade-Labradorite/dp/B07RGT27WH/ref=sr_1_127?dib=eyJ2IjoiMSJ9.mrg2yvVCVApzSDbmXxJwY5glDJkgNCE3bS0gpU0yYkxhMDW0U4TgOU1lj7U7FpXd4egh5gHUq7gHSGLfDoD5q9EVXbnwmcm1wZ9SosZvNQaQecX-MN0pJESAXCibtZAlaOQm6np-fFaGG5D9qVMQA6B69j9MjgyT0ub8wUF_IY9qj2LNHdBh6IL6De-Tv4OwrLXIOlUttv_NZkb45Dq7g0KD3XfCnXOyaY9mPpKC50s8WGG_K4XxIKo6eK3sRfImzajgP4H3P3PgH104dOXM7X0lVumyvenVce7YMf4vVik.r6CJuJ2Md6obQe_MM0sMCs2cggATUetLjCY2cc1T38k&dib_tag=se&keywords=aventurine+bracelet&qid=1719059684&sr=8-127,https://m.media-amazon.com/images/I/61FPF19V18S._AC_UL320_.jpg
aventurine,aventurine stone; aventurine necklace,194; 250,False,B0BYVGG2H7,"200pcs 6mm Blue Aventurine Loose Beads for Jewelry Making, Natural Semi Precious Beads Round Smooth Gemstones Spacer Beads Charms for Necklaces Bracelets (Blue Aventurine, 6mm 200Beads)",12.49,USD,89865.55,4.6,7195,14.99,2.5,0.17,False,True,,/NCB-Aventurine-Gemstones-Necklaces-Bracelets/dp/B0BYVGG2H7/ref=sr_1_196?dib=eyJ2IjoiMSJ9.stQ6LJDrwBml_uQBJl_oDNHT8wtiJXmfYi4FGNuOJT0bv0480Q6BtSR8h1hYDpAf9XwD3adswBDD_3u3DofFxJb7ZAKqW6bHQpZvOYpHcxOLZMk9HQCkDk_alW3qXpAzXcuHhtUFK_WII0gDpuaXynME64r4c1GdXlryiq9_6WKMM43QTaX8cAuQtCixbi24fqh4jGKX4MeGdFduEm3unhDloJpDS0tCA75choARE0eyU2q8LJ9AQGx3ivipbWYIO8vOT1E_WRB0DT0iB17uTB9hvJWRh7ataNQDT9JJteI.CMgBoDFSoQiGvfRpmRLtY-nv9mK1puXIAJgBstRKOec&dib_tag=se&keywords=aventurine+stone&qid=1719048818&sr=8-196,https://m.media-amazon.com/images/I/71E4vxr9SmL._AC_UL320_.jpg
aventurine,aventurine jewelry,60,False,B08Z3TFPHQ,YATSKIA Green Aventurine Gemstone Tree Natural Stone Feng Shui Wire Bonsai Seven Chakra Jewelry Trees of Life Necklace Good Luck Handmade Prosperity Success Stones Gift Home Office Desk Shelves Décor,24.99,USD,78043.77,4.6,3123,,,,False,True,,/YATSKIA-Aventurine-Gemstone-Necklace-Prosperity/dp/B08Z3TFPHQ/ref=sr_1_61?dib=eyJ2IjoiMSJ9.LxCn-CLba4RkGAOnkSECi4_ZbNIp2VSQH6AjmFC8ACtxXiKvwz4n8HZoGamdqlUNXR94Jz1jZCws21xubgAh-vgJFK-neblOPaDNCILH_wvwHCLsLkR5kKRB8kYNMVaoAFr52GkL3KzOtsh8jhdqESqNWP1Q9fF3ID3hc4odsn50vFMqswLdGFcB0zLY8h5pLq3AbSz07juvoBxvCNkrbpobXjtNt7EJC2LlwHEEwH3IKEuo-zlWhjy5jDG901yfP07INO7dvTDWyNHnYqwbMz0N6APtQFjFVyNd9G9bBYY.6yHFpONkZRGVUykK9teQQ3TYhqq32rhYUVEgEKrlTtw&dib_tag=se&keywords=aventurine+jewelry&qid=1719048859&sr=8-61,https://m.media-amazon.com/images/I/81MpXDsyt8L._AC_UL320_.jpg
