Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
black agate,black agate stone,187,False,B07MD7NMZ1,M MOOHAM Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329688.34,4.5,23566,,,,False,True,50+ bought in past month,/Mooham-Lava-Rock-Bracelet-Aromatherapy/dp/B07MD7NMZ1/ref=sr_1_188?dib=eyJ2IjoiMSJ9.1B6T1UMeClaNO-Y-xYCetj6hF_EwNsCaMa3Zf9pu5d1NqQYIJC22Z6xcYjWMXTRyduw7VbrdUgf5R0tzGUciPN-y8ZnX7gOhm3d-NIjwBWPRa3qbGzTovd69xeguzURUpgdOJ69zQvYBUuB7Xdyr7o1YgCyZW8KCpKBx5MYtFxrTq856U83MEtvwJGBwBqvuz-qLMGCYc5xnZ2RzTsYo_T7bUd-jDLtYwdvoJ86dAo9d52UDPErLPgILCD0QL34o2DbxdLzOfknNNQUZAifuLnIZn2lUCPbwHCdUAZ5IXMQ.8hYVjfo9kf3GXe-ekwnHyKuO06ffD7sOZA8PioP6RGA&dib_tag=se&keywords=black+agate+stone&qid=1719048463&sr=8-188,https://m.media-amazon.com/images/I/614561sWgnL._AC_UL320_.jpg
black agate,black agate jewelry; black agate bracelet,68; 22,False,B07RJFSGMS,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329688.34,4.5,23566,,,,False,True,200+ bought in past month,/MOOHAM-Mens-Bracelet-Giftsfor-Grandfather/dp/B07RJFSGMS/ref=sr_1_69?dib=eyJ2IjoiMSJ9.P4gtn5yZSBAvSDrkN1p8BcyMJxvcAF4FkGWHCExS1Nzd8f5Qgi8QHwWxli8d3iYyS4zuet6Xcu9VMel4ggn4e0_hWRf270KYLLprxN6jDYm4lqhBiQUy3JOSLub63-y2JVHQbtC4TjOV8qDWlOMGXx9fradQyugmZpkussGso9jCAva_zcrvYR8ZydU6LSzplDKkRGr_RlXxMH8QFwoMJv5lHKdgtO8pIyZmQ_fK4kYJWh_fSF-GYoE5TUzwzOjqOb8c0DmVI1MVzIjQ4-PnXwS-XA-eAp2UWqrzhaXMhDA.488ZxDp-LaZQivX3bRomaVW7c9m2-mw-Ulzz7i1_O_k&dib_tag=se&keywords=black+agate+jewelry&qid=1719048514&sr=8-69,https://m.media-amazon.com/images/I/61obFjlhlvL._AC_UL320_.jpg
black agate,black agate crystal,159,False,B07RG9QWMN,M MOOHAM Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329688.34,4.5,23566,16.99,3.0,0.18,False,True,800+ bought in past month,/MOOHAM-Bracelets-Adjustable-Aromatherapy-Essential/dp/B07RG9QWMN/ref=sr_1_132?dib=eyJ2IjoiMSJ9.qP0fQ0EZzEZyOrZXcYVNb5VIQ4Ae8QCAYixSqP0LtVmKYG853b95ulnfmdY8joiaGa1oWIXNEkuGc9h4IUDiwl-kcthrfUWN84Cravvs0hDlUSDoXvi9dMKhBxwrEDDcec1_zV6hK8q7vNRBtc_xz5WoKJUTQFhbrBuPXiVTtMmqC4qG7LFUbfjGjroFs5qynqyUBduMJlYZWvFLdaRNAahAruRLvNN3BB9PfMWtp_7ic3UlUJC4XHZCBVLsiaTBJp9aw8qWzANMjKz3OxkOi9KgSdl4lc2qOlCtZ0IwidI.u5gyKS5P60993tuG8R-a8j3Bsuq3UJlFkwLWMrKkJ90&dib_tag=se&keywords=black+agate+crystal&qid=1719048563&sr=8-132,https://m.media-amazon.com/images/I/61ICwh5fFNL._AC_UL320_.jpg
black agate,black agate earrings,88,False,B010RS8BDW,Small Square Stud Earrings,35.83,USD,207348.21,4.5,5787,38.0,2.17,0.06,False,True,,/spade-Small-Square-Black-Earrings/dp/B010RS8BDW/ref=sr_1_86?dib=eyJ2IjoiMSJ9.I_ZY4HktjNcPJYYOyEt9dZsXuXb3Impv7oUrM5KeEsEmguS-brsAouXdN5_5AkeFUzg9uQ55L0rf55HHxqmLA8JeYRd097oMHp1VJ_hoNYl0LqeMjveTPbK6AZ44ocnAuG_9Kae-aGRW_nr1i_Fsj-kmwwncO8zwt_wP0CjAux4rPcqbVYu2F6WESSqmAtvntZjcPjUVuTkj-WGeFaFxXeFZfpzibUs4xk8LSNqKtf_rrIE8ycDEJ4UfpdmgPK5xGf_Uv1mPiEkNU0ruQH6aXd-4KcUHZZ34WXfT5xvgDuI.XgKivI_ObZg5jXT6nPCVUApofPYsrX3C4zq5GgughKQ&dib_tag=se&keywords=black+agate+earrings&qid=1719048529&sr=8-86,https://m.media-amazon.com/images/I/71QNmUaHeML._AC_UL320_.jpg
black agate,black agate ring,92,False,B00ZQZ6P4Y,2 Tone Intertwined Crossover Statement Ring Fashion Chunky Band Rings for Women Black Gold Silver Rose Gold Plated Wide Index Finger Rings Costume Jewelry,15.99,USD,204176.31,4.4,12769,,,,False,True,200+ bought in past month,/Mytys-Silver-Intertwined-Wrapped-Statement/dp/B00ZQZ6P4Y/ref=sr_1_90?dib=eyJ2IjoiMSJ9.wk0Pl3fBMTtnQeoSNcb6RXpI8QeneutHmCJt1eqNwoErbFELITSgo4Mic9px1O2F47_5G4DEmGkCszjMCbktWyJ0eXozxEr5TgCMZIt0s9kqYq-CtGlvfWwV19tN7HaeiNhxO9NsJmR0wud-3iI2wO0FBUbWhsrtL_MOo-ijTU9ec04Z-Sbmb-kM4AzytQeOfMiffzyWLcyaMRWbng6wF9N97bxZaiiA0NJFg27eyqWjAPbTt7PhswtPy-K7v2cfiptjw2d6ZtXeCpE0Q1yFbnSofe75kyMgTVrN0Aps_A0.wIDZqDxXzUECucwYN8UNHFWkHR5c6OnNCaDKa9c8ac8&dib_tag=se&keywords=black+agate+ring&qid=1719048499&sr=8-90,https://m.media-amazon.com/images/I/71EQBodB0AL._AC_UL320_.jpg
black agate,black agate anklet,195,False,B08JLSQ2FM,"Inspirational Gifts for Women, Morse Code Funny Gifts Bracelets for Women, Morse Code Bracelets Friend Gifts",15.98,USD,203553.24,4.7,12738,,,,False,True,,/KGBNCIE-Bracelet-Sterling-Silver-Friendship/dp/B08JLSQ2FM/ref=sr_1_175?dib=eyJ2IjoiMSJ9.GZ2FMzDP0mFUMeAW2_OA-IFCMBeS7SsKfBBLdgLfCOLvrnSyi1EBCiJ5CSUcK9599yMJLjjTfHzmUt5ou00_sz-ve6bRc_GsSrkw8h1cV5LyWyrN9GwHBqi2zdN8Kx5m5o_g0fdGwBrdCw_hhfbF72KlDCA7b8k-w4_HUsZGBKmMvA4zWDd3oiBYTd3ytOdUP4J8k4vpXWLFd9mbOgPKVf9R9as0xYioE9Q_GTJ4MrHl1VmVl0MqxfEupZl6UYV5q1OVAz1npN3E9P2oIeuOnX46fdET_GDUtGDxwwIGv_o.ty-WZe0buZ37RDgA0aO5aE3LNu12ipBMrVw2D2Zto94&dib_tag=se&keywords=black+agate+anklet&qid=1719048551&sr=8-175,https://m.media-amazon.com/images/I/71WPO-5GWnL._AC_UL320_.jpg
black agate,black agate crystal,135,True,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,,50+ bought in past month,https://aax-us-iad.amazon.com/x/c/JMe8HDtCEUTxx1zxGmEbtJ0AAAGQP0dtbgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICCn0Pu5/https://www.amazon.com/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9:amzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9&cv_ct_cx=black+agate+crystal&dib=eyJ2IjoiMSJ9.qEZ9imKPjiw-u86p04KVcg.TZqGLksDuCzJvFvzZmomZHbXufJUXaCV3pPcMnDvDvU&dib_tag=se&keywords=black+agate+crystal&pd_rd_i=B07Y3X5YT4&pd_rd_r=d69e859a-d324-486d-b7d8-c0370822dec4&pd_rd_w=rtsfn&pd_rd_wg=OsqqP&pf_rd_p=805ca70d-e057-4820-b9b3-729eee71f8a9&pf_rd_r=7PBBB5VE8SS9FN4QMGAF&qid=1719048563&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-97-48f7baba-8e26-45f3-8811-e1a601ad20bf,https://aax-us-iad.amazon.com/e/loi/imp?b=JMe8HDtCEUTxx1zxGmEbtJ0AAAGQP0dtbgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICCn0Pu5
black agate,black agate stone,127,False,B075M53HWY,Hamoery Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,9.99,USD,179070.75,4.5,17925,,,,False,True,,/Hamoery-Chakras-Bracelet-Braided-Natural/dp/B075M53HWY/ref=sr_1_128?dib=eyJ2IjoiMSJ9.JwcV8cwtNjnbcvOvwJPTVwV8FAP7ZA4oLwFPO9aUMX4fvRoetL3w6byLDd0Bkh3RRxJT-f6XigBTz2_Me1aTuCELE6CwrLrXMkY4y6dV8pVSKGaQXbhlVFlPVGXGdI1r_LjP_1ngNwxcYWytZk8-by-1AFdvFENEwNVTWQkjtbZc9nKhmGrLL5uT9wtxNWqB3ZKJPLOnip51n2y-xkuInT4AoYW1dupVLtctLYuL2VOu0CQdwOwqgYyoF9Tut-Xmh7EdTpZbVKb5Ey3dSqQ_EWWDKOGv4z1FaRQ7LgQcBXo.4XPeJX12erXgLFm2kAaSDvBPhc6hH4looZxYUFO4hGU&dib_tag=se&keywords=black+agate+stone&qid=1719048461&sr=8-128,https://m.media-amazon.com/images/I/71MGcAmRGiL._AC_UL320_.jpg
black agate,black agate bracelet,48,False,B071S928NB,Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,9.99,USD,179070.75,4.5,17925,,,,False,True,,/Hamoery-Bracelet-Braided-Black-Agate/dp/B071S928NB/ref=sr_1_50?dib=eyJ2IjoiMSJ9.6RocTJ2i4-PlYl1X1boNw5Gdxjn9_1FGy2N7lkSfsPWGVBdp0OwCBYc_LgHOCeGfiBYVolt_oBeMg4T_iqNbMaa6C2b92lm5hKNWHNtTwNSCkf_E6qTzGTDWCOPK6iegthvUTEA5tfz7aBZdLyLtU3kagTHLUNNGvf3DytLtB4hfZrPdHxbtdThy91ilti02Djqa1atIszjD66oEqrxFsw1ufXdakcCnjmGKXNNVcoecoqliifuGHD57s35M2tuJ6xUHKljEqE--D2Z0ZWMsSMKN4afIpXWuM95KbiR0pFY.qH4dQC4puM3dfn4dov20KVEbo2Dr1pgFoGYtQoPARtM&dib_tag=se&keywords=black+agate+bracelet&qid=1719059635&sr=8-50,https://m.media-amazon.com/images/I/718vk9sf2JL._AC_UL320_.jpg
black agate,black agate anklet,190,False,B07L9M1SM1,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,173965.65,4.5,12435,,,,False,True,50+ bought in past month,/FANCY-SHINY-Bracelets-Bohemian-Stackable/dp/B07L9M1SM1/ref=sr_1_170?dib=eyJ2IjoiMSJ9.GZ2FMzDP0mFUMeAW2_OA-IFCMBeS7SsKfBBLdgLfCOLvrnSyi1EBCiJ5CSUcK9599yMJLjjTfHzmUt5ou00_sz-ve6bRc_GsSrkw8h1cV5LyWyrN9GwHBqi2zdN8Kx5m5o_g0fdGwBrdCw_hhfbF72KlDCA7b8k-w4_HUsZGBKmMvA4zWDd3oiBYTd3ytOdUP4J8k4vpXWLFd9mbOgPKVf9R9as0xYioE9Q_GTJ4MrHl1VmVl0MqxfEupZl6UYV5q1OVAz1npN3E9P2oIeuOnX46fdET_GDUtGDxwwIGv_o.ty-WZe0buZ37RDgA0aO5aE3LNu12ipBMrVw2D2Zto94&dib_tag=se&keywords=black+agate+anklet&qid=1719048551&sr=8-170,https://m.media-amazon.com/images/I/71oY4rcWTLL._AC_UL320_.jpg
