Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
black jasper,black jasper anklet,184,False,B0C5S4S7C6,"Matrix Tennis Bracelet Collection, Pink Crystals, Blue Crystals, Clear Crystals, Round Cut, Rhodium Finish, Gold Tone Finish, Rose Gold Tone Finish",137.0,USD,307565.0,4.5,2245,229.0,92.0,0.4,False,True,,/SWAROVSKI-Matrix-Tennis-Bracelet-Ruthenium/dp/B0C5S4S7C6/ref=sr_1_179?dib=eyJ2IjoiMSJ9.6NRQlI-CkDTRM3n1E3of_S_wvIAHdbuzCLNd53UZ3b562V7lgPxWBl3pbBcnfEx8XrJ5aaC2MovO78ButD7muXtLzNPoopcoeqd0IgatP2B0g63sIGs_R347NZ5wCVhG4gyhjmnkKM9a02UM9jWPb_mPb7HxcYHDim2HinN9xTi6GDvzx_t7qcrEOBHXBVPR81SR_WWaoZw2hWIPcb4pXnYogGAnKIvo-mdzOSfXi-HSU79ZUbNmFbuoR2E-B70xHCNZj73BVdbJHRE9UVm82TLu08dm2VzbzQNhoU8Avk0.rEfQTAgy0tqJafd4zJCS7PekNGmW2m0rpEgdQE281wc&dib_tag=se&keywords=black+jasper+anklet&qid=1719048672&sr=8-179,https://m.media-amazon.com/images/I/71EHw4E5XzL._AC_UL320_.jpg
black jasper,black jasper ring,33,False,B07ZFJPVHF,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288059.85,4.6,18015,,,,False,True,,/Silvershake-Natural-Sterling-Victorian-Solitaire/dp/B07ZFJPVHF/ref=sr_1_34?dib=eyJ2IjoiMSJ9._YGULDr9y5PmOXKX3CnpWqVP5BYDLgS-1Or1dFL3YH38zaqf2JhvntjDTDSpo8XfKJJP1VnFtRDEGaGqs-qp0B329hO-S0IzMqs6pLuwNG5GfjQuzuIP4VAVCwt-f2XLImu57u6iY7flVcsxAOGs1wSFc7quDJ1-EegbgzUvkJZ4_IjfQgIiMrP_dQbrfgw_WhYo-r3OxblGqtBQHJ7nwT3bpPfEvYczimupOv4DYBWMmEiaXKR0pt3aq6NHBJOj2uVVpErmz1O1E9InNdznSgTrcElciv8L8aQqqQs5LkA.koGwIPhaAcUjo61ecXvti8X6LnoYWnVDIo5LbMgxP08&dib_tag=se&keywords=black+jasper+ring&qid=1719048605&sr=8-34,https://m.media-amazon.com/images/I/51PpAbwkzHL._AC_UL320_.jpg
black jasper,black jasper crystal,4,True,B09M98D9C2,Healing Crystal Collection (Chakra Travel),26.26,USD,150601.1,4.7,5735,28.0,1.74,0.06,False,,50+ bought in past month,https://aax-us-iad.amazon.com/x/c/JKG8rezZ2vWMAWPpxyZxCkMAAAGQP0k-ogEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBaprE4/https://www.amazon.com/Crystalya-Travel-Crystals-Healing-Collection/dp/B09M98D9C2/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c:amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&cv_ct_cx=black+jasper+crystal&dib=eyJ2IjoiMSJ9.u1wwePCeXpyYllNFs8luMw.lSrOZeu800b38Vw-rfc1R1pHFoos0AlK-7YksGmOJKs&dib_tag=se&keywords=black+jasper+crystal&pd_rd_i=B09M98D9C2&pd_rd_r=5c4b1f04-4616-4e2b-8f60-805caa77169a&pd_rd_w=thQhS&pd_rd_wg=RxCa9&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=TT18SRNNADYJ9Z7V3TRS&qid=1719048682&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776,https://aax-us-iad.amazon.com/e/loi/imp?b=JKG8rezZ2vWMAWPpxyZxCkMAAAGQP0k-ogEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBaprE4
black jasper,black jasper anklet,218,False,B07N2VC45T,Women Boho Handmade Natural Stone Crystal Leather Bead Wrap Bracelets Collection,24.99,USD,133296.66,4.4,5334,,,,False,True,,/IUNIQUEEN-Imperial-Hematite-Crystal-Bracelet/dp/B07N2VC45T/ref=sr_1_213?dib=eyJ2IjoiMSJ9.vYTgPG1Nwe5jwtBqwKebxf3Aey23pCIgcpb8o04POz8Q4gqsRqpnEl9uWC8KW8vV3p0RkZXqPSMjCRVhsi8INKAO8EIjq-Be7EcgRSb1h6cajUeiYNu3MS_6fPVDO-vuFI9URz_KXc1swwY-cXBcZFk7ZOMEB0ZeN_GYHmSEQorhTeN8_Mkd-vTaF9eTkUTZvZDkw2O1GJJzxzsHrX_w-c2ZNoFbtxp4KguhXnvrlAmz9th74P5TKCvoXF0FbTnuw52W1Q5Rg2qfwUCJf_mRIw5qZKuoYxGy5jRW7YjpjoA.GFb87uqOpzoU3l2V1XKgGu3czhtpM5XldUAOHUKQfbo&dib_tag=se&keywords=black+jasper+anklet&qid=1719048673&sr=8-213,https://m.media-amazon.com/images/I/61UqCzxPMwL._AC_UL320_.jpg
black jasper,black jasper earrings,101,False,B07B9ZB1DL,Colorful Layered Tassel Earrings Bohemian Tiered Tassel Druzy Stud Dangle Drop Earrings for Women Teen Girls Christmas Mother's Day Gift,12.99,USD,132939.66,4.6,10234,,,,False,True,50+ bought in past month,/Me-Hz-Earrings-Bohemian-Statement/dp/B07B9ZB1DL/ref=sr_1_102?dib=eyJ2IjoiMSJ9.RtpFQM1fmetBfr6TPCB_RmxxOE4MZipY8ldigGly5DTNC_A0pvwAJlJZK4F-dKEigtfrj2ILLvb9s_StHGjovLQ9vduzU7eh6hZCgA7hkOg-I0oA7ciWC05d52bxV8kFdefNMI5Ssa-B6iZHhKCzesIMm4vW_RWVMZjc-UrrzlzwUv5OOgZQPVqOOPLAt4R0HlwPKU9IXl-ut7Mf4yp-hsOE7pFO4mjQBXVfCTN3j1G7JSPKWAKdpdEw8J7dkd3Oq90y9cXoBxSi65aJKSHw88zimkUyoQrLFYCn01jSZfE.KnpFRaQ-vNKOgi9B0jebrT2Eb6ddBTxpC2CZ_LjC_0g&dib_tag=se&keywords=black+jasper+earrings&qid=1719048651&sr=8-102,https://m.media-amazon.com/images/I/81z6-l2Fd3L._AC_UL320_.jpg
black jasper,black jasper earrings,106,False,B088YLV6X6,Austrian Crystal Teardrop Leverback Dangle Earrings for Women Fashion 14K Gold Plated Hypoallergenic Jewelry,25.99,USD,123972.3,4.5,4770,,,,False,True,,/Swarovski-Teardrop-Leverback-Earrings-Hypoallergenic/dp/B088YLV6X6/ref=sr_1_107?dib=eyJ2IjoiMSJ9.RtpFQM1fmetBfr6TPCB_RmxxOE4MZipY8ldigGly5DTNC_A0pvwAJlJZK4F-dKEigtfrj2ILLvb9s_StHGjovLQ9vduzU7eh6hZCgA7hkOg-I0oA7ciWC05d52bxV8kFdefNMI5Ssa-B6iZHhKCzesIMm4vW_RWVMZjc-UrrzlzwUv5OOgZQPVqOOPLAt4R0HlwPKU9IXl-ut7Mf4yp-hsOE7pFO4mjQBXVfCTN3j1G7JSPKWAKdpdEw8J7dkd3Oq90y9cXoBxSi65aJKSHw88zimkUyoQrLFYCn01jSZfE.KnpFRaQ-vNKOgi9B0jebrT2Eb6ddBTxpC2CZ_LjC_0g&dib_tag=se&keywords=black+jasper+earrings&qid=1719048651&sr=8-107,https://m.media-amazon.com/images/I/51D3HwSI7wL._AC_UL320_.jpg
black jasper,black jasper earrings,128,False,B08RBDN59Q,"Solid 14K Yellow, White or Rose Gold 4mm Round Genuine Gemstone Birthstone Prong Set Stud Earrings For Women and Girls",39.99,USD,114971.25,4.2,2875,,,,False,True,,/Solid-White-Natural-Birthstone-Earrings/dp/B08RBDN59Q/ref=sr_1_129?dib=eyJ2IjoiMSJ9.RtpFQM1fmetBfr6TPCB_RmxxOE4MZipY8ldigGly5DTNC_A0pvwAJlJZK4F-dKEigtfrj2ILLvb9s_StHGjovLQ9vduzU7eh6hZCgA7hkOg-I0oA7ciWC05d52bxV8kFdefNMI5Ssa-B6iZHhKCzesIMm4vW_RWVMZjc-UrrzlzwUv5OOgZQPVqOOPLAt4R0HlwPKU9IXl-ut7Mf4yp-hsOE7pFO4mjQBXVfCTN3j1G7JSPKWAKdpdEw8J7dkd3Oq90y9cXoBxSi65aJKSHw88zimkUyoQrLFYCn01jSZfE.KnpFRaQ-vNKOgi9B0jebrT2Eb6ddBTxpC2CZ_LjC_0g&dib_tag=se&keywords=black+jasper+earrings&qid=1719048651&sr=8-129,https://m.media-amazon.com/images/I/61lD9GVWEYL._AC_UL320_.jpg
black jasper,black jasper ring,25,False,B08BLPDZ5B,7x5MM Oval Shape Birthstone Gemstone White Gold Plated or 18K Yellow Gold Plated 925 Sterling Silver Triquetra Trinity Celtic Knot Solitaire Ring Jewelry for Women,16.19,USD,100572.28,4.6,6212,,,,False,True,,/Silvershake-Natural-Plated-Sterling-Triquetra/dp/B08BLPDZ5B/ref=sr_1_26?dib=eyJ2IjoiMSJ9._YGULDr9y5PmOXKX3CnpWqVP5BYDLgS-1Or1dFL3YH38zaqf2JhvntjDTDSpo8XfKJJP1VnFtRDEGaGqs-qp0B329hO-S0IzMqs6pLuwNG5GfjQuzuIP4VAVCwt-f2XLImu57u6iY7flVcsxAOGs1wSFc7quDJ1-EegbgzUvkJZ4_IjfQgIiMrP_dQbrfgw_WhYo-r3OxblGqtBQHJ7nwT3bpPfEvYczimupOv4DYBWMmEiaXKR0pt3aq6NHBJOj2uVVpErmz1O1E9InNdznSgTrcElciv8L8aQqqQs5LkA.koGwIPhaAcUjo61ecXvti8X6LnoYWnVDIo5LbMgxP08&dib_tag=se&keywords=black+jasper+ring&qid=1719048605&sr=8-26,https://m.media-amazon.com/images/I/51OFuRvKhxL._AC_UL320_.jpg
black jasper,black jasper earrings,102,False,B00YTS6XKK,Lee Drop Earrings for Women,67.89,USD,98033.16,4.7,1444,,,,False,True,,/Kendra-Scott-Womens-Earring-Gunmetal/dp/B00YTS6XKK/ref=sr_1_103?dib=eyJ2IjoiMSJ9.RtpFQM1fmetBfr6TPCB_RmxxOE4MZipY8ldigGly5DTNC_A0pvwAJlJZK4F-dKEigtfrj2ILLvb9s_StHGjovLQ9vduzU7eh6hZCgA7hkOg-I0oA7ciWC05d52bxV8kFdefNMI5Ssa-B6iZHhKCzesIMm4vW_RWVMZjc-UrrzlzwUv5OOgZQPVqOOPLAt4R0HlwPKU9IXl-ut7Mf4yp-hsOE7pFO4mjQBXVfCTN3j1G7JSPKWAKdpdEw8J7dkd3Oq90y9cXoBxSi65aJKSHw88zimkUyoQrLFYCn01jSZfE.KnpFRaQ-vNKOgi9B0jebrT2Eb6ddBTxpC2CZ_LjC_0g&dib_tag=se&keywords=black+jasper+earrings&qid=1719048651&sr=8-103,https://m.media-amazon.com/images/I/61D2Xmbz60L._AC_UL320_.jpg
black jasper,black jasper anklet,168,False,B0CGCSQWM3,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,15.99,USD,97523.01,4.5,6099,,,,False,True,,/TUMBEELLUWA-Healing-Bracelet-Handmade-Obsidian/dp/B0CGCSQWM3/ref=sr_1_163?dib=eyJ2IjoiMSJ9.6NRQlI-CkDTRM3n1E3of_S_wvIAHdbuzCLNd53UZ3b562V7lgPxWBl3pbBcnfEx8XrJ5aaC2MovO78ButD7muXtLzNPoopcoeqd0IgatP2B0g63sIGs_R347NZ5wCVhG4gyhjmnkKM9a02UM9jWPb_mPb7HxcYHDim2HinN9xTi6GDvzx_t7qcrEOBHXBVPR81SR_WWaoZw2hWIPcb4pXnYogGAnKIvo-mdzOSfXi-HSU79ZUbNmFbuoR2E-B70xHCNZj73BVdbJHRE9UVm82TLu08dm2VzbzQNhoU8Avk0.rEfQTAgy0tqJafd4zJCS7PekNGmW2m0rpEgdQE281wc&dib_tag=se&keywords=black+jasper+anklet&qid=1719048672&sr=8-163,https://m.media-amazon.com/images/I/51gRxmxUYyL._AC_UL320_.jpg
