Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
blue lace agate,blue lace agate crystal,75,False,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,True,50+ bought in past month,/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sr_1_76?dib=eyJ2IjoiMSJ9.Nn9Rx9xE-HvrxnHQw0KiogXmXf6loTwpKwDvlGADZxHsMfM21HllqD9_8tGZUT_0URMikKtJvcdp_GBh09T_mXY4hqTjE8nc6p48i1KhGtrdAwsHW2UDmox4VhCX80bL1Z5mqtJPMyWIMbBJnaQqY9vrUoWM2zP3dKwzY6yZJ9WewSj5PQBHsYRPXG2TnRn2TdYDBBr1JU4KnIifk5t7tARsQNDtUYzzvVzdq-FKyfJ1m9E7LCKiicK5dUtT5y9ouMuUxbX5wL2k3FlYH85o7j7tA0xczs5kzJxSwkqehOo.8jormnmBvmpvbFdfAjIdlE_F_FxpoXv1DJ0XuysMsHs&dib_tag=se&keywords=blue+lace+agate+crystal&qid=1719048143&sr=8-76,https://m.media-amazon.com/images/I/91jha8iMV1L._AC_UL320_.jpg
blue lace agate,blue lace agate necklace,77,False,B076G5GLKD,14K Gold Plated Created Opal Necklace | Opal Necklaces for Women,12.95,USD,178373.3,4.4,13774,14.64,1.69,0.12,False,True,,/PAVOI-Plated-Created-Necklace-Necklaces/dp/B076G5GLKD/ref=sr_1_79?dib=eyJ2IjoiMSJ9.1x3xJp2-OM7DWP2s6ZSpQDhGKZUTtLjvnygm5viC-CK0ok5tdp07-2EedTLKuGAT2g_AHwU5GKuW_F0z8zjPvjFrdsLvwOuTcV2EwnqrEi5M08HH1h4RfsVNS5jBqvGKbd6Rgo_3qqmp2zFsJyN5aHtHwmTzN5nqAccQK_4coWPvjdIh16hVQeiKR1eHCqJ7DF5TtXRNRrFbOPxts0hud80Ld9fQve7f2IP55K5j8eYEaSUeZEcOqh_FuH-xq1Ieyx8XQ8r4jPb8NjO-rFg9vdLp0_UE5cBy5Xu2Nsyg2EY.qPVw2WosGreZ5KOUGdNFgtrjSWsT_H1mxmsKdqrK3B4&dib_tag=se&keywords=blue+lace+agate+necklace&qid=1719048062&sr=8-79,https://m.media-amazon.com/images/I/61tJw6IzHpL._AC_UL320_.jpg
blue lace agate,blue lace agate earrings,64,False,B07Z2VWLF3,Austrian Crystal Teardrop Leverback Dangle Earrings for Women Fashion 14K Gold Plated Hypoallergenic Jewelry,25.99,USD,123972.3,4.5,4770,,,,False,True,50+ bought in past month,/Swarovski-Teardrop-Leverback-Earrings-Hypoallergenic/dp/B07Z2VWLF3/ref=sr_1_59?dib=eyJ2IjoiMSJ9.jJD1OV-9nn5cI56hodWLZPrD2jhgav06TNGT_C8DiK-K_Hpj08-NohvJVjPGB2kdXLFrg2EzX8DD-HUdlPdVPO0VvitqjLHbWycTjdD6mwMlA3rUGzB5VAnCE657vje1m5C7bGcRxZSuxMzY833aRHR7HSflNOEFpllfW2hngTcUZLcdPeBsWOu4h1Sg8BVrx3iLOlLfyZ9q_SjDYuX4oDja-64BF9Uhxcw9KuZHJN4NYsQ039GZGytIJ_cpt88mSho_lazlx0via4B2rVlCdDNSrM5i1e-JlS2MNeewTsQ.DTQDprP897LK5rWlpdJnzv302Wdajqgrq_WveNl14hA&dib_tag=se&keywords=blue+lace+agate+earrings&qid=1719048113&sr=8-59,https://m.media-amazon.com/images/I/61jda0BvccL._AC_UL320_.jpg
blue lace agate,blue lace agate earrings,86,False,B07CZ7XRGY,"Yinahawaii Handmade Sea Glass Earrings, Hawaiian Jewelry, Wire Braided Earrings Teardrop Earrings, Beach Jewelry Sea Glass Jewelry For Women Birthday Gift (Cobalt - September)",38.98,USD,104388.44,4.7,2678,,,,False,True,,/Handmade-Sapphire-earrings-September-Birthstone/dp/B07CZ7XRGY/ref=sr_1_81?dib=eyJ2IjoiMSJ9.jJD1OV-9nn5cI56hodWLZPrD2jhgav06TNGT_C8DiK-K_Hpj08-NohvJVjPGB2kdXLFrg2EzX8DD-HUdlPdVPO0VvitqjLHbWycTjdD6mwMlA3rUGzB5VAnCE657vje1m5C7bGcRxZSuxMzY833aRHR7HSflNOEFpllfW2hngTcUZLcdPeBsWOu4h1Sg8BVrx3iLOlLfyZ9q_SjDYuX4oDja-64BF9Uhxcw9KuZHJN4NYsQ039GZGytIJ_cpt88mSho_lazlx0via4B2rVlCdDNSrM5i1e-JlS2MNeewTsQ.DTQDprP897LK5rWlpdJnzv302Wdajqgrq_WveNl14hA&dib_tag=se&keywords=blue+lace+agate+earrings&qid=1719048113&sr=8-81,https://m.media-amazon.com/images/I/41LahO8R3eL._AC_UL320_.jpg
blue lace agate,blue lace agate jewelry; blue lace agate bracelet,274; 64,False,B07RGT12WQ,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,15.99,USD,97523.01,4.5,6099,,,,False,True,,/TUMBEELLUWA-Healing-Bracelets-Bracelet-Handmade/dp/B07RGT12WQ/ref=sr_1_275?dib=eyJ2IjoiMSJ9.txI5tuCLWZ5TPPtP-fe2ntcvO5msmLo9ZMh7kAic7oKyuIgjABMGNHMoryUhVEcocfoirBJ0FcCzvYeg1jm2fqipZiAgDWkrGQylmmfFNceMqkFFzzSfuA3RZ7mA7Crsy5s1rIH-Sc9vk5RAQDOweP-3E7WJ0DYcI-aOn4ufeDNgl7O7YA8NAaI-MzYTKEIol1N3qJa1VSSm19-ZNQHUJ7jREngI7fTelBS1JAYtTgfg2Bz1LJRiu1LWBca-3lazJ2sscPSkcUrldDyxsrnt-myH7m08FSNzBxRoUU70IJA.cOU-gLYQRN_EaFv1MVE8MB_DN7EXP7tqIVVeq9u6nDc&dib_tag=se&keywords=blue+lace+agate+jewelry&qid=1719048103&sr=8-275,https://m.media-amazon.com/images/I/51yOIJ64-wL._AC_UL320_.jpg
blue lace agate,blue lace agate anklet,126,False,B01KMN0JT6,18K Gold Plated Gold and Multi Color Crystal Baguette Anklet,12.99,USD,94437.3,4.2,7270,,,,False,True,400+ bought in past month,/Barzel-Plated-Crystal-Baguette-Multicolor/dp/B01KMN0JT6/ref=sr_1_127?dib=eyJ2IjoiMSJ9.42q9hlU1QZoUNrA0SuQup0IyKis9C6xLCAC7-a2eXmxdkNuqHrIMXyIx06ejGqcnA2jCD-u4T9t9cMdjD33A6OnvsgHBTB0pvmFf2B4WukuKpMB6hkQXnEizpTooOlub5WBQ-HSgGhbJysesLPGyK3oMoCcwT8Cf5dECK9DwUnmjha3gTANRjHFKQXfesImeIjQK1XH9ig_MiFcpE-c8sk4eHct-55aIQ-9WP6CHOddZ23QtpBQx_xXULxi7jnigK1MlpcftB0IA5VuKiQSeqNVPFcNJvdPqhTsHuH1YaEc.ujiONQkeMv_lLlgl-RRlVjNix451W3WK64V3trPREIs&dib_tag=se&keywords=blue+lace+agate+anklet&qid=1719048129&sr=8-127,https://m.media-amazon.com/images/I/71hZC5zjnWS._AC_UL320_.jpg
blue lace agate,blue lace agate ring,46,False,B072XGNG59,7x5MM Oval Shape Birthstone Gemstone White Gold Plated or 18K Yellow Gold Plated 925 Sterling Silver Triquetra Trinity Celtic Knot Solitaire Ring Jewelry for Women,14.44,USD,89701.28,4.6,6212,,,,False,True,,/Natural-Emerald-Plated-Sterling-Triquetra/dp/B072XGNG59/ref=sr_1_47?dib=eyJ2IjoiMSJ9.eoJULLJzyRCLWwxecTKH64IC2KNKVAsHrQ1l-htCZdgdqBe7PF7Ork3lN85352XoRELsNPP-K-F59F3dKE8ozekvpycUWk8PlCB5BjPEnKDZiWLgSGffILHWlrb4MeyOzPRqgm56J-XyDaLfHIETtkcCkbbITp9O-ll1Jy1KC_UwxWwlNEeVujxLRGeDqiBTQoQ2qQIs19wEwIovM4LWD-znl5ZS4ZPvLpvqTMP2h-_um1W5CJemwzGFhWnq_oHW35qJ7epegkhHhzuL_TGsqfDX9zzTTr1UsclE84K7LqQ.4VQ8jriOjPJBVptSgkF6VOlTKfGmAWX3-Qu6-x32Lo8&dib_tag=se&keywords=blue+lace+agate+ring&qid=1719048078&sr=8-47,https://m.media-amazon.com/images/I/61ZxnltZebL._AC_UL320_.jpg
blue lace agate,blue lace agate anklet,36,False,B09JW8YFGG,Anklets for Women 925 Sterling Silver Infinity Hear Ankle Bracelet Cubic Zirconia Rose Gold Summer Beach Stylish Foot Chain Summer Vacation Jewelry Gift for Mom Women Girlfriend,34.99,USD,85585.54,4.6,2446,,,,False,True,100+ bought in past month,/BlingGem-Sterling-Infinity-Anniversary-Girlfriend/dp/B09JW8YFGG/ref=sr_1_37?dib=eyJ2IjoiMSJ9.h9NNFUnSyswhJ6Uby_6BEvWskJmQPsd_B34biJ1ksqyoKjAzsgYA2QcZqh59r28D8hC089IEHzWQ1djCXzX0bnjbi8zlXWqUt5iavICidFKFdFIyUQTrfFLDCNJvQtFU_JV4Zhw9hZr5W0OSUU_Zj9yZug0Je5jPRWYWdkDxMunh0RkctFa8lOiHD3Ar8taRYEOzUXH18QPTVK6tBQu14D0HguHgockYU4eDTK7E42sg1njE99TyVSxEu-voDmcEMR91OnyoCAmhEwo9JlMPF1DD5BTgjbjOgN2Gv59U_So.r4XB1y-ySIxmiyYi4z33IHL6nAQbWd5lXEZJ1ikUa6g&dib_tag=se&keywords=blue+lace+agate+anklet&qid=1719048126&sr=8-37,https://m.media-amazon.com/images/I/61JiE4A6JKL._AC_UL320_.jpg
blue lace agate,blue lace agate anklet,45,False,B089R8CCGX,Anklet for Women Gold Chain 14K Gold Plated Dainty Boho Beach Summer Simple Foot Jewelry Ankle Bracelet,13.99,USD,84611.52,4.6,6048,,,,False,True,100+ bought in past month,/Mevecco-Dainty-Turquoise-Minimalist-Bracelet/dp/B089R8CCGX/ref=sr_1_46?dib=eyJ2IjoiMSJ9.h9NNFUnSyswhJ6Uby_6BEvWskJmQPsd_B34biJ1ksqyoKjAzsgYA2QcZqh59r28D8hC089IEHzWQ1djCXzX0bnjbi8zlXWqUt5iavICidFKFdFIyUQTrfFLDCNJvQtFU_JV4Zhw9hZr5W0OSUU_Zj9yZug0Je5jPRWYWdkDxMunh0RkctFa8lOiHD3Ar8taRYEOzUXH18QPTVK6tBQu14D0HguHgockYU4eDTK7E42sg1njE99TyVSxEu-voDmcEMR91OnyoCAmhEwo9JlMPF1DD5BTgjbjOgN2Gv59U_So.r4XB1y-ySIxmiyYi4z33IHL6nAQbWd5lXEZJ1ikUa6g&dib_tag=se&keywords=blue+lace+agate+anklet&qid=1719048126&sr=8-46,https://m.media-amazon.com/images/I/71ztRxH9RmL._AC_UL320_.jpg
blue lace agate,blue lace agate anklet,189,False,B089RC7LTQ,"925 Sterling Silver Ankle Bracelet Multilayer Anklets for Women Satellite, Star, Cross, Circle, Butterfly, Teardrop, Oval Disk Layered Anklet Beach Jewelry",22.98,USD,73857.72,4.5,3214,26.87,3.89,0.14,False,True,,/Bracelets-Sterling-Interlock-Circles-Daughter/dp/B089RC7LTQ/ref=sr_1_190?dib=eyJ2IjoiMSJ9.UFFKKYuvZs5D-rwdYneRZbtPfmFy568fdTtOHnFrCUNmJi1inIVOO-Cx1iuHNyjQGJI10_C07gC5Uk9z_RwCytVXpG3Kds5vLJ00pTH4ATNKLaUwk2YEAOXpWE5TtKBZDhyxhWud9IM2JJcxQkbC1rkceY_TbHEK9QrpGhcG5ZYLmde7a71QiVR8rp-4xpO7kFxYIZBEC3TnElmQJ1UUj4OTffgWyNcOfLZQbDRQ62HWkDlptNgDELti4GjmQ1ttNKRn8q1Vo6U8LNRpbbwrB-TCPcbfdbAq4SKMLZZu1XE.KPV0rPxkGvx6vEtI47Ufobj0cW6DxBSG3GZpnATQN5E&dib_tag=se&keywords=blue+lace+agate+anklet&qid=1719048131&sr=8-190,https://m.media-amazon.com/images/I/61ZIpeKtQXL._AC_UL320_.jpg
