Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
calcite,calcite stone; calcite necklace; calcite jewelry; calcite earrings,82; 7; 26; 96,False,B097VC9SW8,"Leafael Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,995910.96,4.6,24904,,,,False,True,,/Leafael-Infinity-Creativity-Anniversary-Necklaces/dp/B097VC9SW8/ref=sr_1_83?dib=eyJ2IjoiMSJ9.nRthXB79g30O73HlODSyxImvUq9F1D-2cdKqyatnkss2rXpebnJtH1Hd99Xw4O8G5Z75nK3AroodvbMzyrzShO8nTFWtS5te8kO5y_Cuel_GCPGUhaygKWLMWhfqezrIemyy2mIyrakjWUDuMlxRdsE0VuWj8z1k4EROc4I16k29OY5feCG2c0mQTYp43djfy-JnMjcp7t0qWTZms2PO4898XVhhyC1DSo_HcwbbduZ7kiAReWfVXF6VMT7cxXySmmAob6XIYw26_DjCycLFETF5f8dtHNAoIIOViMkJGZw.luyS1ZTJeh6ftjETH-8o2cnlMXP7aj7Pp7NA97HQPgI&dib_tag=se&keywords=calcite+stone&qid=1719049525&sr=8-83,https://m.media-amazon.com/images/I/71sGOPMdY2L._AC_UL320_.jpg
calcite,calcite crystal,107,False,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,True,50+ bought in past month,/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sr_1_108?dib=eyJ2IjoiMSJ9.ksjG3IcTKh_zKLamsUnMcjS4gfunxkncbYLRxfT6DElck2NuAOMVKisgEm0zCWHPnK5Qht6RyH2AmmBcp91-Aq2nlo-dZDihdQwDqdvAlLqoH-ljJ8CIOGgINIF0d5NlJjbg3SYIauTtwgcny5vdswoWTYocIr9v1y2qlO-yXk9DqIiTADHAeYYGlBdSGM63pnIOrO8wmXu6q30U0Oz1eR7Q50_3bPSUGdinpFSzmYeSMfhjq2qngVeJQfyE_EH34-Ksrl95An7PABc4Rv_T0WpLcY2XQWRMwYwUW4t1UmY.5CK3cnqkvUpBQa2_4Kja5Dh_dEvY3y4EuL8wxvakdYo&dib_tag=se&keywords=calcite+crystal&qid=1719059700&sr=8-108,https://m.media-amazon.com/images/I/91jha8iMV1L._AC_UL320_.jpg
calcite,calcite anklet,91,False,B086HB7QTD,"Heart Initial Ankle Bracelets for Women, 14K Gold Filled Handmade Dainty Layered Anklet Letter Initial Heart Ankle Bracelets for Women Beach Jewelry Gifts",14.99,USD,157619.85,4.4,10515,,,,False,True,50+ bought in past month,/Turandoss-Layered-Initial-Bracelets-Initials/dp/B086HB7QTD/ref=sr_1_92?dib=eyJ2IjoiMSJ9.loI0e_KXqnGHiCjetuX5_-BBJYvgQcEP1dWuQzHX_foZGfqhLXNDxwMtCGACV7NxixqOO144604VqjI27nVNTeeA0Dwrb4445AKNYOPLXP1dKNr1FZ32WjHx7ONgPfXxI9wU7USsLRzAtcF5M20OYptdlFvCjeyNmmu_cNNan4hrVrUreSj8TcVBfXuWMq5M8BodlASi__aYo_c_AVk8F45A32HHrUAzmfvme-rXVaZ0li05WL2SaHNSBHAXrgOCA29omCbNliuOLyKGP6nHKHyBkAsdO_OwTytBIoWNCEw.lHqGK6ZlLUeiDKX_d6xGNvNIfYyvGvfdFBYYxl2Mb8k&dib_tag=se&keywords=calcite+anklet&qid=1719049609&sr=8-92,https://m.media-amazon.com/images/I/715I1riP6ML._AC_UL320_.jpg
calcite,calcite stone,116,False,B09M98D9C2,Healing Crystal Collection (Chakra Travel),26.26,USD,150601.1,4.7,5735,28.0,1.74,0.06,False,True,50+ bought in past month,/Crystalya-Travel-Crystals-Healing-Collection/dp/B09M98D9C2/ref=sr_1_117?dib=eyJ2IjoiMSJ9.0P0LglNsESgVpEAy2Rcnj5mHUcmHxFowwIOvNM56eTbUcRDyy0lsq7oKLO3gZcc-_eO6u_0S154urlSdRe4uvphlYU1gPji4viiH0jcQynsbeTFSpeFn3yIlg4xz1rsvJxnJBQVJSUN4Bo2ZUYwz5ha5F_rJj9rPoX2x4WcYnt0GHgkkNTfMwnVbpXGk5CAqSBklBehP7OZo7TLLtFMyO_nsWlamCzX8bu5Vhoz5jbCNtwaofYkwG59ihcfX-nwl9NyoVqrUdTaxOnhIRVNY1QZu284RKYGhF9n_Ujni_SE.gjXoAQAzzR2pR-cIHP6bQD7lVJ90UC_Cy2g1q0YCUyk&dib_tag=se&keywords=calcite+stone&qid=1719049527&sr=8-117,https://m.media-amazon.com/images/I/91ELvDuvceL._AC_UL320_.jpg
calcite,calcite anklet,67,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141396.15,4.6,10885,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_68?dib=eyJ2IjoiMSJ9.loI0e_KXqnGHiCjetuX5_-BBJYvgQcEP1dWuQzHX_foZGfqhLXNDxwMtCGACV7NxixqOO144604VqjI27nVNTeeA0Dwrb4445AKNYOPLXP1dKNr1FZ32WjHx7ONgPfXxI9wU7USsLRzAtcF5M20OYptdlFvCjeyNmmu_cNNan4hrVrUreSj8TcVBfXuWMq5M8BodlASi__aYo_c_AVk8F45A32HHrUAzmfvme-rXVaZ0li05WL2SaHNSBHAXrgOCA29omCbNliuOLyKGP6nHKHyBkAsdO_OwTytBIoWNCEw.lHqGK6ZlLUeiDKX_d6xGNvNIfYyvGvfdFBYYxl2Mb8k&dib_tag=se&keywords=calcite+anklet&qid=1719049609&sr=8-68,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
calcite,calcite bracelet,110,False,B07RGT27WH,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,16.99,USD,103655.99,4.5,6101,,,,False,True,,/TUMBEELLUWA-Bracelets-Bracelet-Handmade-Labradorite/dp/B07RGT27WH/ref=sr_1_112?dib=eyJ2IjoiMSJ9.2T9dciIi-eZ1tURTRMV3Vh0I5-fc6qmBCcuYFlb5gl1AjahqgL5zXrz5eEsq-9x6ySo-JPNUnX_6wjvAqIwX39a2fENPxRUEsdmNh9IzFgM0ZAB8BCOd_F7C4jjwb-EwIswizshQ7_oyEWETx0rDvIrGEtH2JNyWsLq_xeT7kxCg7FcBBRrrlRKzvC1Nbulcv95SY5diPlDpQ2rZsca5kFZwPNKYbobsV9MfSkcZoVAMSL7Y4FXuhP92mGRn6BVBdcQobXTnsyj0LnHE0tEOsAsQK0W_hIPaOUb1fxn6nBk.qt86D4725MZnyjc52x3QRyZ-NUSvIvy2k5GiaYlcqnQ&dib_tag=se&keywords=calcite+bracelet&qid=1719059718&sr=8-112,https://m.media-amazon.com/images/I/61FPF19V18S._AC_UL320_.jpg
calcite,calcite necklace,115,False,B077WX2D8T,Crystal Pendant Necklace - Handmade with Ethically Sourced Crystal Healing Necklace - Authentic Jewelry for Men & Women,19.0,USD,97983.0,4.3,5157,,,,False,True,,/Ayana-Crystals-Labradorite-Crystal-Necklace/dp/B077WX2D8T/ref=sr_1_116?dib=eyJ2IjoiMSJ9.-9KrHBrmrphXgqm2OkG2BGYpclKiKdrv_1SaLvQQbVRYCjDpbJbP2n6GT1bqdRBrPbYKXGSTB7HifwGaMTfI9zZpSXOL2GfgyY3i5OtGY02F1Qmx_rna7yC-K-b9rhqXEOs1YD6g5SJkQSexuPkGw29CVihQRpimEOFSoa03lxzfETzpq9rRKd6h_Txas0Kc4Bnxhu1sszsj3KlMrkEX59qEmylwejyO1DzMnlrrH-V8wFMuFpgZ7Q0hN24Z2uzixGdORELEmN3CosxPjbNs_pIGAAxut7hqXnUoiiUy-UY.kkX0de7tM1JP2a9YXp3ID6_HmJyL_0SrI6bAlMZjfvU&dib_tag=se&keywords=calcite+necklace&qid=1719049550&sr=8-116,https://m.media-amazon.com/images/I/51+JkmNGUgL._AC_UL320_.jpg
calcite,calcite anklet,36,False,B01KMN0JT6,18K Gold Plated Gold and Multi Color Crystal Baguette Anklet,12.99,USD,94437.3,4.2,7270,,,,False,True,400+ bought in past month,/Barzel-Plated-Crystal-Baguette-Multicolor/dp/B01KMN0JT6/ref=sr_1_37?dib=eyJ2IjoiMSJ9.lqkO9qx6BcC46DHhwu1xBmbFTDGniX3287mJuCiyLBMipqq-Ql2rUTzJtuCcrWPG4ejZ298X9-ly7PDvkfDwzHsYklf6JybVsIxDv7LhanwM8dTEAYs7hj1wrNF8KlO_gfVkkEE82I_wb-wu8rPrW-cqFpcxIM-CqA2LmNCspUs47rUWFrBMxrPI2pGukrpqSR0OqHRO8MfDcgq-Jk8GdNAbFVccBhyB6cRwo0XWFPwwumFQulrYz00H6GUFCPPPNLACWPKpbAvvLt5xp_TekbtQNUq-Z09f6YyEHz01ci8.P0RRCnvHm6thh2QMZTD2CILtgXtvCBIEEs-ukoomnrc&dib_tag=se&keywords=calcite+anklet&qid=1719049606&sr=8-37,https://m.media-amazon.com/images/I/71hZC5zjnWS._AC_UL320_.jpg
calcite,calcite bracelet,83,False,B07PJN35KK,Men Women 8mm Tiger Eye Stone Beads Bracelet Elastic Natural Stone Yoga Bracelet Bangle,11.95,USD,90342.0,4.5,7560,,,,False,True,,/Hamoery-Couple-Bracelet-Braided-Bangle/dp/B07PJN35KK/ref=sr_1_85?dib=eyJ2IjoiMSJ9.kRtfDEMtWiY7uqd8qSKZ-9giSYoCdku9MWaZg8Fc-oXJH-QZa9sahWt2qacZ-cr3cUcJERHIElthKlTqjxnUTVcaCcJSv6AO3VOJ3RnFl6Msk55P0W98sldFFkCTYJRZcJREn4ZPXsA_8xFGzlWBRIDtaFqJjxVMmuvQmQdTRLdStZNJdFfZDQcLv0vZlXqSQbKDfik_RJudeQYQvGsquQ5WXLW5rSQSBEbDFDfYwfZ9463TNvLVG3rKnKkq0kQZ7gOTTks-Z0Q0ti2P-Iotpy6y7Jq2B6LFuNW-Q_vFwxE.FqlieVf_aQmSQzKcsR_NXMI4l3rcS2Vc3a0PZkfnwEk&dib_tag=se&keywords=calcite+bracelet&qid=1719059717&sr=8-85,https://m.media-amazon.com/images/I/710wD4o4OGL._AC_UL320_.jpg
calcite,calcite anklet,84,False,B0892HBN3N,Anklets for Women 925 Sterling Silver Infinity Hear Ankle Bracelet Cubic Zirconia Rose Gold Summer Beach Stylish Foot Chain Summer Vacation Jewelry Gift for Mom Women Girlfriend,34.99,USD,85585.54,4.6,2446,,,,False,True,50+ bought in past month,/BlingGem-Gold-Plated-Anniversary-Valentines-Girlfriend/dp/B0892HBN3N/ref=sr_1_85?dib=eyJ2IjoiMSJ9.loI0e_KXqnGHiCjetuX5_-BBJYvgQcEP1dWuQzHX_foZGfqhLXNDxwMtCGACV7NxixqOO144604VqjI27nVNTeeA0Dwrb4445AKNYOPLXP1dKNr1FZ32WjHx7ONgPfXxI9wU7USsLRzAtcF5M20OYptdlFvCjeyNmmu_cNNan4hrVrUreSj8TcVBfXuWMq5M8BodlASi__aYo_c_AVk8F45A32HHrUAzmfvme-rXVaZ0li05WL2SaHNSBHAXrgOCA29omCbNliuOLyKGP6nHKHyBkAsdO_OwTytBIoWNCEw.lHqGK6ZlLUeiDKX_d6xGNvNIfYyvGvfdFBYYxl2Mb8k&dib_tag=se&keywords=calcite+anklet&qid=1719049609&sr=8-85,https://m.media-amazon.com/images/I/61vh9DjbKIL._AC_UL320_.jpg
calcite,calcite anklet,113,False,B07T6H3546,Anklets for Women 925 Sterling Silver Infinity Hear Ankle Bracelet Cubic Zirconia Rose Gold Summer Beach Stylish Foot Chain Summer Vacation Jewelry Gift for Mom Women Girlfriend,34.99,USD,85585.54,4.6,2446,,,,False,True,50+ bought in past month,/BlingGem-Infinity-Gold-Plated-Sterling-Zirconia/dp/B07T6H3546/ref=sr_1_114?dib=eyJ2IjoiMSJ9.rBMpr5KmONjRTshwql29979Ry0ylsLY2coUG2yUHB0sXg7auQJABxpl1F2CNWJ9BOS3ORY1fzu2ZuGhSvg8Hu1-gy-jWcs7p4EHaQji1cs8m0UdoLf3VTsDupwBdsdLX2xZ1kNgk_HlYjQW-77N424gRXbN0881BFxa06e3TLbVEMBQlWArM8gNxI5pT8NaIngFttdGpj9uu6qpK4HX0U_c81uXJMlf6qMMqY_1euxH3EZeQKbWQwZ8yPe_ZhwK4m7PG_bTjBjcNZyxgJaP3WOguhvf3qpaJRyF_gUGE_Ks.ZHvbObSLLrqLqhSSEUv-Azb1rCP2ocMpdlRLs81rZAo&dib_tag=se&keywords=calcite+anklet&qid=1719049610&sr=8-114,https://m.media-amazon.com/images/I/61yMYs9CTUL._AC_UL320_.jpg
calcite,calcite anklet,22,False,B07R3HQBHZ,Anklet for Women Gold Chain 14K Gold Plated Dainty Boho Beach Summer Simple Foot Jewelry Ankle Bracelet,13.99,USD,84611.52,4.6,6048,,,,False,True,1K+ bought in past month,/Mevecco-Dainty-Satellite-Minimalist-Bracelet/dp/B07R3HQBHZ/ref=sr_1_23?dib=eyJ2IjoiMSJ9.lqkO9qx6BcC46DHhwu1xBmbFTDGniX3287mJuCiyLBMipqq-Ql2rUTzJtuCcrWPG4ejZ298X9-ly7PDvkfDwzHsYklf6JybVsIxDv7LhanwM8dTEAYs7hj1wrNF8KlO_gfVkkEE82I_wb-wu8rPrW-cqFpcxIM-CqA2LmNCspUs47rUWFrBMxrPI2pGukrpqSR0OqHRO8MfDcgq-Jk8GdNAbFVccBhyB6cRwo0XWFPwwumFQulrYz00H6GUFCPPPNLACWPKpbAvvLt5xp_TekbtQNUq-Z09f6YyEHz01ci8.P0RRCnvHm6thh2QMZTD2CILtgXtvCBIEEs-ukoomnrc&dib_tag=se&keywords=calcite+anklet&qid=1719049606&sr=8-23,https://m.media-amazon.com/images/I/71HsMXpWnLL._AC_UL320_.jpg
calcite,calcite anklet,143,False,B08D77Z4N8,"Initial Ankle Bracelets for Women, 14K Gold Plated Double Layered Initial Anklets Jewelry for Women Teen",13.99,USD,82429.08,4.6,5892,,,,False,True,50+ bought in past month,/Memorjew-Bracelets-Initial-Layered-Anklets/dp/B08D77Z4N8/ref=sr_1_144?dib=eyJ2IjoiMSJ9.rBMpr5KmONjRTshwql29979Ry0ylsLY2coUG2yUHB0sXg7auQJABxpl1F2CNWJ9BOS3ORY1fzu2ZuGhSvg8Hu1-gy-jWcs7p4EHaQji1cs8m0UdoLf3VTsDupwBdsdLX2xZ1kNgk_HlYjQW-77N424gRXbN0881BFxa06e3TLbVEMBQlWArM8gNxI5pT8NaIngFttdGpj9uu6qpK4HX0U_c81uXJMlf6qMMqY_1euxH3EZeQKbWQwZ8yPe_ZhwK4m7PG_bTjBjcNZyxgJaP3WOguhvf3qpaJRyF_gUGE_Ks.ZHvbObSLLrqLqhSSEUv-Azb1rCP2ocMpdlRLs81rZAo&dib_tag=se&keywords=calcite+anklet&qid=1719049610&sr=8-144,https://m.media-amazon.com/images/I/619xJ9nuthL._AC_UL320_.jpg
calcite,calcite anklet,164,False,B07QBNSNBP,12/16/30Pcs Ankle Bracelets for Women Gold Silver Rose Gold Charm Anklets Set for Teens Boho Layered Beach Adjustable Foot Chain Summer Beach Jewelry,7.99,USD,81601.87,4.1,10213,,,,False,True,,/Anlsen-Anklets-Bracelets-Layered-Adjustable/dp/B07QBNSNBP/ref=sr_1_165?dib=eyJ2IjoiMSJ9.zcMU9Lg8soxldhbXlM3fZvqEmeBlKlhMNNusXNkSN7YBSni0zpplQcpTFAYlRammXwJ9AgHMZPN-3Eb-lVcSvDWxsq857xNmjXO_SbrQjTYap-00qKmZ3Ej7zLILgzVhVmY9P81NUltklA8H2xwd4Vl-nZtFHIV5WMIWboXyErPaz25_8A7cz8My3HYxlf1v5laEPfrvkm707fx_613oSKIf0rLIAbedAsobyITUQHgDTpfG9HLMxvZRAMNEprEDouAE4PfeyIR97J6WRBC9EF5WZwZlkJkpugzVKUFxy54.PVp1Ho79bplXhHYBAKe3bskwT4kHUsHytYyIrgf2_B8&dib_tag=se&keywords=calcite+anklet&qid=1719049613&sr=8-165,https://m.media-amazon.com/images/I/71wdMvsRNeL._AC_UL320_.jpg
calcite,calcite stone; calcite crystal,22; 70,False,B07HNW7DBJ,"mookaitedecor 1 lb Bulk Natural Calcite Raw Crystals Rough Stones for Tumbling,Cabbing,Polishing,Wire Wrapping,Wicca & Reiki Crystal Healing",28.99,USD,80012.4,4.5,2760,,,,False,True,,/mookaitedecor-Crystals-Tumbling-Polishing-Wrapping/dp/B07HNW7DBJ/ref=sr_1_23?dib=eyJ2IjoiMSJ9.sPtQqKo0UJLRCZ_NC7dIGZqPbevf3Zirfkg9y3B_eEPi5yNl9pI8oPCvhSxKaBxL017Olji1quFnkCtqGa_ZEhtPNtd3iCtqpvibzeDYAjBG5T5-7VF-cOzCFpXrqfsjVtbubAP8MP6VGxKIgfphUInZ4l-Mgvzs3yu86uX3BpIXIzwE0MiAFtKX4Zd9PSPmfPR_EeMBmm_SSCNS1oKa91hLmxTcAQ8mg4nM3V_XpyyuPbepif-fK4cf5t9smDUlcVv_55jUKY8I1_lUoQ4wCqZcZvammuqux6o8-xzdfAw.3f-9ey7CaKSGrxHR-EIsyCrv0WhU6OFXEII--FAB9Pc&dib_tag=se&keywords=calcite+stone&qid=1719049523&sr=8-23,https://m.media-amazon.com/images/I/71m+VEAcgJL._AC_UL320_.jpg
calcite,calcite anklet,137,False,B0C7QPT3MG,"925 Sterling Silver Ankle Bracelet Multilayer Anklets for Women Satellite, Star, Cross, Circle, Butterfly, Teardrop, Oval Disk Layered Anklet Beach Jewelry",23.68,USD,76107.52,4.5,3214,,,,False,True,,/CHIC-ARTSY-Interlock-Hypoallergenic-Adjustable/dp/B0C7QPT3MG/ref=sr_1_138?dib=eyJ2IjoiMSJ9.rBMpr5KmONjRTshwql29979Ry0ylsLY2coUG2yUHB0sXg7auQJABxpl1F2CNWJ9BOS3ORY1fzu2ZuGhSvg8Hu1-gy-jWcs7p4EHaQji1cs8m0UdoLf3VTsDupwBdsdLX2xZ1kNgk_HlYjQW-77N424gRXbN0881BFxa06e3TLbVEMBQlWArM8gNxI5pT8NaIngFttdGpj9uu6qpK4HX0U_c81uXJMlf6qMMqY_1euxH3EZeQKbWQwZ8yPe_ZhwK4m7PG_bTjBjcNZyxgJaP3WOguhvf3qpaJRyF_gUGE_Ks.ZHvbObSLLrqLqhSSEUv-Azb1rCP2ocMpdlRLs81rZAo&dib_tag=se&keywords=calcite+anklet&qid=1719049610&sr=8-138,https://m.media-amazon.com/images/I/51ha93M4PGL._AC_UL320_.jpg
