Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
citrine,citrine necklace; citrine jewelry,22; 13,False,B07Z6PM69G,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,995910.96,4.6,24904,,,,False,True,,/Leafael-Swarovski-Happiness-Birthstone-Silver-Tone/dp/B07Z6PM69G/ref=sr_1_20?dib=eyJ2IjoiMSJ9.JlKiWNE2O8mzvb8typCgC0rFfWXJ-kyIx4IJrYEowaIU1vqzSk4IIu1ZN115k4AGLmrCkHStjLNssfAFzfGS5Juj7hJfIXZUqm11wXg8LSLrXm_oXW8kHjEOMCxMytceCQv-Mm5pwf2AF2LqgFlpnZopeEsYGahnQxBCrcLlUZ5LAmtAYg_gvczU2WRQNCxxwwls3-daQ8JajEtcuCUjz7L_LnF__qOpAoQ6YreVEpvTVmla2EssPYoVkO46s3ZMJOvnKtyNATx4mTbQ-fMQYgsrGwVqGFhVaR9wByMAnbk.yWGvgB4l2fBgScxTqsQsID36-x3sUc7skWZQtPLhqFE&dib_tag=se&keywords=citrine+necklace&qid=1719047691&sr=8-20,https://m.media-amazon.com/images/I/716TGXACakL._AC_UL320_.jpg
citrine,citrine necklace; citrine jewelry,16; 11,False,B07JGQ9BD6,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",55.0,USD,865095.0,4.6,15729,,,,False,True,,/Kendra-Scott-Pendant-Necklace-November/dp/B07JGQ9BD6/ref=sr_1_14?dib=eyJ2IjoiMSJ9.JlKiWNE2O8mzvb8typCgC0rFfWXJ-kyIx4IJrYEowaIU1vqzSk4IIu1ZN115k4AGLmrCkHStjLNssfAFzfGS5Juj7hJfIXZUqm11wXg8LSLrXm_oXW8kHjEOMCxMytceCQv-Mm5pwf2AF2LqgFlpnZopeEsYGahnQxBCrcLlUZ5LAmtAYg_gvczU2WRQNCxxwwls3-daQ8JajEtcuCUjz7L_LnF__qOpAoQ6YreVEpvTVmla2EssPYoVkO46s3ZMJOvnKtyNATx4mTbQ-fMQYgsrGwVqGFhVaR9wByMAnbk.yWGvgB4l2fBgScxTqsQsID36-x3sUc7skWZQtPLhqFE&dib_tag=se&keywords=citrine+necklace&qid=1719047691&sr=8-14,https://m.media-amazon.com/images/I/41dHWKKxanL._AC_UL320_.jpg
citrine,citrine necklace; citrine jewelry,51; 53,False,B08G8P5NY6,Rosy Reverie Birthstone Necklace for Women Sterling Silver Genuine or Created Gemstone Rose Flower Heart Pendant Necklace Anniversary Birthday Gifts for Women Mom Wife Her,79.99,USD,236290.46,4.6,2954,,,,False,True,,/November-Birthstone-Necklaces-Anniversary-Valentines/dp/B08G8P5NY6/ref=sr_1_49?dib=eyJ2IjoiMSJ9.s-dvsCkNTyMkjR97-GM6zh0k0U4RTuMmyulSmYkEoWyr9-Rfh9CUhpS_JdJVKih5ljZZwze0asZ1My0C1zzUhhS04YLF7hnkbFrTuCrm3b86Is4GR8qc-gHNRk_cDdPJmr-Pi3BP1_3PX3ItpUZc5bbE2eLBT0cMaJHvA7r47oIzGmHqU_1OibSpaKRp7rQDQgCPK1xTj98aKhWfo52kuKgNycnr7YngoWg88oPkLw-FaPTAySevmZhIU7l9s0ZcPUQplCtmWPYRTsGqXtKPVy3jRzY_gir_eTMbJ6jGPlk.fCUDx7P94Xe3oMzE3BC6l2y4nQV3YwxXhMz1aUbJiOA&dib_tag=se&keywords=citrine+necklace&qid=1719047692&sr=8-49,https://m.media-amazon.com/images/I/61InuZUkKvL._AC_UL320_.jpg
citrine,citrine stone; citrine ring,112; 18,False,B01HD7XBX0,Amazon Essentials Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),20.9,USD,223943.5,4.5,10715,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B01HD7XBX0/ref=sr_1_113?dib=eyJ2IjoiMSJ9.ScQtE6nhrS36c1qGwDViq-iPBlqI6qtZ7fxKDdmAkSSJZny93FOEkuUfZosJatoGx4KiDHKTJUAsIJl3LUtzWHWPw2Fq_Fkcy18tBs_dDTPRs4Rgn-rDMePvNhCwEJdVaDHKO32604EfNQiw5x9dONUD4T2pV-QI86jgXQUzaNu9L-oHOOYhu-IS8LWa26VUGVBQauiucm1ntPNe2wRSlXcuSHEKI58ADa2ABkUl6WgP1AJWGsiIyB_jj_GeyfnwUVkl9f0cJ9prqWkEsPdPS3FRUOTR_7j5_lCZpuIQXBY.rpJfFSybxep6vorqtGb15VlRuKTXYGzTp0QYdyepaxQ&dib_tag=se&keywords=citrine+stone&qid=1719047676&sr=8-113,https://m.media-amazon.com/images/I/61ZMgQZENfL._AC_UL320_.jpg
citrine,citrine crystal,276,False,B08G8J66Q8,"Amethyst & Citrine Crystal Tree of Life - Chakra Tree for Positive Energy, Handmade Gemstone Tree - Feng Shui Decor, Good Luck Money Tree Bonsai - Healing Crystals, Decoration Ornament, Spiritual Gift",23.98,USD,216011.84,4.6,9008,,,,False,True,,/Amethyst-Citrine-Crystal-Tree-Life/dp/B08G8J66Q8/ref=sr_1_271?dib=eyJ2IjoiMSJ9.FnTt-miQu_l_m7o-CItcOTn5yYbf42JgAkZgVb7ikamCDOjRYxwXKKiSgPkdd8LOpF214yGj48ABCkMWpDnnyi2VjaIZCUQnrjFqz_aS-pVdKjq7bmd5oGIdSYoC_9DrXZEgCxgt_j6xK6QCJZhy2xM-V0g2nTSpYu9btFkApEMvlS-ImBPW_brGYtLMOqgIC6nXoguASFnDnwzXeLLfEmOTtS_ggK-Dhrh1aBS20a9_y7a9q8445pZ_cu2m8RPOdevJY5Q2L-q6PgNP6Zl-cLoSaITUNfIJcNeCseTCwcw.cabEFRqd2eIVPRS0m_Gmh-59c0ZNnDopTAlXBQ1Vx7c&dib_tag=se&keywords=citrine+crystal&qid=1719047782&sr=8-271,https://m.media-amazon.com/images/I/81vrTQr0yqL._AC_UL320_.jpg
citrine,citrine anklet,4,True,B07CT94GS1,Womens 925 Sterling Silver Infinity Anklet Bracelet Endless Love Symbol Charm Adjustable Large Bracelet Mother's Day Gift for Women,39.99,USD,208747.8,4.5,5220,,,,False,True,100+ bought in past month,/sspa/click?ie=UTF8&spc=MTo1NDQ1NjI2ODc3ODc4NzA0OjE3MTkwNDc3NTc6c3BfbXRmOjMwMDA5MDIzNTIyNjAwMjo6MDo6&url=/Billie-Bijoux-Sterling-Infinity-Adjustable/dp/B07CT94GS1/ref=sr_1_19_sspa?dib=eyJ2IjoiMSJ9.Yln1yxccKKkrDfaJgLPkFSYOP6ARNlXW8XMSChcdptG8OX35lN40yKlC6csAwtRd7wcEa6DnSeGysDydoAZZ_vxtBsbbTqyo8JQbqtntVYTZreL7GDBkWuw2zNQsQka7qZgMsIbsspbE90JoEk9sUFS_KjkmNaa59LO0bfphwFIgqTxDi_7TxoFibnHbceSNsC0Lz94n3YhZnqaArad_nXMc8NX8txYb6ZKIwNVd8b3axe0JniRrYywD1WnPoPd9FFzcvAUZm9-rTmu4FBYWuOCIVro6VbkOqenr6pgmJ28.1gtoL-oZpx1oq4fYzXKxmoeWayBiny0ThHiQaTjAqkw&dib_tag=se&keywords=citrine+anklet&qid=1719047757&sr=8-19-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/61HE2BFFVQL._AC_UL320_.jpg
citrine,citrine earrings,53,False,B00MCK31GG,Sterling Silver Sky Flower Stud Earrings (previously Amazon Collection),30.4,USD,208240.0,4.4,6850,,,,False,True,,/Sterling-Silver-Genuine-Citrine-Earrings/dp/B00MCK31GG/ref=sr_1_52?dib=eyJ2IjoiMSJ9.ap4fvGC5cSt0Gxwxv6si0NxCAQ4mWeYgzK1YJGSfyIphvbq2ri5QQEf2hltYN2chBIZ57qskS_YbSgF3_yWnuzJuX-FSLhRSfxKjegtKeiJFXh4SUlAbVCqCBntcpBrzuOzuSWx_saCPQViVHQwdYinOJzBZA8437ekCPGurVQVDA0o66FeOfyKegALm5B-7hiVQEiqyqgMMKogauZRD3iyDIzq8-ApRx79CLgi8lqzN2zXbOG20j-IWsOYt2dVdgd5TNAnLHlxRLs6OvIfuH9-BDWVserzd_WdhSZuOOVc.DPJLC1mQc-WFEeYfxzrugmcUtkVss8PgtXGBuzrVwOA&dib_tag=se&keywords=citrine+earrings&qid=1719047741&sr=8-52,https://m.media-amazon.com/images/I/71o06Pn7WYL._AC_UL320_.jpg
citrine,citrine necklace; citrine jewelry,172; 161,False,B07GZGVT55,Tree of Life Necklace for Women June July Birthstones Pearl Ruby Necklace for Wife Birthday Gifts for Mother S925 Sterling Silver,89.99,USD,197618.04,4.7,2196,100.0,10.01,0.1,False,True,,/ELDA-CO-Christmas-November-Birthstone/dp/B07GZGVT55/ref=sr_1_167?dib=eyJ2IjoiMSJ9.mQXIJXRzPof_exbNsbLAwpf75P8ROu6zUteJBJA1s3e9JXrpmc8epXhlmkS52gGTXmJ1AO3mIs5uhQN_OXcK7h35XkgMRqt5sGQRS5OZmXEtCItdC0GyGqNUVbZrwQQGl2OVDkp5zQUZtxAWHkjM8fdDW26iIR9kauzTIYaYisMIfexn22-ZLm4LUYEvnOFuwarelkatERCyKPSK7Rr9HYTxJdCvmQqGCwgWiwwCqIUpKL2HRQIptoc2WrKoqRpbtFtU_6tOOmPszLz54zjj6SoZr_lL6bbtP8i0-WdPzxU.GcANh7CbfjAuMbZV2aas6Nt1JHFXwT3nvsSTzwIDXDE&dib_tag=se&keywords=citrine+necklace&qid=1719047695&sr=8-167,https://m.media-amazon.com/images/I/71PB51s-OrL._AC_UL320_.jpg
citrine,citrine jewelry,248,False,B075YDZ2TB,Birthday Gifts I Love You to the Moon and Back Necklace 925 Sterling Silver June July Birthstones Pearl Ruby Necklace for Women Heart Pendant Jewelry,69.99,USD,194782.17,4.6,2783,,,,False,True,,/November-Birthstone-Necklace-Sterling-Birthday/dp/B075YDZ2TB/ref=sr_1_249?dib=eyJ2IjoiMSJ9.KIev_mQn-ZjhpwEkP9lCb40uJsaHeMWU_egw5RwBaFqjTzj--wjlh8SdtKs90EPkNhLXlePl0rCqGvbgZJ4K0swxEzW_QlVaUTw12QYoDQqg1NGjM_D90yU3S57sJ7PqdwtE-tnxhwSq3EmUV4hAlYAf1PtTMoH2Q4e7_SkHZbsCotx5Y_8C1NI3x6Mzcz_uyzKNIH-p2_5ywZ5JNh5sDYfDHUvw9haK9-545vyDOVkiB0R3femB9uwrXo28dywtcGu1fhU_Euv19blrtNPr8rxbNV2Z7a-bWFnSw84tBe0.x0OIrItikz2aBYiUPqGpCcLjElKzEuuF12EiB_xNBcA&dib_tag=se&keywords=citrine+jewelry&qid=1719047731&sr=8-249,https://m.media-amazon.com/images/I/71SEWMMj17L._AC_UL320_.jpg
citrine,citrine ring,133,False,B01NAMQUPL,14K Gold Plated X Ring Simulated Diamond CZ Criss Cross Ring for Women,13.45,USD,191393.5,4.3,14230,,,,False,True,200+ bought in past month,/PAVOI-Plated-Simulated-Diamond-Yellow/dp/B01NAMQUPL/ref=sr_1_129?dib=eyJ2IjoiMSJ9.u66C6aOEYIhOCp0g4XNBq8rFsVtT95_djoQtrMrZmJrjpecMRRsH3uHGqMu1osIBlCOKBpsxWMLqulIcAWOSoXab_ztk5FX-brteSazBWM1bW5HfDixmdxLxF1_LZDmRnmoKv8J-QHg7FD87zWA0jc1lWSm8kaY7uhNEYEuWOnsEVrWVWqjcmpSUbqKFcv8ai30--E9O4jEyIlHAEJHnQ4NyRBYYq3Y5RplmxaqlgMA3NAqTy6bo5AN3sP585IUtd9O3C4doDcEk9Cr7vCcMcnCWbBh5Rpr4ZV_swo8GitM.CagFt1a-WvN1eMBKmvvHzC1YmPALeSbK4LjGEdcbxGo&dib_tag=se&keywords=citrine+ring&qid=1719047709&sr=8-129,https://m.media-amazon.com/images/I/61H2dPTqMiL._AC_UL320_.jpg
