Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
clear quartz,clear quartz necklace,120,False,B071CTWFNB,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,995910.96,4.6,24904,,,,False,True,50+ bought in past month,/Leafael-Valentines-Necklaces-Birthstone-Girlfriend/dp/B071CTWFNB/ref=sr_1_122?dib=eyJ2IjoiMSJ9.t0r0yCM3UwmE3HRnAW7SsGUb9i5nWs73p9He_1QdYaVMc6l9bG8YqvsP_TM1sVZVtqjTfeFdezAarOBh-zugUa4aDIXANi619G3KvVP5Tw8ObpvY-d-kMMzosrRe-05lRmeELptPgfZ1lzgM-XL96hUxj3C_j8DhJgP8k8Taly13RXr4VDd1hyUPyIwgmsNtVO1BNuJ7O8p2HnNI91k1ucOVRIR1w5UQzcvjurkmfgy6th8OatosQktD9oj9fu0B6OEfmtRfvGH2SNbYmjI6CUVKW0HH1fYLTcv1b90SqII.Rs0ejTqps-kGdzhHlL_oPwI9VZ4PW_AQQDzQ0OdoKX4&dib_tag=se&keywords=clear+quartz+necklace&qid=1719048274&sr=8-122,https://m.media-amazon.com/images/I/71MjxksVP+L._AC_UL320_.jpg
clear quartz,clear quartz earrings,301,False,B01N1ZDEIM,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",55.0,USD,865095.0,4.6,15729,,,,False,True,400+ bought in past month,/Kendra-Scott-Birthstone-Necklace-December/dp/B01N1ZDEIM/ref=sr_1_303?dib=eyJ2IjoiMSJ9.ht6Rd-Uz9cvMUbjRRLgHOFMoBmLDsoPnQIvcZVlzhXVNt7nM8HiSVJNTKILW_6ZnS6SlywNVGDM--c-3Nw4jEkRbTsxwTFiYQgFM6ih97olMPj6LZLLbwCwOEUiucTa_BOdqGeSNRgbbb5BXwuxUSVrafApcNbP1nFPM6_LTM3tiFDVibGb0zuhEn8LXJUt_TTqk17FQfBx7ag6EcjvWwy1SWsiaqR3vfw4GwNbT8yQ0P_Mf9lkrRTkqeM9gxfE3wOQpkKqL0p-SkAhoIbAfkg.pYVYqs9LpPreG6UwcxiKVR3f3JJ-gDu1VFImwIkegkI&dib_tag=se&keywords=clear+quartz+earrings&qid=1719048325&sr=8-303,https://m.media-amazon.com/images/I/61UnDywSfxL._AC_UL320_.jpg
clear quartz,clear quartz jewelry,187,False,B0CLHX6W7Y,Created Rainbow Quartz Stud Earrings for Women Men 18K White Gold Plated Round/Square CZ Earrings Hypoallergenic Jewelry Gift,27.98,USD,227365.48,4.5,8126,,,,False,True,,/Created-Rainbow-Earrings-Hypoallergenic-Jewelry/dp/B0CLHX6W7Y/ref=sr_1_189?dib=eyJ2IjoiMSJ9.OwZrO5vcFp2xi_xrwPHPIEMjJjp_JJVBZ2Y36KQXmCCJ0uADab5Z_B_Y00Oc4XgnoAUTUpvC_uWbCC_WD0FaUOiUN9TTMPHU09wcl7vHhRrFdBtf1MsrBmSctUHczorSvw2V20rkJjCt4KFDFtyamEUslFk5lt42E_WHcwmJ0hgXundIho74FQruPvUPLS2V44MB9QdWljwQfboleWVSKdZJZDaQbXJxN3ryhYW4j3SL5sCOWM9pnmXYdDuSe8Sxbz8Zs82M_SrLZVlGnrbz1tDWRDR9Mlwi4nKwXs7AiZ4.4Y8g2wtMDnHTHpDCH-ELnF8vXpD8I4c6TU6c0ceD3Qk&dib_tag=se&keywords=clear+quartz+jewelry&qid=1719048301&sr=8-189,https://m.media-amazon.com/images/I/71JZcR-vNGL._AC_UL320_.jpg
clear quartz,clear quartz crystal,130,False,B079HX56NJ,"Clear Quartz Gemstone Tree of Life - Handmade Crystal Tree for Positive Energy, Chakra Money Tree Bonsai - Feng Shui Decor, Healing Crystals - Attract Good Luck, Meditation Accessories, Spiritual Gift",24.98,USD,225019.84,4.6,9008,,,,False,True,,/Crocon-Natural-Gemstone-Prosperity-Spiritual/dp/B079HX56NJ/ref=sr_1_132?dib=eyJ2IjoiMSJ9.uNxH38MQjEqUTYu6ouyBxelhLItg44wtxenMZRq5btHA_ATWIyuzvERKgRVkeIt2ZGrS83y7xBgio0zf5SRx3-xQMSSjL7DgsvvtBPvqKuXB8jFpow5OjEtBizm_05kN2FXiPL5Yj00E2Asna2lfEX2MxBwCWpWvo-gyX3zBVaCjzD7Z3aJup7IaGSFdmPs3eTyfnCvK0NtBVbo_wf3t0Z7eeWhv2KnjZc9vfoJiqxNj-IIHY4bPufzGQ7rqC2AXiszS0frsawo0ZVdhTB6p-PuhDJqswUHLgwGC5lIw2N8.4uXKEPivYk2YXGmL1PZNthYllZf8FcuxNdhRK3A_O-w&dib_tag=se&keywords=clear+quartz+crystal&qid=1719048344&sr=8-132,https://m.media-amazon.com/images/I/81iE9MPriIL._AC_UL320_.jpg
clear quartz,clear quartz earrings,235,False,B0794XGD57,Choice of 10k Gold or Sterling Silver Heart Shape 8mm Endless Love Pendant Necklace,319.97,USD,207020.59,4.3,647,,,,False,False,,/Star-Genuine-Endless-Pendant-Necklace/dp/B0794XGD57/ref=sr_1_237?dib=eyJ2IjoiMSJ9.TOB0yjiXuGFHLqNpgAvgA0yN8lxl6bOETTFjQRCC9yzG4GHwHOwsTTZC4fACELu-OGtvbG0XMSn3gftAoksmIsczbADHOEqjMD6tKdrACXMLygj_UTNjLYGr926Jpf5AyPhTfY9Il234KqN9DN43pbt_OTgqv8SWjFngThJrmbCJFSLzym_bAivFpJQbHhWHlAT6HXbP-D00iSFnNV_o__G6sgmRSnvaqsNYwoqenO0WPakMcvXkJexduwt2XugvBd4tf8YFxpU99Bk3yLSyEHZW_R3jSuF7sH6EWsvbMgs.0jpIaExpOCM-UTCTXHo3wzWSaP7OubhfSRjMb0OPVig&dib_tag=se&keywords=clear+quartz+earrings&qid=1719048321&sr=8-237,https://m.media-amazon.com/images/I/51N7yIDKRSL._AC_UL320_.jpg
clear quartz,clear quartz stone; clear quartz necklace; clear quartz crystal,169; 165; 243,False,B07X22STSY,"Natural Stone Beads 100pcs 8mm White Clear Crystal Quartz Round Stone Beading Loose Gemstone Hole 1mm DIY Smooth Beads for Bracelet Necklace Earrings Jewelry Making (Clear Crystal Quartz White, 8mm)",14.99,USD,152883.01,4.4,10199,,,,False,True,,/Natural-Crystal-Gemstone-Bracelet-Necklace/dp/B07X22STSY/ref=sr_1_165?dib=eyJ2IjoiMSJ9.Myd_3VIrW0FlH8dzvPYX0kX0tIOPW8dVHRWziIqR9ZMznUmDFddj2D-lJpTDnvJcBTjxUlcbavKB5s7eGtCxlEGVu39pXzL1j_W5P96D7q1MIJehV4TpIbaXksUYW11ksIY2Tou6NNKOZjFon1pmPqaUj8mBfSspM_PtaJiGTwrW98aTAPuYmiDtGXm9-HzWDf5payEzU8sO5A_SE_nZc2I7AJT8abvW90ob9Diyh0cXy8AiiEagN20qS39HwCMZBtJ1Tq7OydVCWW-vCMXpB8gUO_sxljJMqYojmmBllZY.1cFdyO2EmcYNq1JFaUCOWYcmh5d56p9Vtq9sjirzks4&dib_tag=se&keywords=clear+quartz+stone&qid=1719048261&sr=8-165,https://m.media-amazon.com/images/I/71jgNF4Z4YL._AC_UL320_.jpg
clear quartz,clear quartz anklet,35,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141396.15,4.6,10885,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_36?dib=eyJ2IjoiMSJ9._LkPM4dsACr5FlrMZLiw6wCLRM-x1rzZ6Jq0bjI_6iHqa8WyrPzJvwcrZI3PAXLizWX26xKpSWzQZOmHHfEkQyRib-0-CnUCpTc6ywSbMAlBfPONMenkwNaJopppavHND-cvjlMhMq2ql2UgbODyPLdXUnc1fhoXZJXFUUdnLrninW2JcOcjEsQ4XqXCONCeNIR8TgMmBxwXqvS2dYsFM7ijyVtca0G9P3Hcs2wT9AaFfCeVnHX43Y6pPEJrwnxq3ULqWxVKmK05MNH0PsgQiUKJvRiXP69z7odc86YNrIQ.B1VYARjwpBPAcJ-A_NGJVuaEg3A1j1lQi23-V2GuYjM&dib_tag=se&keywords=clear+quartz+anklet&qid=1719048330&sr=8-36,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
clear quartz,clear quartz ring; clear quartz earrings,237; 221,False,B096HD2LJF,"Solid 14K Yellow, White or Rose Gold 4mm Round Genuine Gemstone Birthstone Prong Set Stud Earrings For Women and Girls",43.99,USD,126471.25,4.2,2875,,,,False,True,,/Natural-Mystic-Genuine-Birthstone-Earrings/dp/B096HD2LJF/ref=sr_1_239?dib=eyJ2IjoiMSJ9.r9AWwlOEPpLTxkQ3oiAiBqfVB-TzKlEez7PxLWM-LoZeK3yb78IcjkYvhA8BJu1Vz3lmS3sBHcxrk9FGuoYG9TvPT0DBl5Bmo30jzvshykUIMp-2OkHoECkHhC3mebU3qb5bV_F11azCV0HYwCNG6DMiBlOTIkPrdLoLjPk3HBfd1XeB7X4q_wV9zkHVmrHNG8gdaqsfARAJomFmx-CaqE2J5hEfbwzFFsIeTptwg5XwQxrE9KzJwYkz4b0oBGcS9FRSCNQnaEIKzBfQaME836PcNj0Ym0h1uXjzvFrfvDg.c3eHj88TZjUjYSKTjkxA_5myp4n-VNR0ylcJ8YkNM_Y&dib_tag=se&keywords=clear+quartz+ring&qid=1719048290&sr=8-239,https://m.media-amazon.com/images/I/61KzWwULHwL._AC_UL320_.jpg
clear quartz,clear quartz bracelet,197,True,B085QLYLHM,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,9.99,USD,124255.62,4.5,12438,13.99,4.0,0.29,False,True,,/sspa/click?ie=UTF8&spc=MTozMjgyOTQ2ODA1NzczNDgwOjE3MTkwNTk2MDU6c3BfbXRmOjMwMDE3MzAxMzY0NTgwMjo6MDo6&url=/FANCY-SHINY-Bracelet-Bracelets-Magnetic/dp/B085QLYLHM/ref=sr_1_210_sspa?dib=eyJ2IjoiMSJ9.v4JGzHXBsub2_zLLsVK_qcCNTfP82t4WT4ilAP-BAKl3oD20Jdj5H8xsupOysW3um7dS9Q7Q2J73c6-mlJg3SLBjE0pMq-Y3JdHNPDcocFR9zqpW6n-dF6gaGipOyddyj6Vc94NrS24TvqEapeJ8H7SBQiwle8p6PhGZOghJJZvCqXqQmee2HS_gDuVu4OGqry8J21DwPI1gLbuZgCxy8lfCDQggCIfliWwxKtNaWMF6xr_ZBzyg7p9xg355k1hqeVLPOJAkFAMNP0zcUTrBjm0AJYRoq71IAgEwkKTY1CM._ObezNNq_Tze2oab5eAHXY4uVyQLdGA9UEP3VQTDNAY&dib_tag=se&keywords=clear+quartz+bracelet&qid=1719059605&sr=8-210-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/71nJFqBy8tL._AC_UL320_.jpg
clear quartz,clear quartz earrings,85,False,B07Z2VMZXN,Austrian Crystal Teardrop Leverback Dangle Earrings for Women Fashion 14K Gold Plated Hypoallergenic Jewelry,25.99,USD,123972.3,4.5,4770,,,,False,True,100+ bought in past month,/Swarovski-Teardrop-Leverback-Earrings-Hypoallergenic/dp/B07Z2VMZXN/ref=sr_1_87?dib=eyJ2IjoiMSJ9.7-p81uCtn7XQg1HFqTlK3RJgcL2x7fSc3LCEj--2aC19pAwwgP994VlllUFWescpp3m-oQy8_eVgNFjlTYKqHGDAI_adLkRN3FWW_8ZSz74x_RN0g12VEPxcmxpVnhxm3vs2fQ0_blAwzkeRf8jHeBvfEdMWP2dmqg7FtcF1d3p4LYl4OgyQOnrAeMthWurHZZ3dw-T81BxCUoeblOOQ28UaLO06IDt5ozGgQLSI1ISIIKi6L0UKdcpJD-XIsM027MFb43P-3fYDLdRRDLXeuRwbUsKRk9eUl_cvU0GWFcc.B3WRuEN3kH38WK_H-iErM98tHAxL3rZLso40eZoCVAU&dib_tag=se&keywords=clear+quartz+earrings&qid=1719048316&sr=8-87,https://m.media-amazon.com/images/I/51jFf9VrobL._AC_UL320_.jpg
