Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
fluorite,fluorite earrings,60,False,B07DPRW46T,Attract Trilogy Crystal Necklace and Earrings Jewelry Collection,78.5,USD,414009.0,4.6,5274,119.0,40.5,0.34,False,True,300+ bought in past month,/Attract-Trilogy-RND-CZWH-RHS/dp/B07DPRW46T/ref=sr_1_62?dib=eyJ2IjoiMSJ9.O1HArjoiluY6whv4462Kbn0EGzC5lHyxQU7ZGrI021GZTUx2a6Ahr4e0mD8Qv1VJ8hiXkdVMMKpx1Kr6oPkYkG_n760Fm2nNzZXApJyIegJYXG_K_otPZzv5ynA9eG4lFm5zQSsLGQ7bkVlNEj_U4RjA6NSmXXt4LrI9061BLTF1Z6UwbdPWp7-T0ciiNQQ1zcr70jV1_OxR_YG0yCv553Aj8v4DnUiaPa0PrDqEq8FiYQRSo9ouk5e4wEKAScKBqt6tLA-OI0c3Hp8bq0Itq8FU5C2VV4g_c4sOfwOTM6g.c_uFce_nUn7p6BBBR1o3NmSb8fjh_h42O05xJVDZswU&dib_tag=se&keywords=fluorite+earrings&qid=1719059942&sr=8-62,https://m.media-amazon.com/images/I/61PUwCR63lL._AC_UL320_.jpg
fluorite,fluorite ring,20,False,B01KWQ5XLW,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B01KWQ5XLW/ref=sr_1_21?dib=eyJ2IjoiMSJ9.dTQwn8VzQ5qdE5rqsNjxF694cGfKeTvPbDjxwyUwBx0SmMrYpZgtSElP66Uy_zBmvnJLCYX2BRik54KWJfGuXUXGnph2k52DFqufWKFwsiJUp2wMUuu1eKs-aJx3xlUHwKPygLj58xCc_jXb6zBRC397nGzFS0X7JxPDcjy6zMlMzDao_ck_xmDSlhp7u8RlrazZw0cU9ui06PwXWoZliImZWEv5yO4j-vWTREzoQgqFWWbuQOf-v5HYMC6U_axnCGgzCU378TPzwfwoYSD7-SIDVuckkwQRKYBlVyeOEEU.f2rJShelfz8ZcwJOlCrJV15fAiT-M_Qt8BfKTylYGSI&dib_tag=se&keywords=fluorite+ring&qid=1719059901&sr=8-21,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
fluorite,fluorite earrings,132,False,B01HD7X7I4,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),22.8,USD,244347.6,4.5,10717,,,,False,True,50+ bought in past month,/Amazon-Essentials-Sterling-Amethyst-Birthstone/dp/B01HD7X7I4/ref=sr_1_134?dib=eyJ2IjoiMSJ9.iDQev3s_Lw6lJkpPNXPaFUVNHiGckyFhsgR7WlacTHiqQtHRW4nbB0Kuw7GnWHw3JnLt1Lj5GaK9ii6ODU2TMJxct4uPVB_1tKgb7pLcG3GXm5VZJYSEnM57uEDgP7XO9lC7_CP8mdP1xjtZ3bqMlw5t4cyZ8YoCHJg7bCCNu-im-b_4SR_t4l2ODtdqUeIyy1WrjQXyw0LVNZsH3kVZQLnZu2smffsk2oAQeM05v5XCrkhnEz5rnK4Hj_iH0l6rvFG7hGg2tJ9O260losFMmdjK7IyFbqINgzapxuFM2pw.FxLrlng6_saXBm2hvybYP803zvNZuKKHiK_icIorxUU&dib_tag=se&keywords=fluorite+earrings&qid=1719059944&sr=8-134,https://m.media-amazon.com/images/I/61WQMmsScoL._AC_UL320_.jpg
fluorite,fluorite stone; fluorite crystal,120; 99,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_122?dib=eyJ2IjoiMSJ9.UjGq2QplnUGu5dqbuSO2jW-daOiT1QczmzF_4ZFEVHrjhrpJnkB3z0gHdq2i2QIxPyKq0fMrRnPWenpDMaptGvjRzp8DE_3LFgpSdpBLNGPi_WA8KWKrxGPzpRl4UoUSAqFCbm_YtNwx9Y0q9azVWVPElF3HX5tjowcKJMRG32Enue9BVChfFGEQ_tsW1JQgW3B08cTQZlzmPVPBg7tgR97E5YgGvWkFDWwFiuiRrcK4am6hyeoAog7Xc6NSZDEjivOdgyy-Mijtu0CjGzhTYx5yPpMH5ZXAftKAH6pqxV4.Kj65b8kEx9WA7R_7xEypMQshTkh-YNRVjkhvg-Rr-Ks&dib_tag=se&keywords=fluorite+stone&qid=1719059871&sr=8-122,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
fluorite,fluorite earrings,271,False,B088HZNGMT,"Infinity Love Heart Birthstone Crystal Stud Earrings for Women, Silver Tone Fashion Statement Jewelry for Girls, Holiday Birthday Gifts for Mother Daughter Wife Mom Girlfriend Her",36.99,USD,183359.43,4.5,4957,46.99,10.0,0.21,False,True,,/Leafael-Infinity-Earrings-Birthstone-Silver-tone/dp/B088HZNGMT/ref=sr_1_258?dib=eyJ2IjoiMSJ9.WSbfB-xL-d-L4Fs56q-EpSfLYbgnT-9kjYjA33d437-uBhz0dDSk7FQqSHyVYNeQ7ptswckcNUNgghbJZk4UxlFjS4jINhYrsN1mesIOrljoDqjTUEPeS059XfCixxnSvBEPnGsnXBDk6rwynd7GuUoe0-PatUtKNSRgloZE2nR_piOH8eR2EmMDIaizXk2ohoe8gNjRVSMyxPhrC2i0euFXSyXwPl5FW73LIAQXdaZCjm3Yl8HuoT0dndHJxzMEiVMxH9VV02wL_wqE75fyYiSvSIvJBfECmdbvhhCasDE.RyJi_kH5m0reshZ5b_07HwD3zNvkTJJ-PujmlkZQVIU&dib_tag=se&keywords=fluorite+earrings&qid=1719059950&sr=8-258,https://m.media-amazon.com/images/I/617B0t9raPL._AC_UL320_.jpg
fluorite,fluorite stone; fluorite necklace; fluorite jewelry,258; 177; 279,False,B07WZZGQJT,"Natural Stone Beads 100pcs 8mm Fluorite Round Genuine Real Stone Beading Loose Gemstone Hole Size 1mm DIY Smooth Beads for Bracelet Necklace Earrings Jewelry Making (Fluorite Green, 8mm)",15.99,USD,163113.99,4.4,10201,,,,False,True,,/Fluorite-Gemstone-Bracelet-Necklace-Earrings/dp/B07WZZGQJT/ref=sr_1_260?dib=eyJ2IjoiMSJ9.mc3avYNnkUMu4Ohcq1THRDDj_Y03N76YJf9FrWfDncT2Tl64BhCZJKkKaUk71B8A9hoz1fJy49XLtXauwACi6Rf4ldjKbPxPrpKlwK1_tLBXQ9CshJRFd7pTwTCemisisPGbDujDRHNeS4VrcUQ5eaB8tMJ_gRe2Xr50xQmxIPX67l7KKS3kfnAI3KbtpmG3HTjGkU5fGNb4CLit_Dp5w78tbCF-wh2Ydq4Fs6Z3YgmLXRVan79ifEXQDR0J4BhfSiR0TQZO8GQjtEd9tY2TV5ZEVI4VDhUGqWfFbyRXS30.jZwB81Gk8oW50eV-LksOAxjrPknByzwerkZaqCYzqU4&dib_tag=se&keywords=fluorite+stone&qid=1719059875&sr=8-260,https://m.media-amazon.com/images/I/71ShYKy9ZUL._AC_UL320_.jpg
fluorite,fluorite necklace,159,False,B08F4713Y9,"NCB 200pcs 8mm Colorful Fluorite Loose Beads for Jewelry Making, Natural Semi Precious Beads Round Smooth Gemstones Spacer Beads Charms for Necklaces Bracelets (Colorful Fluorite, 8mm 200Beads)",21.99,USD,158328.0,4.6,7200,23.99,2.0,0.08,False,True,,/NCB-Colorful-Gemstones-Necklaces-Bracelets/dp/B08F4713Y9/ref=sr_1_152?dib=eyJ2IjoiMSJ9.fxnEX0KJ6-0rZI0Y60BU9BpXKpQmitzArpRursX58k3LHS8CDJds3TxMCzhuaED6Z2PtJ5cVzH2b_fN9HGdiU8V9bB-IikmKimz4PItEPzJHH73Xrm4Yb1L44EKL4_G2PCbgcgiIg4pclf062iVOHMFsLSJwZL7XTn3O5MPVz2Qqo6_r81POXAxowrTbjgQDH5dtapnh3Gh24mWThScqhu0b6DzDr8Yqupg5AenYRo7pjdwljxopxFkZwoPhH0j-VgZr6nDxmmrA0cCC6jq5e4WKSPN4PeHLRCzV0WdRjHM.CcCyPW_hrbXLEA78bXrBmVFUbTgtYXHRF2tdNyb3p0Q&dib_tag=se&keywords=fluorite+necklace&qid=1719059889&sr=8-152,https://m.media-amazon.com/images/I/61WFaiox0qL._AC_UL320_.jpg
fluorite,fluorite anklet,301,False,B07VG7MSSD,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,11.99,USD,138124.8,4.5,11520,,,,False,True,,/Top-Plaza-Amethyst-Bracelets-Meditation/dp/B07VG7MSSD/ref=sr_1_302?dib=eyJ2IjoiMSJ9.VSz9IN-AfFB8hGoUPIA9BHh_1fp0ay73bDKaTxkNhE4UvCT5bKG4r6DW1gTUxDMwlpp3oLU9-M9mKg1x8-PQYKeAMwlPt3XXo7NjzN69D79I1MUyWffjJ2lQM6tHS7Eh6de7xveA4erKlX6Pj7PkXcXm0FR0CTjGilYpw2tfsDAZzrACv6nJuIX2RhOTd8AkXkqUsWk4vXzAe8vygkRDR7fRi_ODCgoIjxe2MdN4DNAKaW_CL4xTNm_FORkWIkhr99o_86Vbs5o1YS0rbpYoHw.nX5nI_GUrviS_gmJjm9MCVSRLiJ0bqIDKo7zbpuzlts&dib_tag=se&keywords=fluorite+anklet&qid=1719059971&sr=8-302,https://m.media-amazon.com/images/I/610uL4Q2aWL._AC_UL320_.jpg
fluorite,fluorite ring,66,False,B07CV31BJQ,"Rose Gold & White Gold Plated Created Ruby, White Fire Opal & Cubic Zirconia Accents Ring",14.99,USD,137233.45,4.4,9155,,,,False,True,50+ bought in past month,/Barzel-Rhodium-Created-Zirconia-Accents/dp/B07CV31BJQ/ref=sr_1_67?dib=eyJ2IjoiMSJ9.z8ATcS9B6J-47n2MCnH5EtjgNnIXhb7NmLBvWY3kyZTLIvfVIefMIyBGPefo44MAYP5I1MS1CkYjDwDVxHybdMcWcT_9PUOeUIXbAxrxxOu4ayA-9V2puwXMQENMY5wW0Z0YYay7yTdd6WziF5ibpPzAVE_KZYyjFFUSPh6Bn3NXLalYTaSZQfI9tUivfJb4WS1wuHUdQc3MBwNUopzhlPUuuY9ifxAbXNwrY0R6iyF4j5q6IoymvbzvIu06HOz_yhnoH2x0EOOrz_CLAh4_O3ITDSiJO9GAsZXV3qNVY4E.AdbIPQ2G9WyG7ZXzQWUXsASzmffXCEKux3IRYbBRrX8&dib_tag=se&keywords=fluorite+ring&qid=1719059902&sr=8-67,https://m.media-amazon.com/images/I/710uvfarliL._AC_UL320_.jpg
fluorite,fluorite earrings,195,False,B076HCYXLZ,Solid 14K Yellow or White or Rose Gold 6mm Round Genuine Birthstone Gemstone Prong Set Stud Earrings For Women and Girls,48.99,USD,115910.34,4.2,2366,,,,False,True,,/Yellow-Gold-Round-Amethyst-Earring/dp/B076HCYXLZ/ref=sr_1_185?dib=eyJ2IjoiMSJ9.L3KVZL6tgbn80QLI_FTA0YaEdQ3ML6F3jUB3FQ2TnGrk2zbzzfB6xO1ez2pAjVhFJSyLapfn3dKmgfPDTo7aEYNUkAcVG03fqhdXwQQtRgKarlnDqFp81beAYCQOkT9iJjxLuzaRaZz7VLMp7PA1hmDOGBnEfgglmQVqgo4EeHcOE5yRZ6pkKdkNZuUM9W5JpVNMOVpicfKrq9ezFx4kH_gPYDvnRdPFD7tkZgS9chiLKwFk30ZOq-U6Qo45wdi_Xow_LPPoGS9mBVJZxsOatlTFYAXeKUzIrNKgahON0Do.vfZ-b9qOH5SKXfIAt7as9P3Y6ZPEO-7JGqHUjGJnl_0&dib_tag=se&keywords=fluorite+earrings&qid=1719059947&sr=8-185,https://m.media-amazon.com/images/I/61Dd6V8luKL._AC_UL320_.jpg
