Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
garnet,garnet necklace; garnet jewelry,107; 89,False,B07LBHDZL4,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,996110.91,4.6,24909,,,,False,True,100+ bought in past month,/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/dp/B07LBHDZL4/ref=sr_1_105?dib=eyJ2IjoiMSJ9.ZcZfXtEVQGSxWS1ynieABO1ID7Uc7vHX3xVKcRuhsofLdy9IuI9r64Q1vcwKDEYvehmyyQffsNObNyV2liX_gd6v96m6wmQ0x4hiEsUwXChCsIMlm64Ng6Ixr8MdgsAbZgLrRjG-whjLN1y2_WGUo05cHEvX5Rqvz32CanqFH2LsaCvk8Tn_RVJezJoaVdKX5x0LA9jZT-l0UN0-lWXTSbOaRIfQX0zrlGd2N_VV6aoTik4B-MnnyEJ6TG30RNTmk78CDfsQ7uPHpdETqWsFeYN8J5KHs2RXVwkn7_70eAA.cRFQDp6QUN6BGe204f1nFmZ_mNHHdDU8VW_pnITeTQk&dib_tag=se&keywords=garnet+necklace&qid=1719061725&sr=8-105,https://m.media-amazon.com/images/I/71OezdKncBL._AC_UL320_.jpg
garnet,garnet necklace; garnet jewelry,5; 5,False,B01N0Y1CQH,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",55.0,USD,865535.0,4.6,15737,,,,False,True,300+ bought in past month,/Kendra-Scott-Birthstone-Necklace-January/dp/B01N0Y1CQH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.iqBgcpBrrYwQn8TJkGHIidgxB-fQ7anYRAqrFgnhxm72e-ZOi-b3G6gNuOO-PrbVS1rji9BtIg1h19PTzZbF8JfrhaNDS_mIFyQGMNTXmnr85tkGfDeSDklY1NZ1OEgU6vMC0Gl_AYXU0sVU9xUxohw1K0JxtL2tyuxvVEql7MPE0r_h_-2OtZ_ccLQ192JLetJQaMAMbXsYrogLmbDGJUjXDnpGta4uVhKKr192nuJcF8pLdIt2WE6Vyu8v_TwxLJ6WqL7fONmXCNo-b9jTEeHQrRDh0G4DX3HfRZGpIM8.jL-jQAgsq1063sSmJ5tit-Ryj7IJkLe90WaFcaB6k50&dib_tag=se&keywords=garnet+necklace&qid=1719061721&sr=8-2,https://m.media-amazon.com/images/I/61mVeMTZg0L._AC_UL320_.jpg
garnet,garnet necklace,178,False,B07MPWDQ9J,"Angel Wing Love Heart Birthstone Necklaces for Women, Silver Tone/Gold Tone Pendant Necklace Jewelry Gifts for Her on Christmas, Valentine's/Mother's Day, Anniversary, Birthday Gifts for Women Girls Wife Girlfriend",39.99,USD,391742.04,4.7,9796,,,,False,True,100+ bought in past month,/CDE-Necklace-Embellished-Swarovski-Necklaces/dp/B07MPWDQ9J/ref=sr_1_173?dib=eyJ2IjoiMSJ9.CVnaZP_KOM9e5wGPEdpAHoj09yGFqj_9DwXB6qX1jTFwRF38rHr7WU71WLN3e9x0QaQ0_jFJ6sh5JqVZF3-gd7Rj4eDNZTMnqlPqx3ffHyHA3Alf2A0OzROeKM0o6qwH-bci12HqhTYMruYv95L82O1j79JVE3ziIBWyzmDAWMZzNkbzUKC6Kij0PVMEQdoIwC6nW6mXChM0MfIyXvhUAwF9Xj17T7lgzHr2f0ZIU5rO-L_koG1sAY1k0nd64iSnvGn0mBV51AaXnv3IKNhs6XRSWL9iNU1f69JsA5eYzrs.WyBXQmiHlyh09oho_cAXrqisP4qjCAj_g2AE5GvUQ68&dib_tag=se&keywords=garnet+necklace&qid=1719061726&sr=8-173,https://m.media-amazon.com/images/I/71NpiP05qcL._AC_UL320_.jpg
garnet,garnet necklace; garnet ring; garnet jewelry,50; 350; 33,False,B08G833F68,Rosy Reverie Birthstone Necklace for Women Sterling Silver Genuine or Created Gemstone Rose Flower Heart Pendant Necklace Anniversary Birthday Gifts for Women Mom Wife Her,79.99,USD,236290.46,4.6,2954,,,,False,True,,/Birthstone-Necklaces-Sterling-Anniversary-Valentines/dp/B08G833F68/ref=sr_1_48?dib=eyJ2IjoiMSJ9.iqBgcpBrrYwQn8TJkGHIidgxB-fQ7anYRAqrFgnhxm72e-ZOi-b3G6gNuOO-PrbVS1rji9BtIg1h19PTzZbF8JfrhaNDS_mIFyQGMNTXmnr85tkGfDeSDklY1NZ1OEgU6vMC0Gl_AYXU0sVU9xUxohw1K0JxtL2tyuxvVEql7MPE0r_h_-2OtZ_ccLQ192JLetJQaMAMbXsYrogLmbDGJUjXDnpGta4uVhKKr192nuJcF8pLdIt2WE6Vyu8v_TwxLJ6WqL7fONmXCNo-b9jTEeHQrRDh0G4DX3HfRZGpIM8.jL-jQAgsq1063sSmJ5tit-Ryj7IJkLe90WaFcaB6k50&dib_tag=se&keywords=garnet+necklace&qid=1719061721&sr=8-48,https://m.media-amazon.com/images/I/61LodcHWG0L._AC_UL320_.jpg
garnet,garnet anklet,61,False,B07N8JF8C9,Gold Anklet for Women Flat Mariner Anklet 18K Gold Plated Flat Marina Link Anklet for Women - Made In Brazil,12.99,USD,232092.33,4.6,17867,19.99,7.0,0.35,False,True,2K+ bought in past month,/Barzel-Gold-Plated-Marina-Anklet/dp/B07N8JF8C9/ref=sr_1_62?dib=eyJ2IjoiMSJ9.CZG05G7fX1mrb6uEMjk5QoH65ClOENxXv0QFOUXre9tg-qLVAD43txBvbAdwR09z3RFg3VXRNSkqQSmvG38EGt6wzxfcx-JEby9DKt4a8_f0N2QMwVK98vguko0o3IAueJPKrJoZn1nCh4LSMm7f3CGFOoy4Lgm8BAtRWdrLaXXAymAhttbwtwv-h8yx528aJYfnqw_ziuMzhYT8MM6C8RgDVgKFd2Zl5_tAjFIMVqcKccKeoc5lWqL7Of5YLqHWfghBha5xWsrSR6Mh4A6HpybibBF_opAZ77xbXsmisxs.M5hsI5MUQ5SwpaCH8MjX7cfW5E3Yyx9tf7fgqm3BrhE&dib_tag=se&keywords=garnet+anklet&qid=1719061798&sr=8-62,https://m.media-amazon.com/images/I/51ntlg+Y98L._AC_UL320_.jpg
garnet,garnet stone,31,False,B07Y3VZYM9,Healing Crystal Collection (Chakra Balancing),38.38,USD,220109.3,4.7,5735,,,,False,True,200+ bought in past month,/Premium-Crystals-Healing-Stones-Display/dp/B07Y3VZYM9/ref=sr_1_32?dib=eyJ2IjoiMSJ9.FAmeboNyDhi603acggaA-qItrsIO92UIcHS6nCTpjD2sJY1u2UfHGPddGztj6ItIDjDNprA-PjbRF7RJYTZ44zgcuCVDGsFu4aUWOC9aKhfcXjwwFBtnvOX3J6O-32vazDybBzmvIndErf8NRF-iLVBgosWdCiecckTaDBobM7p6jrwVn9be16xhBYyZWNg5c8DQ-oxQSJ2SnpnsXgzUcyrQm_dFB-JjxuIN4E37rccZ-EFmJs4i2o3ZjmKZUnF4QCPf7bORMNJJJuo1X27wDvTLiznDZ8RafSJS47ovVdg.jQsnBccbJ0oWYJe-BfElr0ivwCw56msGvL05vRoGMMQ&dib_tag=se&keywords=garnet+stone&qid=1719061701&sr=8-32,https://m.media-amazon.com/images/I/91u-AGeNynL._AC_UL320_.jpg
garnet,garnet anklet,73,False,B07CT94GS1,Womens 925 Sterling Silver Infinity Anklet Bracelet Endless Love Symbol Charm Adjustable Large Bracelet Mother's Day Gift for Women,39.99,USD,208747.8,4.5,5220,,,,False,True,100+ bought in past month,/Billie-Bijoux-Sterling-Infinity-Adjustable/dp/B07CT94GS1/ref=sr_1_74?dib=eyJ2IjoiMSJ9.CZG05G7fX1mrb6uEMjk5QoH65ClOENxXv0QFOUXre9tg-qLVAD43txBvbAdwR09z3RFg3VXRNSkqQSmvG38EGt6wzxfcx-JEby9DKt4a8_f0N2QMwVK98vguko0o3IAueJPKrJoZn1nCh4LSMm7f3CGFOoy4Lgm8BAtRWdrLaXXAymAhttbwtwv-h8yx528aJYfnqw_ziuMzhYT8MM6C8RgDVgKFd2Zl5_tAjFIMVqcKccKeoc5lWqL7Of5YLqHWfghBha5xWsrSR6Mh4A6HpybibBF_opAZ77xbXsmisxs.M5hsI5MUQ5SwpaCH8MjX7cfW5E3Yyx9tf7fgqm3BrhE&dib_tag=se&keywords=garnet+anklet&qid=1719061798&sr=8-74,https://m.media-amazon.com/images/I/61HE2BFFVQL._AC_UL320_.jpg
garnet,garnet stone; garnet jewelry,50; 6,False,B000MFGN8G,Amazon Essentials Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),19.0,USD,203623.0,4.5,10717,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B000MFGN8G/ref=sr_1_49?dib=eyJ2IjoiMSJ9.eMPNpzywU3kbvGovxY2jRu88k1FJayXYkfqFWwHO8X26wAhwxyNJdT04iuOnl9fALoPU-g2KGUh7aqkur6MKxNR2jbWUirqOMWpQ0puzSCQo7eLS3MQpOoiaIPWD4pjp3NhL0MEfcUaE0prACHKsrv2qD9QrP1QHJsIVao4iFXdjyyBfwA3kFKKzykBiLrUzt-V8VFiCWdGfG5hd_OEipdd1FtT5b3UISfvJ9pfoB8tLFaGh7T9pl_nE5dmkZnATsGmKTQWBEI2lgJVR_kfWn021XiwGwwWLu7HoFTisyak.BrtI2gjAYLBl-ZO4Qs8Ir_RCwe97Q1X20RLBy7CyeFk&dib_tag=se&keywords=garnet+stone&qid=1719061704&sr=8-49,https://m.media-amazon.com/images/I/61B7yroT+zL._AC_UL320_.jpg
garnet,garnet stone; garnet necklace; garnet jewelry,63; 4; 4,False,B01N1V62Z4,"Amazon Essentials Sterling Silver Round Cut Birthstone Pendant Necklace 18"" (previously Amazon Collection)",34.2,USD,195042.6,4.4,5703,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Necklace/dp/B01N1V62Z4/ref=sr_1_62?dib=eyJ2IjoiMSJ9.eMPNpzywU3kbvGovxY2jRu88k1FJayXYkfqFWwHO8X26wAhwxyNJdT04iuOnl9fALoPU-g2KGUh7aqkur6MKxNR2jbWUirqOMWpQ0puzSCQo7eLS3MQpOoiaIPWD4pjp3NhL0MEfcUaE0prACHKsrv2qD9QrP1QHJsIVao4iFXdjyyBfwA3kFKKzykBiLrUzt-V8VFiCWdGfG5hd_OEipdd1FtT5b3UISfvJ9pfoB8tLFaGh7T9pl_nE5dmkZnATsGmKTQWBEI2lgJVR_kfWn021XiwGwwWLu7HoFTisyak.BrtI2gjAYLBl-ZO4Qs8Ir_RCwe97Q1X20RLBy7CyeFk&dib_tag=se&keywords=garnet+stone&qid=1719061704&sr=8-62,https://m.media-amazon.com/images/I/71PDemSILJL._AC_UL320_.jpg
garnet,garnet earrings,15,False,B00MCK31G6,Sterling Silver Sky Flower Stud Earrings (previously Amazon Collection),28.27,USD,193677.77,4.4,6851,30.4,2.13,0.07,False,True,,/Sterling-Silver-Garnet-Flower-Earrings/dp/B00MCK31G6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.UY_GLnDyQIYNAMDRe7k-hRTirt6cnqdXL41le-hB4JVsWkj2_nSHRg8AffktrmN6BOenPcI__POCGBMmon_003hOC4W0wkJp7KKPbxpA7lBssL9TgBO-teGJ-bXjMRocTlb4hZjGFnDAcr_oQ9QGZPUfs5up-1eEZ6wZzbCj0vnqwGXJqQc2xrYm3JRXDHdon4MEv-xQdCp2DCl_o7e_ruiekKe_plT9ClU8QbOAf1PizFHFdJXCQVnjMbtNbtFZEHMY2s9f28ao8FlkN6bDl9FBAMcTFK14-agK0rgGJMw.QfpahHV8OfEXnyCEz69aspjLXLN9JbBBMr9JFtrEcNI&dib_tag=se&keywords=garnet+earrings&qid=1719061778&sr=8-13,https://m.media-amazon.com/images/I/713sCnLElZL._AC_UL320_.jpg
