Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
hematite,hematite ring,168,False,B07CKRPMV3,King Will Basic 6mm 7mm 8mm 9mm 10mm Men Wedding Black/Silver Tungsten Ring Matte Finish Beveled Polished Edge Comfort Fit,19.99,USD,362358.73,4.7,18127,,,,False,True,,/King-Will-Wedding-Tungsten-Polished/dp/B07CKRPMV3/ref=sr_1_167?dib=eyJ2IjoiMSJ9.y1xNxz9vrebdQquZKz5AZ0IAv_UVuh8XsExUS_Ye1_TgnI4iLTdFKjqm6qWJpW5Zv7-ywr0tbd7QdPgo2JBOSQuPYlpJ5bDEqy_8joJqrP7XftLGT1231cU734qetYC7SO1A7fZADEdV0KjViq-x3SaBfgNFIzxHg9JReplQ0paA1mDpB9pBL0JiHdYon4-TRGAzcpVgapkosgLyKDKMnc5tcZvzQ-oIE4m28gBX7vFYZ7DdWd91L0QUjV3A08RY3lmvjoV5QlX4asw9EdPqVx_tdqcD8r-rB62MMUqPtVQ.KJDKY6NQhYg_aNfj812plrwTjpGqvuEBoZiK8aNbiW8&dib_tag=se&keywords=hematite+ring&qid=1719060077&sr=8-167,https://m.media-amazon.com/images/I/61VXVcYmi3L._AC_UL320_.jpg
hematite,hematite ring,92,False,B016212VD4,Clipa2 - The Instant Bag Hanger Collection,17.99,USD,214854.57,4.7,11943,19.99,2.0,0.1,True,True,700+ bought in past month,/Clipa2-Bag-Hanger-Polished-Hematite/dp/B016212VD4/ref=sr_1_91?dib=eyJ2IjoiMSJ9.Qk-o2dhYbKN-FqjPYSH0hxcH8PSsH7o2mUSAaUG8BR2NqqF2_GjupRN0SjdpR6FgueYk6Xbx6wYD0NA6kVAdhNm2Xsu27FsDKMnXEep1h0lk5AvTK0jpankYS2jZCKc4A9YSXkRqkOB85qVPOe9AUbBjtn6KpRPt7MC9TIff2fkTf-9N-vMN8p7geRLKKRny11nJovyZpgFZQx9yJbLHIS7eSwan4shPnyPzY6vCFZ3wE1mRKYeVi7LvljVkGuuGrgNnKNA_W2X-RhwCsSMbboWGDEder3YEC0oWz_FpLr8.MabhGZsNRBXd7xDPyYSmyBpf-X61VPUqPte76hWFONw&dib_tag=se&keywords=hematite+ring&qid=1719060075&sr=8-91,https://m.media-amazon.com/images/I/71Ii2XTvBBL._AC_UL320_.jpg
hematite,hematite stone; hematite crystal,74; 40,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_75?dib=eyJ2IjoiMSJ9.cBBvqCamb8ezp8OiNiVq4PxICs-tKN_fKSaeZOCGp4gFu6htyivFVH2L2DVWsLhfAxbLxJBtQ2Q1rfH1sbAIsN8K73zgJ6Nbd06rB0W7bN29FHNtYTYbLaK6gwvVYd0mx8pNUcWqNqQgN4PV5uepUddfEEJUbQLP18zwYZjiBx4Qs3OpYAGXKo5jPhs6HeP5ITHlqFJxcGaklr9p5OqAZHiwre3yOEDTe6MYYTqovTt627Cf_5s8CkBkznUoqHnk-q0Hpx8xEtZgUq_JxyFIWTKPD8xXLPW7f5D1xDL02PE.NRxWAIB0mfgzDfaiQhTdoLmbxoMkOnpFU-hUkZ4QoxA&dib_tag=se&keywords=hematite+stone&qid=1719060039&sr=8-75,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
hematite,hematite ring,70,False,B07BLSS6JV,King Will Intertwine 8mm Spinner Ring Stainless Steel Fidget Ring Anxiety Ring for Men Black/Blue/Silver/Gold Gear Chain Ring,15.99,USD,199283.37,4.4,12463,,,,False,True,,/King-Will-Intertwine-Stainless-Spinner/dp/B07BLSS6JV/ref=sr_1_69?dib=eyJ2IjoiMSJ9.Qk-o2dhYbKN-FqjPYSH0hxcH8PSsH7o2mUSAaUG8BR2NqqF2_GjupRN0SjdpR6FgueYk6Xbx6wYD0NA6kVAdhNm2Xsu27FsDKMnXEep1h0lk5AvTK0jpankYS2jZCKc4A9YSXkRqkOB85qVPOe9AUbBjtn6KpRPt7MC9TIff2fkTf-9N-vMN8p7geRLKKRny11nJovyZpgFZQx9yJbLHIS7eSwan4shPnyPzY6vCFZ3wE1mRKYeVi7LvljVkGuuGrgNnKNA_W2X-RhwCsSMbboWGDEder3YEC0oWz_FpLr8.MabhGZsNRBXd7xDPyYSmyBpf-X61VPUqPte76hWFONw&dib_tag=se&keywords=hematite+ring&qid=1719060075&sr=8-69,https://m.media-amazon.com/images/I/51hL9aKR1kL._AC_UL320_.jpg
hematite,hematite stone; hematite anklet,44; 165,False,B07VK583QM,Top Plaza Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,12.99,USD,149644.8,4.5,11520,,,,False,True,,/Top-Plaza-Hematite-Bracelets-Meditation/dp/B07VK583QM/ref=sr_1_45?dib=eyJ2IjoiMSJ9.ExE2l85JMoCkn6fm0ppC52wINbz_7hCwPNRzPR_c2VCg7dvL-_RSf-3xaVaLo3kBcnE7hqiFkHFNyverc-NZow4Hg9vwHwL22a5W_TeHIjPrtiblXiB1pCULDed0dYwxnm3t8UIg8hQ-1oPq3V-hjqVcxNCs0oeYiu65tqb1ob_O0OKrbKn-3lsE6TeP1_aCCoYdiMdL40MbkXFzQWe7vPwt95N3oNQn7K1hYgeCfBWVDNUghqF-6V8eSXqhgcVz8NQ5lngy1syxuoDFDz3uf2vmWfDGJhnRldMdzw7FhSU.ddWbIOPq16NEltbI8hjZ0EU3OQN9DKm52Y8T3jiHs5M&dib_tag=se&keywords=hematite+stone&qid=1719060037&sr=8-45,https://m.media-amazon.com/images/I/61QTXOBoqhL._AC_UL320_.jpg
hematite,hematite anklet,83,False,B08F41RSSW,MagnetRX® Magnetic Hematite Bracelet – MAX Strength Magnetic Stones – Beaded Magnetic Bracelets for Men and Women (Silver Titan 8mm Bead),39.95,USD,107305.7,4.3,2686,54.95,15.0,0.27,False,True,50+ bought in past month,/MagnetRX®-Hematite-Magnetic-Therapy-Bracelet/dp/B08F41RSSW/ref=sr_1_69?dib=eyJ2IjoiMSJ9.fseM6An8GVJhuYW7BYaHpwx5_wBdYlYaLlUWxMzkhoUttgfRkMbCPHPznXPPo2FdxgtvniXV0gttF7rSXezT2No4xA8ol-p3oGWYSLqPA8tx-SsCSGyyXLEvuCtZBu9M8yD73wRIE85gNcEm9Zu0T9kqTguNCYyr2aOSsLxjyMVABAlLmvyuDX8bBHUUdtl7vpETtQt1yTBjtHuYzOw-OvLJAG1k9HvWpJ6e0ERDl2EUZBQp30PlXG5pZbXqr15dwOLc_YkgdX-z53EOEiG8fjITWrMMe2l6TJ87qxP6v5E.hjIwFVdtWbEHwOBx9Fj6OPjSk5fAv4VVsX8V2qQYn20&dib_tag=se&keywords=hematite+anklet&qid=1719060120&sr=8-69,https://m.media-amazon.com/images/I/71--TBtrDoL._AC_UL320_.jpg
hematite,hematite bracelet,22,False,B08F3ZQ6C4,MagnetRX® Magnetic Hematite Bracelet – MAX Strength Magnetic Stones – Beaded Magnetic Bracelets for Men and Women (Double Strength 8mm),39.95,USD,107305.7,4.3,2686,54.95,15.0,0.27,False,True,50+ bought in past month,/MagnetRX®-Hematite-Magnetic-Therapy-Bracelet/dp/B08F3ZQ6C4/ref=sr_1_20?dib=eyJ2IjoiMSJ9.yl1j7-93OxViEaYJGIocj9mhHuGYFijvwlyK0fbjx0VZYFUN0m6JjhRNDQMuu-8CwxD-8A-JL5hA9-Vc7Sen6qZqQsrj8DoAuZ8kfT6bsxRZWWnqC0JjZAPWbiCN4QZFzWxBRKYaHeoARzuPMksSwarhEe6GTMjinN2HPncHeQJBtRdAfSWjldsTwKUfftFM11cshbbXw2_tCCCf20pnppmT-zpRo9o6e_JDTrPDFBtEmJkL9VOyK7jp5qjib5pzP7m_TA30j4BcZ7izdN-_MJYmt5DLSNSlhMlDQik2qm0.5tVD-ZITMm7a6CqUectWzti2LMfc4DFgHWHSmwFmS6g&dib_tag=se&keywords=hematite+bracelet&qid=1719060156&sr=8-20,https://m.media-amazon.com/images/I/710udQK-mpL._AC_UL320_.jpg
hematite,hematite stone; hematite jewelry; hematite crystal,60; 102; 73,False,B08F44QF71,"200PCS 8mm Black Hematite Gemstone Loose Beads Well Polished Round Crystal Energy Stone Healing Power for Jewelry Making (Black Hematite, 8mm 200Beads)",13.99,USD,100728.0,4.6,7200,,,,False,True,,/Hematite-Gemstone-Polished-Crystal-200Beads/dp/B08F44QF71/ref=sr_1_61?dib=eyJ2IjoiMSJ9.cBBvqCamb8ezp8OiNiVq4PxICs-tKN_fKSaeZOCGp4gFu6htyivFVH2L2DVWsLhfAxbLxJBtQ2Q1rfH1sbAIsN8K73zgJ6Nbd06rB0W7bN29FHNtYTYbLaK6gwvVYd0mx8pNUcWqNqQgN4PV5uepUddfEEJUbQLP18zwYZjiBx4Qs3OpYAGXKo5jPhs6HeP5ITHlqFJxcGaklr9p5OqAZHiwre3yOEDTe6MYYTqovTt627Cf_5s8CkBkznUoqHnk-q0Hpx8xEtZgUq_JxyFIWTKPD8xXLPW7f5D1xDL02PE.NRxWAIB0mfgzDfaiQhTdoLmbxoMkOnpFU-hUkZ4QoxA&dib_tag=se&keywords=hematite+stone&qid=1719060039&sr=8-61,https://m.media-amazon.com/images/I/51ma51+ZaIL._AC_UL320_.jpg
hematite,hematite stone,283,False,B08F42JR69,MagnetRX® Magnetic Hematite Bracelet – MAX Strength Magnetic Stones – Beaded Magnetic Bracelets for Men and Women (Classic 6mm Bead),34.95,USD,93875.7,4.3,2686,49.95,15.0,0.3,False,True,,/MagnetRX®-Hematite-Magnetic-Therapy-Bracelet/dp/B08F42JR69/ref=sr_1_284?dib=eyJ2IjoiMSJ9.5bi_EVEIIr8P4GnEY1z7wvlDovYaIzazw59eCwNP6Nakr5p2yaHWrxZh2ER85TO-2iyaMPQ_S0XOpCge3xCf5UNN8gyvEh1nqaYEZi3Hwhq_kDcF2am9fGE-27Pg1E30kadx1m0neR-QtVod72vcOhKfyWuHNcMkdi2c8C0blhzQVNraLrZnMv6uitG9u6dcsYFY7N62ZqYkKKX0VSBNOIhuiGLhbC3Gdsk-mKU_8EECvzx7EabSbLRCWHktmw_v8D6XOc1pQheTvEJuYwljSsasOPgqQZ0b-RbQ1lzhBT8.PgCDJpUX_OsTQtLBaXWywQPkFCdWrGQCQ4IL4fmSfWw&dib_tag=se&keywords=hematite+stone&qid=1719060046&sr=8-284,https://m.media-amazon.com/images/I/71NBN8K0+ML._AC_UL320_.jpg
hematite,hematite jewelry,80,False,B08F42K61R,MagnetRX® Magnetic Hematite Bracelet – MAX Strength Magnetic Stones – Beaded Magnetic Bracelets for Men and Women (Bali 8mm Bead),34.95,USD,93875.7,4.3,2686,,,,False,True,,/MagnetRX®-Hematite-Magnetic-Therapy-Bracelet/dp/B08F42K61R/ref=sr_1_81?dib=eyJ2IjoiMSJ9.KOYqUJeKWG9GdkncH5hAomxF1vzshumpq93Ok13CxgeE907w_3gl7aON2HBSVMDSDuWygsT7TilNH7M_zaCgBQnRGrQ74O-FxrTiw4zUpPb3BJtKKXiX0ZbMrfYQzN50nb3kM0AyIsUfOG8HmyArNZa1feYe8Qzvzzx3W5MQinlw8SnzxcwfTc8cQLe2VLaBATDFwR0hFgiYIJYxuVRHY3asuaLiVTs_bl2NxCVJY9QSo0LuyH7a1PUq32ibuKCikvDyf7jJTBijqOvtpjA9HBb8YIVoh5ai4Fr1vxsMYGI._R3Yo1Mvo7vqHICxf1CqMQFNTUcAtxb2BWC-c8qatQ4&dib_tag=se&keywords=hematite+jewelry&qid=1719060089&sr=8-81,https://m.media-amazon.com/images/I/61CjWoGA5ZL._AC_UL320_.jpg
