Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
jasper,jasper necklace,131,False,B07MZKQS5H,Love Heart Pendant Necklaces for Women Silver Tone Rose Gold Tone Crystals Birthstone Christmas Jewelry Gifts for Women Birthday/Anniversary Day/Valentine’s Day,29.99,USD,324221.89,4.6,10811,,,,False,True,,/CDE-Necklaces-Birthstone-Anniversary-Jul-Rose/dp/B07MZKQS5H/ref=sr_1_129?dib=eyJ2IjoiMSJ9.Kf0ayqEJkhKRlrP3RCuAIeVi6aQGuqatxXjixzStkurY6qoDAhAfWVrK_VmL4VwbebDb-vkraBwNRiva-Vsi_6YxOX7I7DeHXHBUnvt5aioxLywT87CLrrED9LlACGKgZ5ZQWwz_BWm4ap6cQkaZwEtR67h5ixIywVcBuBkFr62CWvQ_OmDZm4WoN8NMD9jgkRn9LJBeNoxhSM-v2NSbBvtVAXV5OY0TQvBND5AGkead01QszmHLxXoEWRq6zaMziYmmocE9hqcDwTlg0gGFx9Kw6ncRdwaxrArS70ngrdk.hLJwr1qL_SoAtk3vglccr9QXsjL6YXzH8iwcYQ1-9mI&dib_tag=se&keywords=jasper+necklace&qid=1719060188&sr=8-129,https://m.media-amazon.com/images/I/716n4IuDH5L._AC_UL320_.jpg
jasper,jasper jewelry,147,False,B07L9KZZPH,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,174007.62,4.5,12438,,,,False,True,600+ bought in past month,/FANCY-SHINY-Bracelets-Bohemian-Stackable/dp/B07L9KZZPH/ref=sr_1_141?dib=eyJ2IjoiMSJ9.CiUhXb37o29fxYZxwy7GtH9aunjXL1lHlpbQyvBM6swLNgXDMldeOGv9FIhtfyRVAO8ZsW1QNz6VEcPU2L8O2emKPsudiKiPECvtZJKTW8lntfPjH6mPT6hgUJIm23lc61UBhTT9PrnHbqmInQhDfOGWGoz4z_GM1R7ejouecaWloaQ7GLXJQZY4McmVvv5K6GpeyPaKuOOuxBRVPdA2kuoDyjvE_z3hsZiqunYjAPKOM3ggGCQugLm5tk0TvagcRWkAAPHqLZTF_m4LuHVa1lX92nTwftvjwXNB8CQZfEw.065Rqe749RgG94pvUg-5o8dH-3ehE9o8rOD-wGj5LHQ&dib_tag=se&keywords=jasper+jewelry&qid=1719060221&sr=8-141,https://m.media-amazon.com/images/I/81vHYK-QqLL._AC_UL320_.jpg
jasper,jasper anklet,60,True,B085QM8S5Y,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,174007.62,4.5,12438,,,,False,True,100+ bought in past month,/sspa/click?ie=UTF8&spc=MTo2NzczNDUyNDAyNTIzMzc6MTcxOTA2MDI1MDpzcF9hdGZfbmV4dDozMDAyMjE5MzM2MzcyMDI6OjA6Og&url=/FANCY-SHINY-Bracelet-Bracelets-Magnetic/dp/B085QM8S5Y/ref=sr_1_49_sspa?dib=eyJ2IjoiMSJ9.FTgKqXvM5IUCEq6G22YHO_pFFm-U-igyI0kuT_AVWXblx5TX9yJHAdIAG8PD-LsH89BAKK-YNaVF2BMBk-SdEZFZG47o999CWX5_xu7IcGIcbWVjHUvZhz5mhCE_h4LStVUjCqNF7g1nF9oRsDh3TtNSCWmezEjz-kICXsnngg964zc4rADyOAgyX4RZcAh5_gqEhOdcWXAT6BuX4QuDWNKFNZ6Vvj2RRe1Pc7wdvApZg7gxQ3vjGg9fk41hk0xdY-kNNw7UGoF-KRhSf8X_yzM3603dUT6pEnQh_Zid_KQ.C-ELvdsmp3MTAkK7pnL25V1YZ-zANZJcwK5edQEACPI&dib_tag=se&keywords=jasper+anklet&qid=1719060250&sr=8-49-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1,https://m.media-amazon.com/images/I/71+271ufNkL._AC_UL320_.jpg
jasper,jasper anklet,108,False,B086HC515S,"Heart Initial Ankle Bracelets for Women, 14K Gold Filled Handmade Dainty Layered Anklet Letter Initial Heart Ankle Bracelets for Women Beach Jewelry Gifts",14.99,USD,157619.85,4.4,10515,,,,False,True,200+ bought in past month,/Turandoss-Initial-Bracelet-Minimalist-Initials/dp/B086HC515S/ref=sr_1_97?dib=eyJ2IjoiMSJ9.FTgKqXvM5IUCEq6G22YHO_pFFm-U-igyI0kuT_AVWXblx5TX9yJHAdIAG8PD-LsH89BAKK-YNaVF2BMBk-SdEZFZG47o999CWX5_xu7IcGIcbWVjHUvZhz5mhCE_h4LStVUjCqNF7g1nF9oRsDh3TtNSCWmezEjz-kICXsnngg964zc4rADyOAgyX4RZcAh5_gqEhOdcWXAT6BuX4QuDWNKFNZ6Vvj2RRe1Pc7wdvApZg7gxQ3vjGg9fk41hk0xdY-kNNw7UGoF-KRhSf8X_yzM3603dUT6pEnQh_Zid_KQ.C-ELvdsmp3MTAkK7pnL25V1YZ-zANZJcwK5edQEACPI&dib_tag=se&keywords=jasper+anklet&qid=1719060250&sr=8-97,https://m.media-amazon.com/images/I/710Brx53kZL._AC_UL320_.jpg
jasper,jasper crystal,193,False,B07PY4Q42R,Natural Stone Beads 100pcs 8mm Round Red Jasper Genuine Real Stone Beading Loose Gemstone Hole Size 1mm DIY Charm Smooth Beads for Bracelet Necklace Earrings Jewelry Making (Red Jasper),13.99,USD,142711.99,4.4,10201,,,,False,True,,/Natural-Gemstone-Bracelet-Necklace-Earrings/dp/B07PY4Q42R/ref=sr_1_191?dib=eyJ2IjoiMSJ9.xQp0PmMCNzjCJRFySZmeJYp7N9leyD5CzF6IlQr2e-Kn1BsjMxDN5ragS1Hf1cGF7csGgBzbKdbgZOgVXwu4QelrGHY9n2uwTrqYfnkLgn7EJj0jV19gRP9cwDNN1bdmiFF3xAUIOc5AvPJ31jg3sOxIiHvtIDUcIO8sVtpnafP55FNIkV7gphv6QpBC3IhT6NU3nTwRqb2IrGYUmd8wSEPZWGBZUlyoodzEmXpEx8B7B5sArZM4OLhUx13G5fw1nFc57ySi26iSSvpTn-FaV8NLhbL5vpZHPlj93qNHvGA.pBzyRYIzuNlet0H11bGNhqlsDYor6b6b859lAf1taaE&dib_tag=se&keywords=jasper+crystal&qid=1719060268&sr=8-191,https://m.media-amazon.com/images/I/7192hgqmOIL._AC_UL320_.jpg
jasper,jasper anklet,35,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141435.12,4.6,10888,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_36?dib=eyJ2IjoiMSJ9.akTJpl1gsIZQDjgfB0ZvqVtl3h9_af-FioOY9fXJ25SzlJv583ehRdKy6nVwg5wmdlnpoZD0qTmeX-CgUfw15rML5V8As2E4wQJ8EakIkG_4PpVQUWlhFBd59Qx1DrqYSrJMEMjVCBem1k-1A0qEUirDQ4F60odJ5rrkQBb0xwa7A2dqaGHsUTIdQ-NdvegXVGOQBxQE70KyXA5ZljWLYfgun_pDhJJfSExmCK_Ps_CSWiXjpRWNd8UO66FoT4cplppPN7jkqKBBj89oZjeuDSuIm2i_mSbtojqOvAVyOmQ.xhD6dzCGUUwkE4nxnaVNTETJ4nJaYhOEJbbMKV8FGsY&dib_tag=se&keywords=jasper+anklet&qid=1719060248&sr=8-36,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
jasper,jasper necklace; jasper jewelry,78; 53,False,B07QNTSKB9,"""Rise From the Ashes Phoenix Necklace Made with Crystals from Austria, 18""+2"" Necklace, Packaged with Jewelry Box, Birthday Gift for Women, Symbol of Luck and Renewal",36.49,USD,113921.78,4.7,3122,,,,False,True,400+ bought in past month,/Kate-Lynn-Christmas-Necklaces-Anniversary/dp/B07QNTSKB9/ref=sr_1_76?dib=eyJ2IjoiMSJ9.BRWPV9-7qoH8lGwXzcz9iezfwge3yoye8YVQEgnIGGOCvAghmaTsIM3s70Wb21LNJKG6vMIa9CeqGkrgtkFwVcDlUByjT70-DJAVrPTuZ1BFSE50LdE98XlJLxtO3i1O23k11VRreodLpDCzIg61KIAMnNPqDVA_2BRpACKdrCbrMVO2KJNKIiTzjk9K3V7NdEpL0DDXyVr00sYKG7pCDUTTUib-qVvzVwIK1lS964sU9lvjnbAGZ5RVvCq9DHiVfSMe6lmeE2H73EN_2ulx8lj6JmdCIkkaWHkcgu1VtDc.tm8ttlUrz9ueYwwHztBMGlmVeCoqB-nN2yW-EuveOEI&dib_tag=se&keywords=jasper+necklace&qid=1719060186&sr=8-76,https://m.media-amazon.com/images/I/71TK+4-S5TL._AC_UL320_.jpg
jasper,jasper crystal,276,False,B09V2SDQYY,"Crystal Wands | 3"" Healing Amethyst, Rose Quartz,Clear Quartz,Black Obsidian,Green Fluorite, Lapis Lazuli,Rainbow Fluorite| 6 Faceted Reiki Chakra Meditation Therapy,7 PCS",39.71,USD,102928.32,4.7,2592,,,,False,True,,/Luckeeper-Amethyst-Obsidian-Fluorite-Meditation/dp/B09V2SDQYY/ref=sr_1_259?dib=eyJ2IjoiMSJ9.I4noMejVLUXLYxDzd6Nu5VfvyaiMYmKYmobxBlaFwXbCy8Rytdt2liwM-7hEdoWbdim71ezN-jWHBdnJpiYDe00NI7xbCY1754BpH_kV7PykuMYa6WOj-KdyYJPx7YyojzTRWDkfJccmyMh0pn1Vi9XuzLEzmLIr5H_uZgD7c_80Xsvcmlfm1jBnUSiEjrnmsqTlKK8qzMY3BYn4kG0SySgXw_2UZX9tqbElXIgGWvXmLRkfKRuOIvfYBQ_MUCT_L4ChAL6VONWDiMcHKNVE_qQ7YK_PNqqvy7vB8llnokE.LGa8CcNTqMNZCN91tmSGCfPrkaenhM1hznUxSzgH55Y&dib_tag=se&keywords=jasper+crystal&qid=1719060271&sr=8-259,https://m.media-amazon.com/images/I/615p1kSxwrL._AC_UL320_.jpg
jasper,jasper anklet,29,False,B01KMN0JT6,18K Gold Plated Gold and Multi Color Crystal Baguette Anklet,12.99,USD,94450.29,4.2,7271,,,,False,True,400+ bought in past month,/Barzel-Plated-Crystal-Baguette-Multicolor/dp/B01KMN0JT6/ref=sr_1_27?dib=eyJ2IjoiMSJ9.akTJpl1gsIZQDjgfB0ZvqVtl3h9_af-FioOY9fXJ25SzlJv583ehRdKy6nVwg5wmdlnpoZD0qTmeX-CgUfw15rML5V8As2E4wQJ8EakIkG_4PpVQUWlhFBd59Qx1DrqYSrJMEMjVCBem1k-1A0qEUirDQ4F60odJ5rrkQBb0xwa7A2dqaGHsUTIdQ-NdvegXVGOQBxQE70KyXA5ZljWLYfgun_pDhJJfSExmCK_Ps_CSWiXjpRWNd8UO66FoT4cplppPN7jkqKBBj89oZjeuDSuIm2i_mSbtojqOvAVyOmQ.xhD6dzCGUUwkE4nxnaVNTETJ4nJaYhOEJbbMKV8FGsY&dib_tag=se&keywords=jasper+anklet&qid=1719060248&sr=8-27,https://m.media-amazon.com/images/I/71hZC5zjnWS._AC_UL320_.jpg
jasper,jasper stone; jasper necklace; jasper jewelry; jasper anklet; jasper bracelet,52; 126; 16; 109; 31,False,B08CKMMZY7,TUMBEELLUWA Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,14.99,USD,91453.99,4.5,6101,,,,False,True,,/TUMBEELLUWA-Healing-Bracelet-Crystal-Handmade/dp/B08CKMMZY7/ref=sr_1_53?dib=eyJ2IjoiMSJ9.O1Y0-P1rW-Roei4mCQ_wWrqED0JaCNAR53XeNBP702YsHsDrGhN9mm-AF2D5wxyvYST8FIKBmmlZnWR_PpJXNGAAyiOXPeQ4jchbQcke4tzmWIroAAUnXqi7krZWfjgwM8wwlH6GG58wZytAEopDU1qD2VK7Y31iChiWoTQ3AG4ryb5lv2rcPhZbbtfiC2hAfSiSWC3ZITEFhLATHBcQurLHkgYvYSRqRrSh85Ex_kic3Y8XoHBi1WRSmJbuDdENU5ySOfoDHG4aXL__pnz9fy1t-wZoYX9WMM3IaFYBGD0.WFu7VCSJcroNaGK-m5JIzcMIxROxGa_vJJIi9fcGf_0&dib_tag=se&keywords=jasper+stone&qid=1719060170&sr=8-53,https://m.media-amazon.com/images/I/51plAa71xGL._AC_UL320_.jpg
