Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
labradorite,labradorite bracelet,124,False,B072LP4SZB,Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,8.99,USD,161145.75,4.5,17925,,,,False,True,200+ bought in past month,/Hamoery-Chakra-Bracelet-Braided-Natural/dp/B072LP4SZB/ref=sr_1_123?dib=eyJ2IjoiMSJ9.iqB8iRBR6iCjlyyOoEFGrtkSGbcvEb5hxS9pPbeOVuB1rguznaVoqMITRTs0vSZ5-hQeAll-kCyPRe5wW4QNuZ-qg7X_WTEfLKcpW-jwjCqR4IecVKtKOKdxmuk5mTOFd1urCWo-OfFrazY4yJkpLE2-nWKJLUnwOg7WUGPp8e6vxKR_q_ymt6tUgiGVpxJUAOND2QJPaEl8YcQv85jvDsvyu-C_boV_ZooIbOowAe246AIuyV9dB7cRIlrtdFGPYLpew4oVym59dSSsIvcClyqbEKplEgXeYUJ1Msi3KuU.FwmLiTkCVZs_1eNaWyF47TDuLewu6DtbnpykMJLzJS8&dib_tag=se&keywords=labradorite+bracelet&qid=1719060411&sr=8-123,https://m.media-amazon.com/images/I/71ky8-Ba3DL._AC_UL320_.jpg
labradorite,labradorite earrings,167,False,B08BNSQGD7,45 Pairs Fashion Hollow Drop Dangle Earrings Set for Women Girls Bohemian National Style Eardrop with Bronze Waterdrop Leaf Feather Shaped Vintage Jewelry for Gifts,18.97,USD,149350.81,4.5,7873,,,,False,True,500+ bought in past month,/Fashion-Earrings-Bohemian-National-Waterdrop/dp/B08BNSQGD7/ref=sr_1_169?dib=eyJ2IjoiMSJ9.tq3wtSaEUjnkttrlWcbO1vQRtn-JcXbn_0j8wyptYNKozC_ieengRcXn-PNI0VfRN_OMZk4UrKlZddDt-YJluZG-PfSx-1ZYMGdybCkcbyDr--zIy9039rNueHrPrgxGzJvioEkFQywdS08joBSs7bEOFKPlXkIiKfr2m_rLANcwMeF1bb2Y5USsZ0F080h-OCl1iQW3OdtTm_Sookte8KjCaBzNynWGle2gN1Ytkv8gHxm662XoQaNpS4HaWOs4ksNQKv06cSz6bj439pn77avvOQV-OBq8_fbzY3f2U3A.3D73ZRrW8j9qLNj78dwmOZtFDZ9f1SgdDtkIAYNdCUQ&dib_tag=se&keywords=labradorite+earrings&qid=1719060362&sr=8-169,https://m.media-amazon.com/images/I/81zFHMdQQyL._AC_UL320_.jpg
labradorite,labradorite anklet; labradorite crystal,31; 310,False,B07DPHGFHG,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,13.99,USD,108982.1,4.5,7790,,,,False,True,,/Massive-Beads-Adjustable-Bracelets-Labradorite/dp/B07DPHGFHG/ref=sr_1_33?dib=eyJ2IjoiMSJ9.DITu3ibyIeDlyrjVfSVtlvsW4RaLjiA7S6-6w-FOpce2-ep4Qko3kPPCDGTr3IKkBc0XsCpsGJaM9OpWlDwxxnc50QRWohvJaPasyLoZqReI9krd_WzXKt5IUk6zk6dBROgCk1rejEv-_Wk23G1rCaUzKrF1PvruDIxFgJ__RKrTzhAamiZsq216kfbviwzLDQLhQDPOa_0uliD1-UrMnzapgnMIFxI0BZ0-i_537K69zr5mWz61oFzLZvSzZc5Oe_uRaGi0EgRX59pfiRP4EXzAlsxzibqXwHXlt9GLCfc.jUiaHj2OdB74Vw-KQkQHRRKXeXMc2y-jb83fAfIC32w&dib_tag=se&keywords=labradorite+anklet&qid=1719060372&sr=8-33,https://m.media-amazon.com/images/I/51607J+9X2L._AC_UL320_.jpg
labradorite,labradorite jewelry; labradorite anklet; labradorite crystal; labradorite bracelet,83; 85; 117; 57,False,B07RGT27WH,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,16.99,USD,103655.99,4.5,6101,,,,False,True,,/TUMBEELLUWA-Bracelets-Bracelet-Handmade-Labradorite/dp/B07RGT27WH/ref=sr_1_81?dib=eyJ2IjoiMSJ9.aQO_EgzANnea_aMYwbcHAnQWBBuYYnPILFTt8CaooI0Fim3s_jlafSS6FjHHdDYxspGKSfH7nxdaupogDLcWIno9j57v0S9kxwFgPd_t-LcuSEApluv52JtZIrskxCl7Q1fxlMtpMHjP_r0HSfL_4fPsEGtfYv8ZANTkYE1QJN_bGCKJQIEsOrYFLQWjtY3lfEm8BA69vF2nEcFJAb0s0CN6bSGEvkzvLA6ZeN2F0aEWBzwFsDS0VSs2NDdhEdSXHWxuFHRvPoCBGMYaQtvNEzzFZ_U-_gXjZHp478SwqCI.EFY6mVFo0Ko7SF9byzfCepwmeN9HdUhqbPF3l0dIXrQ&dib_tag=se&keywords=labradorite+jewelry&qid=1719060339&sr=8-81,https://m.media-amazon.com/images/I/61FPF19V18S._AC_UL320_.jpg
labradorite,labradorite earrings,171,False,B07Q2PB64B,"14k Gold Chain Earrings for Women, Gold Threader Earrings for Women | Double Piercing Earrings, | Gold Drop Earrings, Dangle Earrings, Long Earrings for Women, Travel Accessories for Women, Spring Earrings",17.99,USD,102327.12,4.5,5688,,,,False,True,,/Dagger-Threader-Earrings-Triangle-Hypoallergenic/dp/B07Q2PB64B/ref=sr_1_173?dib=eyJ2IjoiMSJ9.tq3wtSaEUjnkttrlWcbO1vQRtn-JcXbn_0j8wyptYNKozC_ieengRcXn-PNI0VfRN_OMZk4UrKlZddDt-YJluZG-PfSx-1ZYMGdybCkcbyDr--zIy9039rNueHrPrgxGzJvioEkFQywdS08joBSs7bEOFKPlXkIiKfr2m_rLANcwMeF1bb2Y5USsZ0F080h-OCl1iQW3OdtTm_Sookte8KjCaBzNynWGle2gN1Ytkv8gHxm662XoQaNpS4HaWOs4ksNQKv06cSz6bj439pn77avvOQV-OBq8_fbzY3f2U3A.3D73ZRrW8j9qLNj78dwmOZtFDZ9f1SgdDtkIAYNdCUQ&dib_tag=se&keywords=labradorite+earrings&qid=1719060362&sr=8-173,https://m.media-amazon.com/images/I/71VUfMSUk-L._AC_UL320_.jpg
labradorite,labradorite stone; labradorite necklace; labradorite crystal,59; 46; 94,False,B077WX2D8T,Ayana Wellness Crystal Pendant Necklace - Handmade with Ethically Sourced Crystal Healing Necklace - Authentic Jewelry for Men & Women,19.0,USD,97983.0,4.3,5157,,,,False,True,,/Ayana-Crystals-Labradorite-Crystal-Necklace/dp/B077WX2D8T/ref=sr_1_60?dib=eyJ2IjoiMSJ9.Gm5aUv3bSiWOdOig7vQlTYd2WQVGZdsgTXBrvXPHZ6NX39SVesN36F4OKSVbyrO5ZWZDRgMsEcT3rJINAj9jg3ZdpfizxFn8gKIrLj6yQ4DwUQvJLaBxJVrHM2LV3IbzkM9DqdecqSdz2O3sldWASBV0NHdEDIAKchSRzqdjMjcUdBjsheMbg1EbJdf2KBfIXTTM0UGlhFwg2w-fSJ74L1s4t2G-vNfsZRLxV4PduLT9XboTpc49obUpCOX37jiWWUupR8GZDJON-ZiS35Icx5RPLzjGJc1HPrJXvDsWUag.F27E8yy3n2_-621J6T4_q2gFmK3LvkR09RTeZ6p3FyY&dib_tag=se&keywords=labradorite+stone&qid=1719060296&sr=8-60,https://m.media-amazon.com/images/I/51+JkmNGUgL._AC_UL320_.jpg
labradorite,labradorite necklace,38,False,B0849L7S3Z,"925 Sterling Silver Natural Labradorite Necklace - 14mm Green Gray Round Iridescent Gemstone Pendant, March Birthstone Birthday Present - Unique Handmade Jewelry Vintage Style Gift for Women",63.0,USD,87129.0,4.5,1383,,,,False,True,,/Sterling-Silver-Natural-Labradorite-Necklace/dp/B0849L7S3Z/ref=sr_1_40?dib=eyJ2IjoiMSJ9.BBd4abrVl-yP-ocvB4s8w3VVvt7QJoPBaKn6OIkxqc_SriRv5OJLbn1EEcFEl9hRuA6LLV1MLJRG1qQO-hxjvRq8duZIoHus3-s-2fHrGraQ42WVoPfi3Yb-506Nzu5x72hI8D37g98Bmjjy_f3t-MiKb2sT7d-Y4rtS9J5JdXNr6qm-0vD3NNxchUdsZU0F3w2v9UlKoH6M0PiReOuKLmvSXIgt4YobfCBWiITvLlINdWDVRsqcAsXIzMmM1x2X84igQDimTHQ_ucHJm7Cv7dzzFsUTNs4rz35wCv1KLnc.A6CNuGzNZtLPFQ3hHuTaIfMrDyeSYFvBpp2op_Pw0LM&dib_tag=se&keywords=labradorite+necklace&qid=1719060310&sr=8-40,https://m.media-amazon.com/images/I/6140FmUc0+L._AC_UL320_.jpg
labradorite,labradorite stone,204,False,B07YZT4ZMZ,"Amethyst Cluster - 1 to 1.5 pounds of Powerful, deep Purple Crystals. Geode from Uruguay. Includes Bonus 3 inch Selenite Wand",49.99,USD,82733.45,4.6,1655,,,,False,True,,/Extreme-Amethyst-Cluster-Powerful-Crystals/dp/B07YZT4ZMZ/ref=sr_1_205?dib=eyJ2IjoiMSJ9.7ioLVTRMnCqts3eSm-Wwes2f-UPozGovkf1o3egQ1_ZCLyNNOAC7T2l7fK-SB7l_WtYgAzC69Us8mugWxTLWTrSKiAN3heVHlXRr2YoVzE7XFSKjNcXADNOYRb2SR8DLyVB_yYsI81iWTNYtsgy5l_y0fzL6DBG-Nlw0HrgjkF3TU4EYF7s7UBbYq48jqaAp4xG3zKi2rjhrdH5Jo-aaYmjjXgr2Wraez22MhD78X5veb64so0ho1Nrz-SvSP13N0ymjg2ah4fnY0UrQuFvSEOtCPxF7jWRIkmtAAUX6ERI.GxHpv-wQ30k5p6dCweGKqgffqAHyKkEMi0vAg5dDkoM&dib_tag=se&keywords=labradorite+stone&qid=1719060301&sr=8-205,https://m.media-amazon.com/images/I/71M2RFrHYxL._AC_UL320_.jpg
labradorite,labradorite necklace,75,False,B07Y8HT2MM,"925 Sterling Silver Labradorite Necklace - Dainty 12mm Round Gemstone Pendant, Delicate Handmade Jewelry, Vintage Antique Style March Birthstone Jewelry, Perfect Birthday Gift for Classy Women",49.0,USD,80262.0,4.5,1638,,,,False,True,,/925-Sterling-Silver-Labradorite-Necklace/dp/B07Y8HT2MM/ref=sr_1_77?dib=eyJ2IjoiMSJ9.3Oxyr8b1UqS6eEqDRT6RqqNLl5g8sKw6tXTjx_RPJ24q8mhD173WNi9z8ESBhSgHve3on1KjiCvDJ6hiqyD7TywyRBFGS37WqY4dePorJcqflESK7hFNWdUKHHjx64_H0HWOHI1g-3KJ5Ibr8VoljusnJGctm-_fcal5dIDg0e79HKSuMPeshR1Myju0BUNJ3vGfliBWZPgLDYFt1Hbif88EJnAC1VLdIfN79WYAh2Deu1Uf0k473UgC420SYAsQSscm1-ztS_08pD1eclFnjwUC0EdpH3cpDu3-2O8HJFg.nvYwOAJ0z9dRiGOMBQ71BAMlO93h66AZEwC7eRDNcHI&dib_tag=se&keywords=labradorite+necklace&qid=1719060311&sr=8-77,https://m.media-amazon.com/images/I/61aUTcG4MQL._AC_UL320_.jpg
labradorite,labradorite bracelet,202,False,B07VP1QNLT,"Healing Crystal Wand Set of 6 Orgonite – Includes 3” Amethyst Crystal, Tigers Eye, Rose Quartz, Black Tourmaline Stone, Citrine and Clear Quartz Orgone Crystal Plus Black Tourmaline Necklace",25.95,USD,75851.85,4.3,2923,,,,False,True,500+ bought in past month,/Healing-Crystal-Wand-Set-Tourmaline/dp/B07VP1QNLT/ref=sr_1_201?dib=eyJ2IjoiMSJ9.2OQEnJIHPXtAW9GYoRVOJC8nHFuDztAVlEVtif4LK5EBOnN1FJf4SnbWwspkzpSGeGIku5nhvXs38kAWm9JkPBEWrpkGyUtzHkMZnP-lLLTDqsCDKAeKXSOfyRat1UnGsYni0mkKx8yWF1kpj3FRXS760IfZkserRrAVj70tSGVbVdxSW75WAT6xuVzUULdKdgL86YCOIFUdTZxCeGBzVRBUiTpXujPbFk1437QRbOqdy7ifUVBuBgwBnr-7RIwZ0jLM6mH5S5muCeiO8BU3cVcVqJLAT4YqDk8Gy39J0eE.LAGFIdP1TDWcoFf8s4WsQwtTISbI38ojRedqGbXta4A&dib_tag=se&keywords=labradorite+bracelet&qid=1719060421&sr=8-201,https://m.media-amazon.com/images/I/81R5Qg7eHbL._AC_UL320_.jpg
