Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
lepidolite,lepidolite ring,8,False,B01KWQ5TE8,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B01KWQ5TE8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.IUdzVlcioFiZBfrfpoC8clj9TpMzxcDDoTHqLNQi4g4OSAwckugR_n_hoEqYJUgtb11qqsEDUimH803WHL4XSGDfMDQiwSpwdX9xs6x1eriCLZyOznCMIYCrzVLj_vvnkq3LG5Ei6_nlThcjP10Ine7HZiNlCVvnx7ELWeseP7Vn9WzcwZrocbjIohACv_87ImnC5gFVme5fEU_jbJvUy-DKv0HU0t_6P5ap92f3ezIRH0Q9IBbRsQItcP-F3sNCT0jY1MW--TsMSrfYXXitGWXdAJZj9MFCdroMXcqWl0w.25uXyDxbQtWtfBvWY_ylRchwhFFSqrdSFgkUFvkP4BY&dib_tag=se&keywords=lepidolite+ring&qid=1719061897&sr=8-10,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
lepidolite,lepidolite earrings,40,False,B01HD7XBX0,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),20.9,USD,223985.3,4.5,10717,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B01HD7XBX0/ref=sr_1_41?dib=eyJ2IjoiMSJ9.kWfIc8lC6jz2CT7JJKxatSOoK_U07IuINfG45DGDQiR-xIiHoWg8mLBP4QJS1US9yzWocm7kptQe9ZaVreoH3-G_7RrsRUQafWA6fiMsNfZK3EXJLXb-Qua6d-2-DZb0B9F2drpkoPM-MmkkqI4cVUUu7rwcqyF0Geyoh6uj9HQ1Tgk8achhpkn4ONgWHkGTS2uQrLjpvRRzUBhtWyX48Au4xTOjfGOuq8qdzF4B8D89U7bAeeVgjmvxDgmxUe3gXe5VGZEUZMV2ODEj2mcNez5Gz7APzYlcj0pEzBG05Bc.iLQd7OPq3-15T14Yz_YeAKkG3gvhbEJF7U8CEZO0Wb4&dib_tag=se&keywords=lepidolite+earrings&qid=1719061929&sr=8-41,https://m.media-amazon.com/images/I/61ZMgQZENfL._AC_UL320_.jpg
lepidolite,lepidolite crystal,119,False,B07Y42S61D,Healing Crystal Collection (Calm & Sleep),38.38,USD,220109.3,4.7,5735,,,,False,True,,/Premium-Crystals-Healing-Relaxation-Anxiety/dp/B07Y42S61D/ref=sr_1_117?dib=eyJ2IjoiMSJ9.Jm0T24FPbdHERNEgp-9lbDg0EIC1Y7H1JTyskfUCbBu9KvZefLy1xQBuYJZVCLxC8FX-Mcbq3LDD-WLhKw7KDKLADVuAYYb2s09kQj-_sXBCeXEiwjXfdMgvKegV9F28f4KOeu1TyGlvVcugLKXzF3UbR5QjARwOIaI4J84PgNzTQ-ZOuhilmWcjTL2BpU0DQD1ZUXs0J9JCAYTaLUiur9QWVGdqCG7W1cA_ESlR0N0_9FnWN6LRQOq4LXoVhvujgvspbtWjgBHyUOCrKjwvBqGw5Mh0g2cscM30iR6LxlA.-UJi8XQ6Gj8z39ZP1sJbpEo-C030UlqmdY2ZKtG6qiE&dib_tag=se&keywords=lepidolite+crystal&qid=1719061955&sr=8-117,https://m.media-amazon.com/images/I/91Lc7y1TGYL._AC_UL320_.jpg
lepidolite,lepidolite earrings,46,False,B00MCK31IY,Sterling Silver Sky Flower Stud Earrings (previously Amazon Collection),30.4,USD,208270.4,4.4,6851,,,,False,True,,/Sterling-Silver-Genuine-Peridot-Earrings/dp/B00MCK31IY/ref=sr_1_47?dib=eyJ2IjoiMSJ9.kWfIc8lC6jz2CT7JJKxatSOoK_U07IuINfG45DGDQiR-xIiHoWg8mLBP4QJS1US9yzWocm7kptQe9ZaVreoH3-G_7RrsRUQafWA6fiMsNfZK3EXJLXb-Qua6d-2-DZb0B9F2drpkoPM-MmkkqI4cVUUu7rwcqyF0Geyoh6uj9HQ1Tgk8achhpkn4ONgWHkGTS2uQrLjpvRRzUBhtWyX48Au4xTOjfGOuq8qdzF4B8D89U7bAeeVgjmvxDgmxUe3gXe5VGZEUZMV2ODEj2mcNez5Gz7APzYlcj0pEzBG05Bc.iLQd7OPq3-15T14Yz_YeAKkG3gvhbEJF7U8CEZO0Wb4&dib_tag=se&keywords=lepidolite+earrings&qid=1719061929&sr=8-47,https://m.media-amazon.com/images/I/71pPJzNW2vL._AC_UL320_.jpg
lepidolite,lepidolite earrings,104,False,B000MFGN8G,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),19.0,USD,203623.0,4.5,10717,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B000MFGN8G/ref=sr_1_102?dib=eyJ2IjoiMSJ9.rAikDRjYiQVKcBfbmTtD8GP3btHvJRIb6WA2Ry_12Fu4cw6T3ilS_Dd1-1W1LxhL9WAawWAFnS0FwA4XQn1u_-oIhf1oSjmJ9tSUE1W-IfvSLRGW7q9vpj_n61h69e__Bi6PyWvG2zeRFs-nMKSJ9mvX8TvUXdxverLOYJjuFoP48Cl9swt-iHkYIe5zxbNX-sHJyXdH4rJwILtoh-Vz6ZlzaLmQXiCqNDRpo3bXqVr8xl8hVhUzKbwbDEhqhLayzKS4EO4az9QYx1SF5AoR_InW9gC6O6tUvyFTryIrm3U.fSkbl6SVF2VIJAbLvGWyJDoL49wnBT9zaeDT9gUU_NY&dib_tag=se&keywords=lepidolite+earrings&qid=1719061932&sr=8-102,https://m.media-amazon.com/images/I/61B7yroT+zL._AC_UL320_.jpg
lepidolite,lepidolite earrings,198,False,B0815TXG4G,"Infinity Love Heart Birthstone Crystal Stud Earrings for Women, Silver Tone Fashion Statement Jewelry for Girls, Holiday Birthday Gifts for Mother Daughter Wife Mom Girlfriend Her",36.99,USD,183359.43,4.5,4957,,,,False,True,,/Leafael-Swarovski-Happiness-Birthstone-Silver-tone/dp/B0815TXG4G/ref=sr_1_196?dib=eyJ2IjoiMSJ9.wT5IN5Z9DMzwnlxij2V5aw4FxZSFDPPVLTUJUR84aryStjvtpFpWPbQFmw5Mp4_9ONH2bvPrfDZ4-7C6dSwUN-YE4271GxYEoU71JDToUisNBQ6nn4ANPZ_WxY5dQpV4GN4elJIJdmRcN4_wMeeFNlOP8ZbzXwTzGzxdlo2CPeDvHafuefdWaossmuxOOam7kgyVE2U8WDyrkHkImpwk1DxsUV6XzVFkCDYdh2TV1m8CUqqvs2ADmUUOUojJw-2QUblyfbKpT9JHQI-aiedhK2SIGgALK_nxP6wrUQPlsaI.b4rPqJaTXqtTHf5wRxrZF7SfQyWlT7Q7XEQwMZbVAtw&dib_tag=se&keywords=lepidolite+earrings&qid=1719061935&sr=8-196,https://m.media-amazon.com/images/I/71OfdXKDcSL._AC_UL320_.jpg
lepidolite,lepidolite earrings,14,False,B08K4FLT1L,12 Pairs Teardrop Druse Crystal Drop Dangle Earrings for Women Cubic Zirconia Huggie Hoop Earring Jewelry Set Christmas Gifts,14.99,USD,167603.19,4.3,11181,20.99,6.0,0.29,False,True,1K+ bought in past month,/Teardrop-Crystal-Earrings-Zirconia-Christmas/dp/B08K4FLT1L/ref=sr_1_15?dib=eyJ2IjoiMSJ9.kWfIc8lC6jz2CT7JJKxatSOoK_U07IuINfG45DGDQiR-xIiHoWg8mLBP4QJS1US9yzWocm7kptQe9ZaVreoH3-G_7RrsRUQafWA6fiMsNfZK3EXJLXb-Qua6d-2-DZb0B9F2drpkoPM-MmkkqI4cVUUu7rwcqyF0Geyoh6uj9HQ1Tgk8achhpkn4ONgWHkGTS2uQrLjpvRRzUBhtWyX48Au4xTOjfGOuq8qdzF4B8D89U7bAeeVgjmvxDgmxUe3gXe5VGZEUZMV2ODEj2mcNez5Gz7APzYlcj0pEzBG05Bc.iLQd7OPq3-15T14Yz_YeAKkG3gvhbEJF7U8CEZO0Wb4&dib_tag=se&keywords=lepidolite+earrings&qid=1719061929&sr=8-15,https://m.media-amazon.com/images/I/7144eLGuefL._AC_UL320_.jpg
lepidolite,lepidolite bracelet,66,False,B086Q5JX2W,"Lava Rock Diffuser Bracelet with Essential Oil Stone Beaded Bracelets for Women Yoga Beads, Crystal Gift for Women",26.99,USD,119025.9,4.6,4410,,,,False,True,300+ bought in past month,/Bracelet-Aromatherapy-Essential-Diffuser-Relaxation/dp/B086Q5JX2W/ref=sr_1_65?dib=eyJ2IjoiMSJ9.P0KFTeMZWWuleOcFRlyH7Ws737_ou47y-sW3BLrcsS9W7ZvWlK-m1x-8Ixiz60K-Q6AzzgMis06mEeqONs1cDjd3FTPg6xht0DIWJGojSqaL4UIyl_nhTV5Vd6bE9srQvTsFOHI7h7oZlcwecdFML2lButZyPurYFO-0rhcqdltIwJThYWPAzxGeLsB7l3T6sd8hK1JJuSpVoY4X-2qcj0C_0LKTXacScyf7ykj8779lqxi-VJCIGk5_qKYNlZf-PQlGvPhX7Xe5464BkRzQmEFFEpmekBOypDQvjdRobsw.fPYLQEIoZUnU1H3NISwRp0KdpEISrX8bEyJHuqOX-D4&dib_tag=se&keywords=lepidolite+bracelet&qid=1719061970&sr=8-65,https://m.media-amazon.com/images/I/717ZqT4EcHL._AC_UL320_.jpg
lepidolite,lepidolite ring,80,False,B002VPDZO0,Sterling Silver Genuine Five Stone Bypass Ring,68.4,USD,115869.6,4.3,1694,,,,False,True,,/Sterling-Silver-Genuine-African-Amethyst/dp/B002VPDZO0/ref=sr_1_82?dib=eyJ2IjoiMSJ9.3nerhhLvqdlvIxUs7ANDoUgBnduVlAQTzk8KoXUd2qFFTOEWd5jUB61ZRmknjzVxRCMnlK9iOoekp8GR5l3CEjU0bxrauchogd6nYm5tNdpA9VZgiFtEAnCST7pH4hGnNOjiWc7uzp0EZHYVlLSiuJHHi2BgzcyQAO6y_XtpLGW_GC0LNJwndHJ6LnOvoSXu_7sdtIulw77hN0c9usap38iviZQ6eUVV_Ct3FLQwJf_DlJo9V-dvAEfy47cIC-0Km_Z_fMzKc_lRUPkJkinWdPJaB98BvVM8hdWm-pZcdqU.PrFScJFBjsGLtG4RY2KLlm4lUVyAxiLy3Pt1PZG5fRU&dib_tag=se&keywords=lepidolite+ring&qid=1719061899&sr=8-82,https://m.media-amazon.com/images/I/71Z91buVr7L._AC_UL320_.jpg
lepidolite,lepidolite ring,105,False,B002VPDZNG,Sterling Silver Genuine Five Stone Bypass Ring,68.4,USD,115869.6,4.3,1694,,,,False,True,,/Sterling-Silver-Genuine-African-Amethyst/dp/B002VPDZNG/ref=sr_1_107?dib=eyJ2IjoiMSJ9.gYDo0B3_9cDz8-CgLl6iuGZBxpM1SWdEA0WeqRq8gzPTd6e0VqMTYzCaPFixkxjr_gqM1r4w43Fa9aeNIxu_xQ4d2T4F8qAonxuLDTfyE7o1fRqwWVkiBiFswpJYt2Jv4t4qbktaSEOv7xV3UYM1WLX-9Dp0K6RO2lvcjWxvVx1gTdskYzCZgx3jFYVp3QcaljPapmpmKa5swVliit2xg3fFWaDa3aQJ6slRsy0pGptPqKg5MlrzH28IylexsDX6LkrRz4Nkuvkxx4QPDpEoGVZoiDoMD1wd4Ot7fG__t5U.8A_ZLgTHTabusweis7tsqHMxeYGQcvOYOCg4PDNyIR4&dib_tag=se&keywords=lepidolite+ring&qid=1719061901&sr=8-107,https://m.media-amazon.com/images/I/71Z91buVr7L._AC_UL320_.jpg
