Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
malachite,malachite anklet,23,False,B07N8JF8C9,Gold Anklet for Women Flat Mariner Anklet 18K Gold Plated Flat Marina Link Anklet for Women - Made In Brazil,12.99,USD,232092.33,4.6,17867,19.99,7.0,0.35,False,True,2K+ bought in past month,/Barzel-Gold-Plated-Marina-Anklet/dp/B07N8JF8C9/ref=sr_1_24?dib=eyJ2IjoiMSJ9.B2Jy6XeJGCDCh72vca335mXbjBeG0DxSZLX0npg-MmJX9eTopic_VicYlzg0vFIvyMZJ5QupSPRMDinOhdhPZ_kXjZ28PpNer3-P0iIe7OKgKb4Lke0rmFCrm2_-bNrgVI_QsiMYidWQoTWbCcmSPlZmfna1uz8k6nIzZnLj8fhOpIWYlosoInCfkhZnXCQRc2B5Pc0APC4_nfCIRz3klf5s05-Mdcwk-Dyh14m7Mxss0Bvz-iMktnnJwWtRyA-cOVOO3DIILg-vpIdt8FYJR70O53Pjg3-nsl6oVW8u9XA.jfxn7KKEQKWOd96kdz7Cc2E0-UunLOJSehNbKbFOqts&dib_tag=se&keywords=malachite+anklet&qid=1719060510&sr=8-24,https://m.media-amazon.com/images/I/51ntlg+Y98L._AC_UL320_.jpg
malachite,malachite crystal,1,True,B07Y3VZYM9,Healing Crystal Collection (Chakra Balancing),38.38,USD,220109.3,4.7,5735,,,,False,,200+ bought in past month,https://aax-us-iad.amazon.com/x/c/JNsm58wYvmyDfCsuHj9G1K8AAAGQP_3rVwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAwov5t/https://www.amazon.com/Premium-Crystals-Healing-Stones-Display/dp/B07Y3VZYM9/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c:amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&cv_ct_cx=malachite+crystal&dib=eyJ2IjoiMSJ9.97fQxB29DXe0GMq3PohObQ.GOJhTsdqxIS1phWkAvW1bL4KBc6yE-yYTgqh6zwnslw&dib_tag=se&keywords=malachite+crystal&pd_rd_i=B07Y3VZYM9&pd_rd_r=4546b4bc-0e8d-469f-98a4-f553122d13f6&pd_rd_w=stlif&pd_rd_wg=hg19x&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=99NHBDRV11TSGRBP5R1C&qid=1719060523&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776,https://aax-us-iad.amazon.com/e/loi/imp?b=JNsm58wYvmyDfCsuHj9G1K8AAAGQP_3rVwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAwov5t
malachite,malachite crystal,197,True,B071D9J878,"♥ A Little Romance ♥ Sterling Silver Bracelets for Women Northern Lights Crystals Bracelet 7""+2"" Extension, Packaged with Jewelry Box, Mother's Day Birthday Anniversary Jewelry Gift for Women Girls",44.99,USD,219056.31,4.4,4869,,,,False,,900+ bought in past month,https://aax-us-iad.amazon.com/x/c/JM4DdLaMkOlyXx7oF9GaAqUAAAGQP_4FPQEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBAHek7/https://www.amazon.com/LADY-COLOUR-Adjustable-Swarovski-Girlfriend/dp/B071D9J878/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9:amzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9&cv_ct_cx=malachite+crystal&dib=eyJ2IjoiMSJ9.n09j5DLl25EpBRPffpt8zw.EtazdPZ0R8-O7y1OUYwDAjzRBMTgdeBn4PwaKuCesk8&dib_tag=se&keywords=malachite+crystal&pd_rd_i=B071D9J878&pd_rd_r=b1b12109-81ef-4ffa-8956-211c78899279&pd_rd_w=BaImG&pd_rd_wg=8Wh4d&pf_rd_p=805ca70d-e057-4820-b9b3-729eee71f8a9&pf_rd_r=V4ZQ9VJXVG8CNTTAJ9TF&qid=1719060530&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-193-48f7baba-8e26-45f3-8811-e1a601ad20bf,https://aax-us-iad.amazon.com/e/loi/imp?b=JM4DdLaMkOlyXx7oF9GaAqUAAAGQP_4FPQEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBAHek7
malachite,malachite necklace; malachite jewelry,4; 50,False,B0CMVCHZLH,"Ari Heart Adjustable Length Pendant Necklace for Women, Fashion Jewelry",52.0,USD,207688.0,4.6,3994,60.0,8.0,0.13,False,False,,/Kendra-Scott-Pendant-Necklace-Malachite/dp/B0CMVCHZLH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.R2pnHp31DJ2we9q9hwk2jhI9XMpb19IQzFqbLM48yaslY1gX0dorT6tMQBLoW69XHrrvA6Nt1Cxd7Z-uMos5cQPht-Fuy0l9K_xmXb2Szc3F3x5lKSFnivohHiFZnwJjvsrskjODEBFKl0XFBKGKBmjjoyGTwGdicgFNhMbDPAXKksBNafYP7ZQTlOpxPPlVxEbHESY30UK6fKN6wt0lvrQgq88o4OWHovBv_yvbKo2f4bVpnl4HIbzeU7ygWFlgGgvY3nk_tvV2YN1jlKB9Hu0cU4RhtaLN7RghXbjVa6E.hzwa_ufe3emEb_KCTulsOTM1hQ0QFxkgPzl6L7yCKGE&dib_tag=se&keywords=malachite+necklace&qid=1719060455&sr=8-1,https://m.media-amazon.com/images/I/51FYPrEBzJL._AC_UL320_.jpg
malachite,malachite crystal,31,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_30?dib=eyJ2IjoiMSJ9.51ZPhzFHJXaKAqoCYiQk_cCfPZKsQMmUVVpoKJOKkdYnmIPVY9flWJl84fLqr6mvo8bHk7CyxklQguetDsV7Vz5JEaAIOgTeN3e4Pm6i_rnSPv00qgnIKi83IF7Nuzok9h5-j_wb53sLpLVOSRtfnCXyoirq_baFj2B41_cbaz1Gvl6LnniKC46k83-OiZpmr73kaSxKVXcwfIaH1fTnpTvBZBDOdwX-JXIcw1oD4AMQa2-jdDfXMHwBbfDISD7MlILIdp2e2JEbFYtwATx-mUc1nXt55jf6YUiOCFKD-as.kc4nkb36FoJ1uKRRmyGXaza_IbDrIMT7iea_FuIKOtY&dib_tag=se&keywords=malachite+crystal&qid=1719060523&sr=8-30,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
malachite,malachite stone,116,False,B07Y3X5YT4,Healing Crystal Collection (Abundance & Prosperity),33.33,USD,191147.55,4.7,5735,,,,False,True,50+ bought in past month,/Premium-Crystals-Healing-Abundance-Prosperity/dp/B07Y3X5YT4/ref=sr_1_105?dib=eyJ2IjoiMSJ9.pFvPJ1b4Bl6vfy82XeZnOmtmYxeXy3jUhr3wFOYmjzESKTtTuDZCE7mbcIGd3pRHP6q2LKnWc47S7kxWkWicBv9F-mYtmPx162a0Fk7GZEKpDQjBP21kWLKI10GOUD9pc3KeqhUbrezm9-sxJJ0L6fZOyQxiTWmT9HWRDvrNscacMYCP_Pqt1_EQPTyKc8Bfsfp_5PgT4perx4xg9jakAxWRuFD-HypNwa8I6CfiOdAyMqJg0MTU4IeMtchAO76w4QhalRHHyoLk5ilsxcqAY3GynjNa_sPLD-kd9FDxnXg.pIr6H961R6BrcidqOy4HGWiq4w-g3OkzjfqhJSNdeCc&dib_tag=se&keywords=malachite+stone&qid=1719060439&sr=8-105,https://m.media-amazon.com/images/I/91jha8iMV1L._AC_UL320_.jpg
malachite,malachite stone; malachite jewelry; malachite anklet; malachite crystal; malachite bracelet,45; 95; 43; 175; 7,False,B07DPH3F89,MASSIVE BEADS Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,19.99,USD,155722.1,4.5,7790,,,,False,True,,/Massive-Beads-Adjustable-Bracelet-Malachite/dp/B07DPH3F89/ref=sr_1_46?dib=eyJ2IjoiMSJ9.1IqpE5n6WYLnmURwakA78e6iLnmafbfeHtuhdhvk7jYtzV97UEe4920226pNmJdUWWp7ix0oi8o-J0phcZJiclLgHV2uaVtOt9UDW5F-meU0iyFo2wgnSIgXJaUI_GvJNu8QaKsd9gnK10Scgu2MWhxLhiflW5M1H8GUe5NdAL_BWHGcnU6AYviCRqHpYOu4ofggiZP00qOaCcQ2iZ6mwkPvGkfu06frv1_8I5AHxlCRjmeBStb9CkvingC7QYDOAHLiktw_mJ3IDl7hMO-2UcQXAUVc6lAmpniXIV45S_E.lhh6S60oKN1BxIYMFKgfcv6Du-uTGFYh_2cefduMwr8&dib_tag=se&keywords=malachite+stone&qid=1719060436&sr=8-46,https://m.media-amazon.com/images/I/61u4iokru3L._AC_UL320_.jpg
malachite,malachite anklet,60,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141435.12,4.6,10888,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_61?dib=eyJ2IjoiMSJ9.DmET3FFoGi97S7hv-NPPGQdqLxrwW7_3hDTaPAM_dBRA3mTQ_yx3JgUK6N6ouNjOZkeQRWuZdGyGFb5fB-Z4VFWHM_lx4Crf9as7q3hkhrC23K1IOGAbMxGsHF8Hno01fcLxOpaEPL4-qaEx0AzxkC-FaSFsjFsXLsxwqdx3RZQo-jrBk_7_lz2lMjbteYS5ogo6oy0bkzZnMasnrr9SVj-5o0hpOcAT_gtpj-xiIJZi1_BXTr-rqqURPA68wf8WCjXHaO4wEaxBzXSuqpel2U6pigqAEKnOeg1UGxd2hLg.-_jdlLUmYbtKUxg4adJ1rxpipNDifKJgKd-GQ5HmMDQ&dib_tag=se&keywords=malachite+anklet&qid=1719060512&sr=8-61,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
malachite,malachite stone; malachite jewelry; malachite anklet; malachite crystal; malachite bracelet,117; 146; 29; 182; 39,False,B094CCX1R8,"Adabele 1pc Natural Stretch Gemstone Bracelet 8mm (0.31"") Bead 7"" to 8.5 inch Healing Crystal Energy Quartz Chakra Jewelry Women Men Birthday Gift",19.99,USD,116661.64,4.5,5836,,,,False,True,,/Natural-Malachite-Bracelet-Gemstone-Stretch/dp/B094CCX1R8/ref=sr_1_106?dib=eyJ2IjoiMSJ9.pFvPJ1b4Bl6vfy82XeZnOmtmYxeXy3jUhr3wFOYmjzESKTtTuDZCE7mbcIGd3pRHP6q2LKnWc47S7kxWkWicBv9F-mYtmPx162a0Fk7GZEKpDQjBP21kWLKI10GOUD9pc3KeqhUbrezm9-sxJJ0L6fZOyQxiTWmT9HWRDvrNscacMYCP_Pqt1_EQPTyKc8Bfsfp_5PgT4perx4xg9jakAxWRuFD-HypNwa8I6CfiOdAyMqJg0MTU4IeMtchAO76w4QhalRHHyoLk5ilsxcqAY3GynjNa_sPLD-kd9FDxnXg.pIr6H961R6BrcidqOy4HGWiq4w-g3OkzjfqhJSNdeCc&dib_tag=se&keywords=malachite+stone&qid=1719060439&sr=8-106,https://m.media-amazon.com/images/I/51W0lVXTOZL._AC_UL320_.jpg
malachite,malachite ring,143,False,B07M75TP51,CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring,38.79,USD,109542.96,4.4,2824,,,,False,False,,/Sterling-Silver-Cabochon-Natural-Malachite/dp/B07M75TP51/ref=sr_1_141?dib=eyJ2IjoiMSJ9.twfCxnj1oQEPlRPLPEWamY8iZ7LrdqkQqLgwVLskX9r9qQbQi2JQEuXtFJw7CztyMC5CmpfN_BMR1v2jYkNDcoYc6d_N6nnNf7yfQLQV9njm8HSwPlTm1wGTEbXj2ozizUmu2Ifn6HLklcvqJni7Wur0a_AT8expIoU6-FIfPr54vrEi974gprYOGHq0SSPHZy9o0gRsPL_6vvi-Mvbd90WKzGqVhnyr81l6TUhLSehmny_YmTd_k9z6pB_dD5ursTI8hJIO8g01lmkWWx-EiPJ8YJgKEDrt_rx_k-a18Z8.qiUFJ45jiBH2PPk_IyQRAfexAR8YVkwwNwCfbp2Y3GA&dib_tag=se&keywords=malachite+ring&qid=1719060471&sr=8-141,https://m.media-amazon.com/images/I/61Gb+7S331L._AC_UL320_.jpg
