Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
moldavite,moldavite earrings,162,False,B01HD7X6VM,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),57.9,USD,620514.3,4.5,10717,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B01HD7X6VM/ref=sr_1_163?dib=eyJ2IjoiMSJ9.KIJYsiZxHmGxJyckY2P4UJ92_jV32ZvJZKziulQNHR-NRsj3OTlNkIBtce3vyuL5nKDkb665Purx0ucROivwhBvRSsKSwWzbEWVOD6ZubTg1adlSrxMCkFD7QWkn28GhvIdOABHYtzoYAfAi4iOpIRswodV0U8Ha0ZXsSpUqLQz_eOIWXnd774omX6Dq7bPL8hzOUYzyr2ugXhj9xH5FR4uwHX7yG2ZKdlXvUUuG4qylQwg2GatKAz9k4D7hFtHzINjFZARKHt97byFKMLT_46tInBAB3jUXq9kRjYHRuf8.KA9MYsORQj_aqQ2F50rKGCuYGjRnIZMJ3w_WdCXyqe8&dib_tag=se&keywords=moldavite+earrings&qid=1719060625&sr=8-163,https://m.media-amazon.com/images/I/61980Kz8L9L._AC_UL320_.jpg
moldavite,moldavite necklace,24,False,B01I18VC90,"Symbolic Evil Eye Crystal Jewelry Collection, Featuring Necklaces, Earrings, and Bracelets",69.0,USD,471132.0,4.7,6828,119.0,50.0,0.42,False,False,300+ bought in past month,/Swarovski-Symbolic-Pendant-Mixed-finish/dp/B01I18VC90/ref=sr_1_25?dib=eyJ2IjoiMSJ9.EJ3yW4wtA1Of-TQmi4YtbVSCSnxCoA3NpRco9xXrx6X1wvgci3JlZhIv3uQzMMmh6HLhedUn2RJFq-yzqQAu-bO-YnwWkn1PjPqp2yCEeptApxw0vwYkSIopbwMm-IqSeYVfDmv1XRWsuuzxIqSEn6fbjgQICKxREWTMACXGGfXdAPwDOVvwz4L3wVVI7bvynWk5i47DP4fLHFkgCNNzlSt6JPLLWnBIrDQnJq1i5JxAEVtm4jzr1Dz8uZY_E3uSAlNHUhX0AJpNPDFx7KU3oG-HlBBGWHp72DIUbd7DVko.qg5EXfWPsdg4ETzkQ4HcmXCsjgB5tkNAfECqgTrenFo&dib_tag=se&keywords=moldavite+necklace&qid=1719060571&sr=8-25,https://m.media-amazon.com/images/I/619paphlyoL._AC_UL320_.jpg
moldavite,moldavite bracelet,32,False,B07RG9QWMN,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329758.29,4.5,23571,16.99,3.0,0.18,False,True,800+ bought in past month,/MOOHAM-Bracelets-Adjustable-Aromatherapy-Essential/dp/B07RG9QWMN/ref=sr_1_33?dib=eyJ2IjoiMSJ9.Timf-2ugSvs3RcX8NUj5NJDzsUQ389N1e3hQ_cktk1YT6nFd0QsaGLXIWMqDRsbX0QKUHruu0p-pCE39Spf7s7MDllZXYqTafe9jeg8JmgEIUxhmZKK38aLPciL_7IoDGX0NWWFqRdhDF3h1cd1U4sGqUFEaNvOV885yBb46g2s_WRZcUs5V_FkXQOYFdh3QaCmIpNex7KxHT0pPLaa_mwQU76RJo9rfWTsEGoN997Gs0sWjUnyYjhVTibkF55UtB0x_KJrMrcx2xB0WT_ftdf8Kyirt7kcM9l2dRZX4Vkw.F9Z5iQqx3bnZns6_Me_C-1MuvjsLXczxe6Gl9qH1AfM&dib_tag=se&keywords=moldavite+bracelet&qid=1719060668&sr=8-33,https://m.media-amazon.com/images/I/61ICwh5fFNL._AC_UL320_.jpg
moldavite,moldavite bracelet,132,False,B07QY5DRBW,Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,16.99,USD,304545.75,4.5,17925,,,,False,True,50+ bought in past month,/Hamoery-Chakras-Diffuser-Bracelet-Braided/dp/B07QY5DRBW/ref=sr_1_134?dib=eyJ2IjoiMSJ9.Hx6rTkjJ2Af7yTChVZaUjdlf3sTyY9b7oFb3aVxB1AaA0s-cIb2f75QSkKVIUS1Hn2xsfZDKjcqRGeGWH4jImfMqCMQJAeA-YGQIoKSwJ_h2BtisZOtezo7eo6mU8YcFFYoXo4GVymZWsoJnZ2dBRdcep1ww2y2Hozeghyz4ODssb8jMyMJGzOP55HAaCinVnl-uTIgtozxxifJttRIH3Aofw3Ec4e42Iqhs8SGIq1lXRrNS72wvMSCnwZ7IGtLSrxa2v3wMXTAFw05j1x5HTtDebYrbgVJ2gcDtDi9R6eo.8UIhuS08DiBcB9pTggW-QJM1Tdfn7i2VisKUjDnoHiw&dib_tag=se&keywords=moldavite+bracelet&qid=1719060671&sr=8-134,https://m.media-amazon.com/images/I/71IoLt33abL._AC_UL320_.jpg
moldavite,moldavite ring,213,False,B01KWQ5VMS,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B01KWQ5VMS/ref=sr_1_214?dib=eyJ2IjoiMSJ9.8We2m7QTOz7lJErt2zo_Ha-fZT9GymwfATgbufclMIkaK8g2ZpeNaQGmA9Io4a2a4kV0zydlD6nMzL-9LBL0gmeoaVqAjF-npIUgtux3snnG3Rd1uS3DHLh6lrTudVOWDm5vsYVuJEfCuV-pfmRedYNJN6DqnPX8L0plQ-2DEZjY7r_i_91UsqQk2oGNZTZq8ej4icsPSkSIHqpsh0py82phIOaHjaBTVt6nmw_iBu3JLBSs26iLNQArx7F068yonuHXUNfMZHL49f4O7iNh4OK_CvsUdpFeNNbRfDTeGLs.1rFJwmAHjH-ztcJWeTQ_LNx_p3ef6bAfH7Ydq8AMgIA&dib_tag=se&keywords=moldavite+ring&qid=1719060594&sr=8-214,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
moldavite,moldavite earrings,195,False,B07QTHCGD5,"Infinity Love Heart Birthstone Crystal Stud Earrings for Women, Silver Tone Fashion Statement Jewelry for Girls, Holiday Birthday Gifts for Mother Daughter Wife Mom Girlfriend Her",36.99,USD,183359.43,4.5,4957,,,,False,True,50+ bought in past month,/Leafael-Infinity-Swarovski-Birthstone-Silver-tone/dp/B07QTHCGD5/ref=sr_1_196?dib=eyJ2IjoiMSJ9.cf1whtXy3LgZnEEAEiN8szaTaq2JymGGDdGmY3cpj7OiLCExtTVykdU_OW9nxBI9m4M1o2onvxLksYrIeFELcEFyIxEGnuqvBx_yKCoOwuKZqPJWM3wwPTe9tOS8nF2sE5t0XAl3iY_bdnHum_pzU_7f8cR2I8orUjgq-V6Zfs_S0Wa-SEtjcdrYlfYj96kTJZ53m4wPJowuJtL1HDc_YONKhaMNnqBcLVjukq9vpe84TuvKOsaPz-X2PVSkM2g6XLEkkOFWNMyU1pfetHDz7XYXFeTxAk6MjU0SaowZHhI.I6US66AGBRmLN-KIo2Uk0Alp7pdiSunx7-WOzcLRXls&dib_tag=se&keywords=moldavite+earrings&qid=1719060627&sr=8-196,https://m.media-amazon.com/images/I/71gpTDTRTfL._AC_UL320_.jpg
moldavite,moldavite anklet,133,False,B086HC515S,"Heart Initial Ankle Bracelets for Women, 14K Gold Filled Handmade Dainty Layered Anklet Letter Initial Heart Ankle Bracelets for Women Beach Jewelry Gifts",14.99,USD,157619.85,4.4,10515,,,,False,True,200+ bought in past month,/Turandoss-Initial-Bracelet-Minimalist-Initials/dp/B086HC515S/ref=sr_1_134?dib=eyJ2IjoiMSJ9.oZEXfqz7OZs4wAYObXl4WVqbITlYFmmgHgZwxg_5eroft8iLdqFvN6MpKIAFkD51p7cpPGBFAteNlfIfWlg1ayo0FV4zkw32X-Pxy4ro7TAQerihEG44VEpW7UGIdWUdy1mcRGSKsHjFBrU16OF5Ajza2oAMW-bsRDNYd17im0tu2QKSmtN6KiwzYohTwmFZk5uD948OauK61wxXeE1BZrIdBCV_mNAeWxykfdr3WRoCYKz-iWRhz6GLJA041o_1yP0mRqn8sA6sVw-r6RCt1Wqm6tqDYiP1Wijm2XkQHN4.hmpyYRm4jkpQFSASS4nSNMaH-oKM-jU9OXJd3n3Xdso&dib_tag=se&keywords=moldavite+anklet&qid=1719060640&sr=8-134,https://m.media-amazon.com/images/I/710Brx53kZL._AC_UL320_.jpg
moldavite,moldavite anklet,69,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141435.12,4.6,10888,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_70?dib=eyJ2IjoiMSJ9.qbrGPHhXcRfIiPLPVbI3rIrbS_hIUpy5WR8Ng-2fc5m_svhO-8h83AXne8w1lnb_tmolqfjCZNWmsCbrm9iqzgxp5OYMoZzr-RmJR_WUR8TlKEjqDHLnMb1wPAjuHj1grdlFpEyoklnnS454dDgrouX2lbqmzE1OEoYrjX2AfmeQbIgtFxPzeIiFdWla-1_nRLNVXoW9j8SOQMh2vzQ0362-ZTzc5cYiJUaJS9jYcUqho2xGkrqnNOJlirrpwwtMOXZvJ2gWExyRZY1S0aDb6h9PqTkkwGH0HFE3TL0ymRk.JhS2XgZ1sH2cwnb9oRBLZnJEo4Q1yUKwBdErQ2cAUmY&dib_tag=se&keywords=moldavite+anklet&qid=1719060638&sr=8-70,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
moldavite,moldavite crystal,149,False,B07FZ64F2F,"Extreme Amethyst Cluster (2 lbs to 2.5 lbs, Deep Purple Amethyst) Feel The Power of This Uruguayan geode in Your own Personal Space. Includes 3"" Selenite Wand.",74.99,USD,124108.45,4.6,1655,,,,False,True,,/Amazing-Super-Size-Amethyst-Cluster/dp/B07FZ64F2F/ref=sr_1_150?dib=eyJ2IjoiMSJ9.NV4driBa3Z80C1hGkWWvPS8evUYA01cej7cWOF49Mq7IRnyb4CPbH4_uYaRGqzIMcl7Rl6W1UiqkVNm4FfubAlJ99Hgj2sNCegwan0UpvkbCC1fwVH4Ya_VpwOAI3jVT759Cf9Iy7WnMFFSmWstf69-i3C9j7ng_gTzUws0B3a1ulKDSe8VEqPk2XoqjOFl-k775VtjLYkhjDf-Wfyz_ep1qlOqfWzT6c71aAPzq0TPJdPbbLnTJBaDTc10YsSynf1eSmsdtKdApCzaKYF0_jQCiWey1HHwm6vlLbjbuWPQ.Q1y-s1c5HkczbGoi8Er6BqayR5Pk9P2r2H6SP5s06yI&dib_tag=se&keywords=moldavite+crystal&qid=1719060655&sr=8-150,https://m.media-amazon.com/images/I/81vTS5B7cSL._AC_UL320_.jpg
moldavite,moldavite stone; moldavite crystal; moldavite bracelet,173; 165; 36,False,B07DPHGFHG,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,13.99,USD,108982.1,4.5,7790,,,,False,True,,/Massive-Beads-Adjustable-Bracelets-Labradorite/dp/B07DPHGFHG/ref=sr_1_149?dib=eyJ2IjoiMSJ9.EFMCCur7gol8-m7nF4-L1Fj3nZdAxJZHud7QfyW0fXEo6-Xmd-S6XwYuZSzzlJBPYN5PjpIXde2ZLCBWNXHI2SKV16pAAMDuc0rgippRXTYfsPk-HicsQewPlExnd6D6G-5_CTMQMknjLgn206MESEtzv4QcTXBfuArt6-MIGv2E8R0jlhF8ofQKAPtO82Q0I7JaWejsk1RB6yhoCVGfRYd14ajDlu_7DU3cK55uUBEKXAiRvS6dpfTQj0lHDp9-AYhp81gb6sgpDIlhzstVXTP9K_tI9i_L6EfDdV5H8_4.kemTzLi_v9Ea_gEVnpEo1sUm1X487aUb2id0i6wx8MY&dib_tag=se&keywords=moldavite+stone&qid=1719060556&sr=8-149,https://m.media-amazon.com/images/I/51607J+9X2L._AC_UL320_.jpg
