Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
nail polish,g nail polish,121,False,B0CLD2GLHG,"SUNUV 48W UV Light for Gel Nails, UV LED Nail Lamp for Gel Polish with 3 Timer Settings Professional UV Nail Dryer Nail Art Tools Auto Sensor SUNone Pink",35.99,USD,1770060.18,4.6,49182,49.99,14.0,0.28,True,True,1K+ bought in past month,/SUNUV-Polish-Settings-Professional-Pink/dp/B0CLD2GLHG/ref=sr_1_122?dib=eyJ2IjoiMSJ9.Gl8a9QQ33GWPc2wAuOGKBxQPXAl7hXDjqHe9iqlCLmdjnHBEQDdMmKZjYq3sQYZlGfVvZEXZq078XXaDD72x-Wxbx-s9XIjSeWEJ6xnUFoh4YdMHyRfIbKzIipwN47yuOPFtSuj9ehrpU_O33PcFIYgWXQk1nIOg90zVO8kYVa7_KytTmF0oFc3kRlKlHGH5_QVrS_A8S43jeanyG_9ThgVVGpPHOc2c2sBQAH35gbTCJMrWKOUf6qk6jlZc7Gp8-qLFESiM_6RKCUifkNRNZbQiz8adY7wdHlYWuVR1jGw.qw5g5wiHLAbXHZ2Kp1be-qnr2pUN40nzxflphlC23Sk&dib_tag=se&keywords=g+nail+polish&qid=1719063222&sr=8-122,https://m.media-amazon.com/images/I/51hWL7NPWDL._AC_UL320_.jpg
nail polish,gel nail polish; nail polish,153; 190,False,B078NTG1V5,"UV LED Nail Lamp, SUNUV Gel Nail Light for Nail Polish 48W UV Dryer with 3 Timers SUNone",32.99,USD,1622514.18,4.6,49182,49.99,17.0,0.34,True,True,,/SUNUV-Manicure-Machine-Infrared-Professional/dp/B078NTG1V5/ref=sr_1_132?dib=eyJ2IjoiMSJ9.UmvdwvdiIHgDABGS5AtZNKc_n9usxEHrEHOBjMsEi01u5Lw5F61mAJ1YFE6GtQEcfwjPA0osMgi4ex8Oy4zDXJp6E4BKiYmMosTJsV2-Rj481kopJ0uWa_68TBzxxJ5DcrooQtcyyvXJcrB86axMtM-BFiua1Y4PxaGMK4KCtnTZNljd2AW9P25VnmtrWnIKamWcPu26F3AHhlnCCsUj-gZ2sYSQu2YbEoMz6t5QZObqBty59CiVBPn-_r-bMO2vbB6fuGfFzQuAyRXYUc0fLX93MzA02XbYfQCzrzEAvUc.yVxBFVxy8o0IuG6wk0EF3wcZAzeE9mRdqgwP_JgGQBA&dib_tag=se&keywords=gel+nail+polish&qid=1719062146&sr=8-132,https://m.media-amazon.com/images/I/51BP+HVh2PL._AC_UL320_.jpg
nail polish,gel nail polish,9,True,B083XVL19L,"Beetles Summer Mermaid Gel Nail Polish Set, 20 Colors Blue Green Pink Purple Shimmery Glitter Summer Gel Polish Kit with Base Gel Top Coat Nail Art Brushes Soak off Uv Nail Gel Gift for Girls",26.99,USD,1395949.79,4.5,51721,38.99,12.0,0.31,False,True,,/sspa/click?ie=UTF8&spc=MTo4NzUwNzk1NzIyNTM4MzQzOjE3MTkwNjIxNDI6c3BfbXRmOjMwMDE4NDE3MTk1MDgwMjo6MDo6&url=/Beetles-Gel-Polish-Mermaid-Stickers/dp/B083XVL19L/ref=sr_1_19_sspa?dib=eyJ2IjoiMSJ9.po-gZ_8ikSs_A2bZ1Tr-wivxv_YCu3Ggo2g0XdPKO28BAR2bHFscGlpBLR49EBob9c_FRcWyOG9YMkmUYMerDA6jhZ2DrHxv-QVRUsXz99hR80YWxc-hHkJqinFCc_ELSMRzDprq7VYglHwcZYeVMKcemmrPh_CozjATSzjP68nKQhA1ZptWKXnQjly2d7qatoBj01I64R70dAAS_FpUKsZDj_tc-a0wI9KqDthn0cCB2WY2QkNbNOsUjzOy33i-gD792TBbyvP3G8VEZmUU7hSdlnom05wxcMOfmnW9t0g.M5gMmUSEt287uBcY8Q3dJGZsW8Ipl4cFer9ypR_VGZI&dib_tag=se&keywords=gel+nail+polish&qid=1719062142&sr=8-19-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/811NO+b7stL._AC_UL320_.jpg
nail polish,gel nail polish,17,False,B0BWDX4MYR,Beetles Gel Nail Polish Set 20 Colors Neon Nail Polish Glitter Bright Rainbow Collection Sparkle Pastel Pink Red Green Blue Gel 3Pcs Base Top Coat UV Gel Rainbow Nails Summer,23.99,USD,1240786.79,4.5,51721,,,,False,True,1K+ bought in past month,/Beetles-Gel-Polish-Collection-Manicure/dp/B0BWDX4MYR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.po-gZ_8ikSs_A2bZ1Tr-wivxv_YCu3Ggo2g0XdPKO28BAR2bHFscGlpBLR49EBob9c_FRcWyOG9YMkmUYMerDA6jhZ2DrHxv-QVRUsXz99hR80YWxc-hHkJqinFCc_ELSMRzDprq7VYglHwcZYeVMKcemmrPh_CozjATSzjP68nKQhA1ZptWKXnQjly2d7qatoBj01I64R70dAAS_FpUKsZDj_tc-a0wI9KqDthn0cCB2WY2QkNbNOsUjzOy33i-gD792TBbyvP3G8VEZmUU7hSdlnom05wxcMOfmnW9t0g.M5gMmUSEt287uBcY8Q3dJGZsW8Ipl4cFer9ypR_VGZI&dib_tag=se&keywords=gel+nail+polish&qid=1719062142&sr=8-15,https://m.media-amazon.com/images/I/81pdfYhk1-L._AC_UL320_.jpg
nail polish,i nail polish gel set bag,185,False,B001RVBO2Y,"OPI Infinite Shine 2 Long-Wear Lacquer, Dutch Tulips, Pink Long-Lasting Nail Polish, 0.5 fl oz",13.99,USD,1111267.67,4.6,79433,,,,False,True,50+ bought in past month,/OPI-Infinite-Shine-Tulips-fl-oz/dp/B001RVBO2Y/ref=sr_1_186?dib=eyJ2IjoiMSJ9.3HQaE1jTNdSYsDfaWE4i7RptGK3U_Xcfsfn3YPkwsAT8v-48K8Ii134dJ1WP1QGNfE99IrKSe4EhWyb5iLAl9fP-6gYrXB6fkt0BJzF0dOEODLSLlpAc3CPFEPj7vcmtrKcIdTUmT6OwxkSfM6pHomq9JVAFf57le5g0wK2D47-gyM0NSvV6Smh3jcm-3OSOOYD4frCk7pCHCgvkZq1ToNVr1eySKEAYecYJI6a0GIPSVA-TZyZg0GTz9UsqwHoX8mVPm4b2LCwzMfFcQRwOW4fc7_biFSSKTytnUlX4qe8.EZKEg-1rqfRjRz-RW-1_V3KIKM8aSke3yKWmoCGjmPM&dib_tag=se&keywords=i+nail+polish+gel+set+bag&qid=1719063551&sr=8-186,https://m.media-amazon.com/images/I/51ogFBmkvwL._AC_UL320_.jpg
nail polish,g nail polish kit,17,False,B08K2GZKKK,"beetles Gel Polish 23Pcs Pastel Nail Set with 3Pcs Glossy & Matte Top Coat and Base Coat, Yellow Purple Pink Blue Bright Macaroon Glitter Uv Nails Paradise Gel Polish Summer Gift for Girls",22.99,USD,1058022.79,4.5,46021,,,,False,True,1K+ bought in past month,/Beetles-Gel-Polish-Glossy-Matte/dp/B08K2GZKKK/ref=sr_1_18?dib=eyJ2IjoiMSJ9.O7EIq0NZBNksvL3vuo0pDRT9A3RnqTCWG9JjdLTDj8lZRTZeuaWTBCfOv1TzI1B5_DQWeuDHZlCPiWGmQpMbvxb3AyEXsSC3wj4fXyeAVXJl3LTpaZa5t1906bzZ4rzfBsXBfoXfhZ75o0KHMthSQM5n6dutI1LbVziFk15tnJA_f2AMqg2I6shcRBlInNnlOS6P8H9ohOADrQo3Ib44CwE6twu_gO-5VjROyr3I_sBcrg0KNTOyqikL8-Z-VZ4RWOZ8dr8S8Ri3yNCAy1CWeD3Kd9yuxT9dpJUYvcabVAk.VUvv83sA94JfwoJCrfv35UirGjbEsEWEdr0jfsvzZOg&dib_tag=se&keywords=g+nail+polish+kit&qid=1719063233&sr=8-18,https://m.media-amazon.com/images/I/71Tw-vAFNLL._AC_UL320_.jpg
nail polish,nail polish; g nail polish,20; 1,False,B083SM56BR,"Beetles 23Pcs Gel Nail Polish Set with 3Pcs Base Matte and Glossy Top Coat,Nude Gray Pink Blue Glitter Gel Polish Kit Modern Muse Collection,Soak off Uv Gel for Girls Women",19.99,USD,1033902.79,4.5,51721,36.39,16.4,0.45,False,True,3K+ bought in past month,/Beetles-Gel-Polish-Collection-Glitter/dp/B083SM56BR/ref=sr_1_22?dib=eyJ2IjoiMSJ9.c5iH5p7H5HZeqWiw5-Qty2b4fQGPfMp1KvxZCVgY_Sh0hXWFpohMlb552VsCY61AU3gvv0oZk6i1CjJ6Sf_VGK0m89xKVdS8hxNCk2yvX6_B_YyHDDnb8HVR0k6JC5gF05awyjLJBlUeBUaBdQevPeUoSKcTwnw31oA3WmRBHKDycgRGrQBTMJNz8uSLBYBmy_24ul61omYtRkP0Ug7ZusbPZR9__qCBPfA--gHqHo708TFJarsQ5b6ZqlU2JvVyOQrycVeD8avJEPVtYx-We0yLePB8BxQ1D069Gynhahc.FyjTXhSrDlfFsDT2BfwEtHZcAfdm5WbTrdNbRh7ZsIM&dib_tag=se&keywords=nail+polish&qid=1719062163&sr=8-22,https://m.media-amazon.com/images/I/81riUl2HLML._AC_UL320_.jpg
nail polish,b nail polish,79,False,B0987JZM58,"OPI Nail Lacquer, Neutral Nail Polish, Nude Nail Polish",12.99,USD,1031847.66,4.6,79434,,,,False,True,100+ bought in past month,/OPI-Nature-Lacquer-Natural-Cruelty-Free/dp/B0987JZM58/ref=sr_1_80?dib=eyJ2IjoiMSJ9.PN6GQAGUeFZIPXOF9JYwWPXiH9rOAjrpx9Tgt9GUo4vHVidrLRH2z88UcZXL-mKWihcDs-APLMXK298dTT9oCdv8jaYfmQIyHBzOp9bkirk-c51VgnshNWQB__yk_M5EvVYQtX7KfU7KDuNLhaLjf7XKsQOAvX7tN60iKl9AdAbtPKgSk5GJQXEqBZ_zqCLEfxVCoiRTx8JYwj2fXvX00AwdAtCNyY9eR-o2qw7IHM3MsPue63W7aETQlPiSsm-1gbEEUkMnyDjvJNEjWR_MwEyLePB8BxQ1D069Gynhahc.9RmtjFpFitgKhpIf17ycsrkBtPFJBcXa7JrxqFWWMnQ&dib_tag=se&keywords=b+nail+polish&qid=1719062542&sr=8-80,https://m.media-amazon.com/images/I/61QGrqx2NfL._AC_UL320_.jpg
nail polish,d nail polish,129,False,B0BHFHD23P,"OPI Nail Lacquer, Neutral Nail Polish, Nude Nail Polish",12.99,USD,1031847.66,4.6,79434,,,,False,True,300+ bought in past month,/OPI-Nature-Natural-Cruelty-Free-Lacquer/dp/B0BHFHD23P/ref=sr_1_127?dib=eyJ2IjoiMSJ9.4e5fJqnZWC7AVo6OpND34nB7_1xLmU2WOOhY9k0EXQ9Qgy5lVfVNyZI6a-BYfaBoqNLLmgYBxO_Jihg66DszEIx5bS7gr9rHwgmRz3NrmYy7wjw3Y8cJJaR7ojkWGT_eX8jIYIp3l4vru9qx1hPamKNP2jtwPP_lhDShQVoVIXUgp-Vy71dXjCEq1QDtDvQDmuEfmo5AbY1tXGMuZR9DLg2zpZ6xwsireqrSh0rG15hAfs63WDWqFlTsHLkzZgT0OHTZBY9f8L2mmy9RhAz4w9ubVFB40xafvBMLBLaAkWc.ISkQMLipxEAGsW0J1GxYWil5w78E5OwK7O6mAjBrAS4&dib_tag=se&keywords=d+nail+polish&qid=1719062823&sr=8-127,https://m.media-amazon.com/images/I/51r8koiDn6L._AC_UL320_.jpg
nail polish,g nail polish kit with uv light,51,False,B07G31SQZ7,"Gel UV LED Nail Polish Lamp, LKE Nail Dryer 40W LED Light with 3 Timers Professional for Nail Art Tools Accessories White",17.97,USD,1003696.38,4.4,55854,21.99,4.02,0.18,False,True,9K+ bought in past month,/LKE-Polish-Timers-Professional-Accessories/dp/B07G31SQZ7/ref=sr_1_52?dib=eyJ2IjoiMSJ9.VW0NhCrfMRz9hCfFSd_Azosvf24H-l9pjeZGBgqJbsMQX3bBYk5DVZIM__Hwj42KM8R4e3-0q_G1WeH9h3rInOKmH8UFlEj5G48XCumFdk7GPHX9hDZuIJWzD-26_jDPp39_TXrP_OdRTmUWopZkR4eFLB_Suk1QPtyhy9SFHlrb-lPMHm2OWx_bdIsY125SnHnRSZdg958uXWojyK4dTXOoN9gmcIhyCo7E60JMA9g0YY8KEHrqJnpjhWGwsxQ7-3pIdjZ72t6FYV-l7qMW4KAk7qVvv1uJ0uaqdcWIYs4.rIzrCDu4aiiKr75faM-gurPIBBjKrIYMKV4PQTRNiy0&dib_tag=se&keywords=g+nail+polish+kit+with+uv+light&qid=1719063262&sr=8-52,https://m.media-amazon.com/images/I/51adKheUDnL._AC_UL320_.jpg
