Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
nail stickers,nail art stickers,1,False,B0CJ2RXX4M,"beetles Gel Polish Gel Top Coat with 5 Sheets Nail Stickers, No Wipe Top Coat UV LED Needed & 5D Embossed Flower Nail Art Stickers Self-Adhesive with Nail Tweezer Pegatinas Uñas for Girls Women",8.99,USD,212262.89,4.5,23611,,,,False,True,200+ bought in past month,/beetles-Gel-Polish-Self-Adhesive-Pegatinas/dp/B0CJ2RXX4M/ref=sr_1_2?dib=eyJ2IjoiMSJ9._gb3_QlngkmA91cG9OqKTmwtCMATt80F40CUoYjGdHPs_wanF3W6cLlsH6PJIMuyqGpYmuGfZ6AXFh7su3z11CpDVOlbZj86AhGTVwKB4RxJY5GR-frFvv0DX-wTLBfMpEqjLOAihDNOCqUH4OUFjFxH5EVq0AisicnADP2RfFG6AT9GPFRbCUAfnwAidxATASQ2SbDh1NE8qg8_evFWjPYKqtm83vZnN7YJhaBtqcKZdZbm38tjzNtss54CNrMIPPYQryqgthlsue1WmW6TojsFzObKgsMY_9iCdUerY4o.ZqUTYoKsTTNegz6u-PAUF53qn_x37vEwAN9kWbhvh_Q&dib_tag=se&keywords=nail+art+stickers&qid=1719062269&sr=8-2,https://m.media-amazon.com/images/I/714Ot5Gek+L._AC_UL320_.jpg
nail stickers,nail art stickers,3,False,B0CJ2R2PT1,"Beetles Gel Top Coat With 6 Pcs Nail Stickers for Nail Art, 5D Rhinestones Sticker Spring Embossed White Flower Design with Nail Tweezer Pegatinas Uñas Nail Gems Decorations for Women",6.99,USD,98845.59,4.6,14141,,,,False,True,100+ bought in past month,/Stickers-Gel-Rhinestones-Pegatinas-Decorations/dp/B0CJ2R2PT1/ref=sr_1_4?dib=eyJ2IjoiMSJ9._gb3_QlngkmA91cG9OqKTmwtCMATt80F40CUoYjGdHPs_wanF3W6cLlsH6PJIMuyqGpYmuGfZ6AXFh7su3z11CpDVOlbZj86AhGTVwKB4RxJY5GR-frFvv0DX-wTLBfMpEqjLOAihDNOCqUH4OUFjFxH5EVq0AisicnADP2RfFG6AT9GPFRbCUAfnwAidxATASQ2SbDh1NE8qg8_evFWjPYKqtm83vZnN7YJhaBtqcKZdZbm38tjzNtss54CNrMIPPYQryqgthlsue1WmW6TojsFzObKgsMY_9iCdUerY4o.ZqUTYoKsTTNegz6u-PAUF53qn_x37vEwAN9kWbhvh_Q&dib_tag=se&keywords=nail+art+stickers&qid=1719062269&sr=8-4,https://m.media-amazon.com/images/I/71T1p2QAFuL._AC_UL320_.jpg
nail stickers,c nail stickers,82,False,B0C7D3DSSY,"TailaiMei 30 Sheet All Holidays Nail Art Stickers, Christmas Mixed Seasons Variety Pack for Valentine's Day Halloween Fall Nail Decals, Self-Adhesive Year-Round Thanksgiving Nail Decorations",16.99,USD,63848.42,4.0,3758,19.99,3.0,0.15,False,True,50+ bought in past month,/TailaiMei-Valentines-Self-Adhesive-Thanksgiving-Decorations/dp/B0C7D3DSSY/ref=sr_1_83?dib=eyJ2IjoiMSJ9.hfy5-aAParUZkFPoZWrtSJJoKQ2owtth-mDAdbL13bDCELP9l8Q-Uw-LLrm4k0pyQlaqRcU79zHIqXwRfT-FH0PyE-JttnwWEG9IdOi0m-1z67qHkl7QaVynGM7-8glVE9jo9KxWqO97OOp3vSTM1pyhpF60EXG0DT4y9FqltzFyG6ngHcryt_GOZkpzFSRukAHWU6xElaOe3FQ_7SSHe4yJ8Ve9FrEjQ3Iy3qI_l4vLThdUnWmO1tXwPbno3lzQtAcItffFkRpu3rLyWBC392MghyvXOdA5npIvW0svz60.ldNCFqG9PT3DMZgktETda8grMFMR0ntm7CTw7mpkn0M&dib_tag=se&keywords=c+nail+stickers&qid=1719062741&sr=8-83,https://m.media-amazon.com/images/I/91iKb-Q+15L._AC_UL320_.jpg
nail stickers,c nail stickers,167,False,B084FVZ6JJ,"ohora Semi Cured Gel Nail Strips (N Ash Pink) - Works with Any Nail Lamps, Salon-Quality, Long Lasting, Easy to Apply & Remove - Includes 2 Prep Pads, Nail File & Wooden Stick - Pink",13.5,USD,63261.0,3.8,4686,,,,True,True,500+ bought in past month,/Pink-Real-Nail-Strip-ohora/dp/B084FVZ6JJ/ref=sr_1_161?dib=eyJ2IjoiMSJ9.FjctkVGNyU5ajJvY5_FHxhR1xK1-7G2pndjmoSc522_xH5A0tKupXqrojoQNU_vFpZd-5m1p-c4zTh1AmVAWHsP-QStDj5E9GZRwFJ395m03l7lb6-g9mmc9VNHeh4XWmJfrPwXo_sDVvvn9Y7KJK7T_1vZ70YtyPxGkYLMj2O2frTZCGTXt4ewn3O5txMCs-mjoTkRfYr0_xLGw-YSklnRcvSfexBxghiDmnssBfKNbluobeIIeTxlRn3O8XZq_ZSf730rwC6nHalfWfMC3SVLvDEmMmegbahpXQQmeY-k.cbF9m_UFLZ-0-oHzk8MvLj4LYsX423IoaHGi1Ntgzhg&dib_tag=se&keywords=c+nail+stickers&qid=1719062744&sr=8-161,https://m.media-amazon.com/images/I/41lYN3fkG1L._AC_UL320_.jpg
nail stickers,nail art stickers,143,False,B08B5YN3QR,"TailaiMei 36 Sheets 1368 Pieces French Manicure Nail Art Stickers, 3 Designs Self-adhesive Nail Tips Guides for DIY Decoration Stencil Tools (3 Moon Shape Design, 36 Sheets)",8.99,USD,58327.12,3.9,6488,,,,False,True,2K+ bought in past month,/Designs-Manicure-Stickers-Self-Adhesive-Decoration/dp/B08B5YN3QR/ref=sr_1_144?dib=eyJ2IjoiMSJ9.a4b_UlnCrWVxvLx6ElvnW6IS0zofiGsjYjjdb-iOqspnuQTq-1_XjyFuLcBcqYlqYud4FGPbAlNa8oEMIwOlwJDE0eyhN-qIa3p8vRmHZfbtwfP46j60s_P1euNLesP5RjSusMrK0JpZLxvY5PxunSMuQcAQBNjK4dq-nwQETt50tv_QBD1eKeWWZDcsaOlKf6O5i6xdEBeOcitzINZqDsNCVUtrXv2kD1IRvW8_WGMynLZnKV1J_8SbwFi3x1EsyG_yT4uJ-_V5h6ziWa9WFfEdfo7e7pfvShBiDiN-TG0.hL0PMmGQsNGgogZ9lC3UpxzcA3jgyokyEIYm-K25rs8&dib_tag=se&keywords=nail+art+stickers&qid=1719062272&sr=8-144,https://m.media-amazon.com/images/I/71JpNBJ+EIL._AC_UL320_.jpg
nail stickers,b nail stickers; c nail stickers,141; 65,False,B07GHG89GR,"TailaiMei Nail Decals Stickers, 1600+ Pcs Self-adhesive Tips DIY Nail Art Design Stencil (12 Large Sheets)",6.99,USD,45351.12,3.9,6488,,,,False,True,,/TailaiMei-Decals-Stickers-Self-adhesive-Stencil/dp/B07GHG89GR/ref=sr_1_142?dib=eyJ2IjoiMSJ9.3CL9mXvL8H6CcTX4if1B9LJTe4W8WF9cRth91y8XHlic5yNfUGnlriqFYKG7qZtIud5IfO1yJ63uPz7T5HfOgyQzi2rg2jbAzeLexQWI-n0O1BvaGWKrghSED5zGohgmK6oVflDLh6yzybf-X7GPMYLESlupBvQvkSTN2pvqxshE741Vz_msNVxSkjQv_AvTsufFpDUfT6DqbksH01f2UHXbhtEGazTrlV_sODM7pHw6dCheEWVEfn5zxlrdD6bPbGqntM4yJt5cJPxOjamJYzSDub3d_DCpLiqw87EkxuY.GFT3xAHT7bomR4-ZxCFFrH9BTPgBrq7kWX05URd5eJg&dib_tag=se&keywords=b+nail+stickers&qid=1719062526&sr=8-142,https://m.media-amazon.com/images/I/71vld4pjezL._AC_UL320_.jpg
nail stickers,nail art stickers,60,False,B0B8QRT78F,"Artdone Chrome Nail Powder Metallic Mirror Glitter Effect Pigment Iridescent Aurora Mermaid Pearl Dust Kit for Gel Polish Nail Art Decoration, Resin Craft Arylic powder",5.99,USD,34819.87,4.5,5813,,,,False,True,9K+ bought in past month,/Artdone-Metallic-Pigment-Iridescent-Decoration/dp/B0B8QRT78F/ref=sr_1_61?dib=eyJ2IjoiMSJ9.LmDAwKdON8X468K7BmEN_NgDBa9xh1bNakOlZy5LeNDNUfiMFs4uktuOgThluPM8WaKIULG6goNmjK6uLXFW236vKQctKUDJohTAqwASt9dPM0x5tH4b98WHmwdpHHST26k2uywc4y9YLNfiSmtCdzcIZsOh5AopwlAHfnnIp3VfvEFFBw91NslxixRpQHnrF5NN992v5gvhXN0mNdTZzK2kLsBv9SrYQhiGR37GpkkQYiP6_J7FHnjd1sbDdnxU7MYV5-YPzOugXCyprrWWdJEXev2nBZ61HY7nc2eS46s.AVasHydX2ULGLLxOMFSgjxP8Q1hJH-IoI_6bQGyaMPc&dib_tag=se&keywords=nail+art+stickers&qid=1719062271&sr=8-61,https://m.media-amazon.com/images/I/71lNeJZQxsL._AC_UL320_.jpg
nail stickers,nail art stickers,26,False,B08M3RDZS9,"Teenitor Nail Art Kit for Beginners, Nail Art Supplies With Nail Art Brushes, Nail Dotting Tools, Nail Art Stickers, Nail Art Rhinestone, Nail Art Foil, Nail Art Tapes, Nail Accessories For Nail Art",8.99,USD,33325.93,4.6,3707,,,,False,True,500+ bought in past month,/Teenitor-beginners-Butterfly-Stickers-Rhinestones/dp/B08M3RDZS9/ref=sr_1_27?dib=eyJ2IjoiMSJ9._gb3_QlngkmA91cG9OqKTmwtCMATt80F40CUoYjGdHPs_wanF3W6cLlsH6PJIMuyqGpYmuGfZ6AXFh7su3z11CpDVOlbZj86AhGTVwKB4RxJY5GR-frFvv0DX-wTLBfMpEqjLOAihDNOCqUH4OUFjFxH5EVq0AisicnADP2RfFG6AT9GPFRbCUAfnwAidxATASQ2SbDh1NE8qg8_evFWjPYKqtm83vZnN7YJhaBtqcKZdZbm38tjzNtss54CNrMIPPYQryqgthlsue1WmW6TojsFzObKgsMY_9iCdUerY4o.ZqUTYoKsTTNegz6u-PAUF53qn_x37vEwAN9kWbhvh_Q&dib_tag=se&keywords=nail+art+stickers&qid=1719062269&sr=8-27,https://m.media-amazon.com/images/I/816Hto9L6GL._AC_UL320_.jpg
nail stickers,nail art stickers; c nail stickers,100; 177,False,B01JRVQWXG,"KINGMAS 50 Sheets Nail Art Stickers, DIY Nail Decals Butterfly, Flowers, Feathers etc Colorful Watermark Transfer Nail Stickers for Nails Design Manicure Tips Decor (Classic (Water Transfer))",4.99,USD,32953.96,4.3,6604,,,,False,True,,/KINGMAS-Different-Stickers-Transfer-Watermark/dp/B01JRVQWXG/ref=sr_1_101?dib=eyJ2IjoiMSJ9.a4b_UlnCrWVxvLx6ElvnW6IS0zofiGsjYjjdb-iOqspnuQTq-1_XjyFuLcBcqYlqYud4FGPbAlNa8oEMIwOlwJDE0eyhN-qIa3p8vRmHZfbtwfP46j60s_P1euNLesP5RjSusMrK0JpZLxvY5PxunSMuQcAQBNjK4dq-nwQETt50tv_QBD1eKeWWZDcsaOlKf6O5i6xdEBeOcitzINZqDsNCVUtrXv2kD1IRvW8_WGMynLZnKV1J_8SbwFi3x1EsyG_yT4uJ-_V5h6ziWa9WFfEdfo7e7pfvShBiDiN-TG0.hL0PMmGQsNGgogZ9lC3UpxzcA3jgyokyEIYm-K25rs8&dib_tag=se&keywords=nail+art+stickers&qid=1719062272&sr=8-101,https://m.media-amazon.com/images/I/714oPPG0YuL._AC_UL320_.jpg
nail stickers,b nail stickers; c nail stickers; nail initial stickers,192; 114; 131,False,B08H4FMWWV,Impressed Authentic 5 Sheets Luxury Nail Art Stickers 500+ Chrome Gold Customized Nail Decals for Fake Nail Design Decorations and Salon Nails Accessories,9.97,USD,29002.73,4.5,2909,,,,False,True,,/Impressed-Authentic-Stickers-Customized-Accessories/dp/B08H4FMWWV/ref=sr_1_193?dib=eyJ2IjoiMSJ9.ZYCorJ0as9_JP4S-znz4R0Bw8pdlddbdW4fx-dP-lxm8XwuYdQqf3Dnhf0J-ZAWNL3SFfTmuraVfaEpvzIiJBr8DTi_PLGK1VEA_yDZUKxcV1WEDivktkjOkIIXEdbBUldbJSbAiCl0x8lumqAlpdpjS8PSXWUe67sXlewoRFXtZGF17ZfcGqUtZNrlNcw6LFUhLxg4xbcyrmaskO-SLtjrAtFtQWmtrI7ZROMaoH-2AARthX1D3EhaPbQFvtsPFzF-V5tNSQlUONmtgx6cPUdzJpvNl7ShPe11XyPlJjlI.eeonzj8bdeHMLu7Q40LNfIBLQfbaPLkUS5QAs8Pf-0o&dib_tag=se&keywords=b+nail+stickers&qid=1719062530&sr=8-193,https://m.media-amazon.com/images/I/71sba334h6L._AC_UL320_.jpg
