Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
obsidian,obsidian earrings,87,False,B00Q5LKSAA,14K Solid Gold Post & Silver Simulated Diamond Stud Earrings-cubic zirconia earrings studs .30ct to 8.00ct,27.95,USD,469028.95,4.5,16781,,,,False,True,400+ bought in past month,/Sterling-Silver-Earrings-Platinum-Plated-5-5mm-1-50cttw/dp/B00Q5LKSAA/ref=sr_1_89?dib=eyJ2IjoiMSJ9.u9ag57MBkXnjIUWzDZYnG3G4Cxrx14ceJQ2TSO_922Bmx9XwI17KMvjkqZIyzjj8GOMFB1G__xSLVboXq9a89L3zvYwZ8Zen-LQe3upSQRAv112QcczkD17xHx5quSl0sSSEgiM1qwxAWNGrFk3hNuzJXQQP5ysM86_26r8L8ieDNuun9owTmEHzhkYwYo_BF3i_VkAsrKg698BHLrN3OuICYlcrD_5cZTqj42waSjulIZQTjaTEhqO2-GnBa7T3DIUf5UKZh8SYn68fd-s35B4mwTCoWfxBw86QTO8wc9I.pgsav1FnP5QHhQ6CoTGXPk8ZOLbeiWhzHNUtofmdT5o&dib_tag=se&keywords=obsidian+earrings&qid=1719060744&sr=8-89,https://m.media-amazon.com/images/I/71V4YICqqoL._AC_UL320_.jpg
obsidian,obsidian ring,65,False,B00IK8VB2U,Basic 6mm 7mm 8mm 9mm 10mm Men Wedding Black/Silver Tungsten Ring Matte Finish Beveled Polished Edge Comfort Fit,20.99,USD,380485.73,4.7,18127,,,,False,True,,/King-Will-Tungsten-Wedding-Polished/dp/B00IK8VB2U/ref=sr_1_66?dib=eyJ2IjoiMSJ9.9nPy1UmsrD2fBQf3E-slmKw1aERUpBecpa9A57A8aGpddNwcaNW3Wws3xNwLfRF5bkNHrQIJsemuj5Ip5Q9XJKbLSsPz31YtDwRqx-bU6WtzC26zoAXT33qaRf2DKwg8E21aiMtgT-AmTipTGKNdRELO6yUPhwmQtJYmaWGJI04SotJPvAdVO_gv0j4c4-JwXPLtqmrr5aONoOaDXn0Frd4nVjf_gE9h9A9B8QFfIDtyQ5dimIcVdcuoiOxzzpCQzYEHe8C72_kWL9OxgS5L1-QqBCriyziTVmeO3XKCfCY.PCqBgJ2U6rjEryX99kG5GuYly0Bs9G4GYK2JEUyUnuQ&dib_tag=se&keywords=obsidian+ring&qid=1719060717&sr=8-66,https://m.media-amazon.com/images/I/612ZOTtPq7L._AC_UL320_.jpg
obsidian,obsidian anklet,52,False,B07RG9QWMN,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329758.29,4.5,23571,16.99,3.0,0.18,False,True,800+ bought in past month,/MOOHAM-Bracelets-Adjustable-Aromatherapy-Essential/dp/B07RG9QWMN/ref=sr_1_53?dib=eyJ2IjoiMSJ9.x796-nJOoB2UU_Gy-fBpdJlgKuUnKVQ-rbI_2KQwLDaCo3AIscnypADlUviC3jLiOo5w5oUkcnFCDcQe9CW_m7X0RYYuPFt6_usWPpASNG1KvWpkqyhAOhXMQ-cpdGdFy-yVZyNG_GYiUL9oQJgE20esko5-PyzBEVApUcCjZWpZiH-YKLxp53Tf5_4hVqbRDEvtgS4ZMRaXZPc4NHF6yaFrRzb5sT_K37_opQvpS7kytrcVMV-idRoCfRPyRKpIjCtuO91fl0DlzocCMLSCy6TKtv2ynoWrd-2WjfGhKSI.5m9G1FkmbQbkphTk2uBwMTbTy1KThkvjFXZKvVfHkUY&dib_tag=se&keywords=obsidian+anklet&qid=1719060761&sr=8-53,https://m.media-amazon.com/images/I/61ICwh5fFNL._AC_UL320_.jpg
obsidian,obsidian stone,101,False,B09F5GBNS3,"Rena Chris Gua Sha Facial Tools, Natural Jade Stone Guasha Tool, Manual Massage Sticks for Jawline Sculpting and Puffiness Reducing, Gua Sha Scraping Massage Tool, Skin-Care Gift (Black)",9.99,USD,319070.61,4.6,31939,,,,True,True,200+ bought in past month,/Rena-Chris-Acupuncture-Treatment-Scraping/dp/B09F5GBNS3/ref=sr_1_90?dib=eyJ2IjoiMSJ9.RKvS8D5cJ9BLRenPDfF1gH4Gt2-y_9o0Awv2xN1BAcUCFW2Eo8yupq4veTZyH65Ke4-0I3h9fd2Act6FX1raPjYGhEppdRiPoTgRXbDJr5BrhAtSYnGT6wrGl9Yg7S1_Zobo-QFYPrr2qWS2O6qcrIlTNwuttlSJfur0IKhG1RRG53PLRUs4JapRxTOO4m03_WuaSXg1DPB3OqlC7IjHTUjX6Uozj5R0u_ul5AjmEDbpyiTrCbLoPTXnQ4n9WK-1RIYWKINO-HbLXDeHCff7_cXp4xuPeG3ZN3D1buaeyTQ.a643Ig7YJtU7H58BaEF73J1BZ1mbwI7WmAQofwa4fak&dib_tag=se&keywords=obsidian+stone&qid=1719060683&sr=8-90,https://m.media-amazon.com/images/I/61CatrJM9ML._AC_UL320_.jpg
obsidian,obsidian ring,191,False,B00LEBFHLQ,Basic Tungsten Ring for Men 6mm 7mm 8mm 9mm 10mm Silver Blue Tungsten Wedding Band Matte Brushed Finish Comfort Fit,19.99,USD,256911.48,4.7,12852,,,,False,True,50+ bought in past month,/King-Will-Tungsten-Carbide-Polished/dp/B00LEBFHLQ/ref=sr_1_189?dib=eyJ2IjoiMSJ9.H6SHMhYrR6XA4nrA9PAn1xsJIJ41cZakl9DfPN1aTiTLsMfHkNDlSQkSV-ck_IVVauw1nfSjgnVDD7T682QX7-SkifPc3A_SSD4IZlVhJB93NlC4z8F-2cyx9-3LKPoodz4Oxdqd3kWvnUp78pIS0HHbiPWDvsS7A7RntbuK6DNOk1CwIVGJiGXk1s8xbJHTIGhJ8Y1ultSpyYVOnhsTQxyDktse18nAIqd8701npolMb7_cmEFgFbd0otYXFrykN57Nn3eK-NDKLTbAl6Plkes0S3JeoF0_hyOyK-ZB2Qs.iHrIIW1CLqqi7SyXFnAyhAy8BckAKFSgnbxuronJ7iM&dib_tag=se&keywords=obsidian+ring&qid=1719060720&sr=8-189,https://m.media-amazon.com/images/I/61UZsKCZbsL._AC_UL320_.jpg
obsidian,obsidian anklet,199,False,B086MWCF1Z,Infinity Heart Symbol Charm Link Bracelet for Women 925 Sterling Silver Stainless Steel Adjustable Mother's Day Gift Anniversary Jewelry Birthday Gifts for Women Wife Girlfriend Her,49.99,USD,236502.69,4.6,4731,,,,False,True,,/CDE-Infinity-Bracelet-Sterling-Adjustable/dp/B086MWCF1Z/ref=sr_1_200?dib=eyJ2IjoiMSJ9.aG-Qvq4mIvB7DeX46lZDz-aOZ1OBPFe1NltbOqwtBUEzzckT2S12sfIex6BHmqhVrx1Kh4C0LeLjMM_Tth2VxnpUxjSnTQKlurXBzT908RUUJ183UiI9khZHg9FPAVBbt7zvx_N-Z4froDeXIfKTwFYsPHQiJmU-XsfG0y9vLb08lamkpd3csePQ9SUPOVptYAczqVH2VwhOZvzznhTrJSykEhmh_uiXDygGWChwH9sNXoPAJk9XHCEfsezgASw6VQYLRI3vsvdO97EG-mMjMbh-zZy-QAFnePUBf6Kgvx8.wb7dm0q_TBLCQPp3X2yE2a1OUd8s-Ph55u5-ZwXPOBI&dib_tag=se&keywords=obsidian+anklet&qid=1719060764&sr=8-200,https://m.media-amazon.com/images/I/61lJTPq2ENL._AC_UL320_.jpg
obsidian,obsidian ring,79,False,B00LFHDLDA,Dragon 8mm/6mm Red/Blue/Green/Orange/Purple/Silver/Black/Azure/Mazarine Celtic Dragon Tungsten Carbide Mens Wedding Band Ring Comfort Fit,25.99,USD,236379.05,4.7,9095,,,,False,True,,/King-Will-Tungsten-Carbide-Comfort/dp/B00LFHDLDA/ref=sr_1_80?dib=eyJ2IjoiMSJ9.9nPy1UmsrD2fBQf3E-slmKw1aERUpBecpa9A57A8aGpddNwcaNW3Wws3xNwLfRF5bkNHrQIJsemuj5Ip5Q9XJKbLSsPz31YtDwRqx-bU6WtzC26zoAXT33qaRf2DKwg8E21aiMtgT-AmTipTGKNdRELO6yUPhwmQtJYmaWGJI04SotJPvAdVO_gv0j4c4-JwXPLtqmrr5aONoOaDXn0Frd4nVjf_gE9h9A9B8QFfIDtyQ5dimIcVdcuoiOxzzpCQzYEHe8C72_kWL9OxgS5L1-QqBCriyziTVmeO3XKCfCY.PCqBgJ2U6rjEryX99kG5GuYly0Bs9G4GYK2JEUyUnuQ&dib_tag=se&keywords=obsidian+ring&qid=1719060717&sr=8-80,https://m.media-amazon.com/images/I/61tLzwlXbsL._AC_UL320_.jpg
obsidian,obsidian necklace,264,False,B08G87PBNQ,Rosy Reverie Birthstone Necklace for Women Sterling Silver Genuine or Created Gemstone Rose Flower Heart Pendant Necklace Anniversary Birthday Gifts for Women Mom Wife Her,79.99,USD,236290.46,4.6,2954,,,,False,True,50+ bought in past month,/Birthstone-Necklaces-Sterling-Anniversary-Valentines/dp/B08G87PBNQ/ref=sr_1_266?dib=eyJ2IjoiMSJ9.ayc6Sa1J2KcPAsnYYhbRbCYkrVJHNSi0K3fIja1pnL6vZ9260uyhJm55uXQ5HP3hjlzi-3dF5ch_1DXhg18TU3Ihr1PJTAMrA74AR64lkwzQdOsa2nsbb1P87UizO7e9CRAHvNhy5ZwEtjUKIWQJfEmpSjl2KO1Nk8sgiRMWYaI-rtm8pqvHSpbpCAc_8IAkQeUQN4Q_7Ry_t3uN7AnDyovRdiZtj60wZWVPRwrOnGgbS9PSmiu1X1rSAyR5qTfGQ4HkrAIh1JdT6qq_pqe_acpL5jYhkUAdoe-VndqAjCU.sBmBK2qFf93layXmjo9lmq31uluezmVjdzBCI73alhk&dib_tag=se&keywords=obsidian+necklace&qid=1719060708&sr=8-266,https://m.media-amazon.com/images/I/61oiyRuHYIL._AC_UL320_.jpg
obsidian,obsidian anklet,46,False,B0734R8RSK,Womens 925 Sterling Silver Infinity Anklet Bracelet Endless Love Symbol Charm Adjustable Large Bracelet Mother's Day Gift for Women,39.99,USD,208747.8,4.5,5220,,,,False,True,100+ bought in past month,/Billie-Bijoux-Sterling-Infinity-Adjustable/dp/B0734R8RSK/ref=sr_1_47?dib=eyJ2IjoiMSJ9.jRpSkl1y7maG0UDvsRfd8xWh4uhHw-vjk3y7GpCSAQ2rJh7Iwjv8K581w2GClxSWLquOc5BoxwBZfzM6QqZUBj79TuJs9vsAh4G6PMPP-EtIolZ3ADmup9RpsCRl4_uQTo1WdnnzasBQyEf--fDc52u4CMGN_3IpspqvdEJXRjLm_WZpFSydv5nwexCLGiUU67S_mZizKbyb4XlLUWu-5K-goVZOdU1Hn0wjZn3yJ5-EQDyxuYIvtwr0tirBg6eD_WFbW8mywOOAZ1XArSU6EAeOAr5OaHcqmaRugTIV7kk.g6uLRlLQ2fIFGmNBSE6m2kH-82dBOmG4bJtkb-zjtR4&dib_tag=se&keywords=obsidian+anklet&qid=1719060759&sr=8-47,https://m.media-amazon.com/images/I/619pxkCH9GL._AC_UL320_.jpg
obsidian,obsidian anklet,191,False,B07R56J5PW,"Inspirational Gifts for Women, Morse Code Funny Gifts Bracelets for Women, Morse Code Bracelets Friend Gifts",15.98,USD,203553.24,4.7,12738,,,,False,True,800+ bought in past month,/Inspirational-Gifts-Women-Bracelets-Friend/dp/B07R56J5PW/ref=sr_1_192?dib=eyJ2IjoiMSJ9.aG-Qvq4mIvB7DeX46lZDz-aOZ1OBPFe1NltbOqwtBUEzzckT2S12sfIex6BHmqhVrx1Kh4C0LeLjMM_Tth2VxnpUxjSnTQKlurXBzT908RUUJ183UiI9khZHg9FPAVBbt7zvx_N-Z4froDeXIfKTwFYsPHQiJmU-XsfG0y9vLb08lamkpd3csePQ9SUPOVptYAczqVH2VwhOZvzznhTrJSykEhmh_uiXDygGWChwH9sNXoPAJk9XHCEfsezgASw6VQYLRI3vsvdO97EG-mMjMbh-zZy-QAFnePUBf6Kgvx8.wb7dm0q_TBLCQPp3X2yE2a1OUd8s-Ph55u5-ZwXPOBI&dib_tag=se&keywords=obsidian+anklet&qid=1719060764&sr=8-192,https://m.media-amazon.com/images/I/81Cd+CBbuHL._AC_UL320_.jpg
