Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
opalite,opalite necklace,63,False,B01N0Y1CQH,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",55.0,USD,865535.0,4.6,15737,,,,False,True,300+ bought in past month,/Kendra-Scott-Birthstone-Necklace-January/dp/B01N0Y1CQH/ref=sr_1_65?dib=eyJ2IjoiMSJ9.Nedh3eOwulzCfxtz41tDv4MVNputeb9iGdBIYuTomaxuT8RxWLe84JuGDT2SEKebQK5Dvfw65dNDoVPfBxdE6SK7gokuhSR6xrNtJKRnjCk9wsFDG1XByZCwMuWmg02xRa7nSHbg5EdZ6n7_s9SnVDMJhC5qZLh-G7b8oGLp-hSw41i_pwe-HVskrH-zeelQs8c8DcyyxYLv9sOEk3lNPjelg4XLWSJotmty_XoTY3M5XF4jK_x4Jxu04xvMfNqKAiTYxvRJ5P8JcvtPIUeKnLogjQ1rt_92X2RVQmSkb_g.Qj5wEU2_pzP2sQBrXZ5nXMo1R5PAXVUjUC1vxzw2YHU&dib_tag=se&keywords=opalite+necklace&qid=1719060824&sr=8-65,https://m.media-amazon.com/images/I/61mVeMTZg0L._AC_UL320_.jpg
opalite,opalite ring,71,False,B0772JDS51,Silvershake 7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B0772JDS51/ref=sr_1_70?dib=eyJ2IjoiMSJ9.PpJFuw7HM6xlMsZipKU2VkgM9owmuy0pkha5xFltYLB0c-q4qCawogByaX6eisdC7NuqnRCiGiTqh_I9mF_5BTXYrUr3H3rdPjhyKsah6oQgI-2Y5gzWHsIl-F3Uqd0vkmZLsUXKZddz-_VrjPqQwBWnCGlnp6gicJXkO01PQXrEjZuJpTUaq5Uexk4gD7CUvkV7lEYxEgo89wWAFNZA6CCUAngZkCAWTHVzQVLmDDVNFsKUFpuZFg_7K4cLmtBdjHJgIXcaWxJLugAz1o6p5DK5NNTX7YWMYmZaJIvnMvE.KBttCAgzy4iHmtrEjBBbsHqMRaxGQoPYLo-I_zDTdVw&dib_tag=se&keywords=opalite+ring&qid=1719060839&sr=8-70,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
opalite,opalite earrings,56,False,B01HD7XC0W,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),20.9,USD,223985.3,4.5,10717,,,,False,True,100+ bought in past month,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B01HD7XC0W/ref=sr_1_56?dib=eyJ2IjoiMSJ9.AGFe1u7AOH2onEU29sUK1A7ONEJMwj4Cvr33whpBJJher7m5D-MysBdyqq2MkqRL99G9znKJxN5juwxUM-AH_LLq4_N4fADrNsbZp0Hy-3P-oTwmKedYxu3fOE7nm718ZmjJDyD6d4pIR1mtfmWP178Ri_jSDQZvybHlP_EZI7-yvOqn551jI43gwXF8wWnj4A6xcBUBMjcM6OioR-9VhAZ88fADe3P_DCRizGe66wDpyPEU2zjS-fTGDOpssUMF68jaYv7cvPE4d8BTYDbuzEPdVprAF9K-yLqB7hLwwrs.gc7qz27aGbo0zpshLEWj2HzBNx16zNwm7LC8pnmjJ-s&dib_tag=se&keywords=opalite+earrings&qid=1719060872&sr=8-56,https://m.media-amazon.com/images/I/51Wc2C99aHL._AC_UL320_.jpg
opalite,opalite earrings,78,False,B01MFXI57Z,Sterling Silver Sky Flower Stud Earrings (previously Amazon Collection),30.4,USD,208270.4,4.4,6851,,,,False,True,,/Sterling-Silver-Created-Flower-Earrings/dp/B01MFXI57Z/ref=sr_1_66?dib=eyJ2IjoiMSJ9.fa80B95kn7TjwjIPBNocQZYpj4uAqABz3vwP_bopJn8Q9EJ297ZY6nju7iDVBcVco4tism9qy-BEVFVw5yZMcSq9D6Dbf3ZVVBwfHk0A1ER0ToZF8HPy9DETN3JxsmlmOUa61I8Lx7R_SSSsWI68b29XQCQO3275_n6GdNGCt1k7gjthdadhyA18a_7cBvlE7m7l342TNx4Km6aOJXQOWf7UCP6zHteSxcOXKN7TvURFORai_Sy6_MA7HxPRWtUk2kzeIy5uKu4Ooy6kAwKqmrkzspYIEy4SvqvBeHYjRO0.vSn61gGlUf0xk5wJYX4DUFYkPjMQOUpnWYZaY9UoaOg&dib_tag=se&keywords=opalite+earrings&qid=1719060874&sr=8-66,https://m.media-amazon.com/images/I/61knjpBfvCL._AC_UL320_.jpg
opalite,opalite crystal,89,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_90?dib=eyJ2IjoiMSJ9.uh0R-4xktJPIHcrGJQXWI0L17C1wmm172oOR0NTmR-KBZxebu6XPJSETEN91mds7chhmMN5cFfRYRqyKk7P0eATooA4ZO0DtenGnse5P3XO8L6fW2TcD_mc8jrxDMvjzDHN5XO49LupowIzVuIrWA1o7nc0TMpuNfx3Ip6BBiwtBRsoxIe_gy318uVq2nHgQ2MXNqgM4K9Cg_VbfJ4b1ZMQEBhQ3mi6Oj6u2Oz-XEZtcIFCYP5S22AWy4m4FGRiyw-QFzK23QU0D9gFKuHvMDTSxf4YEIWkNM7eTjRYSQSQ.9NYEOJidp3SPutT0k6OGluWtxzYi8sm-RMxav6nKkYM&dib_tag=se&keywords=opalite+crystal&qid=1719060898&sr=8-90,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
opalite,opalite earrings,71,False,B08K4FLT1L,12 Pairs Teardrop Druse Crystal Drop Dangle Earrings for Women Cubic Zirconia Huggie Hoop Earring Jewelry Set Christmas Gifts,14.99,USD,167603.19,4.3,11181,20.99,6.0,0.29,False,True,1K+ bought in past month,/Teardrop-Crystal-Earrings-Zirconia-Christmas/dp/B08K4FLT1L/ref=sr_1_59?dib=eyJ2IjoiMSJ9.fa80B95kn7TjwjIPBNocQZYpj4uAqABz3vwP_bopJn8Q9EJ297ZY6nju7iDVBcVco4tism9qy-BEVFVw5yZMcSq9D6Dbf3ZVVBwfHk0A1ER0ToZF8HPy9DETN3JxsmlmOUa61I8Lx7R_SSSsWI68b29XQCQO3275_n6GdNGCt1k7gjthdadhyA18a_7cBvlE7m7l342TNx4Km6aOJXQOWf7UCP6zHteSxcOXKN7TvURFORai_Sy6_MA7HxPRWtUk2kzeIy5uKu4Ooy6kAwKqmrkzspYIEy4SvqvBeHYjRO0.vSn61gGlUf0xk5wJYX4DUFYkPjMQOUpnWYZaY9UoaOg&dib_tag=se&keywords=opalite+earrings&qid=1719060874&sr=8-59,https://m.media-amazon.com/images/I/7144eLGuefL._AC_UL320_.jpg
opalite,opalite earrings,146,False,B08BNSQGD7,45 Pairs Fashion Hollow Drop Dangle Earrings Set for Women Girls Bohemian National Style Eardrop with Bronze Waterdrop Leaf Feather Shaped Vintage Jewelry for Gifts,18.97,USD,149350.81,4.5,7873,,,,False,True,500+ bought in past month,/Fashion-Earrings-Bohemian-National-Waterdrop/dp/B08BNSQGD7/ref=sr_1_134?dib=eyJ2IjoiMSJ9.yMG11tpjLn40wfEKwblrcD32zKNg3ZhwczN7nj2mwgZBV0q5CqVdaiUZ-adlvQZqx8Vb8N4If-xSRutAQH5ICeYx6BIlrNgD15GCpveTgIXoa8YsXhbyikKD7CdNxzyybFhczCIHz1LI2SdhXQCqsYaTZV3EsSjE_ovAEaB1kIocOMieXqskZBE28DRfAy8JgrMThLbBDxHHySD_k9TJwIMFQwrFAtRYShpVBba-zXqEw5U7pJXGvsMq8Y2JrLl1I-BGfmloet-wHCWe_OW2wJTBRJdLhNmLMLxB7-ZoXD4.wXOUn4_vpnYxorIAatZqPuhwfrTWnxh8kablRnLYL7c&dib_tag=se&keywords=opalite+earrings&qid=1719060876&sr=8-134,https://m.media-amazon.com/images/I/81zFHMdQQyL._AC_UL320_.jpg
opalite,opalite necklace,280,False,B07CV36TR9,"Rose Gold & White Gold Plated Created Ruby, White Fire Opal & Cubic Zirconia Accents Ring",14.99,USD,137233.45,4.4,9155,,,,False,True,,/Barzel-Plated-White-Zirconia-Accents/dp/B07CV36TR9/ref=sr_1_282?dib=eyJ2IjoiMSJ9.LYhzcrX38BBL1Do1-hznHjrkWObjcRyxLoO0FNa30K-UK1N5JWDUXHBQdOwnrHUb7b9mvaP_RR3wWV3lkn6RW86Ls1KxvZADH3dFpWwphjnyxSVWDQp21tExqaCU24UDzKwwkskrBkhNKO-HlP4KAzgnDYhkchyrBstCOadFVZUoUYM7fFHFbqBA7iVs_uLFuJ12KqOIwm51AQT3iVg0mKKY9ng5okU_miflYk_vcdJtjPSbDercR-lz6ImH4IXBlkKk1L8qzqPidwP9OgQqwy6HYOBo3HuH_g15CEm1us4.XZplEs-L2KfxP62nNxzGittpIoUK9-musgJcuDUwLEI&dib_tag=se&keywords=opalite+necklace&qid=1719060829&sr=8-282,https://m.media-amazon.com/images/I/71KCIV-H85L._AC_UL320_.jpg
opalite,opalite ring,2,False,B07CV31878,"Rose Gold & White Gold Plated Created Ruby, White Fire Opal & Cubic Zirconia Accents Ring",14.99,USD,137233.45,4.4,9155,,,,False,True,,/Barzel-Rhodium-Created-Zirconia-Accents/dp/B07CV31878/ref=sr_1_2?dib=eyJ2IjoiMSJ9.VBgc1R8KHPEGnXQMv7ddBwG1tuXjRx7n7zkIXh-NgPMGypEB8YbCpQAPW0O0-QDfnfOL6ITBhWZAxLbrzMYretlwpo2AQtTu2UxcRUuHbjO0WUnbS1eI-1pdXrx9XszXOJ25txnUDAGChl2Ov7ws8-M20P7E7r48DDrOvcnEbNLGhG0j3dczHUx5i-czPWfP0SbguRReoVpTNn9FfB5rxS7u7VbcM3L--4bUeh7h9T-1q_7-LoI_AnrN-6UmksGkqhmnE1a8PdysC9DpODBfD8Soj4aAAFaG3PutgtePpdM.wJIGIE8GWCRIbyNT3J0IuEi5rQuCdCvnfSmwTqr2V9k&dib_tag=se&keywords=opalite+ring&qid=1719060837&sr=8-2,https://m.media-amazon.com/images/I/710uvfarliL._AC_UL320_.jpg
opalite,opalite earrings,101,False,B0948ZCNZ7,18 Pairs Stainless Steel Stud Earrings Set for Women Men Star Moon flower Heart Leaf Opal 20G Cartilage Earrings Hypoallergenic Flatback Earrings Piercing Jewelry,15.96,USD,131398.68,4.3,8233,,,,False,True,1K+ bought in past month,/Cartilage-Earrings-Triangle-Stainless-Geometric/dp/B0948ZCNZ7/ref=sr_1_89?dib=eyJ2IjoiMSJ9.fa80B95kn7TjwjIPBNocQZYpj4uAqABz3vwP_bopJn8Q9EJ297ZY6nju7iDVBcVco4tism9qy-BEVFVw5yZMcSq9D6Dbf3ZVVBwfHk0A1ER0ToZF8HPy9DETN3JxsmlmOUa61I8Lx7R_SSSsWI68b29XQCQO3275_n6GdNGCt1k7gjthdadhyA18a_7cBvlE7m7l342TNx4Km6aOJXQOWf7UCP6zHteSxcOXKN7TvURFORai_Sy6_MA7HxPRWtUk2kzeIy5uKu4Ooy6kAwKqmrkzspYIEy4SvqvBeHYjRO0.vSn61gGlUf0xk5wJYX4DUFYkPjMQOUpnWYZaY9UoaOg&dib_tag=se&keywords=opalite+earrings&qid=1719060874&sr=8-89,https://m.media-amazon.com/images/I/71aXVSIqDCS._AC_UL320_.jpg
