Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
orgone,orgone anklet,198,False,B01I9BVMTO,"Symbolic Evil Eye Crystal Jewelry Collection, Featuring Necklaces, Earrings, and Bracelets",79.0,USD,539412.0,4.7,6828,129.0,50.0,0.39,False,False,100+ bought in past month,/Swarovski-Symbolic-Bangle-Mixed-finish/dp/B01I9BVMTO/ref=sr_1_199?dib=eyJ2IjoiMSJ9.q9F3M8ByUXXZ3-nStGERmdz7E9-c-e6OiZxFAZk81LhyHzLJ7zar0dv06HDNFgXNGU9FQLdCTjdGHAQ7ao368Y2VECY_e73jejsG4nXHMi5o_JhtDKGm_W_YAJ4lssvDUJZAcbf6RQu7qefZXvTzW2ScuGbDKAM8qGpA0DTSCloIMzyCWlkFo7tK-fOET-olDUGWOsQ1OHRzuBQ__oODkLKHvLIBblPfUuNM7E_R9DYeYhv2zsAtpWdkwDXsjFfNMTbm6c6D0Je_Ah7H1Rmwy8MiQoyTEnLPAqgdPCqnaqM.BvG4Z5JeFnxgmR07K-yCzgKcjYE0aX_A4sU1UGB-0VQ&dib_tag=se&keywords=orgone+anklet&qid=1719061512&sr=8-199,https://m.media-amazon.com/images/I/61hmnIHKOhL._AC_UL320_.jpg
orgone,orgone necklace,241,False,B083TRG8BC,MEVECCO Layered Heart Necklace Pendant Handmade 18k Gold Plated Dainty Gold Choker Arrow Bar Layering Long Necklace for Women,14.59,USD,334577.88,4.5,22932,,,,True,True,,/Mevecco-Necklace-Delicate-Protection-Turquoise/dp/B083TRG8BC/ref=sr_1_231?dib=eyJ2IjoiMSJ9.N-2rZbxeiUQKdJ1JIir2CtzY0T8t_1SjiZKuFvHZNn53vtYZE6a1TevyBaQhDEjmTyA5l0ee_OXEBRq6F9AGR9vjkP3UVn2XFmDtg19CMzYAVVDzOxhl1zH2bYvvLs8yU-OKaa8tmoEyrS09-Rb9xHad0_G2zTnU2wZE64h_uCYR3bnBG8k_V6tV0-1Ehz1nI6miGoLflSr2Ivm4E4h9-qz8QW1dXsYjimb76e3cWAlU7JybRSgTgGQisdNMNufKmBkyec9_1gZGpE904fiqGdta6xJMy2UmEPmAZhoIppQ.XXUB0lG2rx7yBgJpUPvKHFWcsnv_HadBF7heSUIWZDo&dib_tag=se&keywords=orgone+necklace&qid=1719061455&sr=8-231,https://m.media-amazon.com/images/I/61AD8PubzLL._AC_UL320_.jpg
orgone,orgone earrings,12,False,B01HD7X7I4,Amazon Essentials Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),22.8,USD,244347.6,4.5,10717,,,,False,True,50+ bought in past month,/Amazon-Essentials-Sterling-Amethyst-Birthstone/dp/B01HD7X7I4/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Ba8vYz6n0EOylzxCHPteiEN3iS1FpY6NLMIChS6hadhuBwa5OoBeQ4XW2CTxxQbuYwQlNWZUgNb2W5V2y3ljG0C-LqE1BxSTb6rluLPBEM6JyvIz-8Pws5CyN2N6JX89UAGsNN2sSkPjex4X0yF5xAarWX41cyr4K4j579VyBUISfzREZSjs8HJ0ykCF48LbQjX_4pNaATY3RMkPAfR0W8s_0Uh3be__yqvEkPmnUUoji3AY4v7EUhx4h-4u-gIGtg1arrC0M6vT1rGlyRGIHTDw5VFOX8rh8A8g3Uj-rps.HhwDtZ1k4dcmw_naZYBamUyLd4AnaiXvfZuR1rTROag&dib_tag=se&keywords=orgone+earrings&qid=1719061495&sr=8-12,https://m.media-amazon.com/images/I/61WQMmsScoL._AC_UL320_.jpg
orgone,orgone bracelet,94,False,B07K6X44DH,MagnetRX® Ultra Strength Magnetic Bracelet - Effective Stainless Steel Magnetic Bracelets for Men - Adjustable Bracelet Length with Sizing Tool for Perfect Fit (Black),49.95,USD,230369.4,4.4,4612,,,,False,True,200+ bought in past month,/MagnetRX-Strength-Magnetic-Bracelet-Arthritis/dp/B07K6X44DH/ref=sr_1_93?dib=eyJ2IjoiMSJ9.V8Hp9oXeK3TpFqk_Eaoo_iJ-_BUL4FswwWfPrOfEG06rpPgtKl4g_SExI9VeZODm9YSQLh9Yy_Bmogva6pxnOKXNivHBm14TFAVSekSbSMEr9bQjsl9ImjcyCZvdzu7K47F--tJh9CSI0ure16SUi5jvXIqNQIp-IZvBp3yDfAJ2DyIX_88SH3uCVspoJX4n3IFDseEsjjQuBPS2PtJD-ADVGuLsc2W3XDPrei5TOWeiDg9PFbn0GWXS-Y87Z-DbhKs1x3Q4hNjPeAZdY10TmFR7BtSmpbqnlmc5vnJb0Oo.AyCQb2f34aVMmBracU5LPVn3MIgAAxYCZ7q4ld-L8mM&dib_tag=se&keywords=orgone+bracelet&qid=1719061543&sr=8-93,https://m.media-amazon.com/images/I/712nexEpYOL._AC_UL320_.jpg
orgone,orgone bracelet,167,False,B08K4FLT1L,12 Pairs Teardrop Druse Crystal Drop Dangle Earrings for Women Cubic Zirconia Huggie Hoop Earring Jewelry Set Christmas Gifts,14.99,USD,167603.19,4.3,11181,20.99,6.0,0.29,False,True,1K+ bought in past month,/Teardrop-Crystal-Earrings-Zirconia-Christmas/dp/B08K4FLT1L/ref=sr_1_166?dib=eyJ2IjoiMSJ9.aCLwc9MSqwkaNKKGvWtvcFYYGYdweCpxkuiuxvv81Fc5h-IyXZE1DVq-BTo1LvvZRvS1etAH5KgylkPdJuzQtCXDjuDMElRNW0-lRhXT277WQ6DO6_Xk-pUMJqkhtDamfZBrMXDD2ES2Dj3NrxxZsNtcy38Rz9Mm9rra44JcJxqXO2FonBED33x3GmmjSzygPK8LJ5mEK5CN3D0P8GJrZT2mVGhhp9D9PJRjyT_uhdZMnf9Z26QP_Pj5SwwEvh9-segp5UpWBMwXMiNki1PZybVS1baKKAYAWtr7Mjq0fUc.ipnhngM_dSPle3Hf4MmcTDR2wF5s7Zfvqf57SVTeDnE&dib_tag=se&keywords=orgone+bracelet&qid=1719061546&sr=8-166,https://m.media-amazon.com/images/I/7144eLGuefL._AC_UL320_.jpg
orgone,orgone anklet,83,False,B086HC515S,"Heart Initial Ankle Bracelets for Women, 14K Gold Filled Handmade Dainty Layered Anklet Letter Initial Heart Ankle Bracelets for Women Beach Jewelry Gifts",14.99,USD,157619.85,4.4,10515,,,,False,True,200+ bought in past month,/Turandoss-Initial-Bracelet-Minimalist-Initials/dp/B086HC515S/ref=sr_1_84?dib=eyJ2IjoiMSJ9._w-6rL9Y78I1Osl4MDp990-B6AGd9Ccm2HOjwW1skKqtbbcj-2itu-q7vD9WEI-eVicrKENFR_VGWhTQUhGWuc8VtO0Dt_IDTZv0jZyp61BZqRDZPJQWAU6aj-fbTQtm43qUBvsLQkX3I3InpTh_2_qzGoc_MKjGD1HNhOOXtW4LFnGlMq-wZTiIjtDyKGNqJUYDUuIydZ57nlF3Mbqb0Ngt1AOKjpRWlYfvwgB2D0VLASmlPaLFtVQ0K6GCG1dd_NSV2lMlOybcPqqr9ssW3zlgD07TKoidrYXFEjdadU0.bXcHoLgQSVcEQgjOBFXWlY7hIDp7Ada6i1Eyfhkpbcc&dib_tag=se&keywords=orgone+anklet&qid=1719061505&sr=8-84,https://m.media-amazon.com/images/I/710Brx53kZL._AC_UL320_.jpg
orgone,orgone anklet,38,False,B07N8JNWQF,18K Gold Plated Flat Marina Elephant Anklet For Women - Made In Brazil,12.99,USD,141435.12,4.6,10888,,,,False,True,2K+ bought in past month,/Barzel-Plated-Marina-Elephant-Anklet/dp/B07N8JNWQF/ref=sr_1_39?dib=eyJ2IjoiMSJ9.dZyeppO8EZ2iNlQX0ZkVApYw-6oFTP1i9n-WZyyBc44o3dAbZJqOnb4FABMAHTzfjijCtdVyUURVdb-kWCkKz4eSKbQddtW-SMOy7ByoSI7foU08tjZQYE-0jlQoaTrA8OTNT6relmck_ttmJz3T1i72YCygXtzTi1G69aFKiG2nW3vFNkkdJ2pM0gzSzLsTWQlf1xyioj8pnouc3zE8Y62oYjPTj4hFatfVLKyBTpX_jxBPBCZVbgKT0NyzP8iGUdECK_0DAJcuOIJ3XOk4KubjYiv67fVtseUyqNfVJc0.6iciOIq0myOlvKqNvUK-BQKuqWFUsxZISBmcI3-7RNE&dib_tag=se&keywords=orgone+anklet&qid=1719061504&sr=8-39,https://m.media-amazon.com/images/I/51KYhjaWTdL._AC_UL320_.jpg
orgone,orgone stone; orgone necklace; orgone jewelry; orgone crystal,17; 3; 1; 77,False,B07NTVVY36,"Handmade Orgonite Crystal Seven Chakra Pendant with Adjustable Cord - Orgone Healing Stone Necklace for Spiritual Balance, Meditation, Yoga, Reiki, Gift for Men and Women",20.95,USD,132508.75,4.4,6325,,,,False,True,100+ bought in past month,/Orgone-Chakra-Healing-Pendant-Adjustable/dp/B07NTVVY36/ref=sr_1_18?dib=eyJ2IjoiMSJ9.1Y85luYznCn8x2JcHRwTLyXDQl07_suFBRHr5uoKeCjOpc43guDedKlRPYpLy8-8y7pj2QH-LLqrLl8NDCTBaZhKAOPmVYt_nEtLRtd8NnYpdnDBEAvoEqRuGokZYR6A_5hMX0gXeyTk1pkOrox8mUiXVVzmxzoLG2YKd6LX2dk2qgU15LNuAgOciEkPaNd7ydvFkKrlEi-FkzOCSusEtbFhNIUGPR3Ug3AjlOoDnqmSXDxIXt7ip1MrBgbyBMmRPuKcQ_PoxsNZRnPDh9x7eb29vhvW59ql5R5z5akSBQQ.7ZM5YxP1CDSs4rw0mtQFXxSyVM6x2Q62JQkttcBxKuU&dib_tag=se&keywords=orgone+stone&qid=1719061429&sr=8-18,https://m.media-amazon.com/images/I/71gNOSRDSNL._AC_UL320_.jpg
orgone,orgone anklet,249,False,B07TWDQ94N,Bracelet for Women 14K Gold Plated Dainty Chain Simple Jewelry Cute Handmade Minimalist for Her,11.99,USD,128844.54,4.5,10746,14.99,3.0,0.2,False,True,100+ bought in past month,/Dainty-Bracelet-Elegant-Turquoise-Protection/dp/B07TWDQ94N/ref=sr_1_250?dib=eyJ2IjoiMSJ9.-Xx_48ei51jWvg6uzpnhZFia9pR-bkG8qAl9meNgIWe0awnEBHx2fkxJsA597hdZ8ar84QX8B_VOyEh5xFAJMwUqcH_2OnN1WoThYX0dj9UQuGIePUI9ggyvhixVW3qTL-SyvsM5VnPMxBZ2hW6F0FoAzW-Y1IA8xuoJsRFyJTW-OZBK0lA1CEZ4G30DU-9_9GyNHIOwx0PMIM_2UYlkOYqfNm2QLlHVIxsNiynDBPJKYmpfWn2igBmnngG_Hd3weRkuHMnqDlK14Ep3Z-yNViE85X5CtBvd0QAV1-_bMi4.s0xTkkvVtacY73syr4zOQMlEyaREqMCET5L52Qie524&dib_tag=se&keywords=orgone+anklet&qid=1719061514&sr=8-250,https://m.media-amazon.com/images/I/71khAYXWcoL._AC_UL320_.jpg
orgone,orgone stone; orgone necklace; orgone crystal; orgone bracelet,7; 123; 16; 62,False,B07DK7J52N,"Orgonite Crystal Handmade Seven Chakra Gemstone Pyramid - Orgone Chakra Healing Stone Pyramids for Spiritual Healing, Meditaion, Yoga, Reiki Gifts, Office and Home Decor",29.95,USD,121297.5,4.6,4050,,,,False,True,200+ bought in past month,/Orgonite-Crystal-Handmade-Gemstone-Pyramid/dp/B07DK7J52N/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1Y85luYznCn8x2JcHRwTLyXDQl07_suFBRHr5uoKeCjOpc43guDedKlRPYpLy8-8y7pj2QH-LLqrLl8NDCTBaZhKAOPmVYt_nEtLRtd8NnYpdnDBEAvoEqRuGokZYR6A_5hMX0gXeyTk1pkOrox8mUiXVVzmxzoLG2YKd6LX2dk2qgU15LNuAgOciEkPaNd7ydvFkKrlEi-FkzOCSusEtbFhNIUGPR3Ug3AjlOoDnqmSXDxIXt7ip1MrBgbyBMmRPuKcQ_PoxsNZRnPDh9x7eb29vhvW59ql5R5z5akSBQQ.7ZM5YxP1CDSs4rw0mtQFXxSyVM6x2Q62JQkttcBxKuU&dib_tag=se&keywords=orgone+stone&qid=1719061429&sr=8-8,https://m.media-amazon.com/images/I/61RY90yxjBL._AC_UL320_.jpg
