Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,11968981,violin,Organic,All,2957.35,351.84,6.99,2,8487.82,55245.45,5.55,100.79,1230.72
Price,11968981,violin,Organic,All,21.54,10.45,6.99,11,37.68,225.04,0.0,6.99,17.82
Rating,11968981,violin,Organic,All,4.09,4.3,4.2,13,0.86,5.0,0.0,3.9,4.5
Reviews Count,11968981,violin,Organic,All,162.14,27.5,1.0,8,542.65,3455.0,0.0,7.25,76.75
Amount Discounted,11968981,violin,Organic,All,4.61,3.5,1.0,2,4.76,15.0,0.66,1.0,5.84
Percent Discounted,11968981,violin,Organic,All,0.18,0.16,0.06,1,0.11,0.44,0.06,0.1,0.22
Revenue,11968981,violin,Organic,Best Seller,39586.7,39586.7,39586.7,1,,39586.7,39586.7,39586.7,39586.7
Price,11968981,violin,Organic,Best Seller,11.65,11.65,11.65,1,,11.65,11.65,11.65,11.65
Rating,11968981,violin,Organic,Best Seller,4.5,4.5,4.5,1,,4.5,4.5,4.5,4.5
Reviews Count,11968981,violin,Organic,Best Seller,3398.0,3398.0,3398.0,1,,3398.0,3398.0,3398.0,3398.0
Revenue,11968981,violin,Organic,Past Month Sales Volume,9234.49,1866.55,55.92,1,15583.01,55245.45,55.92,506.24,8006.04
Price,11968981,violin,Organic,Past Month Sales Volume,14.55,8.99,6.99,4,20.37,99.0,4.99,6.99,13.51
Rating,11968981,violin,Organic,Past Month Sales Volume,4.4,4.45,4.5,5,0.26,4.7,3.7,4.28,4.55
Reviews Count,11968981,violin,Organic,Past Month Sales Volume,699.5,245.5,52.0,2,1186.3,3455.0,8.0,52.0,445.25
Amount Discounted,11968981,violin,Organic,Past Month Sales Volume,2.67,3.0,1.0,1,1.53,4.0,1.0,2.0,3.5
Percent Discounted,11968981,violin,Organic,Past Month Sales Volume,0.14,0.16,0.06,1,0.07,0.2,0.06,0.11,0.18
Revenue,11968981,violin,Organic,Prime,2691.56,350.16,6.99,2,8082.07,55245.45,5.55,96.34,1213.86
Price,11968981,violin,Organic,Prime,21.72,9.98,6.99,11,39.19,225.04,0.0,6.99,17.47
Rating,11968981,violin,Organic,Prime,4.09,4.2,4.2,12,0.8,5.0,0.0,3.9,4.5
Reviews Count,11968981,violin,Organic,Prime,138.65,27.5,1.0,8,471.92,3455.0,0.0,7.0,76.75
Amount Discounted,11968981,violin,Organic,Prime,4.7,3.0,1.0,2,5.39,15.0,0.66,1.0,4.0
Percent Discounted,11968981,violin,Organic,Prime,0.18,0.16,0.07,1,0.11,0.44,0.07,0.1,0.2
Revenue,11968981,violin,Organic,Amazon's Choice,55245.45,55245.45,55245.45,1,,55245.45,55245.45,55245.45,55245.45
Price,11968981,violin,Organic,Amazon's Choice,15.99,15.99,15.99,1,,15.99,15.99,15.99,15.99
Rating,11968981,violin,Organic,Amazon's Choice,4.3,4.3,4.3,1,,4.3,4.3,4.3,4.3
Reviews Count,11968981,violin,Organic,Amazon's Choice,3455.0,3455.0,3455.0,1,,3455.0,3455.0,3455.0,3455.0
Amount Discounted,11968981,violin,Organic,Amazon's Choice,4.0,4.0,4.0,1,,4.0,4.0,4.0,4.0
Percent Discounted,11968981,violin,Organic,Amazon's Choice,0.2,0.2,0.2,1,,0.2,0.2,0.2,0.2
Revenue,11968981,violin,Paid,All,250104.96,44215.98,1187.67,1,363347.09,842971.86,1187.67,3997.25,358152.03
Price,11968981,violin,Paid,All,102.97,109.99,35.99,1,52.58,159.89,35.99,63.99,144.99
Rating,11968981,violin,Paid,All,4.26,4.1,4.1,3,0.26,4.7,4.1,4.1,4.3
Reviews Count,11968981,violin,Paid,All,2374.2,402.0,25.0,1,3045.82,5814.0,25.0,33.0,5597.0
Amount Discounted,11968981,violin,Paid,All,48.0,48.0,26.0,1,31.11,70.0,26.0,37.0,59.0
Percent Discounted,11968981,violin,Paid,All,0.3,0.3,0.29,1,0.01,0.3,0.29,0.29,0.3
Revenue,11968981,violin,Paid,Past Month Sales Volume,600561.95,600561.95,358152.03,1,342819.39,842971.86,358152.03,479356.99,721766.9
Price,11968981,violin,Paid,Past Month Sales Volume,104.49,104.49,63.99,1,57.28,144.99,63.99,84.24,124.74
