,asin,position,keyword,category_id,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,page,min_revenue,discount,discount_rate
774,B07T4G24Z8,5; 7; 1; 12,violin,11969021; 11969001; 11968961; 11968991,149.99,"Eastar 4/4 Violin Set Full Size Fiddle Solidwood for Adults with Hard Case, Shoulder Rest, Rosin, Two Bows, Clip-on Tuner and Extra Strings, EVA-330",4.1,USD,True,False,149.99,True,,100+,1,5813,False,159.99,"FREE delivery Wed, Jul 10 Or fastest delivery Sun, Jul 7",32.0,1.0,https://www.amazon.com/dp/B07T4G24Z8,https://aax-us-iad.amazon.com/e/loi/imp?b=JP5jxpMDSjMliQ6onRpMrQgAAAGQg-kgzQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDGbulw,paid,5,871891.87,10.0,0.06
838,B08199RYL3,5; 2,violin,11968981; 11968961,144.99,"Eastar 4/4 Full Size Violin Set Matte Fiddle for Beginners Adults with Hard Case, Rosin, Shoulder Rest, Bow, Tuner and Extra Strings (Imprinted Finger Guide on Fingerboard)，EVA-3",4.1,USD,,False,144.99,True,,50+,1,5814,False,,,,1.0,https://www.amazon.com/dp/B08199RYL3,https://aax-us-iad.amazon.com/e/loi/imp?b=JJxx1cDAdL5wWFb96TQYL3QAAAGQg-ca5gEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBNTfST,paid,5,842971.86,0.0,0.0
321,B00MRJ8LSU,1; 2,violin,11968961; 11968951,39.92,"Otamatone Japanese Electronic Musical Instrument Portable Music Synthesizer from Japan by Maywa Denki Studio Award Winning, Educational Fun Gift for Children, Teens & Adults - Black",4.3,USD,,False,39.92,True,,1000+,1,16456,False,49.99,,,1.0,https://www.amazon.com/dp/B00MRJ8LSU,https://aax-us-iad.amazon.com/e/loi/imp?b=JJRzhoruMy_IYlp5ZgNWfDEAAAGQg-R3FQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICC8zM9a,paid,2,656923.52,10.07,0.2
746,B07QWYL28P,1,gold plated,7454898011,18.95,14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,4.4,USD,True,True,18.95,False,,1000+,1,27056,False,20.82,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",1.0,,https://www.amazon.com/dp/B07QWYL28P,https://m.media-amazon.com/images/I/610VsCaFMXL._AC_UL320_.jpg,organic,1,512711.2,1.87,0.09
778,B07T8JFZVQ,1,cubic zirconia,7454898011,17.95,14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,4.4,USD,True,True,17.95,False,,2000+,1,27056,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",2.0,,https://www.amazon.com/dp/B07T8JFZVQ,https://m.media-amazon.com/images/I/51PpuzQQniL._AC_UL320_.jpg,organic,1,485655.2,0.0,0.0
799,B07WK18YMW,4; 2; 6; 8; 3,violin,11968981; 11969021; 11968951; 11968991,63.99,"Enya Concert Ukulele Nova U 23’’ Carbon Fiber Travel Ukulele with Beginner Kit includes online lessons, case, strap, capo and strings (Black)",4.7,USD,,False,63.99,True,,100+,1,5597,False,89.99,,,1.0,https://www.amazon.com/dp/B07WK18YMW,https://aax-us-iad.amazon.com/e/loi/imp?b=JFf5UCjwEOrqBxtSNugjATkAAAGQg-cOPwEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICDCmA-k,paid,4,358152.03,26.0,0.29
764,B07RZHQF58,14; 15,cubic zirconia,7454898011,9.99,"5 Pairs Stud Earrings Set, Hypoallergenic Cubic Zirconia 316L Earrings Stainless Steel CZ Earrings 3-8mm (Steel color)",4.5,USD,,False,9.99,True,,10000+,1,31703,False,0.0,,,2.0,https://www.amazon.com/dp/B07RZHQF58,https://aax-us-iad.amazon.com/e/loi/imp?b=JF13R-hJaU8ecBMw1boqiqQAAAGQh6Ii5AEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICAjV5iL,paid,1,316712.97,0.0,0.0
236,B0064J1KH8,1,cubic zirconia,7454898011,14.2,Plated Sterling Silver Cubic Zirconia Stud Earrings (Round & Princess),4.5,USD,True,False,14.2,True,,,1,20304,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 8",1.0,,https://www.amazon.com/dp/B0064J1KH8,https://m.media-amazon.com/images/I/71MdaubplUL._AC_UL320_.jpg,paid,1,288316.8,0.0,0.0
759,B07RS3PSV6,1,sterling silver,7454898011,37.9,"Italian 925 Sterling Silver Byzantine Bracelet for Women, Handmade in Italy",4.5,USD,True,False,37.9,False,,1000+,1,6926,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Mon, Jul 8",1.0,,https://www.amazon.com/dp/B07RS3PSV6,https://m.media-amazon.com/images/I/71K8+TUpsFL._AC_UL320_.jpg,organic,1,262495.4,0.0,0.0
916,B086MWDLB9,64,sterling silver,7454898011,49.99,Infinity Heart Symbol Charm Link Bracelet for Women 925 Sterling Silver Stainless Steel Adjustable Mother's Day Gift Anniversary Jewelry Birthday Gifts for Women Wife Girlfriend Her,4.6,USD,True,False,49.99,False,,300+,1,4742,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Tomorrow, Jul 7",17.0,,https://www.amazon.com/dp/B086MWDLB9,https://m.media-amazon.com/images/I/616q1w9fY7L._AC_UL320_.jpg,organic,2,237052.58,0.0,0.0
779,B07TB1JTXL,69,sterling silver,7454898011,14.99,Sterling Silver Diamond-Cut Rope Chain 1.1mm 1.5mm 1.7mm 2mm 2.5mm Solid 925 Italy New Necklace,4.5,USD,True,False,14.99,False,,,1,13986,False,0.0,"FREE delivery Thu, Jul 11 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Jul 7",22.0,,https://www.amazon.com/dp/B07TB1JTXL,https://m.media-amazon.com/images/I/714pVKhRH0L._AC_UL320_.jpg,organic,2,209650.14,0.0,0.0
