Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
smoky quartz,smoky quartz crystal,42,False,B0B69N5W93,"NATIONAL GEOGRAPHIC Break Open 5 Jumbo Geodes - Earth Science Kit with 5 Premium, Extra-Large Geodes with Crystals, Goggles & Display Stands, Science Gifts, Fun Stuff for Kids (Amazon Exclusive)",39.99,USD,1432321.83,4.5,35817,,,,False,True,400+ bought in past month,/NATIONAL-GEOGRAPHIC-Break-Jumbo-Geodes/dp/B0B69N5W93/ref=sr_1_43?dib=eyJ2IjoiMSJ9.mHST9suoM1ydTFCPqlsUXbzcVqhAFrapWKYZMTUG5Q7LCvx7_zdUt_zEXzT9obvPoT9UMCEnetaHH0kVZfue4o4sVMAk7hUsuziERalM5IPDy4pZThpztTXpEdm7adv3-EOOM28SgmHRTma6Th60pUPq1QZFapx-qhrfOzMM8nB8aebaVMu7rMnzkAEKovBHeizD4oqr1bf4R9NLtLrertduPDNRxG512w5o0whS0XnlwP4Hvi3yGBhs4YBqP2m8VIAgE2mANUwVef5zvrb_2qlNrW7LQiXZrz3pCRp1Ha4.TvvwYb72Vfsvrwfi5yMW67OFcNe0bRT3K7EtJo4HBU8&dib_tag=se&keywords=smoky+quartz+crystal&qid=1719062073&sr=8-43,https://m.media-amazon.com/images/I/A1lo4gzKgrL._AC_UL320_.jpg
smoky quartz,smoky quartz stone,8,True,B084MM59L3,Natural Amethyst (4 lb to 5 lb) Crystal Clusters Stone from Uruguay Raw Geode Quartz - Deep Purple Color,165.9,USD,241882.2,4.7,1458,,,,False,True,,/sspa/click?ie=UTF8&spc=MTo1NzQ2MzAzNzQ0MTk2NjIzOjE3MTkwNjE5ODc6c3BfbXRmOjIwMDA4Njk0MzgzNTMyMTo6MDo6&url=/Natural-Amethyst-Crystal-Clusters-Uruguay/dp/B084MM59L3/ref=sr_1_26_sspa?dib=eyJ2IjoiMSJ9.IzNDG_O3wcs-ZFyDs8RQDlZb6Vpf2-yeuyrxQabibFpnBoSWzeUKiw-K0GEQJk1dd0d8m99lL2o27Q_6ZoizyVTPziCE_aDzPyDdfuZ6S18sEhGd2G-C2UDoD1FQYvmrw62MQi_sbeNB8Ua-SnE60xL6O1Ab8hrELm4Q3NSxsE9nku0FsWyt61y79wC5q7M-nzaZSyaiD2vFrlANf1oEhhQnOORRbkTtyNoqP7sazoMIYHnoice21UJ565W7aN9IgIlcVn8Z5B-cZAh1Xn4WH9JKDmE7-uRgtBMfZkikh8s.bNtx1pYkoGs-1qt9T9nEZxcLHVV0nNRe64wr5m_LtV4&dib_tag=se&keywords=smoky+quartz+stone&qid=1719061986&sr=8-26-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/813XWVmjAuL._AC_UL320_.jpg
smoky quartz,smoky quartz stone,268,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_258?dib=eyJ2IjoiMSJ9.85Oc682v9PajYx0OAPcWf90Ku-RyqrNYakJTfHIronZuGq1k-k43FXIVJG24q-LTe1uFxDXXc85xt2zXC-8nd3qlooe3Vl2_JVFBXccGU-dvr3EGgihdDHnmB-fCxcEoT0_-Sweymw3TaU9ZpnSNYJhEyNZS5s78qL2Sxgzt7ry41tMDYJL-ty4KnGSSnDVbnyt8dprqKXS2Ck_fuQ6YhbvFxKQ89GMfLw8H0s3__Y9zDCdKw8R1ct4pH9eCqnbc-VNbZtnK2KvgfjepNjhooHkO9_9eSUZ2oREbABVYdAg.SeUHNHYtUKAPGJRLSB13VgsHXtZ8UEWw_tQKAEXDdic&dib_tag=se&keywords=smoky+quartz+stone&qid=1719061994&sr=8-258,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
smoky quartz,smoky quartz ring,270,False,B07M75TBTT,CHOOSE YOUR COLOR Sterling Silver Heart Halo Promise Ring,48.69,USD,187553.88,4.2,3852,,,,False,False,,/Sterling-Silver-Faceted-Natural-Genuine/dp/B07M75TBTT/ref=sr_1_272?dib=eyJ2IjoiMSJ9.lP5ixseUf5pKJ97J9lRnguJFRVr-BPUV8IXz8orwI9Vx73lIP4LiMXw2WIPKWWwZIfOmAoV6KjsldN4OfHDDrBiV39gc65zP7QrqupMVZKpeeIu81CUjY16ZYC1gnNmFDVIjH33EeClZhsANEnA0NMQiih_N76EqeUpfi0a_QWYhvU_WmuC0AWj9aJUDmqiTE6dL2UPkyvaFYc-aD8sGPfoIcP0J0WImMks8iD_qYS0orYg_Mmxy4cWWJL1SIjyIFaBsiHjKUje75TG2pgV1uPRHpWrsBfBWTBw5wgrnB7I.iif6qKD1kfJvGsbYcfWY8r2Sb3uRy2haVYep06AS6f8&dib_tag=se&keywords=smoky+quartz+ring&qid=1719062020&sr=8-272,https://m.media-amazon.com/images/I/71BkgiGuvFL._AC_UL320_.jpg
smoky quartz,smoky quartz bracelet,37,False,B07L9KZZPH,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,174007.62,4.5,12438,,,,False,True,600+ bought in past month,/FANCY-SHINY-Bracelets-Bohemian-Stackable/dp/B07L9KZZPH/ref=sr_1_38?dib=eyJ2IjoiMSJ9.1ZRsxywfA9GJvRmdQMyrk0gn1d-98xmCS_wnLsgkJsX4Si_8P7qOBJNZhrnwGBzK8y--zVi8ElemKBrin5Z7LeowHXTLQVRe6PYh3lz9P7BDUEu8wjj76MG6n_N0MAZ1Uut5BxQEUgeLvFm5Do-HomEJ3YIECfOwUsrh7xnwdNfojmeg0Ocp4AO0u0FHuClgPL_SatmBprx-T6BgvM2FPzfjDVg7P6vPPag5pkzVWewnlcTEEyHDHgb_4DtdY7VfYblVbatEv7XfTaxOyJLHw7kVSf2_KGWR2sff5MI9W7c.DiR8Mm5_6Oo7IBBGCdKoCq32ZyWnyfEyTrzD5YjYj-w&dib_tag=se&keywords=smoky+quartz+bracelet&qid=1719062088&sr=8-38,https://m.media-amazon.com/images/I/81vHYK-QqLL._AC_UL320_.jpg
smoky quartz,smoky quartz necklace,133,False,B01GAWEICW,"Wish Stone Pendant Necklace with Birthstone Crystal, 18K Rose Gold Plated/Silvertone, 18"" + 2""",39.99,USD,160399.89,4.6,4011,,,,False,True,,/Leafael-Necklace-Swarovski-Crystals-Birthstone/dp/B01GAWEICW/ref=sr_1_131?dib=eyJ2IjoiMSJ9.jQ9zOPaS2_AZCIxDSOYq_U0IdzssIZnT_KRk__nd5CoqB107BkyHGdvGRSjluZ68jh_69JlmBQpKeA3GJiEpNJ3GGezUOzX7UyqFzqF3VfG3-ylAd_Q-bN9Y5SZnWC0q44lsUP4XK7mWQLJd-LNaEl141ZdCYL9MlrMTinm_U_5vg19DzCzGf_vJ-Zb9C_kJNgzh51TMdfahuIFLOs6iQrmQWXXnk3hh5S1nadwioFYqGgdcY2iDWje97M7QA1SjbM2hPM4UGWsjblR-XkJ68Fjovc8EonbQAJLe7jNqdes.7P-ulv20MFvMI58ui5wp-iGNamt0UbW0fyo4wft6Z3w&dib_tag=se&keywords=smoky+quartz+necklace&qid=1719062002&sr=8-131,https://m.media-amazon.com/images/I/71uxEA65uDL._AC_UL320_.jpg
smoky quartz,smoky quartz anklet; smoky quartz bracelet,21; 81,False,B08CMXYQPZ,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,15.99,USD,97554.99,4.5,6101,,,,False,True,100+ bought in past month,/TUMBEELLUWA-Healing-Bracelet-Crystal-Handmade/dp/B08CMXYQPZ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.mumQ_XDIHGKWbR9pyGfGhnq4AjY70ilGMJU0RigKBUAc4BqxutO6gsO8ZhdfmxNJ9wheX0sfC99-JNs0nk9iWmKVbUiJrgCTrQpnCprsYgSpOSkLx_SmTSk9rQYUECO4lYlGhsMv119phua90_EF0SGiCWQSJTwiJYEdk98iPWjkZoUr_kRBIdeFTQNf4ZQKARiJBlaaqJsqJsMnbt8Y-zCZuoup2dD96XvhncBZqVBJ7A0Z9PuQZyKmMxHdhjhPPXQIL6EgfmVFGdLb49iI91mtnfk7f7Cq4ZDLtQ73YNk.4h8vJQeVQ4V1zS47JzOBnmTBRFizDCZ-7eCYNSHQ7t8&dib_tag=se&keywords=smoky+quartz+anklet&qid=1719062058&sr=8-22,https://m.media-amazon.com/images/I/51OTV1-8dQS._AC_UL320_.jpg
smoky quartz,smoky quartz stone,195,False,B07DPH2WRK,MASSIVE BEADS Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,10.99,USD,85612.1,4.5,7790,,,,False,True,,/Massive-Beads-Precious-Birthstone-Adjustable/dp/B07DPH2WRK/ref=sr_1_185?dib=eyJ2IjoiMSJ9.gTPGdtZ8DVQzQQCXsmwS33_hw42Jwy55MS4DLF2dbNkMWjwNhTiWb6vt4GQOIfumu_oNOHOl3dZhu8DqKwe4pRKyRUaAfls_Pt8yephOuFiJptn8LP5ET4lbMQEo3deXDUPnfV841Cy1seC24iAsHy9f86eRMbS5REL-icTwjBuPHTLPtK48Qa8L_1i9sxKYolFfKRPHeP3HrIrEoDwzP29vG55_ydsabJRaOvIdPQULKz2ZwWArkEBtC_Y4VPNHw9RPLV96KBWUXBA3dFl6ZDDbcoVMkqvDwef3CCjcdjk.9jxw7QlFm1PL7dBRY0iSyx3yDWhCZQcixTSN9b2xgv8&dib_tag=se&keywords=smoky+quartz+stone&qid=1719061991&sr=8-185,https://m.media-amazon.com/images/I/61QrUYtYrUL._AC_UL320_.jpg
smoky quartz,smoky quartz anklet,251,False,B089R8CCGX,Anklet for Women Gold Chain 14K Gold Plated Dainty Boho Beach Summer Simple Foot Jewelry Ankle Bracelet,13.99,USD,84625.51,4.6,6049,,,,False,True,100+ bought in past month,/Mevecco-Dainty-Turquoise-Minimalist-Bracelet/dp/B089R8CCGX/ref=sr_1_240?dib=eyJ2IjoiMSJ9.cuhqRc_LyvNyu0lVVUvBHvtTEwaRYfTBjy1GI2M5TZt9bYPKBEG9HHQPJrBposMBRZ8-JvDsPJmi8RLNFyHL9vvRyiLjKvsFznCoR7FrfxUAwkKDqRgtBKJ_Z0pb0gLQ8xCEM32um96FYh4sgFDzTZzgxgx1MiOXI2GoSH8QqRuPIwCEMl_9B4YgW9FG_5HlBwH-Mki793XgvEwlC4-jn13c5w7ffq5Rtpd7j9aqEAAQoiKSd7jwdDZMKC5YvrJplRhBAPTBFkL3iym0VI_BleAXBjoZfvjEwhp7qlVSjHQ.oKdt0_WYPvzmoYR_tjJgM7ZWB9IwmiDR9OK_dqPMR6A&dib_tag=se&keywords=smoky+quartz+anklet&qid=1719062064&sr=8-240,https://m.media-amazon.com/images/I/71ztRxH9RmL._AC_UL320_.jpg
smoky quartz,smoky quartz necklace,246,False,B06VYC73LN,Top Plaza Antique Silver Flower Wrapped Natural Rose Quartz Healing Crystal Necklace Mothers Day Mom Gifts,9.49,USD,82354.22,4.5,8678,9.99,0.5,0.05,False,True,,/Top-Plaza-Antique-Wrapped-Necklace/dp/B06VYC73LN/ref=sr_1_241?dib=eyJ2IjoiMSJ9.Q-4RjivHR9s5Tlw6PfKepZLoOZKz18eZRMwmdzystQFxKwFAiIjD2Ku46xrXgb6lc1DThQNoRd_UCCKcGrrY6qS-B8_vJl29ABRk2muCY-EFGX3ygjd_zup9mlDSAMaZmFRjM9nfo4JNBLDZUWTliRCna2HanK3Y_lVgpPj2tuClsBFIrL8vhbpwr-nn-M829r-1bJuXqMqRe90Y82btL59QY4Ckbty2Wcb5SiTxQOJRR9Aab34-HZBS1b0m1hiyxP3_bW2Ps_zrFFzWQY1tgmInkUVNz1iGjCDpd7m1KTU.iJCfln9ccsYXsLANlvCgvUSBgWLd-ARJ_zOddIxgQx4&dib_tag=se&keywords=smoky+quartz+necklace&qid=1719062006&sr=8-241,https://m.media-amazon.com/images/I/61NRyQfW0XL._AC_UL320_.jpg
