Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
rose quartz,rose quartz necklace,232,False,B07Z6PXG5F,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,995910.96,4.6,24904,,,,False,True,50+ bought in past month,/Leafael-Infinity-Swarovski-Birthstone-Silver-Tone/dp/B07Z6PXG5F/ref=sr_1_234?dib=eyJ2IjoiMSJ9.-4JlxMxIb8AeAFUco_IqW-UqSH9jkju5PAh09b03N10J1cq2sCPJkmbUkK6JZCdpMLGsr_aawSZktE7qIi7ZNo_vmtRoiQwlEoFi-ekJNK3tEyT_NYF3ohbfflxQZtTK5LBexvbGGYdC2C0JNnoxScecFBiKAb4d1y67y2RKIjyU_LAifj-jEv5cX-o9LRpZV7iIOMR6saoXq3dYi4SYDdJ8ZqDpFheNFMIV2DP6QQjdpER32ovLl1RQiPVJtPcd9VuhCxTsBOv0So0mTDSWhDhCTh87v8THIvK8PlyKlqs.v5Iwun2Z2e0CpIufAD8PUMjDF0Wq7Dfyi_ZlHz5-mug&dib_tag=se&keywords=rose+quartz+necklace&qid=1719047813&sr=8-234,https://m.media-amazon.com/images/I/71J-+1D8vlL._AC_UL320_.jpg
rose quartz,rose quartz necklace; rose quartz jewelry; rose quartz earrings,1; 1; 39,False,B00RYURH8M,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",43.99,USD,691918.71,4.6,15729,55.0,11.01,0.2,False,True,2K+ bought in past month,/Kendra-Scott-Signature-Pendant-Necklace/dp/B00RYURH8M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.V8ZBQzFLqIMSYv5TzRvHRtdkUc4xdFUInvYV39hebXSYJ_G_MyqoxNTje7VKSbWyQSlyhL_xUXEHPKqa1xrY6KrODUobzAgmXu6g2AguCH3Ag6gVL_kf0TGDT6V0FL1DYoqf5GPf1J4KNPioHy5HHwFAHsu6zsM7vTleFcw5yNsdtMnwtZ4YiNs8eI-AUvT7AJEtqG9jIuS1Xx_wGHe9wsg3JAD-cElO8UaJvmQylZCNExcbacpzE2QVU0FSdXnVhxHiEqFmUnUk_dqStiV8dELociLhMPOtuYP_tsACuos.7QIB6GEQNlPzfFr6DlytjPwxLyDwp-ET4azibwZrQto&dib_tag=se&keywords=rose+quartz+necklace&qid=1719047807&sr=8-2,https://m.media-amazon.com/images/I/51dSKjL6BxL._AC_UL320_.jpg
rose quartz,rose quartz stone,62,False,B07WWC3T9Q,"BAIMEI IcyMe Jade Roller & Gua Sha, Face Roller Redness Reducing Skin Care Tools, Self Care Pink Gift for Men Women, Massager for Face, Eyes, Neck, Relieve Fine Lines and Wrinkles - Rose Quartz",12.99,USD,667595.07,4.6,51393,,,,False,True,4K+ bought in past month,/BAIMEI-Massage-Relaxing-Stimulating-Wrinkles/dp/B07WWC3T9Q/ref=sr_1_63?dib=eyJ2IjoiMSJ9.aXEq6jZO9mH_Ci_BbqfeYMDIr6r-tOVjiDGenupHLOhtIE9fnJulOgsVFBF6zoMFn15qpnatHgIYkKU1wiXVRiwYVCv7BuiJlU_sgBt_W4S6QNi3KXyWmo3Y2rNLeUTwYhNlEobdZIQda3RuETCSAV1h1BX46crLisWzmbw6OfNMpbLlV32GZLB62Bni7R0fUQ2qGCN35LMf4m8IRkcK11IqMyeOMnXjXvb42Yy106V-8IC8V67wMGjYV-1_wUkvInU2Nbsv8fRELEKPef1kfzois51SsoDyAA78WQp00sc.N8FBU5dAxPPtq2-7-mNWXZ-bVGtk0GqW9tAQXY-OfOc&dib_tag=se&keywords=rose+quartz+stone&qid=1719047791&sr=8-63,https://m.media-amazon.com/images/I/61QTMWfq1gL._AC_UL320_.jpg
rose quartz,rose quartz necklace,157,False,B07TTKNQ6D,Constella Crystal Pendant Necklace Collection,62.3,USD,455724.5,4.6,7315,89.0,26.7,0.3,False,True,50+ bought in past month,/SWAROVSKI-Attract-Necklace-Rose-Gold-Plated/dp/B07TTKNQ6D/ref=sr_1_159?dib=eyJ2IjoiMSJ9.qNXsCf4rIvjdJKRarPwIKc1WMxlX9z_gj3nhze274EDbc0fOq--Wv6xDmYZrSGdUt4nq1sc1G62_xhoB8iiiez2cxIZZ7l6yaEVpwtzKLrNzTyg01esMlm1g1SPaLQh704dPGRwNSBCcCKy346emT50VtAgeWBoNoCci7ZO9INPclnjkXJSlxx-686prgjIVT3sPpzun55Cye04LoN-1VZvHed3WofZ40RcoL95s2NK-ONPZLKy_3d-rSgpIqhzUhbazTh2FkIs0TJqzJ14NTpllJIkCZEAnoz-XEw1Dp3k.LuF0dfIU7JKJPWrUg_l0UcM30kdDNdXLhckJkTfBJoQ&dib_tag=se&keywords=rose+quartz+necklace&qid=1719047811&sr=8-159,https://m.media-amazon.com/images/I/61VkwwRBmGL._AC_UL320_.jpg
rose quartz,rose quartz bracelet,285,False,B07NXZMH6Y,"Chakra Therapy Starter Collection 17 pcs Healing Crystals kit, 7 Raw Chakra Stones,7 Colorful Gemstones, Amethyst,Rose Quartz Pendulum,Chakra Lava Bracelet,Dry Roses,Guide,COA,Gift Ready",19.99,USD,251554.16,4.7,12584,,,,False,True,50+ bought in past month,/Collection-Colorful-Gemstones-Pendulum-Bracelet/dp/B07NXZMH6Y/ref=sr_1_287?dib=eyJ2IjoiMSJ9.3w742yPAo6GHnyJtLTpfvZAQUaFMTobzKLabkJqmlzU5aPBO2xwkKPw-_NQA-gKjmyjk_PPF4iladOWZoBqxbZHrUtiMF4f0QKh_wDHP2kpij46fqOH8su-ZgT-cyZN-JkjSzlu3k-3cPGtsncq0gwRB8BE8w4e-tuNPqKhnSl6kjllMu2gedFeedIXUVYr63X8NrdIabuM6Zn0tbJTjxNBauQ_OX60y5jtsuA42x-6BZ2C7AYIhF9YX02QdXrO5z90dtaMqFrdR2ezDH4grfrGxKpNMfjTAsRiFgdPSz0Q.vu4pIniD38sEpymeNcALFPyGGjNAGsbq1qKAmdIUEqQ&dib_tag=se&keywords=rose+quartz+bracelet&qid=1719051244&sr=8-287,https://m.media-amazon.com/images/I/81w6hO7P7-L._AC_UL320_.jpg
rose quartz,rose quartz crystal,184,False,B09Q3F3VJ9,"Rose Quartz Crystal Tree of Life - Chakra Tree for Positive Energy, Handmade Gemstone Tree - Feng Shui Decor, Good Luck Money Tree Bonsai - Pink Healing Crystals for Spiritual Wisdom, Prosperity Gift",24.98,USD,225019.84,4.6,9008,,,,False,True,,/Rose-Quartz-Crystal-Tree-Life/dp/B09Q3F3VJ9/ref=sr_1_185?dib=eyJ2IjoiMSJ9.0zvr85uc4OGj-HvH9tbqn6rIxCbzInYibba3gb7pbGFD-telcBlMVkmvM3yRgRLR0fzFbTU78qA9MPd4rcbHVZzfu676CJNVg8tx9OA3ELC1cEPFqICsKCrapwSPctcEkCFK0qW0uiR9QXtDfNzhkEpKTa7fHrVP_iWl0gqCppIoLiTF1TOQebo8vw_nAscqtGqpP2pVO2tDu7RK5wAYDc919rQQ-lzbKbnspy3U06l_ZdqRLnC8th1GANT2bWWH__n73hWnA9Z-_5LDVlhYZQk06phBkXSJKHQgO_aZNGw.gK1kxm3a6Tdq70HvThR7-hMf0uqkRnEHMX_4SxnjsTI&dib_tag=se&keywords=rose+quartz+crystal&qid=1719047898&sr=8-185,https://m.media-amazon.com/images/I/81zVv13xDhL._AC_UL320_.jpg
rose quartz,rose quartz anklet,91,False,B07CTDFL1R,Womens 925 Sterling Silver Infinity Anklet Bracelet Endless Love Symbol Charm Adjustable Large Bracelet Mother's Day Gift for Women,39.99,USD,208747.8,4.5,5220,,,,False,True,,/Billie-Bijoux-Sterling-Infinity-Adjustable/dp/B07CTDFL1R/ref=sr_1_89?dib=eyJ2IjoiMSJ9.lkgfKNgOwVgHMHd5GSUy5j0oqpTBLy1B3QXAXs_8d-Kr-4WFg33s7BoP0CqZiLQRzmBu00fE9P3SQCTGTGaUP4c7FDC6jfdXQ0OcH4Vplcja-1WdxPaQfXy_E9UNFowblnwwPVKhGAtyaE-jcCKX4D5wu1r82AjeyU6TNGbuO8UzVeEQBxjStacKsma7pPA1FxWOFc-mbw9CKdhMdbw7q_IGePeVbEEfgQZpWeEpk3WUTh8fB5sbXPqjrJcAJdN7Y5bTxIdIxk8E_38uXQi3uj3mG_QrY-L2hLcS9JiQwZA.0-N1rxdNtXZ7og6sAakTN_xgh7THjbvzPidgSn_xZHo&dib_tag=se&keywords=rose+quartz+anklet&qid=1719047882&sr=8-89,https://m.media-amazon.com/images/I/613uIg65k5L._AC_UL320_.jpg
rose quartz,rose quartz crystal,121,False,B0B3RFS5KB,PLANTIFIQUE Gua Sha Rose Quartz Tool for Face Anti Aging Massage Tool - GuaSha Tool - Facial Skin Care Products - Massager for Your Skincare Routine,13.95,USD,199010.7,4.6,14266,15.95,2.0,0.13,False,True,1K+ bought in past month,/Rose-Quartz-Tool-Face-Plantifique/dp/B0B3RFS5KB/ref=sr_1_122?dib=eyJ2IjoiMSJ9.FcJa2RmMmY00wYPWPz44Hk5pnJQ2qQIai7TEfYQoMK35bhdqfjvnYDHOjYF5PJemJHdR-6DfjrhcoPqdlNx2tbvE0HBQL0VCOpmbnUqMd48vflCDL-X-rxlVrw0uCSOGsi825XpGewHHf4tX7HMhejAJqTz50DqcMVvbKhySiaD_H3zwOh8rNmM-q1xn-PtfPBc3Yh1jBobhCA8okd991euTgtEu9fpHSD7lvdkuHG70JnqDmglov9I5zWeuBMg3wHZj_vCGwKMeHHU2Z7Vbv-MwoLCCg4i-JC4mewS6YIM.XAdz8g7CMqb5-Sgf_UKs3XjgJwwAHYwvef3K0zRse5A&dib_tag=se&keywords=rose+quartz+crystal&qid=1719047897&sr=8-122,https://m.media-amazon.com/images/I/61a41EO4h6L._AC_UL320_.jpg
rose quartz,rose quartz ring,75,False,B01MT2N7K3,14K Gold Plated X Ring Simulated Diamond CZ Criss Cross Ring for Women,13.45,USD,191393.5,4.3,14230,,,,False,True,300+ bought in past month,/PAVOI-Plated-Simulated-Diamond-Yellow/dp/B01MT2N7K3/ref=sr_1_77?dib=eyJ2IjoiMSJ9.kvUor4DHkUbMg-uioX_QKOL5juAj9JLauk_YZ1cKWBTDjUd2FVK7ZJetRJH5drcB8nSnRYYXWbOWVLbqUl3rkm3Dhw5SEqTR16Bif8G_HZHuhlgyMgGKTrJVdSgaE1hQzWtYyeGKk5UxI_W7igBat704contgPIiGO3haz7fW2ogSiL9wexUSc8XfoN94K8FsrO7MOD-SBV7qxflALFas11nKDhx5sR7Ra3p3FaEyGBsITzwaYT-E7mMkg95rCmxzS9LFCMrXKM_DxFLJGFhIwTEo2vErjl6Ll_8vPTUkn4.RXMqJplY6km2bw7YrZMOMJq9K76-bTLscg4HeQvW8-Q&dib_tag=se&keywords=rose+quartz+ring&qid=1719047823&sr=8-77,https://m.media-amazon.com/images/I/61H2dPTqMiL._AC_UL320_.jpg
rose quartz,rose quartz anklet,240,False,B07L9KZZPH,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,173965.65,4.5,12435,,,,False,True,600+ bought in past month,/FANCY-SHINY-Bracelets-Bohemian-Stackable/dp/B07L9KZZPH/ref=sr_1_235?dib=eyJ2IjoiMSJ9.wEDAa0no8Qy36ErEdqAE4Tv-O7T5K5unQc9K4-ty-5LPYEg8Wyj8-ik68e3VCl1dd8cTOY0w8kGdCKitq6La-qVIhUZRBekXsP2EQx3KlWI2g3kvyTb-mOxBEyuL2WvfFeW9xEFWpFuw8HRoboWt-zMdxWfxaycG38CfuMerLLbu7CJAFn4pGQMxS88IcQLuGAeGlVbj4Sf5DZsdFAF5LnE4KJFPAYSrKL5MuNrczgZ0nzxWI2RMZLbffljcFR_Noj5J1HwKakG9gkKErr28teODBtOg7ZKOaPBYWc0xGBg.hh019CS4KikfwS6_Pkdz5eQk8TUFHp0yCPDnissXvTI&dib_tag=se&keywords=rose+quartz+anklet&qid=1719047887&sr=8-235,https://m.media-amazon.com/images/I/81vHYK-QqLL._AC_UL320_.jpg
