asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07F12SZDS,7.99,"Beetles 2 Pcs 15ml No Wipe Gel Top Coat and Base Coat Set - Shine Finish and Long Lasting, Soak Off LED Nail Lamp Gel Base Top Coat Finish Nail Art Design Manicure Gifts for Women",4.5,USD,True,True,7.99,False,,40K+ bought in past month,1,93137,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/71ITKyH5ATL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,1,744164.63,5.0,0.3849114703618168
B0BD4MMFVM,6.99,"GAOY 16ml 2 Pcs Glassy Gel Top Coat and Base Coat Set,No Wipe Foundation Combination for UV Light Cure Nail Polish",4.5,USD,True,False,6.99,False,,10K+ bought in past month,1,3928,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61KI6PPoUGL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,2,27456.72,0.0,0.0
B0BXFNTMVL,14.99,"OPI Start to Finish, 3-in-1 Treatment, Base Coat, Top Coat, Nail Strengthener, Vitamin A & E, Vegan Formula, Long Lasting Shine, Up to 7 Days of Wear as Top Coat, Clear, 0.5 fl oz",4.6,USD,True,False,14.99,False,,10K+ bought in past month,1,1661,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/51hTBc7fyJL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,3,24898.39,0.0,0.0
B0CHBDKJ6M,6.99,"Beetles 2Pcs 10ml No Wipe Gel Base and Top Coat Set, Shine Finish and Long Lasting, Soak Off LED Nail Lamp Clear Gel Top Base Coat Gel Nail Polish Art Design Home DIY Manicure Gifts for Women",4.4,USD,True,False,6.99,False,,1K+ bought in past month,1,1191,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/716cNfD+juL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,4,8325.09,0.0,0.0
B00IUNO208,4.48,"Nail-Aid Gel Xtreme Shine Top Coat, Clear, 0.55 Fluid Ounce",4.3,USD,True,False,4.48,False,,400+ bought in past month,1,842,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/71dULX6AZUL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,5,3772.1600000000003,0.0,0.0
B091J279Z7,20.0,"LONDONTOWN Duplex Base and Top Coat, Two-in-One Base Coat Top Coat, 12mL",4.5,USD,True,False,20.0,False,,300+ bought in past month,1,131,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",7.0,,https://m.media-amazon.com/images/I/71XeSi+OO8L._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,6,2620.0,0.0,0.0
B0C4YGR3QT,8.99,JODSONE 2 Bottles of Top Coat Base Coat Gel Polish Set Bright Surface At Home DIY Nail Salon Girl Gift,4.5,USD,True,False,8.99,False,,1K+ bought in past month,1,956,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/61EAsBjxrkL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,7,8594.44,0.0,0.0
B07NRLYRDP,6.99,"Beetles 2pcs 7.5ml No Wipe Gel Top Coat and Base Coat Set, Soak Off LED Clear Gel Base Top Gel Glossy Shine Finish Long Lasting Gel Polish Base and Top Coat Gel Lamp Nails Art DIY Home",4.5,USD,True,False,6.99,False,,2K+ bought in past month,1,12968,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/71N6CrG27rL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,8,90646.32,0.0,0.0
B07SHGMVNN,7.99,"modelones No Wipe Gel Base and Top Coat Set, 2pcs Clear Shine Finish Long lasting Gel Top Coat Base Coat for Gel Nail Polish Soak Off U V/LED Top Coat Gel Nail Polish for Home DIY & Salon",4.5,USD,True,False,7.99,False,,500+ bought in past month,1,13026,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",10.0,,https://m.media-amazon.com/images/I/51YqWhRdofL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,9,104077.74,5.0,0.3849114703618168
B00F977UL6,8.95,"Orly Base Nail Coat, Top 2 Bottom, 0.6 Ounce",4.7,USD,True,False,8.95,False,,#1 Top Rated,1,565,False,9.46,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",11.0,,https://m.media-amazon.com/images/I/51qcs5DpxhL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,10,5056.75,0.5100000000000016,0.05391120507399593
B06XXFM8CX,25.3,"OPI Nail Polish Base Coat Primer & Gloss Top Coat, Infinite Shine Duo Pack, 0.5 Fl Oz each bottle",4.6,USD,True,False,25.3,False,,800+ bought in past month,1,11780,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",12.0,,https://m.media-amazon.com/images/I/612SKDulyBL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,11,298034.0,0.0,0.0
B0C5WNNS55,7.99,"Gel Base and Top Coat Set, 6pcs Combination Base Coat Nail Polish with Matte, No Wipe, Gold Foil, Glow in the Dark and Seashell Top Coats Kit for Easy and Creative Nail Art",4.5,USD,True,False,7.99,False,,50+ bought in past month,1,210,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",13.0,,https://m.media-amazon.com/images/I/71J54fzLORL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,12,1677.9,0.0,0.0
B01NH0D2T5,7.29,Modelones Gel Top Coat and Base Coat Set 2 Pcs Gel Nail Polish No Wipe Gel Base and Top Coat Clear Top Coat Nail Lamp Need Long Lasting Shiny 10ml Gifts for Women,4.5,USD,True,False,7.29,False,,1K+ bought in past month,1,16112,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/71HrKOCQVSL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,13,117456.48,5.7,0.43879907621247116
B0CRFRXWNL,14.49,"OPI Infinite Shine Long-Wear Gel-Like Base Coat, Up to 11 days of wear & Gel-Like Shine, Clear, 0.5 fl oz",4.3,USD,True,False,14.49,False,,300+ bought in past month,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/61OrIFP2E+L._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,14,492.66,0.0,0.0
B01FIL5UIM,9.99,"Revlon Multicare Base + Top Coat, 2 in 1 Nail Strengthener and Top Coat for Glossy Shine Finish, 0.5 oz",4.4,USD,True,False,9.99,False,,50+ bought in past month,1,863,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",16.0,,https://m.media-amazon.com/images/I/81qk7C3m2+L._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,15,8621.37,0.0,0.0
B09T5DGCQB,13.99,"Makartt Base and Top Coat Gel, No Wipe Gel Top Coat and Base Coat, 2pcs 15ml Long Lasting Shine Clear Coat Nail Polish Need Nail Lamp, Nail Art Design Manicure Christmas Gifts",4.3,USD,True,False,13.99,False,,50+ bought in past month,1,1324,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",17.0,,https://m.media-amazon.com/images/I/61msB+nAAhL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,16,18522.760000000002,0.0,0.0
B0CBRW1H5C,6.99,"GELLEN Gel Base and Top Coat, No Wipe Base and Top Coat Gel Nail Polish, Soak off U V Light Cured Clear Glossy and Long Lasting Gel Top and Base Coat Gel Polish for Salon at Home",4.0,USD,True,False,6.99,False,,50+ bought in past month,1,53,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",18.0,,https://m.media-amazon.com/images/I/61cP+w1-hvL._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,17,370.47,0.0,0.0
B0851TX4R7,9.59,Duo Set Quick Dry Fast Top Coat + Base Coat Clear Long Lasting 15 ml / 0.5 oz,4.3,USD,True,False,9.59,False,,200+ bought in past month,1,739,False,10.95,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19.0,,https://m.media-amazon.com/images/I/61nus4PmfML._AC_UL320_.jpg,organic,11059361,combination base & top coats,1,18,7087.01,1.3599999999999994,0.12420091324200909
