asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08LDBNY59,109.99,"Distinctive Artistic Violin Set Designed for Beginners/Students/Kids/adults with Hard Case,Bow,Extra Strings (4/4/Full-size)",4.1,USD,,False,109.99,True,,,1,405,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JB6GFXkq8Fk6IRNl0HFEfv4AAAGRLRGDJgEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICC04Q-t,paid,11968961,violin,1,1,44545.95,0.0,0.0
B00MRJ8LSU,39.99,"Otamatone Japanese Electronic Musical Instrument Portable Music Synthesizer from Japan by Maywa Denki Studio Award Winning, Educational Fun Gift for Children, Teens & Adults - Black",4.3,USD,,False,39.99,True,,1K+ bought in past month,1,16612,False,49.99,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JF-7wpYbgdR06QNVAauyDiQAAAGRLRGDFQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBbhadI,paid,11968961,violin,1,2,664313.88,10.0,0.20004000800160032
B00K0NZQHY,68.79,Carbon Fiber Violin Bow 4/4,4.5,USD,True,False,68.79,False,,#1 Top Rated,1,1520,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/718nrer+ieL._AC_UL320_.jpg,organic,11968961,violin,1,1,104560.8,0.0,0.0
B077NZLMWS,19.95,Professional 4/4 Brazilwood Ebony Frog Violin Arbor White Horsehair Violin Bow (4/4 Brazilwood),4.2,USD,True,False,19.95,False,,100+ bought in past month,1,1198,False,23.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/710ABCPL6zL._AC_UL320_.jpg,organic,11968961,violin,1,2,23900.1,4.039999999999999,0.1684035014589412
B0939YRN1Z,32.99,Carbon Fiber Violin Bow 4/4 Full Size Lightweight Fiddle Bow with Deep & Powerful Tone for Advance Level Violins [Carbon Bow 4/4],4.3,USD,True,False,32.99,False,,50+ bought in past month,1,154,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",4.0,,https://m.media-amazon.com/images/I/41znMieTUkL._AC_UL320_.jpg,organic,11968961,violin,1,3,5080.46,0.0,0.0
B01J19ABGI,32.99,"Kmise Violin Bow Stunning Fiddle Bow Carbon Fiber for Violins (4/4, Black)",4.3,USD,True,False,32.99,False,,100+ bought in past month,1,2013,False,35.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",5.0,,https://m.media-amazon.com/images/I/61UPOXQ-VHL._AC_UL320_.jpg,organic,11968961,violin,1,4,66408.87000000001,3.0,0.08335648791330925
B074WM5MBC,28.49,MI&VI NB-510 Brazilwood Violin Bow 4/4 (Full Size) with Ebony Frog | Octagonal Silver Mount | Well Balanced | Light Weight | Mongolian Horse Hair - MIVI Music,4.3,USD,True,False,28.49,False,,,1,250,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/711pc+FxBxL._AC_UL320_.jpg,organic,11968961,violin,1,5,7122.5,0.0,0.0
B08CDM5F5R,109.95,Carbon Fiber Core Hybrid Peranmbuco Skin Violin Bow 4/4 Size VINGOBOW 127V Master Level Fleur-de-lys Snakewood Frog 4 4 Full Straight Premium Natural Horse Hair for Porfessional Player,4.6,USD,True,False,109.95,False,,50+ bought in past month,1,192,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",7.0,,https://m.media-amazon.com/images/I/61PKks25pjL._AC_UL320_.jpg,organic,11968961,violin,1,6,21110.4,0.0,0.0
B0C1RQ2X1T,37.99,"Poseidon Violin Bow 4/4 Brazilwood Violin Bows-Performance Bows Made with Ebony Frog And Octagonal Copper Wire Winding Mount with Fleur-de-lis Inlay, Mongolian Horse Hair for Professional Players",4.4,USD,True,False,37.99,False,,,1,23,False,49.99,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",8.0,,https://m.media-amazon.com/images/I/71nG5p8JVmL._AC_UL320_.jpg,organic,11968961,violin,1,7,873.7700000000001,12.0,0.24004800960192038
B004WNZK0G,15.28,AB-100 Student Violin Bow - 1/32 Size,4.0,USD,True,False,15.28,False,,,1,654,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/71Hg3zylChL._AC_UL320_.jpg,organic,11968961,violin,1,8,9993.119999999999,0.0,0.0
B0CRTS6TVK,19.99,"Violin Bow 1/2 Size Octagonal Stick Ebony Frog, Professional Horse Hair for Beginners and Students (1/2 Violin Bow)",4.3,USD,True,False,19.99,False,,,1,244,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",10.0,,https://m.media-amazon.com/images/I/31R48hPaXkL._AC_UL320_.jpg,organic,11968961,violin,1,9,4877.5599999999995,0.0,0.0
B0BFWQ285X,28.99,Brazilwood Ebony Violin Viola Cello Bow Full Size Ebony Frog with Natural Horsehair (Violin bow 4/4),4.5,USD,True,False,28.99,False,,,1,121,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",11.0,,https://m.media-amazon.com/images/I/61TfjPYTR4L._AC_UL320_.jpg,organic,11968961,violin,1,10,3507.79,0.0,0.0
B08R3F45LC,8.99,"2 Hanks Mongolian Horse Bow Hair for Violin, Professional Violin Bow Hair Made of Genuine, 29.5 Inch Natural White",4.1,USD,True,False,8.99,False,,,1,106,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51WFUDDxc7L._AC_UL320_.jpg,organic,11968961,violin,1,11,952.94,0.0,0.0
B01DVRXZVE,53.95,"Brandnew Carbon Fiber VIOLIN BOW 4/4 Size Deep & Powerful Tone, Art No.106VB",4.5,USD,True,False,53.95,False,,50+ bought in past month,1,460,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",13.0,,https://m.media-amazon.com/images/I/61hS2SzW-TL._AC_UL320_.jpg,organic,11968961,violin,1,12,24817.0,0.0,0.0
B0BSN71Z48,16.99,Vaguelly 1/10 Violin Bow With Horse Hair Light Weight Student Practice Violin Bow(Random Color),4.0,USD,True,False,16.99,False,,,1,32,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/51JT6qXPbtL._AC_UL320_.jpg,organic,11968961,violin,1,13,543.68,0.0,0.0
B0CJRMWWWJ,5.7,"PinkyHold for Violin and Viola Bows, Bowing Aid for the Pinky, Fits on All Sizes of Violin and Viola Bows",5.0,USD,False,False,5.7,False,,,1,1,False,0.0,$9.99 delivery Aug 9 - 13 Or fastest delivery Aug 8 - 12,15.0,,https://m.media-amazon.com/images/I/517ytOnaiWL._AC_UL320_.jpg,organic,11968961,violin,1,14,5.7,0.0,0.0
B0CRPZZW3X,48.0,"Violin for Kids, Beginner Introductory Violin Full Size 4/4 Violin, Beginner Adult Student Complete Violin Set with Hard Case, Violin Bow and Rosin, Black",1.0,USD,False,False,48.0,False,,,1,1,False,0.0,$9.99 delivery Aug 15 - 20,16.0,,https://m.media-amazon.com/images/I/51GOjl5Xk9L._AC_UL320_.jpg,organic,11968961,violin,1,15,48.0,0.0,0.0
B002TQMPLA,445.0,CodaBow Diamond NX Carbon Fiber 4/4 Violin Bow,4.3,USD,True,False,445.0,False,,,1,47,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",17.0,,https://m.media-amazon.com/images/I/51LbBO8CLjL._AC_UL320_.jpg,organic,11968961,violin,1,16,20915.0,0.0,0.0
