,asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
0,B08LDBNY59,109.99,"Distinctive Artistic Violin Set Designed for Beginners/Students/Kids/adults with Hard Case,Bow,Extra Strings (4/4/Full-size)",4.1,USD,,False,109.99,True,,,1,402,False,,,,1.0,https://aax-us-iad.amazon.com/x/c/JBlMrsU19fdlcXsFgY2xXycAAAGQg_I3ywEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICC23c8G/https://www.amazon.com/Aliyes-Distinctive-Artistic-Beginners-Full-size/dp/B08LDBNY59/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c:amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&cv_ct_cx=violin&dib=eyJ2IjoiMSJ9.ZAEU5412qXswrrlq8mWEbQ.vKfE_7k8ZzwOb1_NWquV3lhhj3-64OLEdWMde3KFADc&dib_tag=se&keywords=violin&pd_rd_i=B08LDBNY59&pd_rd_r=6faddda9-082f-4090-9b86-13c02ad61620&pd_rd_w=I8bx8&pd_rd_wg=M0nce&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=QA5XJKEFB4DXH1H5QXXQ&qid=1720200607&s=musical-instruments&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776,https://aax-us-iad.amazon.com/e/loi/imp?b=JBlMrsU19fdlcXsFgY2xXycAAAGQg_I3ywEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICC23c8G,paid,11968991,violin,1,1,44215.98,,
1,B0BPCJD7SP,159.89,"Vangoa Violin 4/4 Full Size Set, Fiddle Kit Acoustic, Violin Solid Maple Wood Ebony Fittings for Adults Kids",4.1,USD,,False,159.89,True,,,1,25,False,229.89,,,2.0,https://aax-us-iad.amazon.com/x/c/JBBO4UY9l4mwIOXKE4nyZ-8AAAGQg_I33wEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDgMCuS/https://www.amazon.com/Vangoa-Acoustic-Professional-Matched-Beginner/dp/B0BPCJD7SP/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602:amzn1.sym.2f0a8989-0b67-47e7-b61e-9e3ef9908602&cv_ct_cx=violin&dib=eyJ2IjoiMSJ9.NzRomq18rg0_KC_wt7DS7w.lD6g3wiUy5ISFcnYTcCizqCvx6J1hTmkiuCV_r06-fg&dib_tag=se&keywords=violin&pd_rd_i=B0BPCJD7SP&pd_rd_r=d2375952-1399-4ad6-8d7e-be45789f428d&pd_rd_w=es3KN&pd_rd_wg=wa9Ol&pf_rd_p=2f0a8989-0b67-47e7-b61e-9e3ef9908602&pf_rd_r=QA5XJKEFB4DXH1H5QXXQ&qid=1720200607&s=musical-instruments&sbo=RZvfv//HxDF+O5021pAnSA==&sr=1-1-a61ee601-6e56-4862-a8a2-1d3da5a5406f,https://aax-us-iad.amazon.com/e/loi/imp?b=JBBO4UY9l4mwIOXKE4nyZ-8AAAGQg_I33wEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDgMCuS,paid,11968991,violin,1,2,3997.25,70.0,0.3044934533907521
2,B0002OP0WC,3.99,"D'Addario Violin Rosin - Cello Rosin - Natural Rosin Violin, Light",4.7,USD,True,True,3.99,False,,2K+ bought in past month,1,9714,False,6.0,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",1.0,,/DAddario-VR200-Natural-Rosin-Light/dp/B0002OP0WC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-1,https://m.media-amazon.com/images/I/51nFd7QvLcL._AC_UL320_.jpg,organic,11968991,violin,1,1,38758.86,2.01,0.33499999999999996
3,B09TKYGQ71,5.99,"Rosin, Violin Rosin [6 Pack] Cello Viola Rosin for Violin Bow, Light Low Dust Resin, Violin Accessories by Dulphee",4.6,USD,True,False,5.99,False,,600+ bought in past month,1,627,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",3.0,,/Rosin-Violin-Cello-Accessories-Dulphee/dp/B09TKYGQ71/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-3,https://m.media-amazon.com/images/I/711AZfOHh2L._AC_UL320_.jpg,organic,11968991,violin,1,2,3755.73,,
4,B07RPM6PWP,4.99,Rosin Violin Rosin Natural Rosin 4 Pack Low Dust Universal Rosin for Violin Viola and Cello (4 Pack Rosin),4.6,USD,True,False,4.99,False,,100+ bought in past month,1,2099,False,9.99,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",4.0,,/Rosin-Violin-Natural-Universal-Viola/dp/B07RPM6PWP/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-4,https://m.media-amazon.com/images/I/714U+y8TcjL._AC_UL320_.jpg,organic,11968991,violin,1,3,10474.01,5.0,0.5005005005005005
5,B000NE3JZ6,8.49,"D'Addario Violin Rosin - Cello Rosin - Kaplan Premium Light Rosin with Case for Violin, Viola, Cello - For Horsehair or Synthetic Bows",4.7,USD,True,False,8.49,False,,200+ bought in past month,1,6027,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",5.0,,/Kaplan-Premium-Light-Violin-Addario/dp/B000NE3JZ6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-5,https://m.media-amazon.com/images/I/71K-N0vloQL._AC_UL320_.jpg,organic,11968991,violin,1,4,51169.23,,
6,B000F3HK78,12.49,The Original Bernardel Rosin For Violin - Viola - Cello,4.8,USD,True,False,12.49,False,,400+ bought in past month,1,1023,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Tue, Jul 9",6.0,,/Original-Bernardel-Rosin-Violin-Viola/dp/B000F3HK78/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-6,https://m.media-amazon.com/images/I/714F3o80bSL._AC_UL320_.jpg,organic,11968991,violin,1,5,12777.27,,
7,B078Z1LX5W,9.98,"Jade L'Opera JADE Rosin for Violin, Viola and Cello (Original Version)",4.7,USD,True,False,9.98,False,,200+ bought in past month,1,557,False,14.25,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",7.0,,/Jade-LOpera-Violin-Original-Version/dp/B078Z1LX5W/ref=sr_1_7?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-7,https://m.media-amazon.com/images/I/717lyr2xTRL._AC_UL320_.jpg,organic,11968991,violin,1,6,5558.86,4.27,0.2996491228070175
8,B0CYH3BVV9,9.89,Violin Bow Comb Rosin Spreader Viola Bow Comb Cello Bow Comb tidy up the bow hair,5.0,USD,True,False,9.89,False,,50+ bought in past month,1,10,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",8.0,,/QINGGE-Violin-Rosin-Spreader-Viola/dp/B0CYH3BVV9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-8,https://m.media-amazon.com/images/I/61nPHhZc+TL._AC_UL320_.jpg,organic,11968991,violin,1,7,98.9,,
9,B0CNKZB226,6.69,"HFM Dark Rosin for Violin, Viola and Cello",4.4,USD,True,False,6.69,False,,200+ bought in past month,1,32,False,,"FREE delivery Wed, Jul 10 on $35 of items shipped by AmazonOr fastest delivery Sun, Jul 7",9.0,,/Dark-Rosin-Violin-Viola-Cello/dp/B0CNKZB226/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bWoc7zD7USaOhRE_IfPxd5lQ7W46To9aXF9o6XOuUI5VwscP4LZ8GNZshQ8EWIUS0uVhV2UFbJwjjJEmwnoVllPNQfQ6XJf0iNzFlldvF8itNgtmFuXEfmN4PdhmX8tl8jwBa3wpF7yzC5HdjddJj-oRXGNzqFoimxQ6DeqmITkDoc-FIgvKp2Rqdu9V3JcxucpOJ-Vos6hvvdVYQ6h35Fde6VFR6Z7NIbCay58WHDAxElusP6c44pG7M7fC-FU_8p9_ENhp_Aj16Tmvxapuhl2JlMiKOt5SUMaDGEUM65I.Y1qzmCvSzwG9rWJZDB1irRBIcZHZI3OVR9-n6Yi2CYQ&dib_tag=se&keywords=violin&qid=1720200607&s=musical-instruments&sr=1-9,https://m.media-amazon.com/images/I/61oAsEGxZDL._AC_UL320_.jpg,organic,11968991,violin,1,8,214.08,,
