asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B001CYESB0,7.97,"Dotting and Marbling Nail Art Set, 3 Piece",4.2,USD,False,False,7.97,False,,,1,42,False,0,FREE delivery Aug 13 - 16 Or fastest delivery Aug 12 - 15,1.0,,https://m.media-amazon.com/images/I/31WTMfgpk6L._AC_UL320_.jpg,organic,13106421,nail art equipment,1,1,334.74,0,0
B0018X1WLY,7.97,"Acrylics Nail Gel Brush Set, 4 oz.",3.9,USD,False,False,7.97,False,,,1,151,False,0,FREE delivery Aug 13 - 16 Or fastest delivery Aug 12 - 15,3.0,,https://m.media-amazon.com/images/I/51eMhtZff5L._AC_UL320_.jpg,organic,13106421,nail art equipment,1,2,1203.47,0,0
B002G3R2M8,7.4,Konad Nail Art Stamping Polish - Sky Pearl,4.2,USD,False,False,7.4,False,,,1,38,False,0,"FREE delivery Aug 15 - 16 Or fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/315I8HTn7HL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,3,281.2,0,0
B00I6E19DY,6.72,"Mavala Manicure Sticks,,, Pack of1",4.2,USD,False,False,6.72,False,,,1,61,False,0,$12.50 delivery Aug 22 - Sep 6,5.0,,https://m.media-amazon.com/images/I/71fey+yfAeL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,4,409.91999999999996,0,0
B07X4ZMQL6,8.03,Cuccio Pro Wrapture Gel 0.5 Oz,2.0,USD,True,False,8.03,False,,,1,2,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6.0,,https://m.media-amazon.com/images/I/61slMG3u+sL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,5,16.06,0,0
B01H0STLUY,15.5,"SNS Nail Dip Powder, Gelous Color Dipping Powder - Son of a Biscuit (Wine, Brown/Maroon, Shimmer) - Long-Lasting Dip Nail Color Lasts up to 14 Days - Low Odor & No UV Lamp Required - 1 Oz",4.6,USD,False,False,15.5,False,,,1,26,False,0,FREE delivery Aug 12 - 14 Or fastest delivery Aug 9 - 12,7.0,,https://m.media-amazon.com/images/I/71zV07YqskL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,6,403.0,0,0
B00844TBZY,6.95,Nail Creations Cabaret Kit,0.0,USD,False,False,6.95,False,,,1,0,False,0,FREE delivery Aug 16 - 19,8.0,,https://m.media-amazon.com/images/I/41GM-j1CaZL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,7,0.0,0,0
B01NBYQRDK,30.45,Cuccio Pro Revolution Acrylic Liquid 8 Oz,0.0,USD,True,False,30.45,False,,,1,0,False,0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/51p8fTKfkKL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,8,0.0,0,0
B00A6T5RJE,0.0,New Pro 20pc Nail Art Design Painting Detailing Brushes & Dotting Pen/Dotter Tool Kit Set,3.8,USD,False,False,0.0,False,,,1,3,False,0,,10.0,,https://m.media-amazon.com/images/I/51+3hlmAZzL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,9,0.0,0,0
B01I2DNUSK,0.0,"Nail Applique, Boudoir Mix Pack, Dry Transfer Process, 4 strips",3.9,USD,False,False,0.0,False,,,1,2,False,0,,11.0,,https://m.media-amazon.com/images/I/91-4CKnJtgL._AC_UL320_.jpg,organic,13106421,nail art equipment,1,10,0.0,0,0
