asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0B9X1ZJ4J,15.99,Saviland Acrylic Nail Kit: Professional Acrylic Nail Kit 15g Clear/White/Pink Acrylic Powder nail Kits Acrylic with Everything Monomer Liquid Acrylic Nail Brush Nail Forms Dappen Dish Gift Set,4.0,USD,,False,15.99,True,,500+ bought in past month,1,1279,False,19.99,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JI8QyXBRRl3EzO5_7roi3I0AAAGRLd4TKwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICChwK4e,paid,13861682011,acrylic nail tools,1,1,20451.21,3.9999999999999982,0.20010005002501244
B0CLRVRTLP,6.99,"MelodySusie 3Pcs Acrylic Nail Brush Set, Size 8/10/14 Professional Nail Brushes for Acrylic Application Acrylic Powder Nail Art Extension and 3D Nail Carving for DIY Home Salon Nail Art Manicure Tool",4.1,USD,True,False,6.99,False,,1K+ bought in past month,1,597,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/71Y8rFsE2pL._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,1,4173.03,0.0,0.0
B0BKGHSD3R,22.79,COSLUS Cordless Nail Drill Electric File: Professional for Acrylic Gel Dip Powder Nails Portable Nail Drill Machine Kit for Manicure Pedicure Nail Set with Everything Rechargeable Lightweight,4.5,USD,True,True,22.79,False,,10K+ bought in past month,1,9364,False,24.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/81ee1FG+E3L._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,2,213405.56,2.1999999999999993,0.08803521408563424
B01H05EDK0,21.99,"MelodySusie Portable Electric Nail Drill,PC120B Compact Efile Electrical Professional Nail File Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools Design for Home Salon Use, Purple",4.4,USD,True,False,21.99,False,,10K+ bought in past month,1,85935,False,25.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/71ibvTqO96L._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,3,1889710.65,4.0,0.15390534821085033
B096BF6F45,6.99,"French Cutter for Nails, Lokyango 3pcs French Tip Cutter Edge Trimmer Easy Smile Line Acrylic V Cut Nail with 2pcs Brush, 1pcs Cutting Knife, 5 Spare Blades 7 Piece Set (A)",4.3,USD,True,False,6.99,False,,200+ bought in past month,1,608,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/716tQo0CRbS._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,4,4249.92,0.0,0.0
B0CS5SD5DB,9.99,"MelodySusie 4Pcs Acrylic Nail Brush Set, Size 8/12/14/16 Professional Nail Brushes for Acrylic Application Acrylic Powder Nail Extension and 3D Nail Carving for DIY Home Salon Nail Art Manicure Tool",4.4,USD,True,False,9.99,False,,1K+ bought in past month,1,95,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/61TMI5nsVmL._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,5,949.0500000000001,0.0,0.0
B07K9D2CD1,5.99,mollensiuer 2Pcs Clear Nail Art Acrylic Liquid Powder Dappen Dish Bowl Glass Crystal Cup Glassware with Lid for Nail Art Manicure Care Tools,4.1,USD,True,False,5.99,False,,700+ bought in past month,1,14271,False,6.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/61ri6-VSsTL._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,6,85483.29000000001,1.0,0.14306151645207438
B092HK7VXY,4.99,Professional Acrylic False Nail Clippers for Acrylic Nails Nail Tip Cutter Nail Manicure Tool (Rainbow),4.6,USD,True,False,4.99,False,,3K+ bought in past month,1,4768,False,5.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/51t8TFLlpfS._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,7,23792.32,1.0,0.1669449081803005
B07HJ3FBCK,4.59,"MelodySusie Acrylic Nail Clippers, Professional Nail Clippers Cutters for Acrylic Nails Fake Nail Tips, Adjustable Stainless Nail Trimmer, Manicure Tool for Salon Home Nail Art, Plum",4.6,USD,True,False,4.59,False,,2K+ bought in past month,1,7689,False,4.89,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/71zfjB2Xd3L._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,8,35292.51,0.2999999999999998,0.06134969325153371
B0CD1BMMJ4,6.99,"Yaya Acrylic False Nail Clippers with Magnets,Nail cutters for nail tips magnet, Nail Tip Cutter with Length Measurement, Acrylic Nail Cutter With Sizer Magnets, Manicure Tool for Salon Home Nail Art.",4.5,USD,True,False,6.99,False,,1K+ bought in past month,1,392,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/71YDognaZEL._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,9,2740.08,0.0,0.0
B07T8H3531,17.99,"AIRSEE Portable Electric Nail Drill Professional Efile Nail Drill Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools with 11Pcs Nail Drill Bits and 56 Sanding Bands N24 Purple",4.5,USD,True,False,17.99,False,,900+ bought in past month,1,55741,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/719Rrwj3aWL._AC_UL320_.jpg,organic,13861682011,acrylic nail tools,1,10,1002780.59,0.0,0.0
