asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08QGTTLM2,8.99,UNA GELLA Tapered Square Nail XXL Tips 120 PCS No C Curve Gel Extra Long Straight Nails Half Fake Trace for Acrylic Home DIY with Box,4.5,USD,True,False,8.99,False,,3K+ bought in past month,1,2494,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/71C7dx91suL._AC_UL320_.jpg,organic,13861684011,nail tips,1,1,22421.06,1.0,0.10010010010010009
B08TMGBWCJ,9.99,"Clear Acrylic Nail Tips, MORGLES 500PCS French Clear Fake Half Cover Clear Nail Tips with Glue Nail File Nail Clipper Cuticle Fork for Nail Art",4.3,USD,True,False,9.99,False,,3K+ bought in past month,1,2848,False,11.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/71ZvsgEPGNL._AC_UL320_.jpg,organic,13861684011,nail tips,1,2,28451.52,2.0,0.16680567139282734
B0927N5BVP,9.99,UNA GELLA No C Curve Nail Tips 504 PCS Extra Long XXL Tapered Square Nail Tips Half Cover Nails tips Straight Shape For French Acrylic Nails False Fake Clear Tips Square Shape with Box,4.6,USD,True,False,9.99,False,,800+ bought in past month,1,2335,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/81C-NWHJZvL._AC_UL320_.jpg,organic,13861684011,nail tips,1,3,23326.65,0.0,0.0
B09MJ29G8W,8.47,"504 PCS No C Curve Clear Nail Tips for Acrylic Nails Professional, 3XL Extra Long, 12 Sizes Half Cover Straight Tapered Square French Fake Nail Tips for Nail Salons Home DIY",4.6,USD,True,False,8.47,False,,5K+ bought in past month,1,2002,False,10.03,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/715RG-bZirL._AC_UL320_.jpg,organic,13861684011,nail tips,1,4,16956.940000000002,1.5599999999999987,0.15553339980059808
B07GW9TGJK,5.99,"500PCS Half Cover False Nails Tips - Acrylic Nail Tips, krofaue 10 Sizes Lady French Style Acrylic Artificial Tip Manicure with Box for Nail Tips Art Salons and Home DIY",4.4,USD,True,False,5.99,False,,6K+ bought in past month,1,13024,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61F0vUhVFNL._AC_UL320_.jpg,organic,13861684011,nail tips,1,5,78013.76000000001,2.0,0.2503128911138924
B0B8546DTK,9.99,UNA GELLA Short Coffin Press on Nails - 216pcs Pre-shape Gel Tips for Full Cover Acrylic Nail Extension DIY - 12 Sizes for Home Salon,4.4,USD,True,True,9.99,False,,4K+ bought in past month,1,9561,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/7188u9mJm5L._AC_UL320_.jpg,organic,13861684011,nail tips,1,6,95514.39,0.0,0.0
B09GVL6DDY,15.89,No C Curve XXL Square Nail Tips-Clear Acrylic Nails Square Shape Nail Tips SITELENABY 500 pcs Flattened Half Cover False Nails for Nail Salons and DIY French ABS Nail Tips (xxl Long Sqare No c curve),4.7,USD,True,False,15.89,False,,2K+ bought in past month,1,1642,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/71qCY45MxCL._AC_UL320_.jpg,organic,13861684011,nail tips,1,7,26091.38,0.0,0.0
B0834SCWBF,9.99,"Beetles Acrylic Nails Kit 500Pcs Long Coffin Pre-Shaped Clear Full Cover Soft False Nails with Nail Glue, Nail Tips Soak Off Easy Nail Extension Set for DIY Nails Art Home Gift for Women",4.4,USD,True,False,9.99,False,,1K+ bought in past month,1,8957,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/715lgPByTiL._AC_UL320_.jpg,organic,13861684011,nail tips,1,8,89480.43000000001,0.0,0.0
B07WCM6VDD,7.99,Acrylic Nail Tips Natural 500Pcs French Artificial False Tip for Manicure Nails Art Salons & Home DIY,4.5,USD,True,False,7.99,False,,600+ bought in past month,1,3602,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/61lG0OasCSL._AC_UL320_.jpg,organic,13861684011,nail tips,1,9,28779.98,0.0,0.0
B089Y2KLZ5,7.99,"Beetles 488 Pcs 3 Styles Acrylic Nail Tips-Artificial False Nails,Clear Coffin Ballerina Stiletto Nail Tips Gel Tips Set for Acrylic Nail/Dip Powder Nails/Poly Nail Extension Gel Nail Art Gift for Her",4.1,USD,True,False,7.99,False,,500+ bought in past month,1,7292,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",12.0,,https://m.media-amazon.com/images/I/71KQUajwXxL._AC_UL320_.jpg,organic,13861684011,nail tips,1,10,58263.08,2.0,0.20020020020020018
