asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08VZ6VSJ5,7.79,KUPA GelFinity - Soak Off Gel - Top Coat Glossy Finish (No-Wipe) 0.5 Fl Oz,4.5,USD,True,True,7.79,False,,10K+ bought in past month,1,6294,False,8.25,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1,,https://m.media-amazon.com/images/I/51C+5bEBcWL._AC_UL320_.jpg,organic,17269951011,top coat,1,1,49030.26,0.45999999999999996,0.055757575757575756
B07FG7ZVFF,6.99,"beetles Gel Polish No Wipe Gel Top Coat - Clear Color Gel Shine Finish and Long Lasting, Soak Off Nail Lamp Gel, 15ml Gift for Girls",4.6,USD,True,False,6.99,False,,10K+ bought in past month,1,19922,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/613AZmb1I7L._AC_UL320_.jpg,organic,17269951011,top coat,1,2,139254.78,0.0,0.0
B00150LT40,7.08,Seche Vite Dry Fast Top Coat - .5 fl oz,4.6,USD,True,False,7.08,False,,5K+ bought in past month,1,40258,False,9.99,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/51gQZ-yGhWL._AC_UL320_.jpg,organic,17269951011,top coat,1,3,285026.64,2.91,0.2912912912912913
B08Z77NKC7,6.59,"modelones Gel Nail Polish Top Coat- 15ml No Wipe, High Gloss Shiny Long Lasting Top Gel for Clear Nail Gel and Acrylic Nails, for Home DIY and Nail Salon",4.5,USD,True,False,6.59,False,,5K+ bought in past month,1,8994,False,12.97,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5,,https://m.media-amazon.com/images/I/618lL-upRxL._AC_UL320_.jpg,organic,17269951011,top coat,1,4,59270.46,6.380000000000001,0.4919043947571319
B07GXKXTBD,9.99,"Makartt Gel Top Coat, No Wipe Top Coat Glossy Shine Finish Long Lasting 10ML Soak Off Nail Clear UV Nail Lamp Gel for Gel Nail Polish Salon Quality Nail Art Design for Home Use Beauty Gift",4.6,USD,True,False,9.99,False,,4K+ bought in past month,1,6073,False,16.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6,,https://m.media-amazon.com/images/I/71DcXbRRZ9L._AC_UL320_.jpg,organic,17269951011,top coat,1,5,60669.270000000004,6.999999999999998,0.4120070629782224
B004DQWIIO,14.99,OPI Nail Polish Top Coats | High Shine | 0.5 fl oz,4.7,USD,True,False,14.99,False,,1K+ bought in past month,1,27770,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/71E0HEUDtpL._AC_UL320_.jpg,organic,17269951011,top coat,1,6,416272.3,0.0,0.0
B01N0OKL6X,12.5,Mia Secret UV Finish Gel 15 ml - Professional High Gloss Gel Top Coat for Enhanced Acrylic Nails Finish,4.6,USD,True,False,12.5,False,,1K+ bought in past month,1,2994,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8,,https://m.media-amazon.com/images/I/71Y5fLn5PkL._AC_UL320_.jpg,organic,17269951011,top coat,1,7,37425.0,0.0,0.0
B0C2NDJB93,6.98,"beetles Gel Polish 15ml/0.51fl oz No Wipe Top Coat, High Gloss Shiny Long-Lasting Clear Gel Top Coat, Soak Off Nail Lamp Nail Gel, Home DIY Professional Manicure and Nail Salon",4.6,USD,True,False,6.98,False,,1K+ bought in past month,1,762,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9,,https://m.media-amazon.com/images/I/6185Eo-8nyL._AC_UL320_.jpg,organic,17269951011,top coat,1,8,5318.76,0.0,0.0
B08M9NNW8D,7.99,VENALISA 15ML No Wipe Tempered Top Coat - Scratch Resistant High Gloss Soak Off Gel Nail Polish Finish Long Lasting Set Gel Nail Kit,4.6,USD,True,False,7.99,False,,400+ bought in past month,1,1471,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10,,https://m.media-amazon.com/images/I/51xdy761MxS._AC_UL320_.jpg,organic,17269951011,top coat,1,9,11753.29,0.0,0.0
B01CW9UUQK,7.7,"Seche Vive Gel Effect Top Coat 0.5oz, boxed",4.5,USD,True,False,7.7,False,,1K+ bought in past month,1,7596,False,9.99,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",11,,https://m.media-amazon.com/images/I/51Z1qhGA-jL._AC_UL320_.jpg,organic,17269951011,top coat,1,10,58489.200000000004,2.29,0.22922922922922923
B00GJ8GVZ0,8.0,"essie salon quality nail care, vegan, clear top coat, No Chips Ahead, 0.46 fl oz",4.5,USD,True,False,8.0,False,,700+ bought in past month,1,20187,False,9.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12,,https://m.media-amazon.com/images/I/71WdmMZWnQL._AC_UL320_.jpg,organic,17269951011,top coat,1,11,161496.0,1.0,0.1111111111111111
B018681Q64,9.89,"ibd LED/UV Intense Seal No Cleanse Top Coat 14ml, 0.5floz",4.6,USD,True,False,9.89,False,,600+ bought in past month,1,2000,False,10.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13,,https://m.media-amazon.com/images/I/61jeAXTDtZL._AC_UL320_.jpg,organic,17269951011,top coat,1,12,19780.0,1.0999999999999996,0.100090991810737
B0CQMTX53Z,14.49,"OPI RapiDry Nail Polish Drying Top Coat, High Shine & Glossy Finish, Quick Drying, Designed to Shine, Seal & Protect, 0.5 fl oz",4.7,USD,True,False,14.49,False,,4K+ bought in past month,1,275,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",14,,https://m.media-amazon.com/images/I/51lIWgZ1W1L._AC_UL320_.jpg,organic,17269951011,top coat,1,13,3984.75,0.0,0.0
