asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BX77172B,6.99,"beetles Gel Polish Gel No Wipe Base Coat,15ml for Gel Nail Polish Soak Off LED Nail Lamp Gel Base Coat Upgraded Formula Long-Lasting DIY Home and Nail Salon",4.5,USD,True,False,6.99,False,,2K+ bought in past month,1,324,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/612aD9NUA9L._AC_UL320_.jpg,organic,17269952011,base coat,1,1,2264.76,0.0,0.0
B072N4DYMX,7.94,KUPA GelFinity Gel Basecoat 0.5 oz.,4.6,USD,True,False,7.94,False,,800+ bought in past month,1,294,False,8.75,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",3.0,,https://m.media-amazon.com/images/I/51QaYeWJqsL._AC_UL320_.jpg,organic,17269952011,base coat,1,2,2334.36,0.8099999999999996,0.09257142857142853
B08Z7JSXQ1,6.35,"modelones 2024 Upgrade Super Shiny Gel Top Coat, 15ml No Wipe Clear Glossy Gel Base and Top Coat Set, Soak Off Nail Lamp Acid Free Base Top Gel Nail Polish Starter Kit",4.6,USD,True,True,6.35,False,,10K+ bought in past month,1,67088,False,11.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/71-mP6NIMjL._AC_UL320_.jpg,organic,17269952011,base coat,1,3,426008.8,5.640000000000001,0.4703919933277732
B01MT5SHKH,8.42,Orly Bonder Rubberized Base Coat 0.6 oz,4.7,USD,False,False,8.42,False,,300+ bought in past month,1,1070,False,8.95,FREE delivery Aug 13 - 15 Or fastest delivery Aug 12 - 14,5.0,,https://m.media-amazon.com/images/I/61GQnIk2ekL._AC_UL320_.jpg,organic,17269952011,base coat,1,4,9009.4,0.5299999999999994,0.059217877094972
B001FZ1ASU,6.59,"Seche Base Nail Coat, Clear, 0.5 Fluid Ounce",4.6,USD,True,False,6.59,False,,50+ bought in past month,1,404,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",6.0,,https://m.media-amazon.com/images/I/61SPOpMoO8L._AC_UL320_.jpg,organic,17269952011,base coat,1,5,2662.36,1.4000000000000004,0.1752190237797247
B0006PLPDU,12.0,ZOYA 1,4.6,USD,True,False,12.0,False,,200+ bought in past month,1,1118,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61RkCIUQzkL._AC_UL320_.jpg,organic,17269952011,base coat,1,6,13416.0,0.0,0.0
B00C757V7Q,7.98,"Mineral Fusion Nail Polish Base Coat, 0.33 Ounce (Packaging May Vary)",4.5,USD,True,False,7.98,False,,200+ bought in past month,1,1037,False,8.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/51x6DNiNFbL._AC_UL320_.jpg,organic,17269952011,base coat,1,7,8275.26,1.0099999999999998,0.11234705228031143
B0CX4QVD4Y,6.99,"Gellen Gel Base Coat, 18ml Gel Polish Base Coat Soak Off U V Light Cured, Strong Base Coat Gel Nail Polish, Gel X Nail Base Coat Gel Polish for Salon",4.2,USD,True,False,6.99,False,,50+ bought in past month,1,9,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/61s+I7QgEVL._AC_UL320_.jpg,organic,17269952011,base coat,1,8,62.910000000000004,0.0,0.0
B002BZ361W,14.96,"UNT Fast Dry Peel Off Base Coat, Non-UV Peelable Base Coat, Ready for Takeoff Cuticle Guard Skin Barrier Protector for Nail Polish, Peely Base for Nail Practice Beginners 0.5 Fl Oz, 1 Pack",4.4,USD,True,False,14.96,False,,1K+ bought in past month,1,8308,False,15.79,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/71ynjBn8WHL._AC_UL320_.jpg,organic,17269952011,base coat,1,9,124287.68000000001,0.8299999999999983,0.0525649145028498
B0CFT85ZNK,6.99,"beetles Gel Polish Peel Off Base Gel, 15ml Peel off Gel Base Coat for Gel Nail Polish Soak Off UV LED Nail Lamp Peelable Base Gel No Filing Soaking-off Needed DIY Home and Nail Salon Gifts for Mom",3.5,USD,True,False,6.99,False,,1K+ bought in past month,1,125,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/61YTKAga3BL._AC_UL320_.jpg,organic,17269952011,base coat,1,10,873.75,0.0,0.0
B0CFR1BDRH,7.45,beetles Gel Polish Gel No Wipe Base Coat 2 In 1 Base Gel & Bond 15ML for Gel Nail Polish Long Lasting Soak Off U V Nail Lamp Salon DIY Home,4.3,USD,True,False,7.45,False,,600+ bought in past month,1,86,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51hJo46MZkL._AC_UL320_.jpg,organic,17269952011,base coat,1,11,640.7,0.0,0.0
B09KXLGXYT,7.99,"Beetles 3pcs 7.5ml Gel Top Coat Base Coat & Cuticle Oil Set, No Wipe Top Gel Glossy Shine Long Lasting Gift for Her, Cuticle Protectors Kit Oil Care for Dry, Damaged Cuticles, Stronger Nails",4.6,USD,True,False,7.99,False,,1K+ bought in past month,1,2734,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/71aY82J1AlL._AC_UL320_.jpg,organic,17269952011,base coat,1,12,21844.66,0.0,0.0
B00F977UL6,8.95,"Orly Base Nail Coat, Top 2 Bottom, 0.6 Ounce",4.7,USD,True,False,8.95,False,,200+ bought in past month,1,565,False,9.46,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",14.0,,https://m.media-amazon.com/images/I/51qcs5DpxhL._AC_UL320_.jpg,organic,17269952011,base coat,1,13,5056.75,0.5100000000000016,0.05391120507399593
B09DG6488K,9.99,"Makartt Peel Off Base Coat, Press on Nails Base Coat 15ml UV Base Coat Nail Polish Peelable Base Gel for Takeoff Nail Practice Beginners, No Soaking Filing Required",4.2,USD,True,False,9.99,False,,900+ bought in past month,1,925,False,12.99,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",15.0,,https://m.media-amazon.com/images/I/61dyGSiy0XL._AC_UL320_.jpg,organic,17269952011,base coat,1,14,9240.75,3.0,0.23094688221709006
B00I3G54EA,8.48,"Orly Bonder Rubberized Nail Base Coat, 3 Ounce",4.4,USD,True,False,8.48,False,,100+ bought in past month,1,1162,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",16.0,,https://m.media-amazon.com/images/I/61n+f4EoCQL._AC_UL320_.jpg,organic,17269952011,base coat,1,15,9853.76,0.0,0.0
B0CCNCYGWN,7.99,"MelodySusie 15ml UV Gel Base Coat Nail Polish - No Soaking or Filing,Upgraded Formula Long-Lasting,stronger adhesion,essential for Home DIY and Nail Salon",4.5,USD,True,False,7.99,False,,50+ bought in past month,1,199,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",17.0,,https://m.media-amazon.com/images/I/61wAlY0i6nL._AC_UL320_.jpg,organic,17269952011,base coat,1,16,1590.01,0.0,0.0
B0CTHMSX6J,6.99,"2 Pcs 15ml No Wipe Gel Top Coat and Base Coat Set, Hema-free Shiny & Long Lasting Base Top Coat Finish Nail Art Design Manicure Gifts for Women Gel Nail Polish Professional Nail Salons",4.5,USD,True,False,6.99,False,,50+ bought in past month,1,27,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",18.0,,https://m.media-amazon.com/images/I/61HXjlcEFuL._AC_UL320_.jpg,organic,17269952011,base coat,1,17,188.73000000000002,0.0,0.0
