asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08CXQYV7F,9.99,"Teenitor Nail Art Brushes, Nail Design Kit, Nail Art Tools Decorations Kit Nail Pen Designer Dotting Tools Colors Holographic Butterfly Nail Glitter Foil Flakes Nail Tape Strips and Nails Rhinestones",4.5,USD,True,False,9.99,False,,200+ bought in past month,1,4540,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2,,https://m.media-amazon.com/images/I/81-rnWbn6KL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,1,45354.6,0.0,0.0
B0924C1XCF,7.99,"Nail Art Brushes Kit, 3D Nail Art Decorations Kit with Nail Dotting Tools Butterfly Nail Art Glitters Stickers Nail Art Rhinestones, Nail Foil, Nail Art Striping Tapes Nails Design Kit",4.5,USD,True,False,7.99,False,,,1,771,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/8136sY-hYmL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,2,6160.29,0.0,0.0
B0CZLBY3RS,7.99,"FANDAMEI Nail Art Kit, Nail Charms And Gems, Nail Art Charms, Nail Design Kit, Rhinestones For Nails, Nail Gems, Bow Nail Charms, Bow Charms For Nails, Flower Nail Charms, Pearls For Nails",4.8,USD,True,False,7.99,False,,100+ bought in past month,1,29,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4,,https://m.media-amazon.com/images/I/816JpoDmNjL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,3,231.71,0.0,0.0
B09T96ZJZ5,11.99,"FANDAMEI Nail Art Brush, Nail Design Tools Kit with Nail Art Brushes, Nail Dotting Tools,Fine Glitter,Nail Butterfly, Nail Heart Sequins, Foil Flakes, Nail Art Rhinestones, Nail Art Decoration Kit.",4.6,USD,True,False,11.99,False,,400+ bought in past month,1,3592,False,14.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/915YeacoibL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,4,43068.08,3.0,0.200133422281521
B0969ZQKKD,29.99,"MEFA 34 Pcs Gel Nail Polish Kit with U V Light 48W, 20 Colors All Seasons Collection Nude Pink Red Gel Nail Polish Set with Base and Matte/Glossy Top Coat Nail Art Manicure Tools DIY Salon Home",4.5,USD,True,False,29.99,False,,600+ bought in past month,1,26,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6,,https://m.media-amazon.com/images/I/71Y72pliXIL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,5,779.74,0.0,0.0
B0D4TNC7FD,12.99,"FANDAMEI Nail Art Brushes Set, Nail Art Kit, Nail Design Kit, Nail Dotting Tools, Nail Kit for Beginners, Chrome Nail Powder, Nail Stickers, Nail Rhinestones, Nail Charms Gems Nail Art Decoration Kit",0.0,USD,True,False,12.99,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",7,,https://m.media-amazon.com/images/I/81X-S2wXs4L._AC_UL320_.jpg,organic,17269953011,decoration kits,1,6,0.0,0.0,0.0
B096B23598,9.99,"MEFA 19 Pcs Gel Nail Polish Kit with U V Light, 12 Colors All Seasons Soak Off Gel Polish Nail Set with Glossy Base Top Coat Essential Manicure Tools Beginners Salon Nails Art DIY",4.4,USD,True,False,9.99,False,,600+ bought in past month,1,33,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8,,https://m.media-amazon.com/images/I/71Y++VfZdvL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,7,329.67,0.0,0.0
B0CJY2L5JZ,9.99,"3D Nail Charms Gems Kit with Nail Art Rhinestone Glue, Flowers Aurora Bow Butterfly Bear Caviar Bead Pearl Jewelry Rhinestones for Nail Decoration with Pickup & Dotting Tools",4.6,USD,True,False,9.99,False,,,1,47,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/81R5ztRmZUL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,8,469.53000000000003,0.0,0.0
B08R9YCY8D,7.99,"Nail Art Design Tools, 3D Nail Art Decorations Kit with Nail Art Brushes Dotting Tools Holographic Nail Art Stickers Nail Foil Tape Strips and Nails Art Rhinestones and Pick-Up Tweezers",4.5,USD,True,False,7.99,False,,100+ bought in past month,1,1195,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10,,https://m.media-amazon.com/images/I/81Kbg1cALRL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,9,9548.050000000001,0.0,0.0
B0CHW4QM9H,13.99,"24 Colors Nail Polish Pen Set, Nail Art Pens for Painting, Black White Liner Gel Polish, Dotting French Tips Drawing Liner Brush Pen, Waterproof Acrylic Marker Pen, Nail Art Decoration Kit",4.1,USD,True,False,13.99,False,,50+ bought in past month,1,241,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11,,https://m.media-amazon.com/images/I/71eu9u+HtKL._AC_UL320_.jpg,organic,17269953011,decoration kits,1,10,3371.59,0.0,0.0
