asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08HVX8FY3,16.99,"Staedtler FIMO Soft Polymer Clay - Oven Bake Clay for Jewelry, Sculpting, Crafting, 12 Assorted Colors, Magical Creatures Colors, 8023 C14-M",4.0,USD,True,False,16.99,True,,,1,6,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/71rNn8GfQ1L._AC_UL320_.jpg,paid,17269954011,fimo,1,1,101.94,0.0,0.0
B091DZ85TB,9.58,17800Pcs Fruit Slices Nail Art Slices Polymer Clay Slice Nail 3D Slice Colorful Art Supplies for DIY Crafts （24 Styles）,4.8,USD,True,False,9.58,True,,400+ bought in past month,1,393,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",50,,https://m.media-amazon.com/images/I/81bl0Q-IDDS._AC_UL320_.jpg,paid,17269954011,fimo,1,2,3764.94,0.0,0.0
B07GXLBX72,6.89,EHOPE 3D Fruit Slices Polymer Clay Slices Fruit Nail Art Slices Polymer Slices DIY Fruit Nail Art Supplies Making Kit Decoration Arts Crafts for Nail Art and Cellphone Decorations （5000 PCS）,4.6,USD,True,False,6.89,True,,200+ bought in past month,1,2415,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",51,,https://m.media-amazon.com/images/I/81071qUcRCL._AC_UL320_.jpg,paid,17269954011,fimo,1,3,16639.35,0.0,0.0
B0CCKMBPRX,7.99,Mulutoo 100g Resin Fake Sprinkles Fake Candy Sprinkles Clay Sprinkles Polymer Sprinkles Polymer Clay Slices for Nail Art DIY Phone Case Crafts (Chocolate-27),4.7,USD,True,False,7.99,True,,,1,29,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",52,,https://m.media-amazon.com/images/I/81TWsNE+RuL._AC_UL320_.jpg,paid,17269954011,fimo,1,4,231.71,0.0,0.0
B099DLKJ26,5.78,Luminous Polymer Slices Clay Slices DIY Nail Art Slices Cake Dessert Toy Phone Case Decoration Arts Crafts (Heart+Pentagram-40G),4.6,USD,True,False,5.78,True,,,1,1655,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",53,,https://m.media-amazon.com/images/I/71vz-GB+VLS._AC_UL320_.jpg,paid,17269954011,fimo,1,5,9565.9,0.0,0.0
B091F59YN2,8.79,9000Pcs Fruit Nail Art Slices Fruit Slices for DIY 3D Polymer Slices Making Polymer Clay Slices for Nail Art（15 Styles）,4.7,USD,True,False,8.79,True,,,1,168,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",54,,https://m.media-amazon.com/images/I/81arXnjyMWL._AC_UL320_.jpg,paid,17269954011,fimo,1,6,1476.7199999999998,0.0,0.0
B0CC85F4GD,7.58,120Pcs Mixes Candy Canes Creams Candy Cane Sticks Polymer Soft Clay DIY Decoration for Nail Art DIY Decoration Christmas Decor Cake Food Phone Case Making （2 * 0.2CM）,3.1,USD,True,False,7.58,True,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",55,,https://m.media-amazon.com/images/I/718mb4LjwgL._AC_UL320_.jpg,paid,17269954011,fimo,1,7,37.9,0.0,0.0
B0D8Q55QJH,9.58,"14800Pcs Fruit Nail Art Slices Polymer Fruit Slices 3D Polymer Slices Polymer Clay Slice Nail Art Slices Colorful Making Supplies for DIY Crafts Nail Art, and Cellphone Decorations(24 Styles)",0.0,USD,True,False,9.58,True,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",56,,https://m.media-amazon.com/images/I/91OTGJkJ-mL._AC_UL320_.jpg,paid,17269954011,fimo,1,8,0.0,0.0,0.0
B0B5F9WY2W,9.58,Fake Sprinkles Fruit Nail Art Slices Clay Sprinkles Polymer Slices Faux Sprinkles DIY Nail Art Supplies Making Kit Decoration Arts Crafts for Nail Art and Cellphone Decorations (24 styles),4.8,USD,True,False,9.58,True,,100+ bought in past month,1,72,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",57,,https://m.media-amazon.com/images/I/81B3L-ng7sL._AC_UL320_.jpg,paid,17269954011,fimo,1,9,689.76,0.0,0.0
B091DZ85TB,9.58,17800Pcs Fruit Slices Nail Art Slices Polymer Clay Slice Nail 3D Slice Colorful Art Supplies for DIY Crafts （24 Styles）,4.8,USD,True,False,9.58,False,,400+ bought in past month,1,393,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3,,https://m.media-amazon.com/images/I/81bl0Q-IDDS._AC_UL320_.jpg,organic,17269954011,fimo,1,1,3764.94,0.0,0.0
B07GXLBX72,6.89,EHOPE 3D Fruit Slices Polymer Clay Slices Fruit Nail Art Slices Polymer Slices DIY Fruit Nail Art Supplies Making Kit Decoration Arts Crafts for Nail Art and Cellphone Decorations （5000 PCS）,4.6,USD,True,False,6.89,False,,200+ bought in past month,1,2415,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4,,https://m.media-amazon.com/images/I/81071qUcRCL._AC_UL320_.jpg,organic,17269954011,fimo,1,2,16639.35,0.0,0.0
B0CKXFK1NT,8.39,40g Mini Fruits fimo Polymer Slices Art Design Charms Supplies Slices Clay DIY Craft (Fruits),4.7,USD,True,False,8.39,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5,,https://m.media-amazon.com/images/I/71-fMsQ-hBL._AC_UL320_.jpg,organic,17269954011,fimo,1,3,134.24,0.0,0.0
