asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BRVGXK56,9.99,"Ultra Fine Glitter 45 Colors Set, Holographic Glitter Powder for Tumblers, Arts and Craft Glitter, Iridescent Glitter for Epoxy Resin, Cosmetic Glitter for Body Nail Face Hair Eyeshadow Makeup",4.4,USD,True,False,9.99,False,,900+ bought in past month,1,537,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1,,https://m.media-amazon.com/images/I/91zwrHNuPgL._AC_UL320_.jpg,organic,17269955011,glitters,1,1,5364.63,0.0,0.0
B08PK3L2DH,7.99,"Extra Fine Glitter, Set of 36 Colors Nail Arts Cosmetic Glitter, Resin Crafts Loose Glitter Powder Shaker for Face Body Hair Eye Lip Gloss Makeup, Slime and Tumbler Making",4.4,USD,True,False,7.99,False,,100+ bought in past month,1,614,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",2,,https://m.media-amazon.com/images/I/81eCp9hdcJL._AC_UL320_.jpg,organic,17269955011,glitters,1,2,4905.860000000001,0.0,0.0
B088PQSQCT,8.99,"FANDAMEI 48 Colors Nail Glitter Set, 48 Boxes 5g Nail Art Glitter, Fine Glitter Powder for Eyeshadow, Cosmetic, Arts, Crafts, Decoration. Body Glitter, Face Glitter for Festival, Makeup, Halloween",4.6,USD,True,False,8.99,False,,100+ bought in past month,1,973,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",3,,https://m.media-amazon.com/images/I/91cR9EBVqOL._AC_UL320_.jpg,organic,17269955011,glitters,1,3,8747.27,0.0,0.0
B08PSC65VX,6.99,"Glitter for Resin, 24 Colors Fine Glitter Powder Sequins, Craft Glitter for Slime Tumbler Arts, Cosmetic Glitter for Face Hair Body Nail Eye (8g)",4.6,USD,True,False,6.99,False,,,1,445,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/819nhYNCRcL._AC_UL320_.jpg,organic,17269955011,glitters,1,4,3110.55,0.0,0.0
B0BKZRJQ16,8.99,"Fine Glitter for Epoxy Resin, Set of 45 Colors, Estanoite Extra Fine Craft Glitter Powder, Assorted Nail Arts Glitter, Cosmetic Glitter for Body Face Hair Eye, Bulk Glitter for Tumbler Candle Making",4.5,USD,True,False,8.99,False,,50+ bought in past month,1,347,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",5,,https://m.media-amazon.com/images/I/81PkyBVHk9L._AC_UL320_.jpg,organic,17269955011,glitters,1,5,3119.53,0.0,0.0
B0BLVJ8ZCG,7.99,"Fine Glitter for Epoxy Resin, Set of 40 Colors Glitter, Extra Fine Resin Glitter Powder for Tumblers Cup Glass, Cosmetic Ultra Fine Glitter for Nails Body Face Hair",4.5,USD,True,False,7.99,False,,100+ bought in past month,1,183,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6,,https://m.media-amazon.com/images/I/81kKto4eb0L._AC_UL320_.jpg,organic,17269955011,glitters,1,6,1462.17,2.0,0.20020020020020018
B0BQN74DPT,4.99,6 Colors Holographic Glitters Fall Maple Leaf Shaped Nail Art Sequins Flakes 3D Aurora Gradient Nail Maple Leaf Sequins DIY Design Confetti for Decoration,4.6,USD,True,False,4.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",7,,https://m.media-amazon.com/images/I/71YyTwZ64SL._AC_UL320_.jpg,organic,17269955011,glitters,1,7,14.97,0.0,0.0
B08QRJYH11,6.98,Holographic Nail Art Kits 6 Boxes 3D Glitter Metallic Shining Flakes Acrylic Powder Dust Sequins Decoration Holographic Manicure Tips (Vintage Color),4.4,USD,True,False,6.98,False,,200+ bought in past month,1,1407,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8,,https://m.media-amazon.com/images/I/71xXvLAgPeL._AC_UL320_.jpg,organic,17269955011,glitters,1,8,9820.86,0.0,0.0
B094XQHHBQ,6.59,"Mermaid Flake Nail Glitter Sequins, CHANGAR Iridescent Ice Slag Nail Glitter Colorful Fluorescent Glass Paper Nail Sticker Holographic Nail Glitter for Make Up DIY Nail Decoration",4.4,USD,True,False,6.59,False,,200+ bought in past month,1,1071,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/61XKfsXf4tS._AC_UL320_.jpg,organic,17269955011,glitters,1,9,7057.889999999999,0.0,0.0
B08H1ZMTGR,8.99,"FANDAMEI 48 Color Glitter, 24 Color 5g Fine Glitter&24 Boxes Holographic Chunky Glitter Sequins, Iridescent Glitter Flakes for Nail Art,Cosmetic,Makeup. Body Face Glitter for Festival, Halloween",4.6,USD,True,False,8.99,False,,50+ bought in past month,1,717,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",10,,https://m.media-amazon.com/images/I/81vlUhfIcmL._AC_UL320_.jpg,organic,17269955011,glitters,1,10,6445.83,0.0,0.0
