asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0D7MCCL4P,4.99,"Flatback Pearls for Crafting Nail Art Half Round Pearls Bulk for Jewelry Scrapbooking Artwork Making Craft DIY Accessory(White,10mm)",4.5,USD,True,False,4.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2,,https://m.media-amazon.com/images/I/61Nz9SDu0pL._AC_UL320_.jpg,organic,17269956011,pearls,1,1,9.98,0.0,0.0
B0D7PVC237,8.99,"9000PCS Flatback Pearls and Rhinestones for Crafting, Red White Black 3-10mm Resin Rhinestones and Half Pearls for Bedazzling, Nail Art and Dec with 3pcs B7000 Jewelry Glue, Tweezer and Pickup Pencil",4.0,USD,True,False,8.99,False,,50+ bought in past month,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3,,https://m.media-amazon.com/images/I/81HwJZbU4lL._AC_UL320_.jpg,organic,17269956011,pearls,1,2,8.99,0.0,0.0
B0D7T8RMJM,5.99,12 Grids White Pearls for Nails Half Round Pearl Beads Nail Art Charms Stainless Steel Beads Caviar Silver Beads Pearl Charms for Nails Design Pearl Nail Charms Nail Pearls for Crafting Bead Charms,0.0,USD,True,False,5.99,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4,,https://m.media-amazon.com/images/I/71Rr45BAnSL._AC_UL320_.jpg,organic,17269956011,pearls,1,3,101.83,0.0,0.0
B0BB3XXCN8,8.99,"11330 Pieces Artificial Half Round Pearls, Flat Back Pearl Beads with Rhinestone Picker Pen and Tweezers for Nail Dress Shoe Makeup Wedding Phone (Beige)",4.5,USD,True,False,8.99,False,,,1,50,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/71CgFDFqz8L._AC_UL320_.jpg,organic,17269956011,pearls,1,4,449.5,0.0,0.0
B0C68KGKM7,9.99,"600Pcs 3D Multi Shapes Nail Charms and Flatback Pearls, Colorful&White Mix styles Heart Star Bow Sunflower Embellishments for Nail Art, Craft and Decoration with Glue Gel, Tweezer and Pickup Pencil",4.3,USD,True,False,9.99,False,,50+ bought in past month,1,403,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6,,https://m.media-amazon.com/images/I/81jxe799vhL._AC_UL320_.jpg,organic,17269956011,pearls,1,5,4025.9700000000003,0.0,0.0
B0BCFY233B,8.99,"6000 Pcs Nail Pearls for Nails Art,Silver Half Pearls for Crafts,Flatback Pearls for Face Eyes Makeup,Round Flat Back Pearl for Charms DIY Crafting Charms Decorations Accessories",4.2,USD,True,False,8.99,False,,200+ bought in past month,1,162,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7,,https://m.media-amazon.com/images/I/71lWF-isu-L._AC_UL320_.jpg,organic,17269956011,pearls,1,6,1456.38,0.0,0.0
B0B1WCX34L,9.99,"8000Pcs Flatback Pearls for Crafts, Cridoz Assorted Sizes Half Round Pearl Beads Rhinestones for Nails, Makeup, Shoes, Handmade Art Work",4.7,USD,True,False,9.99,False,,,1,129,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/81ipJBCO1mL._AC_UL320_.jpg,organic,17269956011,pearls,1,7,1288.71,0.0,0.0
B0BTSQ5KVJ,3.99,560Pcs Heart Pearls Nail Charms Multi Sizes AB Color Heart Pearls Nail Beads ABS Mix Color Hollow Heart Pearls 3D Nail Charms for Manicure DIY Crafts Jewelry Accessories,5.0,USD,True,False,3.99,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",9,,https://m.media-amazon.com/images/I/9103tCLFpKL._AC_UL320_.jpg,organic,17269956011,pearls,1,8,3.99,0.0,0.0
B0B45RDFRF,5.99,"3100Pcs 2/3/4/5/6/8/10mm Flat Back Pearl Nail Pearls for Nail Art, Half Round Pearls for DIY Craft Jewelry Necklaces Bracelets Decorations Wedding Dress (Off-White)",4.1,USD,True,False,5.99,False,,,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",10,,https://m.media-amazon.com/images/I/61PyKQyPPhL._AC_UL320_.jpg,organic,17269956011,pearls,1,9,203.66,0.0,0.0
B0D1K6Q6WG,8.99,"3D Nail Charms for Coquette Nails Design with Rhinestone Glue Set 3, White Nail Bow Charms + Pearl Heart Star Moon Bowknot Nail Jewels + 3D Flowers and Pearls, with Picker Tools for Nail Decor",4.5,USD,True,False,8.99,False,,50+ bought in past month,1,23,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11,,https://m.media-amazon.com/images/I/81f4Ia+337L._AC_UL320_.jpg,organic,17269956011,pearls,1,10,206.77,0.0,0.0
