asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CRH63XJS,9.99,"18000Pcs Resin Jelly Rhinestones for Crafting, Multicolor 3mm Flatback Rainbow Gems, Bedazzling Crystal with 3Pcs 10ml B7000 Jewelry Glue for DIY Crafts Clothing Shoes Nail Art",4.6,USD,True,True,9.99,True,,2K+ bought in past month,1,252,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/91APfeIcpcL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,1,2517.48,0.0,0.0
B0B8ZFXP5D,8.99,"Canvalite 1820Pcs Rhinestones Nail Gems, 12 Styles 3D Glass Crystals Charms Shiny Multi Shape Flatback Nail Rhinestones for Nail Art with Picker and Tweezers for DIY Nail Art",4.6,USD,True,False,8.99,True,,600+ bought in past month,1,410,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/81NeceUH3RL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,2,3685.9,0.0,0.0
B0B616K3JX,8.49,"Beadsland 2880pcs Flat Back Crystal Rhinestones Round Gems for Nail Art and Craft Glue Fix,Light Siam,SS10,2.7-2.9mm",3.6,USD,True,False,8.49,True,,,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71c+rgIExdL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,3,33.96,0.0,0.0
B09ZPQSNHY,6.99,"Novani Rhinestones Flatback Rhinestones Glass Nail Gems Stones Jewels Round Gemstones Non-Hotfix Crystal,SS10,1440 Pieces,Peach",4.6,USD,True,False,6.99,True,,,1,1512,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/71nlkT9f1NL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,4,10568.880000000001,0.0,0.0
B0CRGV3D93,9.99,"25000Pcs Resin Rhinestones with Tweezers for Crafting, Clear Flatback Gems, Bedazzling Crystal with 3Pcs 10ml B7000 Jewelry Glue for DIY Crafts Clothing Tumblers Shoes Fabric Nail Art",4.7,USD,True,False,9.99,True,,900+ bought in past month,1,287,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/91Ns1ij1fLL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,5,2867.13,0.0,0.0
B0C8HH8PNF,6.99,4500 Pcs SS12 3mm AB Flatback Rhinestones for Nails Art Crafts Glitter Round Shine Gems Crystals DIY Clothes Shoes （Black-Bottom Purple Red AB）,4.7,USD,True,False,6.99,True,,200+ bought in past month,1,121,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/712PqEpA1XL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,6,845.7900000000001,0.0,0.0
B0CXHZ8J3V,8.99,"Clear Rhinestones Bulk Flat Back Round 4mm，7000PCS Non-Hotfix Rhinestones for Crafts with Glue, Tweezers and Picker Pen for Makeup Nails Face Tumblers Clothes Shoes Handmade Decoration",5.0,USD,True,False,8.99,True,,,1,10,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/81mVr2lDfUL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,7,89.9,0.0,0.0
B0CRV96S1R,6.95,"3000Pcs 5mm Resin Jelly Rhinestones with 3Pcs 10ml B7000 Jewelry Glue for Crafting, Hot Pink AB Flatback Gems, Bedazzling Crystal Bulk for DIY Crafts Clothing Tumblers Shoes Nail Art Fabric",4.4,USD,True,False,6.95,True,,,1,46,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19.0,,https://m.media-amazon.com/images/I/81LeEYMjuIL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,8,319.7,0.0,0.0
B0C7FTZ84S,7.99,20Pcs Butterfly Nail Charms 3D Luxury Butterfly Nail Gems Gold Silver Butterfly Nail Diamond Shiny Nail Rhinestones for Acrylic Nails Nail Art Supplies Nail Gems for Women Girls Manicure,4.6,USD,True,False,7.99,True,,300+ bought in past month,1,114,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",20.0,,https://m.media-amazon.com/images/I/81BdSJY0ucL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,9,910.86,0.0,0.0
B0C3CR1F8M,5.99,"8000pcs 3mm Resin Rhinestones Bulk, Hot Pink AB Flatback Round Jelly Rhinestones Bedazzling Non Hotfix Crystal Gems Large Quantity Wholesale for DIY Crafts Clothes Tumblers Face Makeup Manicure",4.6,USD,True,False,5.99,True,,,1,281,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",21.0,,https://m.media-amazon.com/images/I/81IQo+JRuEL._AC_UL320_.jpg,paid,17269957011,rhinestones,1,10,1683.19,0.0,0.0
