asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0B8NYXW22,4.99,30 Sheets Nail Art Stickers Decals Flower Rose Daisy Cherry Blossoms 3D Self-Adhesive Nail Sticker Heart Chrysanthemum Nail Art Decoration Supplies,4.4,USD,True,False,4.99,False,,300+ bought in past month,1,161,False,5.54,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/816lUUKTcLL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,1,803.39,0.5499999999999998,0.09927797833935015
B0CDKT8JXR,4.79,"Vezocim Gold Nail Art Stickers, Sun Moon Stars Heart Line Flower Nail Self-Adhesive Sticker Design, 3D Gold Nail Transfer Decals for Women Girls Manicure Charms Decorations, DIY Nail Art Decal",4.1,USD,True,False,4.79,False,,700+ bought in past month,1,37,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",3.0,,https://m.media-amazon.com/images/I/81MIfGK5QAL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,2,177.23,0.0,0.0
B0D62HTZ4R,3.99,"8 Sheets Flower Nail Art Stickers for Nail Art, 3D Pink Nail Stickers Butterfly Heart Star Stickers Spring Design Self-Adhesive Spring Nail Decals Nail Tips for Acrylic Manicure Decoration Supplies",0.0,USD,True,False,3.99,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/81TYujvsxTL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,3,0.0,0.0,0.0
B0CRCYP3HX,4.49,"Juome Nail Stickers, 570 Pcs Bow-Knot Nail Stickers for Nail Art, 3D Bow-Knot Colorful Nail Art Stickers Set for Nail Designs, Nail Decals for Women Girls, Nail Art Decorations Supplies (5 colors)",5.0,USD,True,False,4.49,False,,50+ bought in past month,1,3,False,8.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",5.0,,https://m.media-amazon.com/images/I/81J99ffNfHL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,4,13.47,4.5,0.5005561735261401
B0CHJNHH6B,3.99,"12 Sheets Nail Art Stickers, 3 Sheets 5D Embossed Nail Stickers, Self-Adhesive Nail Stickers for Women, Girls, Salon, Home DIY Nail Striping Line Nail Art Supplies",4.4,USD,True,False,3.99,False,,,1,36,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/81sgiJUqQnL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,5,143.64000000000001,4.0,0.5006257822277848
B0CGHDMBXM,4.99,JMEOWIO 14 Sheets Cute Nail Stickers for Kids Nail Art Stickers Decals Self-Adhesive Pegatinas Uñas Rainbow Flower Fruit Nail Supplies Nail Art Design Decoration Accessories,4.3,USD,True,False,4.99,False,,400+ bought in past month,1,79,False,5.99,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",7.0,,https://m.media-amazon.com/images/I/81ASx7HqqJL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,6,394.21000000000004,1.0,0.1669449081803005
B0D3V7RJFV,5.79,VOTACOS 9 Sheets Spring Flower Nail Art Stickers Decals Colorful Summer Floral Nail Supplies Accessories Self-Adhesive Nail Art Design Decoration Pegatinas Uñas for Women,4.3,USD,True,False,5.79,False,,300+ bought in past month,1,23,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",8.0,,https://m.media-amazon.com/images/I/711zwGHpwfL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,7,133.17,0.0,0.0
B0CXXD1GRL,3.99,JMEOWIO 12 Sheets Flower Nail Art Stickers Decals Self-Adhesive Pegatinas Uñas Spring Summer Colorful Floral Leaves Nail Supplies Nail Art Design Decoration Accessories,4.2,USD,True,False,3.99,False,,300+ bought in past month,1,301,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/81SyiFsDNvL._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,8,1200.99,0.0,0.0
B087Q5G41H,8.99,5000 Pieces Flower Nail Stickers 100 Sheets 3D Self-Adhesive Nail Floral Stickers Multi-Design Flower Nail Decals Multicolor Flower Manicure Stickers with Tweezer (Classic-Chic Floral Series),4.5,USD,True,False,8.99,False,,500+ bought in past month,1,1700,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/91ElDhT4W0L._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,9,15283.0,0.0,0.0
B0D1TSV4YM,6.99,"1 Roll 500pcs Tanning Stickers, Pink Lip Print Tanning Bed Sticker Self Adhesive Sunbathing Sticker Removable Sun Tan Stickers Perforated Tanning Body Stickers Decals",3.7,USD,True,False,6.99,False,,,1,3,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/610EGNMw69L._AC_UL320_.jpg,organic,17269958011,stickers & decals,1,10,20.97,1.0,0.1251564455569462
