asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09BK286R3,5.89,60 Colors Nail Striping Tape Line 2 Pieces Nail Tape Dispensers Free Tape Roller Dispenser Striping Tape Line Nail Art Decoration Stickers Nail Art Decoration Sticker DIY Nail Tip,4.2,USD,True,False,5.89,False,,100+ bought in past month,1,174,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/71YdW7wy0rL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,1,1024.86,0.0,0.0
B07V82JFVN,5.99,"FANDAMEI 32 Colors Nail Striping Tape Line, Multicolor Rolls Striping Tape Line Nail Art Decoration Sticker DIY Nail Tip",4.2,USD,True,False,5.99,False,,100+ bought in past month,1,2579,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71IsaUYTJwL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,2,15448.210000000001,0.0,0.0
B06Y5ZL6XT,4.99,30 Colors Multicolor Mixed Colors Rolls Striping Tape Line Nail Art Decoration Sticker DIY Nail Tip (Basic),4.2,USD,True,False,4.99,False,,,1,6271,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/51N12QOyWzL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,3,31292.29,0.0,0.0
B08NC8RKR9,9.99,120 Pcs Nail Striping Tapes Nail Art Decoration Tape Lines for DIY Nail Tip with 4 Pcs Nail Tape Dispenser Cases,4.4,USD,True,False,9.99,False,,,1,973,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/71QUoAsaHVL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,4,9720.27,0.0,0.0
B07GXHHXZQ,6.99,"Matte Nail Art Striping Tape Lines,37 Rolls Nail Line Tape Strips for Design Glitter Gold Silver Black Nail Striping Tape Set,1mm 2mm 3mm Fingernail Color Tape Nails Decals Strips",4.3,USD,True,False,6.99,False,,,1,190,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/811hJMvNwDL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,5,1328.1000000000001,0.0,0.0
B09TR7YZKL,5.99,2pcs 0.5cm+1.2cm Width Nail Art Adhesive Tapes Creative DIY Design Nail Striping Tape Line Rolls Nail Striping Tape Line Nail Art Decoration Sticker DIY Nail Tip Accessories,3.8,USD,True,False,5.99,False,,50+ bought in past month,1,65,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/517+ZVC2+9L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,6,389.35,0.0,0.0
B09N7B6QJX,5.95,20 Pcs Glitter Gold Silver Nail Art Striping Tape Line Shiny Matte Nail Art Decoration Strips Self Adhesive Decals Strips DIY Nail 3D Tips Manicure Tools Rolls (1mm),3.7,USD,True,False,5.95,False,,50+ bought in past month,1,144,False,6.95,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/71SKe7dnLrL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,7,856.8000000000001,1.0,0.14388489208633093
B09H6SSNWN,4.99,8 Rolls Rose Gold Nail Striping Tape Line Decoration Matte Texture Nail Striping Decal Foil Tips Tape Line for DIY Nail Art Decorations,3.9,USD,True,False,4.99,False,,,1,25,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/619OYjHoU4L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,8,124.75,0.0,0.0
B08DQXM5YH,4.99,2Pcs Gold/Silver Rolls Striping Tape Line Nail Art Tips Decoration Sticker,3.8,USD,True,False,4.99,False,,,1,267,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",10.0,,https://m.media-amazon.com/images/I/614pXE0vP9L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,9,1332.3300000000002,0.0,0.0
B0BW2YFZRM,15.99,138 Rolls Nail Art Striping Tape Lines Line Striping Tape Holographic Pinstripe Decals 1 mm 3 mm Glitter Pinstripe Tape Self Adhesive Striping Tape with Dispenser Case for DIY Nail Decoration Craft,3.8,USD,True,False,15.99,False,,,1,22,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/81OFXcAgvDL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,10,351.78000000000003,0.0,0.0
B0CQJWS9RT,6.99,20 Pcs Nail Art Striping Tape Line Glitter Gold Silver Black White Nail Art Decoration Sticker Strips Nail Striping Tape Line for Nails Decorations DIY Nail Tips,5.0,USD,False,False,6.99,False,,,1,3,False,0.0,FREE delivery on $35 shipped by Amazon.,12.0,,https://m.media-amazon.com/images/I/71l7C3KRpML._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,11,20.97,0.0,0.0
B092VVZCXL,8.55,30 Colors Nail Striping Tape Line 2 PCS Nail Tape Dispensers Tape Roller Dispenser Striping Tape Line Nail Art Tools Nail Art Decoration Stickers Kit DIY Nail Tip for Women Girls Manicure Tips Decor,4.4,USD,True,False,8.55,False,,,1,35,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/71MSNMfHAQL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,12,299.25,0.0,0.0
B082KVCWGL,8.99,"12Pcs Empty Nail Art Striping Tape Line Case Tools Sticker Box Holder Nail Art Tape Roller Dispenser for Easy Use DIY Sticker Nail Design Manicure Tool, Clear",4.3,USD,True,False,8.99,False,,,1,587,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",14.0,,https://m.media-amazon.com/images/I/61wjKF0NXhL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,13,5277.13,0.0,0.0
B08DKHQZRS,7.99,Nail Striping Tape Line 40 Rolls Multicolor Glitter Matte Texture Decal Nails Art Adhesive Sticker Foil with 2Pcs Tape Roller Dispenser Holder,4.0,USD,True,False,7.99,False,,,1,361,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/71tlKvwgN8L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,14,2884.39,0.0,0.0
B017B3VCDM,8.99,24Pcs Mixed Colors Rolls Striping Tape Line Nail Art Tips Decoration Sticker 24,4.3,USD,False,False,8.99,False,,,1,183,False,0.0,FREE delivery Aug 22 - Sep 3 Or fastest delivery Aug 16 - 21,16.0,,https://m.media-amazon.com/images/I/51L54d5PaML._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,15,1645.17,0.0,0.0
B075R7Y36M,7.99,18 Pcs Nail Striping Tape Line Mermaid Candy Color 1mm 2mm 3mm Adhesive Sticker DIY Nail Manicure Tools Decals Decoration,4.1,USD,True,False,7.99,False,,,1,178,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",17.0,,https://m.media-amazon.com/images/I/51ADfsm57PL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,16,1422.22,0.0,0.0
B00JQM5J72,6.99,Beaute Galleria 30 Mixed Colors Rolls Striping Tapes Line Adhesive Sticker Nail Art Tips Decorations Manicure,4.0,USD,True,False,6.99,False,,,1,310,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",18.0,,https://m.media-amazon.com/images/I/815SsVap3LL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,17,2166.9,0.0,0.0
B08Z66XKTM,4.99,BNP 10 Pcs Color Glitter Nail Striping Line Tape Sticker Art Decorations DIY Tips Salon for Polish Gel Manicure Set,3.4,USD,True,False,4.99,False,,,1,6,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",19.0,,https://m.media-amazon.com/images/I/518TGhqSTbL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,18,29.94,0.0,0.0
B089T4J6YW,7.99,12 Pcs Nail Art Striping Tape Line Dispenser Case Tools Manicure Sticker Tape Roller Case Boxs Holders,3.2,USD,True,False,7.99,False,,,1,8,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",20.0,,https://m.media-amazon.com/images/I/514-j4BLHcL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,19,63.92,0.0,0.0
B07WT77PV9,5.98,6 Rolls Glitter Gold Silver Nail Art Stripping Tape Line Shiny Matte Nail Art Decoration Strips 1mm 2mm 3mm Adhesive Decals Strips DIY Nail Tip,4.1,USD,True,False,5.98,False,,,1,434,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",21.0,,https://m.media-amazon.com/images/I/81WT8WIqF8L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,20,2595.32,0.0,0.0
B0B3NJ893L,5.27,"Dioche 10Pcs Empty Nail Art Striping Tape Line Case, Nail Art Striping Tape Line Dispenser Holder Manicure Stickers Roller Case",0.0,USD,True,False,5.27,False,,,1,0,False,6.22,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",22.0,,https://m.media-amazon.com/images/I/51-TyBBc8-L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,21,0.0,0.9500000000000002,0.15273311897106112
B0D83J2517,5.89,2 Pcs Nail Art Adhesive Tapes 0.5cm+1.2cm Masking Tape White Art Tape Striping Line Sticker Removable Paper Tape Creative DIY Design Nail Striping Tape Nail Art Tips Guide Tapes Accessories,0.0,USD,True,False,5.89,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",23.0,,https://m.media-amazon.com/images/I/51hOfoD--oL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,22,0.0,0.0,0.0
B07BTPR1MG,5.99,14 Colors/Gold&Silver Set Women DIY Rolls Decoration 1/2/3mm Tape Stickers Nail Art Striping Line,3.9,USD,True,False,5.99,False,,,1,57,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",24.0,,https://m.media-amazon.com/images/I/51SZkv0WRdL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,23,341.43,0.0,0.0
B0CJVKZMND,6.99,1Pc Nail Art Striping Tape Line Black Nail Art Decoration Nail Sticker Nail Striping Decal Foil Tips Tape Line Manicure Salon DIY Home Nail Art Striping Tape Lines,3.0,USD,True,False,6.99,False,,,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",25.0,,https://m.media-amazon.com/images/I/71Pq3lwmWcL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,24,27.96,0.0,0.0
B06XRVXQY4,9.99,XICHEN 42 Pieces Nail Art Striping Tape Line Decoration， Matte texture,4.0,USD,True,False,9.99,False,,,1,52,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",26.0,,https://m.media-amazon.com/images/I/71JTEaxoXIL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,25,519.48,0.0,0.0
B08HWCMJW5,5.99,Nail Striping Tape Line 30 Colors Nail Tape Striping Tape Line Nail Art Decoration Stickers Nail Art Decoration Sticker DIY Nail Tip,3.9,USD,True,False,5.99,False,,,1,109,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",27.0,,https://m.media-amazon.com/images/I/51SOXkeAO+L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,26,652.91,0.0,0.0
B0CP38CJF7,1.19,Black Nail Art Striping Tape Line DIY Nail Art Tips Decoration Sticker for Nail Art Design Nail Manicure Decoration,0.0,USD,False,False,1.19,False,,,1,0,False,0.0,FREE delivery Aug 28 - Sep 19,28.0,,https://m.media-amazon.com/images/I/71-IvmFnY2L._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,27,0.0,0.0,0.0
B09FG9DX7L,7.99,"Nail Art Striping Tape Lines Kit 35 pcs 1mm 2mm 3mm Laser Nail Tape Strips for Design DIY Silver Nails Striping Tape Case,Holographic Nail Rolls Chrome Striping Tape Line",4.0,USD,False,False,7.99,False,,,1,5,False,0.0,FREE delivery Aug 20 - 30 Or fastest delivery Aug 13 - 15,29.0,,https://m.media-amazon.com/images/I/81sYU0cOMcL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,28,39.95,0.0,0.0
B08J6G52H1,7.98,2Pcs Gold/Silver Rolls Striping Tape Line Nail Art Tips Decoration Sticker with 2 Pcs Nail Tape Dispensers for DIY Nail Tip,0.0,USD,False,False,7.98,False,,,1,0,False,0.0,FREE delivery Aug 20 - Sep 3,30.0,,https://m.media-amazon.com/images/I/61pMbCHuShL._AC_UY218_.jpg,organic,17269959011,striping tape lines,1,29,0.0,0.0,0.0
