asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CPM5TBKN,6.97,"Unique Cone Nail Art Studs, Metal 3D Nail Art Studs Decoration, Silver and Gold Cone Metalic Spike Studs Nail Art Tiny Stick",4.5,USD,True,False,6.97,False,,100+ bought in past month,1,67,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61589tz+fJL._AC_UL320_.jpg,organic,17269960011,studs,1,1,466.99,0.0,0.0
B07SD43YYY,9.99,NAIL ANGEL Approx.1000pcs/bag Nail Art Round Metal Stud Different size Stud Gold and Silver Color 10011,4.4,USD,True,False,9.99,False,,,1,72,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61uIKR7T6wL._AC_UL320_.jpg,organic,17269960011,studs,1,2,719.28,0.0,0.0
B0C8PC5B9K,6.97,"6 Grid/Box Mini Metal Rivet Punk Nail Charms - Gold and Silver Cone Nail Art Studs for Acrylic Nails, Nail Jewels, and DIY Crafts, Alloy Spike Studs Nail Supplies for Women Girls",4.5,USD,True,False,6.97,False,,,1,8,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/71qcxkx9-wL._AC_UL320_.jpg,organic,17269960011,studs,1,3,55.76,0.0,0.0
B0CXJBW4H6,5.39,3D Nails Art Metal Charms Studs Jewels Mixed Sizes Gold Silver Micro Caviar Beads Ball Nail Rivets Jewelry Manicure DIY Crafts Decorations Accessories…,5.0,USD,True,False,5.39,False,,200+ bought in past month,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/71rhxStk-0L._AC_UL320_.jpg,organic,17269960011,studs,1,4,10.78,0.0,0.0
B0BBMBVML4,9.99,600Pcs Nail Art Punk Cone Metalic Spike Studs Sliver Black Gold Nail Art Tiny Stick Nail Art Alloy Rivet Studs Nail Art Decoration for DIY Manicure Tips Craft,4.5,USD,True,False,9.99,False,,100+ bought in past month,1,76,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/7149rLdhJeL._AC_UL320_.jpg,organic,17269960011,studs,1,5,759.24,0.0,0.0
B0CJC8M6JF,7.99,"3 Packs Nail Art Punk Rivets Nail Rivets Nails Craft Flatback Spike Studs Punk Style Pointy Top Square Metallic Nail Studs Nail Art Charms Nail Supplies for DIY Manicure Tips Craft, 3 Size, Silver",1.0,USD,True,False,7.99,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61gOUDL6sBL._AC_UL320_.jpg,organic,17269960011,studs,1,6,7.99,0.0,0.0
B0CL8T3PRZ,7.89,6Grid Metal Rivet Punk Nail Charms 3 Color Cone Metalic Spike Studs Acrylic Spike Studs Gothic Nail Rivets Studs for Nail Art and DIY Crafts Jewelry Decoration,4.5,USD,True,False,7.89,False,,,1,28,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/81-qXnz6NXL._AC_UL320_.jpg,organic,17269960011,studs,1,7,220.92,0.0,0.0
B0D942968Y,5.21,Metal Nail Art Studs 3D Metal Nail Art Jewelry Decorations Bows Rabbits Moon Multi-Shapes Nail Decoration,0.0,USD,False,False,5.21,False,,,1,0,False,0.0,FREE delivery Aug 19 - 29,9.0,,https://m.media-amazon.com/images/I/611YblomefL._AC_UL320_.jpg,organic,17269960011,studs,1,8,0.0,0.0,0.0
B08N11BKZM,7.99,Nail Art Studs 3D Nail Charms Sparkle Gold Silver Metal Nail Studs Jewels Mix Shapes Star Moon Shell Rivet DIY Nait Art Decorations Manicure Kit with Tweezers(Gold/Silver),4.6,USD,True,False,7.99,False,,,1,111,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/71HmMs4KiuL._AC_UL320_.jpg,organic,17269960011,studs,1,9,886.89,0.0,0.0
B085XYHL1H,9.99,"DANNEASY Gold Nail Studs Metal Nail Charms 3d Nail Art Charms Manicure Decoration Kit Star Moon Shell Cross Flower Nail Jewels with 1pc Curved Tweezers, Wax Pen (6 Wheels)",4.7,USD,True,False,9.99,False,,300+ bought in past month,1,88,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/71Sk76i3EIL._AC_UL320_.jpg,organic,17269960011,studs,1,10,879.12,0.0,0.0
