asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BD8PF8X5,12.99,Saviland Clear Acrylic Powder 5.29OZ Large Capacity Acrylic Nail Powder Polymer Beginner Friendly Long Lasting No Need Nail Lamp Professional Acrylic Powder for French Manicure Nail Carving,4.4,USD,,False,12.99,True,,800+ bought in past month,1,439,False,14.59,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JNLqexDzNvybCISMK5mO9g0AAAGRLd5sHAEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICD0lpyR,paid,17269962011,acrylic powders & liquids,1,1,5702.61,1.5999999999999996,0.10966415352981491
B0CF5FZRX5,19.99,Saviland Acrylic Nail Kit with Everything for Beginners: Clear White Pink Acrylic Powder and Liquid Set with Acrylic Brush Nail Dehydrator and Primer Professional Acrylic Nail Set Starter Kit Home DIY,4.6,USD,,False,19.99,True,,100+ bought in past month,1,13,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JM1WIRpgchSYbrYzuYPMNwUAAAGRLd5sIAEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA4nYMp,paid,17269962011,acrylic powders & liquids,1,2,259.87,0.0,0.0
B08T1NPGVF,5.98,AIJIMEI Acrylic Monomer Acrylic Liquid 58ml 2OZ Acrylic Liquid Monomer For Acrylic Powder Acrylic Nail Liquid Monomer For Acrylic Nails Powders & Liquids Acrylic Nail Powder And Liquid,4.1,USD,True,False,5.98,False,,1K+ bought in past month,1,2996,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61kdRukaUxL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,1,17916.08,4.01,0.40140140140140135
B00PN4VYK8,26.73,MIA SECRET 4oz Liquid Monomer + 4oz Clear Acrylic Powder Nail Art System,4.6,USD,True,False,26.73,False,,400+ bought in past month,1,14783,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",3.0,,https://m.media-amazon.com/images/I/61lYqYv5VdL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,2,395149.59,0.0,0.0
B0BS5TQ4S7,19.99,"Saviland Monomer Acrylic Nail Liquid – 8.11fl.oz Acrylic Liquid with 3PCS Acrylic Brushes Size（8/10/14）for Acrylic Powders, Non-Yellowing Acrylic Nail Liquid for DIY Home Nail Salon Use",4.0,USD,True,False,19.99,False,,1K+ bought in past month,1,521,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/71gBPiJpJpL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,3,10414.789999999999,0.0,0.0
B0C4NLTX8L,9.99,Acrylic Liquid Monomer - 150ml Acrylic For Professional Liquid Monomer Liquid Monomer Nail System Kit For Acrylic Nails Extension Quick Dry Time (150ml),4.2,USD,True,False,9.99,False,,1K+ bought in past month,1,1076,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/61sv64yuYdL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,4,10749.24,0.0,0.0
B0B4D7KGB3,19.99,Morovan Monomer Acrylic Nail Liquid 8oz for Acrylic Powder - Professional Monomer Acrylic Nail Liquid For Acrylic Nail Extension Non-Yellowing MMA-Free,4.3,USD,True,False,19.99,False,,1K+ bought in past month,1,1331,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/617rS+5JeZL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,5,26606.69,0.0,0.0
B00V1W8G9I,13.95,4 oz Mia Secret Liquid EMA Monomer - Professional Nail Liquid for Acrylic Powder,4.6,USD,True,False,13.95,False,,3K+ bought in past month,1,8294,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",7.0,,https://m.media-amazon.com/images/I/610G7+NTjoL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,6,115701.29999999999,0.0,0.0
B006CVXR10,20.8,Mia Secret 8 oz / 240ml LIQUID MONOMER PROFESSIONAL ACRYLIC NAIL SYSTEM,4.6,USD,True,False,20.8,False,,5K+ bought in past month,1,33092,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/71ZU6v54U5S._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,7,688313.6,0.0,0.0
B0CRV62ZW6,9.99,Saviland 4.06 oz Monomer Acrylic Nail Liquid – 120ml Acrylic Liquid for Acrylic Powder Non-Yellowing Formula for Acrylic Nails Application Nail Extension & Carving Nail Starter Home DIY,4.8,USD,True,False,9.99,False,,300+ bought in past month,1,8,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/61jaLdgdiOL._AC_UL320_.jpg,organic,17269962011,acrylic powders & liquids,1,8,79.92,0.0,0.0
