asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07SD8JX99,5.4,Cala Super Nail Glue Professional Salon Quality | Quick and Strong Nail Liquid Adhesive (4 Bottles),4.5,USD,True,False,5.4,False,,10K+ bought in past month,1,19400,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/81EcGA3isSL._AC_UL320_.jpg,organic,17269963011,nail glue,1,1,104760.0,0.0,0.0
B01I70RA8E,9.99,"Super Strong Nail Glue For Nail Tips, Acrylic Nails and Press On Nails (8ml) NYK1 Nail Bond Brush On Nail Glue For Press On Nails Long Lasting Nail Glue For Acrylic Nails Fake Nails Tips Nail Glue Gel",4.3,USD,True,True,9.99,False,,60K+ bought in past month,1,69249,False,17.95,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71oyUfJPThL._AC_UL320_.jpg,organic,17269963011,nail glue,1,2,691797.51,7.959999999999999,0.4434540389972145
B092Z5YQG7,5.92,"Nail Glue, Super Strong Nail Glue for Acrylic Nails Long Lasting Professional Nail Tip Glue for Press on Nails Bond for Acrylic Nails Adhesive Nail Glue for False Nail Tips 0.07OZ/PCS(12PCS）",4.4,USD,True,False,5.92,False,,6K+ bought in past month,1,5831,False,6.92,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/614zU7X1+HL._AC_UL320_.jpg,organic,17269963011,nail glue,1,3,34519.52,1.0,0.14450867052023122
B01NCZVOB3,4.1,5 pcs KDS Nail Tip Glue - Adhesive Super Bond for Acrylic Nails Tips - 0.07 oz for each glue,4.5,USD,False,False,4.1,False,,10K+ bought in past month,1,36142,False,0.0,FREE delivery on $35 shipped by Amazon.,5.0,,https://m.media-amazon.com/images/I/511gVAmNLOL._AC_UL320_.jpg,organic,17269963011,nail glue,1,4,148182.19999999998,0.0,0.0
B0B4PSY5SL,6.99,"Glamnetic Super Strong Brush On Nail Glue | Brush Tip Applicator, Mess Free, Travel Friendly, Vegan | Durable & Long-Lasting | .24 fl. oz.",4.4,USD,True,False,6.99,False,,10K+ bought in past month,1,4600,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/51XjtLaL49L._AC_UL320_.jpg,organic,17269963011,nail glue,1,5,32154.0,0.0,0.0
B07NJB24KB,6.99,"Super Strong Nail Glue for Acrylic Nails,Nail Tips, Press On Nails, Fake Nails, Salon Quality Brush On Nail Glue Easy Application Durable & Long-Lasting Makartt Glue False Nails",4.3,USD,True,False,6.99,False,,7K+ bought in past month,1,12749,False,11.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/6101MvOyltL._AC_UL320_.jpg,organic,17269963011,nail glue,1,6,89115.51000000001,5.0,0.4170141784820684
B07V829WW9,4.85,"3 bottles Super nail Glue professional Salon Quality,Quick and Strong Nail liquid adhesive",4.4,USD,True,False,4.85,False,,5K+ bought in past month,1,12452,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",8.0,,https://m.media-amazon.com/images/I/617QvOtuMnL._AC_UL320_.jpg,organic,17269963011,nail glue,1,7,60392.2,0.0,0.0
B01ANDQGMO,2.97,"KISS PowerFlex Precision Nail Glue - Fast Drying Adhesive for Glue-On Nails & Repairs with Precision Tip Nozzle, Ideal for Tips & Wraps, Net Wt. 0.10 oz (3g)",4.3,USD,True,False,2.97,False,,4K+ bought in past month,1,2324,False,3.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/41TkBbNWmQL._AC_UL320_.jpg,organic,17269963011,nail glue,1,8,6902.280000000001,1.02,0.2556390977443609
B0934PKQZQ,4.99,"Nailene Perfect Bond Nail Glue - Durable, Easy to Apply False Nail Glue – Repairs Natural Nails – Quick-Drying Nail Adhesive Lasts Up to 7 Days - Pink Tint - 2 g/0.07 oz - 2 Pack",4.3,USD,True,False,4.99,False,,4K+ bought in past month,1,4569,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/61OR9BvU1SS._AC_UL320_.jpg,organic,17269963011,nail glue,1,9,22799.31,0.0,0.0
B001KYQ7LG,4.29,"Nailene Super Strong, Fast-Drying Nail Glue – Durable, Easy to Apply False Nail Glue – Repairs Natural Nails – Quick-Drying Nail Adhesive Lasts Up to 7 Days, 3 Gram",4.4,USD,True,False,4.29,False,,3K+ bought in past month,1,59231,False,4.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/61OcEIjD9dL._AC_UL320_.jpg,organic,17269963011,nail glue,1,10,254100.99,0.7000000000000002,0.14028056112224452
B01N1JTY0Q,0.0,"KISS PowerFlex Brush-On Nail Glue for Press On Nails, Ultra Hold Flex Formula Nail Adhesive, Includes One Bottle 5g (0.17 oz.) with Twist-Off Cap & Brush Applicator",4.2,USD,False,False,0.0,False,,9K+ bought in past month,1,12317,False,0.0,,12.0,,https://m.media-amazon.com/images/I/81MMG3jlZML._AC_UL320_.jpg,organic,17269963011,nail glue,1,11,0.0,0.0,0.0
B07KY47GY9,5.79,KDS Nail Glue for Professional Fake Nail Art & Design 10pcs Nail Tip Extension Glue,4.6,USD,True,False,5.79,False,,2K+ bought in past month,1,8639,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/61TwekNvSFL._AC_UL320_.jpg,organic,17269963011,nail glue,1,12,50019.81,0.0,0.0
B08SQWY8JB,6.99,"Nail Glue,15 PCS Nail Glue for Acrylic Nails,Nail Tip Glue Professional Nail Glue False Nail Tips Glue for Broken Nails Adhesive Super Bond for Press on Nails Glues Adhesive for Fake Nails Tips Glues",4.3,USD,True,False,6.99,False,,1K+ bought in past month,1,7694,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/71ya+H3b94L._AC_UL320_.jpg,organic,17269963011,nail glue,1,13,53781.060000000005,0.0,0.0
B07CXT3X45,9.99,Makartt Super Strong Nail Glue for Acrylic Nails Press On Nails Professional Nail Adhesive Bond Nail Tips Glue for Stick On Nails Long Lasting Nail Glue for Fake Nails Broken Nails Repair 0.07oz 10Pcs,4.4,USD,True,False,9.99,False,,900+ bought in past month,1,12121,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/61sCW91FnbL._AC_UL320_.jpg,organic,17269963011,nail glue,1,14,121088.79000000001,3.0,0.23094688221709006
B0B2KSGCWG,8.49,Valitic Nail Glue and Strengthener - Quick Dry Brush On Gel for Long Lasting Nails - Adhesive Bond for False Nails - Strengthener for Nail Tips - 1 PACK,4.3,USD,True,False,8.49,False,,4K+ bought in past month,1,3125,False,11.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/71-lW1DQL5L._AC_UL320_.jpg,organic,17269963011,nail glue,1,15,26531.25,3.5,0.2919099249374479
B0C46WRC2N,4.49,Beetles Super Strong Nail Glue for Acrylic Nails Press On Nails Professional Nail Tips Glue for Stick On Nails Long Lasting Nail Glue for Fake Nails Portable Nail Adhesive Bond 0.07oz 5Pcs,4.3,USD,True,False,4.49,False,,200+ bought in past month,1,434,False,5.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",17.0,,https://m.media-amazon.com/images/I/71QP4a+tGPL._AC_UL320_.jpg,organic,17269963011,nail glue,1,16,1948.66,1.5,0.25041736227045075
B09RWHMBKQ,5.99,Modelones Nail Glue for Press Ons Nails Glue Strong 2pcs 14ml Nails Tips Glue Brush On Nails Glue Long Lasting Adhesive Nail Glue NO Cure,4.3,USD,True,False,5.99,False,,1K+ bought in past month,1,735,False,8.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",18.0,,https://m.media-amazon.com/images/I/618GbdxoUsL._AC_UL320_.jpg,organic,17269963011,nail glue,1,17,4402.650000000001,3.0,0.3337041156840934
