asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JOeCXaXDJmSKC3iraYrkGo4AAAGRLUEhWgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICDnSdsx,paid,17880313011,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JNfSNjB99pvq2T4p4nXM4MwAAAGRLUEhWgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBDi7YX,paid,17880313011,moissanite,1,2,26811.059999999998,0.0,0.0
B0D3V9RRR9,10.08,Moissanite Nose Stud for Women - 925 Sterling Silver Moissanite Nose Ring Piercing Real Moissanite Diamond Hypoallergenic Jewelry Nose Stud Gift for Women and Men,5.0,USD,False,False,10.08,False,,50+ bought in past month,1,6,False,14.85,FREE delivery Aug 20 - 30,1.0,,https://m.media-amazon.com/images/I/61-p+BRLt5L._AC_UL320_.jpg,organic,17880313011,moissanite,1,1,60.480000000000004,4.77,0.32121212121212117
B0CQXNKQ8J,31.99,"14K Solid Gold Nose Studs Rings 20g 18g, Moissanite Corkscrew L Shaped Nose Rings, Hypoallergenic 18 20 Gauge Nose Ring Piercing for Women Wen Gifts - 2mm 2.5mm 3mm Moissanite",4.1,USD,True,False,31.99,False,,,1,18,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/51Pkq3M5UUL._AC_UL320_.jpg,organic,17880313011,moissanite,1,2,575.8199999999999,0.0,0.0
B0C6PPK84X,28.99,Moissanite Nose Studs D Color Nose Ring 2mm/0.03CT Cut Lab Created Diamond L Shaped Nose Studs 925 Sterling Silver Nose Studs 18G/1mm Nose Piercing Studs for Women,4.6,USD,True,False,28.99,False,,,1,37,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",3.0,,https://m.media-amazon.com/images/I/51tsoT+jLPL._AC_UL320_.jpg,organic,17880313011,moissanite,1,3,1072.6299999999999,0.0,0.0
B0D8SX9BFZ,31.99,Moissanite Nose Stud for Women - 18K Gold Moissanite Nose Ring Piercing Real Moissanite Diamond Hypoallergenic Jewelry 925 Sterling Silver Nose Studs Gift for Women and Men,0.0,USD,True,False,31.99,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/61ejS+QfJlL._AC_UL320_.jpg,organic,17880313011,moissanite,1,4,479.84999999999997,0.0,0.0
B096T1B8CQ,43.0,Solid 14Kt Gold Moissanite Stud Nose Ring - 22G Nose Bone Stud - Ball End Nose Ring - April Birthstone Nose Stud,4.2,USD,True,False,43.0,False,,,1,21,False,0.0,"FREE delivery Wed, Aug 14",5.0,,https://m.media-amazon.com/images/I/514s1xyKjUL._AC_UL320_.jpg,organic,17880313011,moissanite,1,5,903.0,0.0,0.0
B096T3BXMZ,39.0,Solid 14Kt Gold Moissanite Stud Nose Ring - 22G Nose Screw Stud - Twisted Nose Ring - April Birthstone Nose Stud,4.4,USD,True,False,39.0,False,,,1,28,False,0.0,"FREE delivery Wed, Aug 14 Or fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/51Ix0exXKZS._AC_UL320_.jpg,organic,17880313011,moissanite,1,6,1092.0,0.0,0.0
B0CDBM8KZN,36.99,0.50 Carat Heart Cut Lab Created Moissanite Or Lab Grown Diamond Solitaire Belly Button Navel Rings Body Piercing Jewelry For Women In 14K Gold Over Sterling Silver,5.0,USD,True,False,36.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/51PRctCF0wL._AC_UL320_.jpg,organic,17880313011,moissanite,1,7,110.97,0.0,0.0
B0D5M5N63H,59.99,"14K Real Gold Lip Rings Stud, 16g Internally Thread Ashley Piercing Lip Jewelry, Moissanite - 2.5mm 3mm, 18g Nose Conch Helix Tragus Labret Stud for Women Men",5.0,USD,True,False,59.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12",8.0,,https://m.media-amazon.com/images/I/61OIUj7ihUL._AC_UL320_.jpg,organic,17880313011,moissanite,1,8,119.98,0.0,0.0
