asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JD45BWe0pTztHMADSyVcnUIAAAGRLSpqIAEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICDPk5i-,paid,17880319011,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JLoUsLMBP251zaXZ5-tIYrYAAAGRLSpqHQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICAE6Uzu,paid,17880319011,moissanite,1,2,26811.059999999998,0.0,0.0
B0D9S4WGQS,28.99,16G Moissanite Nose Hoop Ring - 925 Sterling Silver 3MM 0.1CT Moissanite Nose Hoop Piercing Real Moissanite Diamond Hypoallergenic Jewelry Nose Hoop for Women and Men,0.0,USD,True,False,28.99,False,,,1,10,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1.0,,https://m.media-amazon.com/images/I/51oPHsx13xL._AC_UL320_.jpg,organic,17880319011,moissanite,1,1,289.9,0.0,0.0
B0CL5QVPXF,89.0,"20G 14K Gold Nose Hoop Ring with Moissanites Half Eternity Nose Hoop, Helix Ring, Tagus Hoop, Cartilage Ring",0.0,USD,True,False,89.0,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12",2.0,,https://m.media-amazon.com/images/I/61NXwYe054S._AC_UL320_.jpg,organic,17880319011,moissanite,1,2,0.0,0.0,0.0
B0CR8YCCTT,17.98,Moissanite Magnetology Ring Moissanite X Cross Ring Relief Blood Circulation and Lymph Nodes Zircon Magnetic Rings Weight Loss,3.0,USD,False,False,17.98,False,,,1,2,False,0.0,FREE delivery Aug 19 - 28 Or fastest delivery Aug 9 - 12,3.0,,https://m.media-amazon.com/images/I/61WXmmGc22L._AC_UL320_.jpg,organic,17880319011,moissanite,1,3,35.96,0.0,0.0
B0CV4L1HQZ,118.0,"20G 14K Gold 0.15 ctw Moissanite Butterfly Nose Hoop Ring Women's 5/16""(8mm) Nose Ring Twist-open, Marquise Cut, Round Brillian Cut Gemstone",0.0,USD,True,False,118.0,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12",4.0,,https://m.media-amazon.com/images/I/71qSs1rfZEL._AC_UL320_.jpg,organic,17880319011,moissanite,1,4,0.0,0.0,0.0
B0CKM5JPYM,85.0,20G 14K Yellow Gold Nose Hoop Ring 7-Stone Black Moissanite Gemstone Nose Ring 8mm Cartilage Hoop Helix Ring Tragus Ring Unisex,0.0,USD,True,False,85.0,False,,,1,0,False,0.0,"FREE delivery Wed, Aug 14",5.0,,https://m.media-amazon.com/images/I/61txkDNECyL._AC_UL320_.jpg,organic,17880319011,moissanite,1,5,0.0,0.0,0.0
B0CBP8Q8SQ,156.25,"Marquise Diamond (0.28ct) Petals clicker Hoop, 14K Gold Delicate Leaf Wedding Ring, conch helix piercings, Gift For Her.",0.0,USD,False,False,156.25,False,,,1,0,False,0.0,FREE delivery Aug 27 - Sep 3,7.0,,https://m.media-amazon.com/images/I/619hsP3++VL._AC_UL320_.jpg,organic,17880319011,moissanite,1,6,0.0,0.0,0.0
B0D3LG1QTR,453.96,"Triple Marquise Gemstone (0.45ct) Belly, Multi Stone Navel Piercing, 14K Gold Belly Ring, Curved Floating Ring, Hot Body Jewelry",0.0,USD,False,False,453.96,False,,,1,0,False,0.0,FREE delivery Aug 27 - Sep 3,8.0,,https://m.media-amazon.com/images/I/51lvTnRYU5L._AC_UL320_.jpg,organic,17880319011,moissanite,1,7,0.0,0.0,0.0
B0CKSSM16M,176.25,"14K Gold Star Huggies One Touch Piercing Earring, Star Diamond (0.25ct) Small Huggies, Helix and Tragus Piercing, Cartilage Earring, Gift For Her.",0.0,USD,False,False,176.25,False,,,1,0,False,0.0,FREE delivery Aug 27 - Sep 3,9.0,,https://m.media-amazon.com/images/I/51R-3cU3NRL._AC_UL320_.jpg,organic,17880319011,moissanite,1,8,0.0,0.0,0.0
B0CZ973521,6.99,Nose Ring Surgical Steel 20g Gauge 8mm 10mm 12mm Piercing Hoops Jewelry 27PCS,4.2,USD,True,False,6.99,False,,,1,6219,True,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",6.0,,https://m.media-amazon.com/images/I/71R81t06oCL._AC_UL320_.jpg,amazons_choices,17880319011,moissanite,1,1,43470.810000000005,0.0,0.0
,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,True,False,29.99,False,,500+ bought in past month,1,894,True,49.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",10.0,,https://m.media-amazon.com/images/I/71dmH7PUtfL._AC_UL320_.jpg,amazons_choices,17880319011,moissanite,1,2,26811.059999999998,20.000000000000004,0.4000800160032007
B0CZKKT6P3,69.99,"Birthstone Necklace for Women Teardrop Necklace S925 Sterling Silver Infinity Love Birthday Gifts for Mom Women, 16""+2"" Inches",4.7,USD,,False,69.99,True,,50+ bought in past month,1,19,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGV33T0uAFi5CAZru5Ltf9sAAAGRLSp6OQEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICATdts3,paid,17880319011,birthstone,1,1,1329.81,0.0,0.0
