asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B009AEIBB2,5.97,"KISS 96 Full Cover Toenails Kit, Long Lasting Fake Nails, DIY Home Manicure Set with Pink Gel Nail Glue 3 g / 0.11 oz. and 96 Fake Toenails in 12 Sizes for up to 4 pedicures",4.4,USD,True,False,5.97,False,,4K+ bought in past month,1,8895,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1,,https://m.media-amazon.com/images/I/61TiFcOAapL._AC_UL320_.jpg,organic,3784781,false nails,1,1,53103.149999999994,0.0,0.0
B01AX2Y618,25.98,"KISS 100 Acrylic Plain Nails (6 PACK, Toenails)",5.0,USD,False,False,25.98,False,,,1,5,False,0.0,"FREE delivery Aug 20 - 22 Or fastest delivery Mon, Aug 12",3,,https://m.media-amazon.com/images/I/91vp0wKa4bL._AC_UL320_.jpg,organic,3784781,false nails,1,2,129.9,0.0,0.0
B00B5UY7J4,2.24,"Essie Sleek Stick, Steel the Show 010 1 set",5.0,USD,False,False,2.24,False,,,1,2,False,0.0,$4.71 delivery Aug 16 - 19 Or fastest delivery Aug 9 - 13,4,,https://m.media-amazon.com/images/I/61sJXYiKWgL._AC_UL320_.jpg,organic,3784781,false nails,1,3,4.48,0.0,0.0
B00CS5BEV4,7.49,"essie Sleek Stick Nail Applique, Love to Love You",0.0,USD,True,False,7.49,False,,,1,0,False,0.0,"FREE delivery Thu, Aug 15 on $35 of items shipped by Amazon",5,,https://m.media-amazon.com/images/I/41aQz4SVNlL._AC_UL320_.jpg,organic,3784781,false nails,1,4,0.0,0.0,0.0
B01AX2Y4U6,14.82,"KISS 100 Acrylic Plain Nails (3 PACK, Toenails)",4.3,USD,False,False,14.82,False,,,1,30,True,0.0,"FREE delivery Thu, Aug 15",2,,https://m.media-amazon.com/images/I/81CGiEk3A1L._AC_UL320_.jpg,amazons_choices,3784781,false nails,1,1,444.6,0.0,0.0
,9.99,"UNA GELLA Almond Fake Nails 216pcs Almond Press on Nails Pre-shape Almond Nails Tips for Full Cover Acrylic Almond Nails French False Nails For Nail Extension Nail Art, DIY Salon 12 Sizes Gelly Tips",4.4,USD,True,True,9.99,False,,6K+ bought in past month,1,9561,True,6.49,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6,,https://m.media-amazon.com/images/I/71QNjAq4YoL._AC_UL320_.jpg,amazons_choices,3784781,false nails,1,2,95514.39,-3.5,-0.539291217257319
B009AEIBB2,5.97,"KISS 96 Full Cover Toenails Kit, Long Lasting Fake Nails, DIY Home Manicure Set with Pink Gel Nail Glue 3 g / 0.11 oz. and 96 Fake Toenails in 12 Sizes for up to 4 pedicures",4.4,USD,True,False,5.97,False,,4K+ bought in past month,1,8895,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",1,,https://m.media-amazon.com/images/I/61TiFcOAapL._AC_UL320_.jpg,organic,3784781,false nails,2,5,53103.149999999994,0.0,0.0
B01AX2Y618,25.98,"KISS 100 Acrylic Plain Nails (6 PACK, Toenails)",5.0,USD,False,False,25.98,False,,,1,5,False,0.0,"FREE delivery Aug 20 - 22 Or fastest delivery Mon, Aug 12",3,,https://m.media-amazon.com/images/I/91vp0wKa4bL._AC_UL320_.jpg,organic,3784781,false nails,2,6,129.9,0.0,0.0
B00B5UY7J4,2.24,"Essie Sleek Stick, Steel the Show 010 1 set",5.0,USD,False,False,2.24,False,,,1,2,False,0.0,$4.71 delivery Aug 19 - 20 Or fastest delivery Aug 9 - 13,4,,https://m.media-amazon.com/images/I/61sJXYiKWgL._AC_UL320_.jpg,organic,3784781,false nails,2,7,4.48,0.0,0.0
B00CS5BEV4,7.49,"essie Sleek Stick Nail Applique, Love to Love You",0.0,USD,True,False,7.49,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/41aQz4SVNlL._AC_UL320_.jpg,organic,3784781,false nails,2,8,0.0,0.0,0.0
B01AX2Y4U6,14.95,"KISS 100 Acrylic Plain Nails (3 PACK, Toenails)",4.3,USD,False,False,14.95,False,,,1,30,True,0.0,"FREE delivery Aug 20 - 22 Or fastest delivery Mon, Aug 12",2,,https://m.media-amazon.com/images/I/81CGiEk3A1L._AC_UL320_.jpg,amazons_choices,3784781,false nails,2,3,448.5,0.0,0.0
,7.99,AILLSA Short Square Nail Tips Soft Gel Full Cover Clear Gelly Nail Tips Half Matte Acrylic Nail Tips Pre-Filed Fake Press on Nail Tips for Extension Home DIY Salon Manicure 216PCS 12 Sizes,4.4,USD,True,True,7.99,False,,2K+ bought in past month,1,404,True,6.49,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6,,https://m.media-amazon.com/images/I/71gh8GwapoL._AC_UL320_.jpg,amazons_choices,3784781,false nails,2,4,3227.96,-1.5,-0.23112480739599384
