asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0C67VCZMK,98.99,"Half Bezel Set Genuine Moissanite Diamond Bracelet 14k Gold Plated over Sterling Silver for Her in White, Yellow or Rose",0.0,USD,True,False,98.99,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/61yV2vxFbUL._AC_UL320_.jpg,organic,3880801,moissanite,1,1,0.0,0.0,0.0
B0C638FYC7,98.99,"Dainty Round Moissanite Diamond Bracelet Gift for Her in 14k Gold over White, Yellow or Rose Gold",0.0,USD,False,False,98.99,False,,,1,0,False,0.0,FREE delivery,2.0,,https://m.media-amazon.com/images/I/51VF5gYGu+L._AC_UL320_.jpg,organic,3880801,moissanite,1,2,0.0,0.0,0.0
B0CR2X8QK9,148.88,GRA Certified Moissanite 3mm 7-9 Inch 18K White Gold Plated S925 Sterling Silver Round Cut D Color VVS1 Clarity Lab Created Moissanite Diamond Hypoallergenic Tennis Bracelet for Women Girls Men Boys,0.0,USD,False,False,148.88,False,,,1,0,False,0.0,"FREE delivery Aug 15 - 16 Or fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/713U5bD-aSL._AC_UL320_.jpg,organic,3880801,moissanite,1,3,0.0,0.0,0.0
B0C1VHVBZH,172.88,"Unique Moissanite Diamond and Sapphire Bracelet, 18K Gold Bracelet, Dainty Moissanite Diamond Bracelet, Best Gift For Her",0.0,USD,False,False,172.88,False,,,1,0,False,0.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,4.0,,https://m.media-amazon.com/images/I/31TmwrKEUZL._AC_UL320_.jpg,organic,3880801,moissanite,1,4,0.0,0.0,0.0
B0CR7GT6RM,238.88,GRA Certified Moissanite 5mm 7-9 Inch 18K White Gold Plated S925 Sterling Silver Round Cut D Color VVS1 Clarity Lab Created Moissanite Diamond Hypoallergenic Tennis Bracelet for Women Girls Men Boys,0.0,USD,False,False,238.88,False,,,1,0,False,0.0,"FREE delivery Thu, Aug 15 Or fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/713U5bD-aSL._AC_UL320_.jpg,organic,3880801,moissanite,1,5,0.0,0.0,0.0
B0CR6WNNTZ,238.88,GRA Certified Moissanite 4mm 7-9 Inch 18K White Gold Plated S925 Sterling Silver Round Cut D Color VVS1 Clarity Lab Created Moissanite Diamond Hypoallergenic Tennis Bracelet for Women Girls Men Boys,0.0,USD,False,False,238.88,False,,,1,0,False,0.0,"FREE delivery Thu, Aug 15 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/713U5bD-aSL._AC_UL320_.jpg,organic,3880801,moissanite,1,6,0.0,0.0,0.0
B08NZ967Q1,199.99,"Sparky Eternally Bound Bracelet, Round Cut 1.00CT, Colorless Moissanite Bracelet, White Gold Plated 925 Sterling Silver, Wedding Gift, Engagement Gift, Perfact for Gift Or As You Want",0.0,USD,False,False,199.99,False,,,1,0,False,0.0,FREE delivery Aug 21 - 26,7.0,,https://m.media-amazon.com/images/I/71UHBvZtJjL._AC_UL320_.jpg,organic,3880801,moissanite,1,7,0.0,0.0,0.0
B0CYNMHG7H,229.99,"Moissanite Diamond Tennis Bracelet, 14k Gold or White Gold Over 925 Sterling Silver (3mm-7mm),Charm Link Tennis Bracelet - Gifts for Mom, Wife, Girlfriend - Valentine's, Mother's Day, Christmas, Birthday, Anniversary",0.0,USD,False,False,229.99,False,,,1,0,False,0.0,"FREE delivery Aug 15 - 22 Or fastest delivery Thu, Aug 15",8.0,,https://m.media-amazon.com/images/I/71KksVqalJL._AC_UL320_.jpg,organic,3880801,moissanite,1,8,0.0,0.0,0.0
B08MDZJT9K,439.99,"Unique Bound Together Bracelet, Round Cut 5.64CT, Colorless Moissanite Bracelet, White Gold Plated 925 Sterling Silver, Wedding Gift, Engagement Gift, Perfact for Gift Or As You Want",0.0,USD,False,False,439.99,False,,,1,0,False,0.0,FREE delivery Aug 21 - 26,9.0,,https://m.media-amazon.com/images/I/51w20-qBJ1L._AC_UL320_.jpg,organic,3880801,moissanite,1,9,0.0,0.0,0.0
B08P2ZCP1Z,248.99,"Stunning Simply Bound Bracelet, Round Cut 2.50CT, Colorless Moissanite Bracelet, White Gold Plated 925 Sterling Silver, Wedding Gift, Engagement Gift, Perfact for Gift Or As You Want",0.0,USD,False,False,248.99,False,,,1,0,False,0.0,FREE delivery Aug 21 - 26,10.0,,https://m.media-amazon.com/images/I/61b9WioBJQL._AC_UL320_.jpg,organic,3880801,moissanite,1,10,0.0,0.0,0.0
B0C1VFH72R,172.88,"Size Adjustable Tennis Bracelet, 18k Gold Bracelet, Moissanite Bracelet, Gold Bracelet, Dainty Bracelet, Minimalist Bracelet, Best Gift İdeas",0.0,USD,False,False,172.88,False,,,1,0,False,0.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,11.0,,https://m.media-amazon.com/images/I/41YmW11fx2L._AC_UL320_.jpg,organic,3880801,moissanite,1,11,0.0,0.0,0.0
B08P2X6K2W,199.99,"Fabulous Simply Bound Bracelet, Round Cut 1.50CT, Colorless Moissanite Bracelet, White Gold Plated 925 Sterling Silver, Wedding Gift, Engagement Gift, Perfact for Gift Or As You Want",0.0,USD,False,False,199.99,False,,,1,0,False,0.0,FREE delivery Aug 21 - 26,12.0,,https://m.media-amazon.com/images/I/61b9WioBJQL._AC_UL320_.jpg,organic,3880801,moissanite,1,12,0.0,0.0,0.0
