asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGh3pexl4yKJgXTTBG-tUFsAAAGRLZEFVAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICBcliPp,paid,3880841,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JIkdc7xwIQ7jYwY6F1sS4ZgAAAGRLZEFZQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICBF6Z5b,paid,3880841,moissanite,1,2,26811.059999999998,0.0,0.0
B0C2MTKMWW,45.99,1CT Moissanite Necklace 925 Sterling Silver Infinity Chain Pendant D Color VVS1 Necklace Jewelry for Mother's Day Wife Girlfriend Valentines Day Anniversary Birthday Gift,4.7,USD,True,False,45.99,False,,,1,27,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/51a5ip51-HL._AC_UL320_.jpg,organic,3880841,moissanite,1,1,1241.73,0.0,0.0
B0CFFBTHGW,55.54,"2.0ct 8.0mm VVS1 D Color Moissanite Round Cut Fish Line Necklace Pendant Necklace Invisible Necklace,18K White Gold Plated 925 Silver,With certificate",4.6,USD,True,False,55.54,False,,,1,10,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/61+BibJ6tHL._AC_UL320_.jpg,organic,3880841,moissanite,1,2,555.4,0.0,0.0
B0CRRS5XPL,24.99,"Moissanite Initial Pendant Necklace, Gold Plated Sterling Silver Letter Pendant Necklace with A-Z Alphabet Jewelry Gifts For Christmas Anniversary Birthday Wedding",2.4,USD,True,False,24.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/61GVAWRJpUL._AC_UL320_.jpg,organic,3880841,moissanite,1,3,49.98,0.0,0.0
B07Q5B4SC1,388.54,"2.0 ct Round Cut Stunning Genuine Moissanite Solitaire Pendant Necklace With 18"" Gold Chain box Solid 14k White Gold",4.7,USD,True,False,388.54,False,,,1,2,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/41TdoyUVjDL._AC_UL320_.jpg,organic,3880841,moissanite,1,4,777.08,0.0,0.0
B07Q47YWNC,330.47,"1.05 ct Brilliant Princess Cut Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box Solid 14k Rose Gold",5.0,USD,True,False,330.47,False,,,1,1,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/41K4sRwFWdL._AC_UL320_.jpg,organic,3880841,moissanite,1,5,330.47,0.0,0.0
B07Q59RRGX,0.0,"1.25 ct Round Cut Pave Halo Stunning Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box 14k White Gold",4.1,USD,True,False,0.0,False,,,1,4,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/51BJydaDvNL._AC_UL320_.jpg,organic,3880841,moissanite,1,6,0.0,0.0,0.0
B07Q5CKBZP,374.59,"2.05 ct Princess Cut Stunning Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box Solid 14k White Gold",5.0,USD,True,False,374.59,False,,,1,1,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/51axBR37M9L._AC_UL320_.jpg,organic,3880841,moissanite,1,7,374.59,0.0,0.0
B07Q59ZPG2,372.89,"1.35 ct Round Cut Pave Halo Stunning Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box 14k White Gold",4.5,USD,True,False,372.89,False,,,1,6,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/51BJydaDvNL._AC_UL320_.jpg,organic,3880841,moissanite,1,8,2237.34,0.0,0.0
B07Q47QWJP,439.53,"3.0 ct Round Cut Stunning Genuine Moissanite Solitaire Pendant Necklace With 18"" Gold Chain box Solid 14k White Gold",5.0,USD,True,False,439.53,False,,,1,3,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/51hDaMGjP1L._AC_UL320_.jpg,organic,3880841,moissanite,1,9,1318.59,0.0,0.0
B07Q47S8GY,367.25,"2.0 ct Brilliant Princess Cut Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box Solid 14k White Gold",5.0,USD,True,False,367.25,False,,,1,2,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/51axBR37M9L._AC_UL320_.jpg,organic,3880841,moissanite,1,10,734.5,0.0,0.0
B0D9LXR72R,115.09,Solitaire Emerald Real Moissanite GRA Certified Pendent Anniversary Birthday Christmas Engagement Mother's Day Valentine's Day 16 inch Chian Gift,0.0,USD,False,False,115.09,False,,,1,0,False,0.0,FREE delivery Aug 15 - 20,12.0,,https://m.media-amazon.com/images/I/31FZF4+galL._AC_UL320_.jpg,organic,3880841,moissanite,1,11,0.0,0.0,0.0
B08DTB36R1,0.0,"3.0 ct Princess Cut unique Fine jewelry Moissanite Solitaire Pendant Necklace With 18"" Gold Chain box Solid 14k White Gold",5.0,USD,True,False,0.0,False,,,1,1,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/41T8lGt6ocL._AC_UL320_.jpg,organic,3880841,moissanite,1,12,0.0,0.0,0.0
B07NTWZ3WF,384.65,"1.95 ct Heart Cut Stunning Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box Solid 14k Yellow Gold",5.0,USD,True,False,384.65,False,,,1,1,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/51NkohUVMAL._AC_UL320_.jpg,organic,3880841,moissanite,1,13,384.65,0.0,0.0
B0B68YNS2T,32.99,"Cross Pendant Necklace for Men, Black Moissanite Diamond Necklaces, 925 Sterling Silver Christian Crucifix Jewelry Valentine's DayGifts for Boys Fathers Husband, 18K White Gold Plated",4.1,USD,True,False,32.99,False,,,1,10,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/51sVCmdwXML._AC_UL320_.jpg,organic,3880841,moissanite,1,14,329.90000000000003,0.0,0.0
B07Q5BNHM8,386.44,"2.05 ct Round Cut Stunning Genuine Moissanite Martini Style Solitaire Pendant With 18"" Gold Chain box 14k Yellow Gold",0.0,USD,True,False,386.44,False,,,1,0,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/41Xp+3om8JL._AC_UL320_.jpg,organic,3880841,moissanite,1,15,0.0,0.0,0.0
B08DRY51J9,335.6,"1.0 ct Round Cut unique Fine jewelry Moissanite Solitaire Pendant Necklace With 18"" Gold Chain box Solid 14k White Gold",5.0,USD,True,False,335.6,False,,,1,2,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",17.0,,https://m.media-amazon.com/images/I/41pZ8Cd89XL._AC_UL320_.jpg,organic,3880841,moissanite,1,16,671.2,0.0,0.0
