asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JId8Td6G8U_YuGmNcP2oGxUAAAGRLY2nEQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICDSJI6f,paid,3881811,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JBI3K7v_lhe6k7c-7C_np8UAAAGRLY2nJgEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBT_XYl,paid,3881811,moissanite,1,2,26811.059999999998,0.0,0.0
B0D2X67D8M,63.99,"0.5CT/2CT/4.4CT Moissanite Necklace for Women- 925 Sterling Silver Moissanite Pendant Heart Necklaces- D-Color-VVS1 Certified Moissanite Necklace for Girlfriend on Anniversary,Birthday",4.8,USD,True,False,63.99,False,,,1,12,False,69.99,"FREE delivery Tue, Aug 13 Or fastest delivery Sun, Aug 11",1.0,,https://m.media-amazon.com/images/I/61j080vvIwL._AC_UL320_.jpg,organic,3881811,moissanite,1,1,767.88,5.999999999999993,0.08572653236176588
B0C5CY5YLN,29.99,Moissanite Sterling Silver Pendant Necklace: White Gold Plated Round Cut Link Chain Sparkling VVS1 Solitaire Precious Stylish Birthday Valentine's Day Christmas Wedding Brides Jewelry Gift Teen Girl Women,5.0,USD,True,False,29.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61s92hOSnqL._AC_UL320_.jpg,organic,3881811,moissanite,1,2,89.97,0.0,0.0
B0C2LZFC25,16.88,"Moissanite Pendant Necklace 1CT 18K White Gold Plated Silver D Color Ideal Cut Diamond Necklace, Birthday, Valentine's Day Gift",4.8,USD,True,False,16.88,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/41mBNkPOu8L._AC_UL320_.jpg,organic,3881811,moissanite,1,3,270.08,0.0,0.0
B0CBB6GZW1,19.99,Necklace for Women Pendant Moissanite Diamond 1 Carat D Color VVS1 Simulated 18K White Gold Plated Silver Dainty Jewelry Gift for Women Mom Girls Birthday Anniversary Valentines Day,5.0,USD,True,False,19.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/51npgkOUmVL._AC_UL320_.jpg,organic,3881811,moissanite,1,4,39.98,0.0,0.0
B0B4K5KBVQ,72.99,"Diamond Necklace for Women,2Carat Moissanite Solitaire Pendant Jewelry for Christmas,D Color Simulated Diamond Jewelry 925 Sterling Silver Necklace Gift for Mother Wife Girls",3.8,USD,True,False,72.99,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/61sHkq1oZDL._AC_UL320_.jpg,organic,3881811,moissanite,1,5,1240.83,0.0,0.0
B0CMQ6WX28,50.0,Marquise Moissanite Diamond Pendant Necklace 1 Carat Solitaire S925 Sterling Silver Dainty Choker Chain Necklace White Gold Plated Women Girl Gifts,5.0,USD,False,False,50.0,False,,,1,1,False,0.0,FREE delivery Aug 16 - 27,7.0,,https://m.media-amazon.com/images/I/41TBajW0EFL._AC_UL320_.jpg,organic,3881811,moissanite,1,6,50.0,0.0,0.0
B088KT91G9,259.0,"14k Solid Gold 1 Carat 6.5mm Moissanite Classic Bezel Set Solitaire Gemstone Pendant Necklace for Women Girls, Gold Chain 16 + 2 inch Extender",4.5,USD,True,False,259.0,False,,,1,67,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/51OgSUgszeL._AC_UL320_.jpg,organic,3881811,moissanite,1,7,17353.0,0.0,0.0
B0D47P3Z8X,65.9,Moissanite Solitaire Tennis Pendant Necklaces for Women Sterling Silver with 18K White Gold Plated D Color VVS1 Clarity Mossanite Jewelry for Girls,4.8,USD,True,False,65.9,False,,,1,9,False,69.9,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/51Zw1U0FoWL._AC_UL320_.jpg,organic,3881811,moissanite,1,8,593.1,4.0,0.05722460658082975
B0C5LKCFXH,17.99,Moissanite Sterling Silver Pnedant Necklace: White Gold Plated 925 Silver Round Cut Link Chain Sparkling VVS1 Solitaire Precious Gorgeous Birthday Valentine's Day Christmas Wedding Brides Jewelry Gift Teen Girl Women,4.5,USD,True,False,17.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/51rku3tYE+L._AC_UL320_.jpg,organic,3881811,moissanite,1,9,35.98,0.0,0.0
B0C5RGRCXJ,19.99,Necklace for Women Pendant Moissanite Diamond 1 Carat D Color VVS1 Simulated 18K White Gold Plated Silver Dainty Jewelry Gift for Women Mom Girls Birthday Anniversary Valentines Day Mother's Day Christmas,5.0,USD,True,False,19.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/61nQS-TGzcL._AC_UL320_.jpg,organic,3881811,moissanite,1,10,39.98,0.0,0.0
B0C43GWVPC,85.0,10k Solid Gold Moissanite Pendant 6.5mm 1ct Single Solitaire Necklace Gold Platted Silver Chain 16-18 Inches,5.0,USD,True,False,85.0,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/613ZAPG0QiL._AC_UL320_.jpg,organic,3881811,moissanite,1,11,425.0,0.0,0.0
B0CRRS5XPL,24.99,"Moissanite Initial Pendant Necklace, Gold Plated Sterling Silver Letter Pendant Necklace with A-Z Alphabet Jewelry Gifts For Christmas Anniversary Birthday Wedding",2.4,USD,True,False,24.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/61GVAWRJpUL._AC_UL320_.jpg,organic,3881811,moissanite,1,12,49.98,0.0,0.0
B07Q47YWNC,330.47,"1.05 ct Brilliant Princess Cut Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box Solid 14k Rose Gold",5.0,USD,True,False,330.47,False,,,1,1,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/41K4sRwFWdL._AC_UL320_.jpg,organic,3881811,moissanite,1,13,330.47,0.0,0.0
B09TR56MGF,69.99,"Moissanite Necklaces for Women Girls Interlocking Heart Pendant Necklaces Platinum Plated Silver 1 Carat Center Moissanite Pendant, 18''-20''",4.6,USD,True,False,69.99,False,,,1,4,False,0.0,"FREE delivery Wed, Aug 14 Or fastest delivery Tue, Aug 13",15.0,,https://m.media-amazon.com/images/I/71YVmLHY9sL._AC_UL320_.jpg,organic,3881811,moissanite,1,14,279.96,0.0,0.0
B07Q59RRGX,0.0,"1.25 ct Round Cut Pave Halo Stunning Genuine Moissanite Solitaire Pendant Necklace With 16"" Gold Chain box 14k White Gold",4.1,USD,True,False,0.0,False,,,1,4,False,0.0,"FREE delivery Aug 9 - 13 Or fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/51BJydaDvNL._AC_UL320_.jpg,organic,3881811,moissanite,1,15,0.0,0.0,0.0
