asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CMWJKPVG,198.0,Moissanite Tennis Necklace 3mm-6.5mm 925 Silver Plated With 14k White Gold Moissanite Necklace For Women Men Handmade Gifts Anniversary Birthday,5.0,USD,True,False,198.0,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/71jXxD+5P1L._AC_UL320_.jpg,organic,3888121,moissanite,1,1,990.0,0.0,0.0
B0CVXR552R,159.99,"Round Lab Created Moissanite Diamond 2MM to 4MM Width Tennis Chain Necklace For Men Women In 14K Gold Over 925 Sterling Silver, (VVS1 Clarity, 5.25 CT To 30.30 CT), 16"" To 24""",4.8,USD,False,False,159.99,False,,,1,6,False,199.99,FREE delivery,2.0,,https://m.media-amazon.com/images/I/61ZDErIZI7L._AC_UL320_.jpg,organic,3888121,moissanite,1,2,959.94,40.0,0.200010000500025
B0B3T6LRG5,65.59,"1 Carat Lab Created Moissanite & Lab Grown Diamond Cross Pendant Necklace In 14k Gold Plated 925 Sterling Silver With 18"" Chain (1.00 Cttw), Gift For Her",4.5,USD,True,False,65.59,False,,,1,4,False,81.99,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/51BfVh4IDZL._AC_UL320_.jpg,organic,3888121,moissanite,1,3,262.36,16.39999999999999,0.20002439321868512
B0CQFMK69C,267.99,4.59-112.00CT Moissanite Tennis necklaces Gifts 2-6.5mm D Color VVS1 Round Cut Diamond Tennis necklaces 14k White Gold Plated 925 Sterling Silver Tennis necklaces for Women-N,3.9,USD,True,False,267.99,False,,,1,9,False,0.0,"FREE delivery Tue, Aug 13 Or fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/71UpexWpqAL._AC_UL320_.jpg,organic,3888121,moissanite,1,4,2411.91,0.0,0.0
B0C8S5C4G2,49.99,"Moissanite 0.5-3ct Necklaces, 18K White Gold Plated 925 Sterling SilverBezel Set Round Cut D Color VVS1 Lab Created Diamond Pendant Necklace for Women Men, 16"" with 2"" Extender",4.9,USD,False,False,49.99,False,,,1,21,False,0.0,FREE delivery,5.0,,https://m.media-amazon.com/images/I/51MU0vKLGBL._AC_UL320_.jpg,organic,3888121,moissanite,1,5,1049.79,0.0,0.0
B0CXPCLNC2,349.99,"Miami Cuban Necklace For Men, 5.70CT-8.00CT Round Lab Created Moissanite Diamond 6MM Width Cuban Link Chain Necklaces In 18K Gold Plated Jewelry 16 to 22 Inch Length",0.0,USD,True,False,349.99,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/61gr1ebtKHL._AC_UL320_.jpg,organic,3888121,moissanite,1,6,0.0,0.0,0.0
B0CYH3PG56,117.45,"Color-D VVS1 Clarity 0.84/1.10/3.30 Carat Moissanite Cross Necklace for Women Men, Pure 925 Sterling Silver Chain Pendant, 16""/18""/20"" Adjustable, Wedding Anniversary Jewelry",4.6,USD,True,False,117.45,False,,,1,35,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/51b2LybFIGL._AC_UL320_.jpg,organic,3888121,moissanite,1,7,4110.75,0.0,0.0
B0D452FDX6,99.99,"Moissanite Cross Pendant for Men,Diamond Pendant Necklace for Women,S925 Silver Hip-Hop Necklace Jewelry for Father's Day Gift Men Father Bro",5.0,USD,True,False,99.99,False,,,1,1,False,0.0,"FREE delivery Tue, Aug 13 Or fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/61V-uGOB23L._AC_UL320_.jpg,organic,3888121,moissanite,1,8,99.99,0.0,0.0
B0CWPCGVGM,89.99,3D Moissanite Iced Out Letter Pendant Sterling Silver Moissanite Name Necklace Pendant 925 Sterling Silver Nameplate Iced Out Moissanite Letter Pendant Necklace For Men Women,4.8,USD,False,False,89.99,False,,,1,12,False,0.0,$4.99 delivery Aug 16 - 22 Or fastest delivery Aug 14 - 19,9.0,,https://m.media-amazon.com/images/I/51i43yP5iaL._AC_UL320_.jpg,organic,3888121,moissanite,1,9,1079.8799999999999,0.0,0.0
B0BL3STVZ3,499.0,"7.10 Ct to 13.20 Ct Lab Created Moissanite Diamond 8MM Width Cuban Link Chain Necklace In 14k Gold Over Sterling Silver 16"" to 30"" Length, Gift For Him",3.7,USD,True,False,499.0,False,,,1,6,False,0.0,"FREE delivery Tue, Aug 13 Or fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/61ynbW2tNpL._AC_UL320_.jpg,organic,3888121,moissanite,1,10,2994.0,0.0,0.0
B0CPTT61D3,99.98,"Fully Iced VVS1 Moissanite Round Circular Dog Tag Pendant Necklace for Men & Women, Solid 925 Sterling Silver Medallion Pendant",3.5,USD,False,False,99.98,False,,,1,3,False,0.0,"FREE delivery Thu, Aug 15",11.0,,https://m.media-amazon.com/images/I/81tyAxtNNkL._AC_UL320_.jpg,organic,3888121,moissanite,1,11,299.94,0.0,0.0
B0CYGM63NR,42.99,"Father's Day Cross Necklace for Men, Moissanite Cross Pendant Necklace for Women, 925 Sterling Silver 18K Gold Plated (hypoallergenic) Birthday Gift, Christmas Gifts(0.6 CT VVS1 D)",5.0,USD,True,False,42.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/61Fy6zAXVGL._AC_UL320_.jpg,organic,3888121,moissanite,1,12,128.97,0.0,0.0
B0CTMQS889,531.0,"8MM/12MM Moissanite Cuban Link Chain for Men Women, VVS Iced Out Moissanite Chains Necklace 18k White Gold Plated S925 Lab Created Diamond Mens Chain Bling Luxury Full Miami Moissanite Necklaces Hip Hop Jewelry 18/20/22/24inch GRA Certificate",4.0,USD,True,False,531.0,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/71HN6HwQB6L._AC_UL320_.jpg,organic,3888121,moissanite,1,13,531.0,0.0,0.0
B0D3TZ3Z5M,129.99,Cross Necklace for Men Women 925 Sterling Silver Cross Pendants Iced Out 18K White Yellow Gold Plated Diamond Cross Charm Chain Hip Hop Moissanite/Cubic Zirconia Necklaces Birthday Gifts,0.0,USD,False,False,129.99,False,,,1,0,False,0.0,$4.99 delivery Aug 21 - 28 Or fastest delivery Aug 20 - 23,14.0,,https://m.media-amazon.com/images/I/514DerFzl2L._AC_UL320_.jpg,organic,3888121,moissanite,1,14,0.0,0.0,0.0
B09MB4CJKN,81.99,"1.25 Carat Lab Created Moissanite & Lab Grown Diamond Five Stone Journey Bar Pendant Necklace In 14k Gold Over Sterling Silver Jewelry With 18"" Chain, Gift For Her",3.9,USD,True,False,81.99,False,,,1,45,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/51MKsMWXxzL._AC_UL320_.jpg,organic,3888121,moissanite,1,15,3689.5499999999997,0.0,0.0
B0CGR94QZM,154.99,"Fully Iced VVS1 Moissanite Diamond Rectangle Dog Tag Iced Pendant Necklace for Men & Women, Solid 925 Sterling Silver Moissanite Medallion Pendant",5.0,USD,False,False,154.99,False,,,1,6,False,0.0,"FREE delivery Thu, Aug 15",16.0,,https://m.media-amazon.com/images/I/61H-lnCIGhL._AC_UL320_.jpg,organic,3888121,moissanite,1,16,929.94,0.0,0.0
