asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0D52C5J81,13.99,Premium Herbal Cigarettes (Original),4.4,USD,True,False,13.99,False,,200+ bought in past month,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/81x56mwa-GL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,1,55.96,0.0,0.0
B0CXH4QFN2,7.49,STEP Full Flavor Red Herbal Cigarettes - Tobacco & Nicotine Free - Tastes like a real Cigarette (1 Box = 20ct),2.7,USD,True,False,7.49,False,,400+ bought in past month,1,36,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/31+UV3rJKWL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,2,269.64,0.0,0.0
B09GYLD7TY,13.98,"Herbal Cigarettes - 2 Packs Menthol Flavor, Herbal Cigarette Alternative for Smokers Seeking a Tobacco & Nicotine-Free Cigarette Alternative, Non-Nicotine and Refreshing (40 smokes)",2.9,USD,True,False,13.98,False,,700+ bought in past month,1,1548,False,14.98,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71WMboj+UDL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,3,21641.04,1.0,0.06675567423230974
B0CXH8MJDK,9.99,STEP Full Flavor Red Herbal Cigarettes - Tobacco & Nicotine Free - Tastes Like a Real Cigarette (3 Boxes = 60ct),2.9,USD,False,False,9.99,False,,300+ bought in past month,1,31,False,0.0,FREE delivery on $35 shipped by Amazon.,4.0,,https://m.media-amazon.com/images/I/51rt-tBgIoL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,4,309.69,0.0,0.0
B09B9G562T,14.88,Herbal Cigarettes - Tobacco and Nicotine Free -2 Packs 40 Smokes,3.1,USD,True,False,14.88,False,,1K+ bought in past month,1,2068,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/718KupX-FsL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,5,30771.84,0.0,0.0
B0CSRNFPT8,15.9,"Derrose® Herbal Cigarettes Tobacco Free, Nicotine Free, THC Free - Vape Alternative Cigarettes for Quit Smoking - 2 Packs 40 Smokes",3.7,USD,True,False,15.9,False,,600+ bought in past month,1,115,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/81pz95qnO5L._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,6,1828.5,0.0,0.0
B0CXH2YY31,29.99,STEP Menthol Cool Green Herbal Cigarettes - Full Carton - Tobacco & Nicotine Free - Tastes Like a Real Cigarette (10 Boxes = 200ct),3.5,USD,True,False,29.99,False,,300+ bought in past month,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61Spb3YM2qL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,7,1019.66,0.0,0.0
B09P1RBS67,7.99,Herbal Cigarettes - Nicotine Free & Tobacco Free 20/Pack (Lemon),3.4,USD,True,False,7.99,False,,400+ bought in past month,1,274,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/71+pfHGGpBL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,8,2189.26,0.0,0.0
B09P482G8X,9.94,"Herbal Cigarettes - Natural, Nicotine-Free, Tobacco-Free - Natural Herbal Smoking Blend Alternative with 50mg Extract for Adults - Full Flavors, Delicate Taste - 20-Stick Flip Top Pack (Original)",3.3,USD,True,False,9.94,False,,100+ bought in past month,1,301,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/51IbQ30iPBL._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,9,2991.94,0.0,0.0
B0BGD4ZJW8,7.99,Herbal Cigarettes - Nicotine Free & Tobacco Free 20/Pack (Ice Menthol),3.1,USD,True,False,7.99,False,,500+ bought in past month,1,429,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/71eBKAvKv7L._AC_UL320_.jpg,organic,4078751,e-cigarettes,1,10,3427.71,0.0,0.0
