asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09GYLD7TY,13.98,"Herbal Cigarettes - 2 Packs Menthol Flavor, Herbal Cigarette Alternative for Smokers Seeking a Tobacco & Nicotine-Free Cigarette Alternative, Non-Nicotine and Refreshing (40 smokes)",2.9,USD,True,False,13.98,False,,700+ bought in past month,1,1548,False,14.98,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/71WMboj+UDL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,1,21641.04,1.0,0.06675567423230974
B0CXH2YY31,29.99,STEP Menthol Cool Green Herbal Cigarettes - Full Carton - Tobacco & Nicotine Free - Tastes Like a Real Cigarette (10 Boxes = 200ct),3.5,USD,True,False,29.99,False,,300+ bought in past month,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/61Spb3YM2qL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,2,1019.66,0.0,0.0
B09B9G562T,14.88,Herbal Cigarettes - Tobacco and Nicotine Free -2 Packs 40 Smokes,3.1,USD,True,False,14.88,False,,1K+ bought in past month,1,2068,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/718KupX-FsL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,3,30771.84,0.0,0.0
B0CLZX2C8R,25.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Craving Relief - Quit Smoking Aid & Stop Vaping Aid | 4 Natural Flavors",3.1,USD,True,False,25.99,False,,1K+ bought in past month,1,182,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4,,https://m.media-amazon.com/images/I/71WlA1PovdL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,4,4730.179999999999,0.0,0.0
B0BGD4ZJW8,7.99,Herbal Cigarettes - Nicotine Free & Tobacco Free 20/Pack (Ice Menthol),3.1,USD,True,False,7.99,False,,500+ bought in past month,1,429,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/71eBKAvKv7L._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,5,3427.71,0.0,0.0
B07VYJX856,15.85,Herbal Cigarettes - Tobacco and Nicotine Free 2 Packs 40 Smokes,3.0,USD,True,False,15.85,False,,400+ bought in past month,1,2439,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6,,https://m.media-amazon.com/images/I/61r14dA0u3L._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,6,38658.15,0.0,0.0
B0D52C5J81,13.99,Premium Herbal Cigarettes (Original),4.4,USD,True,False,13.99,False,,200+ bought in past month,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/81x56mwa-GL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,7,55.96,0.0,0.0
B0CSRNFPT8,15.9,"Derrose® Herbal Cigarettes Tobacco Free, Nicotine Free, THC Free - Vape Alternative Cigarettes for Quit Smoking - 2 Packs 40 Smokes",3.7,USD,True,False,15.9,False,,600+ bought in past month,1,116,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/81pz95qnO5L._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,8,1844.4,0.0,0.0
B09P1RBS67,7.99,Herbal Cigarettes - Nicotine Free & Tobacco Free 20/Pack (Lemon),3.4,USD,True,False,7.99,False,,400+ bought in past month,1,274,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/71+pfHGGpBL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,9,2189.26,0.0,0.0
B0CMR1SSWG,14.68,Herbal Cigarettes - No Tobacco and Nicotine Free - Add Mint - 2 Packs 40 Smokes,2.9,USD,True,False,14.68,False,,50+ bought in past month,1,16,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10,,https://m.media-amazon.com/images/I/61B35IEGWsL._AC_UL320_.jpg,organic,4078751,electronic cigarettes,1,10,234.88,0.0,0.0
