asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BDG9GQF5,8.99,"Herbal Cigarillos for Quit Smoking, 100% Tobacco Free & Nicotine Free, Nature's Alternative, Strawberry Flavor, 20 Cigarettes, Pack of 1",2.7,USD,True,False,8.99,True,,,1,93,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/71CL3FkXivL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,1,836.07,0.0,0.0
B00PR5GWDW,40.01,"Teaza Herbal Energy Pouches, Tobacco Alternative Nicotine Free, Chill with Relora Alternative Snuff Healthy Dip, Caffeine Free Tobacco Free Chew Premium Crisp Minty Flavor - Cool Mint Chill (8 Pack)",4.0,USD,,False,40.01,True,,50+ bought in past month,1,1939,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JHEXz2g9Mf1R0kbaFVEVLVcAAAGRLRAmRgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBaxTV_,paid,4078751,herbal cigarettes,1,2,77579.39,0.0,0.0
B002F5GAMK,19.95,"Honeyrose Earth Impact Herbal Mixture, Tobacco & Nicotine Free, 50gr Pouch",3.8,USD,False,False,19.95,True,,,1,208,False,0.0,"FREE delivery Wed, Aug 14 Or fastest delivery Aug 9 - 13",26.0,,https://m.media-amazon.com/images/I/71s9ZD7ERxL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,3,4149.599999999999,0.0,0.0
B0D1TQ9L2J,16.9,"Smoking Cessation Products, Herbal Sticks, Nicotine Free, Tobacco Free, Help Stop Smoking, Smokeless Inhalers，4packs, 80 Sticks",3.2,USD,True,False,16.9,True,,100+ bought in past month,1,21,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",27.0,,https://m.media-amazon.com/images/I/71viHC12c1L._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,4,354.9,0.0,0.0
B0D1TVGHRB,9.9,"Smoking Cessation Products, Herbal Sticks, Nicotine Free, Tobacco Free, Help Stop Smoking, Smokeless Inhalers，2packs, 40 Sticks",3.5,USD,True,False,9.9,True,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",28.0,,https://m.media-amazon.com/images/I/61go6S6vZWL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,5,19.8,0.0,0.0
B0D79FBKHN,13.8,"Herbal Sticks, Nicotine Free, Tobacco Free, Help Stop Smoking, Nicotine-Patches, Smoking Alternative, 2 Pack - 40 Sticks",0.0,USD,True,False,13.8,True,,,1,0,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Aug 12",29.0,,https://m.media-amazon.com/images/I/81STVXh5aRL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,6,0.0,0.0,0.0
B0D31VSKKX,13.9,"Herbal Sticks, Nicotine Free, Tobacco Free, 2 Packs - 40 Smokes - Quit Smoking-Smoking Cessation Products",3.4,USD,True,False,13.9,True,,,1,26,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",30.0,,https://m.media-amazon.com/images/I/71ZUQsXv+NL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,7,361.40000000000003,0.0,0.0
B09GLT4ZTT,4.95,"Newport Cigarette Vintage Brand Tee Bumper Sticker Window Vinyl Decal 5""",4.8,USD,False,False,4.95,True,,,1,6,False,0.0,FREE delivery Aug 16 - 21 Or fastest delivery Aug 12 - 13,31.0,,https://m.media-amazon.com/images/I/51GX-aFVBDL._AC_UL320_.jpg,paid,4078751,herbal cigarettes,1,8,29.700000000000003,0.0,0.0
B0D2CQLYK8,24.59,"Mullein Drops for Lungs,Support Lung Cleanse/Detox & Respiratory Function for Healthy Breathing - Mullein Leaf Extract for Lungs-2 fl.oz",4.6,USD,,False,24.59,True,,100+ bought in past month,1,25,False,29.99,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JNnQ3gbaPQXjFddX-sUlhCEAAAGRLRAmRAEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAHlOsN,paid,4078751,herbal cigarettes,1,9,614.75,5.399999999999999,0.18006002000666885
B09B9G562T,14.88,Herbal Cigarettes - Tobacco and Nicotine Free -2 Packs 40 Smokes,3.1,USD,True,False,14.88,False,,1K+ bought in past month,1,2068,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/718KupX-FsL._AC_UL320_.jpg,organic,4078751,herbal cigarettes,1,1,30771.84,0.0,0.0
