asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BQ737Q5W,57.79,"Essential Oil Inhaler, Quit Smoking Inhaler Stick, Wooden Personal Diffuser with 4 Pack Flavored Cotton Cores and Bracelet",3.5,USD,,False,57.79,True,,100+ bought in past month,1,25,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGzTU9H3fI12gfTtOgUYnFAAAAGRLQ_PmgEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICCDBOjh,paid,4078751,smokeless inhaler,1,1,1444.75,0.0,0.0
B0BQ737Q5W,57.79,"Essential Oil Inhaler, Quit Smoking Inhaler Stick, Wooden Personal Diffuser with 4 Pack Flavored Cotton Cores and Bracelet",3.5,USD,,False,57.79,True,,100+ bought in past month,1,25,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JMjqANDux8wWqt9Xu3E8H-cAAAGRLQ_PswEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBCLYnH,paid,4078751,smokeless inhaler,1,2,1444.75,0.0,0.0
B0CXX5J8H5,25.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Relief - Quit Smoking Aid & Stop Vaping Aid | Variety Pack - 4 Flavors",3.1,USD,True,False,25.99,False,,1K+ bought in past month,1,103,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/71vdsd3thxL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,1,2676.97,0.0,0.0
B0CZJW6HKF,18.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Relief - Quit Smoking Aid & Stop Vaping Aid | ICY Peppermint - 3 Pieces",4.5,USD,True,False,18.99,False,,500+ bought in past month,1,8,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/71v3CQWI5ZL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,2,151.92,0.0,0.0
B0CHMY84DJ,7.49,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Craving Relief - Quit Smoking Aid & Stop Vaping Aid | ICY Peppermint- 1 Piece",3.0,USD,True,True,7.49,False,,700+ bought in past month,1,325,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61xp0pA4DZL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,3,2434.25,0.0,0.0
B0CLZX2C8R,25.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Craving Relief - Quit Smoking Aid & Stop Vaping Aid | 4 Natural Flavors",3.1,USD,True,False,25.99,False,,1K+ bought in past month,1,182,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/71WlA1PovdL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,4,4730.179999999999,0.0,0.0
B0CJ8P3151,18.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Relief - Quit Smoking Aid & Stop Vaping Aid | ICY Peppermint- 3 Pieces",3.5,USD,True,False,18.99,False,,400+ bought in past month,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/71+UZCsuNiL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,5,284.84999999999997,0.0,0.0
B09M94DJQR,46.99,"Soft-Tip Smokeless Vapor-Less Inhaler | 100% Natural, Nicotine-Free Inhaler for Oral Support Habit Replacement When You Want to Quit Smoking (3 Pack, Fresh Mint)",2.2,USD,False,False,46.99,False,,200+ bought in past month,1,32,False,61.49,FREE delivery,6.0,,https://m.media-amazon.com/images/I/61uL1KFPRpL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,6,1503.68,14.5,0.23581070092697998
B0CVL2PV42,18.99,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Craving Relief - Quit Smoking Aid & Stop Vaping Aid | Fresh Spearmint- 3 Pack",0.0,USD,True,False,18.99,False,,300+ bought in past month,1,300,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/71fJXmEEezL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,7,5696.999999999999,0.0,0.0
B0CLZZ2DC7,7.49,"Smokeless Air Inhaler - Natural Smoking Alternative | Tobacco-Free, Nicotine-Free, & Non-Electric | Oral Fixation Craving Relief - Quit Smoking Aid & Stop Vaping Aid | Fresh Spearmint- 1 Piece",2.8,USD,True,False,7.49,False,,200+ bought in past month,1,22,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",8.0,,https://m.media-amazon.com/images/I/61oGXR2k9HL._AC_UL320_.jpg,organic,4078751,smokeless inhaler,1,8,164.78,0.0,0.0
