asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09ZHPTLG9,40.79,"3MM Round Moissanite Diamond Lab Created Bezel Set Single Piece Station Anklet Bracelet For Women In 14K Gold Over Sterling Silver Jewelry (1 Cttw), Gift For Her",4.1,USD,True,False,40.79,False,,,1,42,False,50.99,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",1.0,,https://m.media-amazon.com/images/I/51R5CJxUgZL._AC_UL320_.jpg,organic,7454897011,moissanite,1,1,1713.18,10.200000000000003,0.2000392233771328
B0CQZ42KKB,33.99,"925 Sterling Silver White Moissanite Anklet Bracelet For Women (0.40 Cttw, Adjustable Up to 11 Inch)",5.0,USD,True,False,33.99,False,,,1,3,False,0.0,FREE delivery on $35 shipped by Amazon.,2.0,,https://m.media-amazon.com/images/I/51dyaRsXc2L._AC_UL320_.jpg,organic,7454897011,moissanite,1,2,101.97,0.0,0.0
B0CLYMJXW4,67.99,925 Sterling Silver 7MM Heart Shape Gemstone Birthstone and White Moissanite Bracelet For Women | 7 Inch With 1.5 Inch Extender,4.6,USD,False,False,67.99,False,,,1,3,False,0.0,FREE delivery Aug 12 - 14,3.0,,https://m.media-amazon.com/images/I/519zHf0zsoL._AC_UL320_.jpg,organic,7454897011,moissanite,1,3,203.96999999999997,0.0,0.0
B0BLV1B52F,20.99,"3MM Round Cut Moissanite Diamond Lab Created Infinity Dainty Foot Chain Crytal Anklet Bracelets for Women In 14K Gold Over Sterling Silver Jewelry(VVS1 Clarity, 0.10Cttw)",5.0,USD,True,False,20.99,False,,,1,3,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/51Ly0RnWLXL._AC_UL320_.jpg,organic,7454897011,moissanite,1,4,62.97,0.0,0.0
B0D7QB5GPH,69.99,"Moissanite Ankle Bracelets Evil Eye Anklets for Women Men D Color VVS1 Clarity Round Brilliant Cut 925 Sterling Silver Link Chain with Certificate,8.5in+2.95in Extended Chain",4.6,USD,True,False,69.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/61NtMZX6AiL._AC_UL320_.jpg,organic,7454897011,moissanite,1,5,209.96999999999997,0.0,0.0
B0CKV8QCY4,286.1,"14K Gold Butterfly Anklet with Pave Moissanite,9mm Hip Hop Cuban Link Anklet,Fashion Gift for Her",5.0,USD,False,False,286.1,False,,,1,1,False,309.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,6.0,,https://m.media-amazon.com/images/I/61n-VB4rSwL._AC_UL320_.jpg,organic,7454897011,moissanite,1,6,286.1,22.899999999999977,0.07411003236245947
B0BZCQQR67,231.2,"14K Gold Moissanite Tennis Chain Anklet,Dainty Round Cut Moissanite Adjustable Chain Link Bracelet,Fashion Jewelry for Women",0.0,USD,False,False,231.2,False,,,1,0,False,0.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,7.0,,https://m.media-amazon.com/images/I/41uRSV6YmWL._AC_UL320_.jpg,organic,7454897011,moissanite,1,7,0.0,0.0,0.0
B0B6P1KYR2,148.0,"925 Silver and 10K Yellow Gold Personalized Customized White Moissanite from Charles & Colvard Laser Engraved Initial ID Name Anklet Bracelet For Women (0.50 Cttw, 8 inches + 2 inches Extender)",0.0,USD,True,False,148.0,False,,,1,0,False,0.0,FREE delivery Aug 12 - 14,8.0,,https://m.media-amazon.com/images/I/51Jz9CiXrdL._AC_UL320_.jpg,organic,7454897011,moissanite,1,8,0.0,0.0,0.0
B0D2X95YCJ,169.0,"10k White Gold Created Moissanite Faith Cross Anklets for Women, Religious Ankle Bracelet Jewelry Comfirmation Gifts for Her, 9.4-11 inch",0.0,USD,True,False,169.0,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/51BQYPa8YsL._AC_UL320_.jpg,organic,7454897011,moissanite,1,9,0.0,0.0,0.0
B0CFQTFLYS,179.0,"10k Gold Infinity Anklet for Women, Real Freshweter Cultured Pearl and Created Moissanite Love Jewelry Ankle Bracelet for Her, 9.4-11 Inches",5.0,USD,True,False,179.0,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/51dT08CLvdL._AC_UL320_.jpg,organic,7454897011,moissanite,1,10,179.0,0.0,0.0
B0B6PJSCP1,148.0,"925 Silver and 10K Yellow Gold Personalized Customized White Moissanite from Charles & Colvard Lazer Engraved Initial ID Name Anklet Bracelet For Women (0.50 Cttw, 8 inches + 2 inches Extender)",0.0,USD,True,False,148.0,False,,,1,0,False,0.0,FREE delivery Aug 12 - 14,11.0,,https://m.media-amazon.com/images/I/51PwYFv3JPL._AC_UL320_.jpg,organic,7454897011,moissanite,1,11,0.0,0.0,0.0
B0D6YTXRZL,169.0,"10k Gold Created Moissanite Cross Anklets, Religious Ankle Bracelet for Her 9.4-11 Inches",0.0,USD,True,False,169.0,False,,,1,5,False,0.0,"FREE delivery Tue, Aug 13 Or fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51RLA3-+YvL._AC_UL320_.jpg,organic,7454897011,moissanite,1,12,845.0,0.0,0.0
B0BZ8QZCYK,213.2,"14K Gold Butterfly Adjustable Moissanite Anklet, Moissanite Tennis Chain, Summer Foot Jewelry, 8in+2in Extension, Gift for Her",0.0,USD,False,False,213.2,False,,,1,0,False,238.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,13.0,,https://m.media-amazon.com/images/I/41sPrf8Q6bL._AC_UL320_.jpg,organic,7454897011,moissanite,1,13,0.0,24.80000000000001,0.10420168067226895
B09XTDF647,187.99,"14K Real Gold Cross Anklet for Women,Yellow Gold Faith Cross Foot Link with Moissanite Christmas Birthday Gifts for Mom Wife 8''-10''",3.1,USD,True,False,187.99,False,,,1,6,False,0.0,"FREE delivery Tue, Aug 13 Or fastest delivery Sat, Aug 10",14.0,,https://m.media-amazon.com/images/I/51AwnLZ5tEL._AC_UL320_.jpg,organic,7454897011,moissanite,1,14,1127.94,0.0,0.0
B0BZ8R5FV1,258.2,"Ladies 14K Gold Moissanite Tennis Ankle Bracelet | 5mm Wide, 9-10in | Dainty Summer Body Jewelry | Gift for Her",0.0,USD,False,False,258.2,False,,,1,0,False,0.0,FREE delivery Aug 22 - Sep 4 Or fastest delivery Aug 16 - 21,15.0,,https://m.media-amazon.com/images/I/51STZzATHcL._AC_UL320_.jpg,organic,7454897011,moissanite,1,15,0.0,0.0,0.0
