asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09V4P51CG,19.99,Natural Aquamarine Bracelet - Healing Stone Soothing Bracelet - Bring Positive Energy - Aquamarine Crystal Bracelet for Everlasting Joy,4.4,USD,,False,19.99,True,,100+ bought in past month,1,1179,False,22.99,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JHVD1Qozm1FvMNSMRRYPAZAAAAGRLRcp7gEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAst9c1,paid,7454898011,aquamarine,1,1,23568.21,3.0,0.13049151805132667
B0BK4WJWT6,129.99,"S925 Sterling Silver Necklace for Women, Wife Jewelry Rose Gold, Mom Birthday Valentines Mothers Day Gifts, Girlfriend Necklaces, Daughter Heart Jewel, Anniversary for Her",4.6,USD,,False,129.99,True,,,1,872,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JCjP1-0x3nYItcXnXMcb7uMAAAGRLRcqEgEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICBphp5J,paid,7454898011,aquamarine,1,2,113351.28000000001,0.0,0.0
B07M5Z7HPG,9.49,"Handmade Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,9.49,False,,50+ bought in past month,1,5171,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1.0,,https://m.media-amazon.com/images/I/41mLCFNpIML._AC_UL320_.jpg,organic,7454898011,aquamarine,1,1,49072.79,0.5,0.050050050050050046
B091C62W2J,71.99,"Birthstone Bracelets Sterling Silver Tennis Bracelets Charm Fine Jewelry Birthday Jewelry Gifts for Women Mom 7""",4.3,USD,True,False,71.99,False,,,1,1100,False,89.99,"FREE delivery Tue, Aug 13",3.0,,https://m.media-amazon.com/images/I/614sGlks7yL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,2,79189.0,18.0,0.20002222469163242
B089K1B6YP,39.99,"925 Sterling Silver Birthstone Bracelets for Women Dainty Simple Infinity Bracelet Fine Jewelry Birthday Anniversary Valentine‘s’ Day Gifts for Her Mom Wife, Chain Length 6.7""+1.2"" Extend",4.3,USD,True,False,39.99,False,,,1,1686,False,0.0,"FREE delivery Thu, Aug 15",4.0,,https://m.media-amazon.com/images/I/513OQk7V1NL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,3,67423.14,0.0,0.0
B0CLXMCJ79,11.99,"Heart Birthstone Tennis Bracelets for Teen Girls, 18K White Gold Over AAAAA+ CZ Chain Heart Crystal Charm Tennis Bracelets for Women Girls Sister Birthday Anniversary Jewelry Gifts",4.7,USD,True,False,11.99,False,,,1,8,False,13.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/61S-GM7yl2L._AC_UL320_.jpg,organic,7454898011,aquamarine,1,4,95.92,2.0,0.14295925661186562
B0CSFKGPWP,13.99,Birthstone Bracelets for Women Gold Dainty Link Bracelet Birthstone Jewelry Birthday Gifts for Her Mom Wife Girlfriend Anniversary Jewelry,4.6,USD,True,False,13.99,False,,50+ bought in past month,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6.0,,https://m.media-amazon.com/images/I/518+0Os-nYL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,5,335.76,0.0,0.0
B0886JNC7R,27.0,Real natural stone bracelet with 925 Sterling silver pearl - Delicate faceted pearls - Genuine Bracelets with Certified Quality,4.2,USD,True,False,27.0,False,,,1,1375,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",7.0,,https://m.media-amazon.com/images/I/410m62IbmcL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,6,37125.0,0.0,0.0
B0CZJFZCN3,14.99,"March Birthstone Bracelet - Aquamarine Bracelet for Women, Dainty Bracelet Natural Stone March Birthstone Jewelry, Healing Crystal Yoga Minimalist Bracelet Wedding Birthday Gifts for Women Girls Wife",0.0,USD,False,False,14.99,False,,,1,0,False,0.0,FREE delivery on $35 shipped by Amazon.,8.0,,https://m.media-amazon.com/images/I/512uL7msiqL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,7,0.0,0.0,0.0
B0CMCHVP7P,9.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,9.99,False,,,1,108,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/81AO9epSoaL._AC_UL320_.jpg,organic,7454898011,aquamarine,1,8,1078.92,0.0,0.0
