asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B01N03Z2MM,16.99,6mm 8mm Natural Lava Rock Stone Healing Gemstone 108 Prayer Beads Tibetan Mala Bracelet Necklace Mother's Day Gift,4.5,USD,,False,16.99,True,,50+ bought in past month,1,1029,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JAM5NsPQB67lvUkW0OPFa7UAAAGRLR0drgEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBpYWDc,paid,7454898011,aventurine,1,1,17482.71,0.0,0.0
B0C65JQSJ3,19.99,Crystal Vibe Natural Green Aventurine Bracelet for Men Women,4.4,USD,,False,19.99,True,,50+ bought in past month,1,1179,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGD2VvVSc6qQ-JRR4F6tBwcAAAGRLR0duAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAEThQ9,paid,7454898011,aventurine,1,2,23568.21,0.0,0.0
B09BDGVHP5,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,9.99,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/514NtRhuwaL._AC_UL320_.jpg,organic,7454898011,aventurine,1,1,10549.44,0.0,0.0
B0BCFKSGTG,8.99,Crystals and Healing Stones Bracelet for Women Fertility Bracelet Protection Luck Bracelet Anxiety and Stress Clam Bracelet Love and Happiness Bracelet Wish Bracelet Reiki Gift,4.3,USD,True,False,8.99,False,,,1,276,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/71D60rKxB3L._AC_UL320_.jpg,organic,7454898011,aventurine,1,2,2481.2400000000002,0.0,0.0
B08XB6TGDL,3.69,Gem Semi Precious Gemstones 6mm Round Beads Stone Crystal Adjustable Braided Bracelets Unisex,4.3,USD,True,False,3.69,False,,,1,162,False,7.39,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/619laJXc+qL._AC_UL320_.jpg,organic,7454898011,aventurine,1,3,597.78,3.6999999999999997,0.5006765899864681
B07PWYLDFG,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,9.99,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/71mD7ygynvL._AC_UL320_.jpg,organic,7454898011,aventurine,1,4,27892.08,0.0,0.0
B075VDDX42,7.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,7.99,False,,,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/51MVFu-0BnL._AC_UL320_.jpg,organic,7454898011,aventurine,1,5,17178.5,0.0,0.0
B0CYGVYKQD,9.99,Crystal Bracelets for Women 2pcs Natural Healing Gemstone Beaded Bracelet Butterfly Charms Stone Layered Bracelet Gifts Women,5.0,USD,True,False,9.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/511hJwbixhL._AC_UL320_.jpg,organic,7454898011,aventurine,1,6,19.98,0.0,0.0
B0CD9VYLFZ,3.93,Handmade Healing Crystal Bracelets Natural Gemstone with Adjustable Rope for Women Men,3.8,USD,True,False,3.93,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/51LH6dJvP6L._AC_UL320_.jpg,organic,7454898011,aventurine,1,7,27.51,0.0,0.0
B08Q48JD48,13.99,New Gemstone Healing Chakra Bracelet Anxiety Crystal Natural Stone Men Women Stress Relief Reiki Yoga Diffuser Semi Precious,4.3,USD,True,False,13.99,False,,,1,1486,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/71bAlU-d1fL._AC_UL320_.jpg,organic,7454898011,aventurine,1,8,20789.14,0.0,0.0
B0CRP2BSXB,12.99,Crystal Cat Bracelet for Women Men 8mm Crystal Stone Bead Bracelets Protection Healing Crystals Gemstones Stretch Bracelet Good Luck Bracelet Jewelry Cat Gifts for Mom Women,5.0,USD,True,False,12.99,False,,,1,9,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/51fc2guR4NL._AC_UL320_.jpg,organic,7454898011,aventurine,1,9,116.91,0.0,0.0
B09BK3VC26,6.29,Natural Stone Beaded Bracelet Aventurine Jade Tiger Eye Agate Beads Stretch Bracelet for Women Men Jewelry,4.0,USD,True,False,6.29,False,,,1,80,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/51iIzr0C2sL._AC_UL320_.jpg,organic,7454898011,aventurine,1,10,503.2,0.0,0.0
