asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CZKKT6P3,69.99,"Birthstone Necklace for Women Teardrop Necklace S925 Sterling Silver Infinity Love Birthday Gifts for Mom Women, 16""+2"" Inches",4.7,USD,,False,69.99,True,,50+ bought in past month,1,19,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JKgcyE5Hgdu67Yp5fqW2RNsAAAGRLRTyogEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCD3uoK,paid,7454898011,birthstone,1,1,1329.81,0.0,0.0
B0CR3379WK,97.99,Infinity Rose Flower Heart Necklaces for Women 925 Sterling Silver Anniversary Jewelry for Her Love Gifts for Wife Girlfriend Sister Grandma Mom Daughter Mothers Day Valentines Birthday Christmas Rose Gold Jewelry Birthstone Pendant,4.8,USD,,False,97.99,True,,,1,39,False,119.99,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JMc8RJ3o4PCWQXbxfw1lHXwAAAGRLRTyoAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICC6n5TM,paid,7454898011,birthstone,1,2,3821.6099999999997,22.0,0.18334861238436537
B09VSMHWPG,24.5,Custom Birthstone Bracelet For Women Friendship Bracelets for Girls Best Friend July August Birthday Gift For Mom Daughter Personalized Family Gift For Her Mother's Day Gift -BR-2HBS,4.4,USD,False,False,24.5,False,,50+ bought in past month,1,309,False,0.0,"FREE delivery Thu, Aug 15 Or fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/51kcg7ZBOWL._AC_UL320_.jpg,organic,7454898011,birthstone,1,1,7570.5,0.0,0.0
B09JSHLCXS,21.99,"Alex and Ani Birthstones Expandable Bangle for Women, Birthday Crystal Charms, Shiny Finish, 2 to 3.5 in",4.6,USD,True,False,21.99,False,,,1,901,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61dfCn08kvL._AC_UL320_.jpg,organic,7454898011,birthstone,1,2,19812.989999999998,0.0,0.0
B08TTY77K8,99.99,"925 Sterling Silver Customized and Personalized 3 Gemstone Birthstone and White Lab Grown Diamond Tennis Infinity Bracelet For Women (2.27 Cttw, Adjustable up to 9 Inches)",4.5,USD,True,False,99.99,False,,,1,79,False,0.0,FREE delivery Aug 12 - 14,4.0,,https://m.media-amazon.com/images/I/61rSxrvZ3bL._AC_UL320_.jpg,organic,7454898011,birthstone,1,3,7899.21,0.0,0.0
B09GJXFKC4,13.99,"Birth Flower Bracelets, 14K Gold Plated Birth Month Floral Birthstone Charm Bracelets Wildflower Birthflower Jewelry Birthday Gifts for Women",4.1,USD,True,False,13.99,False,,,1,167,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/6134aB9UF0L._AC_UL320_.jpg,organic,7454898011,birthstone,1,4,2336.33,0.0,0.0
B0BNSVY5L8,22.5,MignonandMignon Personalized Initial Birthstone Bracelet Friendship Birthday Gift For Her Gold Jewelry - 2HCBR-LBS,4.2,USD,False,False,22.5,False,,,1,16,False,0.0,"FREE delivery Thu, Aug 15 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/71Ez5uJnADL._AC_UL320_.jpg,organic,7454898011,birthstone,1,5,360.0,0.0,0.0
B06XS4FCXJ,19.99,Birthstone Bracelet Multi-Color Charm Beads Silvertone,4.5,USD,False,False,19.99,False,,,1,668,False,0.0,"FREE delivery Tue, Aug 13",7.0,,https://m.media-amazon.com/images/I/71GUKkwNBsL._AC_UL320_.jpg,organic,7454898011,birthstone,1,6,13353.32,0.0,0.0
B0D41TRNRT,9.99,Gold Birthstone Bracelets for Women Link Birthstone Bracelets Jewelry Birthday Gifts Valentine's Day Mother's Day Gifts for Mom Wife Anniversary Jewelry,3.8,USD,True,False,9.99,False,,,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/61LgRiU2OTL._AC_UL320_.jpg,organic,7454898011,birthstone,1,7,39.96,0.0,0.0
B0D469C94R,13.99,"Cross Bracelet with Birthstone, Dainty Gold Birthstone Bracelets for Women Birthday Gifts Christian Gifts for Her Religious Faith Baptism Confirmation Gifts for Teen Girls Christmas Jewelry for Sister Daughter Granddaughter Girlfriend",5.0,USD,True,False,13.99,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/61VulQrnKVL._AC_UL320_.jpg,organic,7454898011,birthstone,1,8,13.99,0.0,0.0
