asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07CG99QBB,15.99,rockcloud Irregular Polished Banded Agate Palm Stones Worry Stones Pebble Healing Crystal with Velvet Bag,4.5,USD,,False,15.99,True,,,1,4127,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JN0AXVQ_TY60tTAvtG_44sgAAAGRLRpzHwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICBNyQ8B,paid,7454898011,blue lace agate,1,1,65990.73,0.0,0.0
B0B7RRNVM7,23.99,"New Beginning Moonstone Sterling Silver Necklace for Women, Divorce Gifts for Women, Healing gifts for her, New Job Gift, Minimalistic Moonstone Jewelry",4.6,USD,,False,23.99,True,,100+ bought in past month,1,161,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JEYdrVdhPIcUcY3miCvb3XwAAAGRLRpy6AEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAVAFip,paid,7454898011,blue lace agate,1,2,3862.39,0.0,0.0
B07KX2YC53,14.99,"CHARGED 7"" Premium Grade Natural Blue Lace Agate Crystal Nugget Bead Bracelet Tumble Polished Stretchy + Selenite Heart Charging Crystal Included",4.5,USD,True,False,14.99,False,,,1,74,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",2.0,,https://m.media-amazon.com/images/I/71rpl6vQcjL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,1,1109.26,0.0,0.0
B0BKJT8JS5,18.99,"8mm Crystal Beaded Stackable Bracelets in 40+ Gemstones -Amethyst, Aventurine, Labradorite, Hematite, Rose Quartz healing energy Spiritual Reiki",4.7,USD,False,False,18.99,False,,,1,14,False,0.0,"FREE delivery Mon, Aug 12",3.0,,https://m.media-amazon.com/images/I/61QBBgG9hCL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,2,265.85999999999996,0.0,0.0
B08ZDLM1K7,9.99,4mm Natural Round Beads Gemstones Rock Crystal Stretch Bracelet 7 Inch Unisex,4.4,USD,True,False,9.99,False,,,1,448,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/61BOhKTBT9L._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,3,4475.52,0.0,0.0
B0BNLYYSYX,11.5,Blue Lace Agate Crystal Bracelet 4mm bead Gemstone bracelet healing Reiki Spiritual Stackable beaded bracelet gift for her,5.0,USD,False,False,11.5,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12",5.0,,https://m.media-amazon.com/images/I/61YkSd7LTfL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,4,11.5,0.0,0.0
B08MT2RXRB,12.99,"Mental Strength and Emotional Balance, Moonstone, Blue Lace Agate, Aquamarine Healing Energy,Healing Bracelet, String Bracelet",4.0,USD,True,False,12.99,False,,,1,28,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/61UeztkJmrS._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,5,363.72,0.0,0.0
B086WMNCCQ,12.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,12.95,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/71TOe1zr7bL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,6,44651.6,0.0,0.0
B09BDCR6BY,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,9.99,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/51b2VeSukYL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,7,10549.44,0.0,0.0
B08X36SKX8,12.99,Semi Precious Crystal 6mm Round Beads Rock Yoga Stretch Bracelet 7 Inch Unisex Unisex,4.3,USD,True,False,12.99,False,,,1,143,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/61eEiMQDY4L._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,8,1857.57,0.0,0.0
B08G8XC7RN,22.95,"4mm Smooth Blue-Lace Agate Stretch Bracelet (in Various Wrist Sizes: 6.5"", 7"", 7.5"" or 8"")",4.4,USD,False,False,22.95,False,,,1,11,False,0.0,"FREE delivery Aug 15 - 16 Or fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/61KAnDEmUTL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,9,252.45,0.0,0.0
B07DZTZQVK,23.99,Womens Prayer Tree of Life Black Tourmaline Bracelet,4.6,USD,True,False,23.99,False,,,1,162,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",11.0,,https://m.media-amazon.com/images/I/71d5IU4pywL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,10,3886.3799999999997,0.0,0.0
B01MQQ7Y5A,12.95,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,12.95,False,,50+ bought in past month,1,2561,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/71vyq2DBFkL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,11,33164.95,0.0,0.0
B0BBM9B7DH,15.99,"Natural Gemstone Semi Precious Healing Crystals Handmade Stretchy Round Beads Bracelet, Enhance Positive Energy",4.6,USD,True,False,15.99,False,,,1,2222,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/81UrsQJcCdL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,12,35529.78,0.0,0.0
B07Q25NH25,11.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,11.95,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/71uaR5PKFBL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,13,33364.4,0.0,0.0
B01DUC4VPO,15.0,Natural Gemstone 8mm Round Beads Stretch Bracelet 7 Inch,4.5,USD,False,False,15.0,False,,,1,1701,False,0.0,$4.99 delivery Aug 14 - 29,15.0,,https://m.media-amazon.com/images/I/71zRO1vwLZL._AC_UL320_.jpg,organic,7454898011,blue lace agate,1,14,25515.0,0.0,0.0
