asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08Q46RDF1,13.99,New Gemstone Healing Chakra Bracelet Anxiety Crystal Natural Stone Men Women Stress Relief Reiki Yoga Diffuser Semi Precious,4.3,USD,True,False,13.99,False,,,1,1486,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",1.0,,https://m.media-amazon.com/images/I/713idmAPwnL._AC_UL320_.jpg,organic,7454898011,calcite,1,1,20789.14,0.0,0.0
B0C8LZ346T,12.45,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,12.45,False,,,1,17,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Aug 12",2.0,,https://m.media-amazon.com/images/I/511RjK+xECL._AC_UL320_.jpg,organic,7454898011,calcite,1,2,211.64999999999998,0.0,0.0
B09YJ4PHN7,9.99,AAA HONEY CALCITE Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets 8mm,3.3,USD,True,False,9.99,False,,,1,3,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",3.0,,https://m.media-amazon.com/images/I/612sKqCoZ+L._AC_UL320_.jpg,organic,7454898011,calcite,1,3,29.97,0.0,0.0
B0CKBTNTD8,21.99,Natural Blue Calcite Gemstone round 10mm smooth 7inch Beads Stretchble bracelet crystal healing energy stone bracelet for Women & Men Adjustable Size,0.0,USD,False,False,21.99,False,,,1,0,False,0.0,$4.99 delivery Sep 9 - 20 Or fastest delivery Aug 14 - 19,4.0,,https://m.media-amazon.com/images/I/41hoOV0AXQL._AC_UL320_.jpg,organic,7454898011,calcite,1,4,0.0,0.0,0.0
B0B7TR626Q,15.0,Yellow Calcite Mala Power Bracelet,4.5,USD,False,False,15.0,False,,,1,2,False,0.0,"FREE delivery Fri, Aug 16",5.0,,https://m.media-amazon.com/images/I/511LeUVE-tL._AC_UL320_.jpg,organic,7454898011,calcite,1,5,30.0,0.0,0.0
B07DH5667Y,21.9,Natural Calcite Jade Bangle Bracelet For Womens Green Color (Small Size(58-59)),4.0,USD,True,False,21.9,False,,,1,46,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Aug 12",6.0,,https://m.media-amazon.com/images/I/51mxAdfbipL._AC_UL320_.jpg,organic,7454898011,calcite,1,6,1007.4,0.0,0.0
B01M0U6YOX,19.49,"CLEANSING & DETOXIFICATION 8mm Crystal Gemstone Intention Bracelet - Bloodstone, Calcite, & Serpentine",4.2,USD,False,False,19.49,False,,,1,7,False,0.0,"$5 delivery Mon, Aug 19 Or fastest delivery Aug 12 - 14",8.0,,https://m.media-amazon.com/images/I/612N9eql4QL._AC_UL320_.jpg,organic,7454898011,calcite,1,7,136.42999999999998,0.0,0.0
B07DH4PP7M,21.9,Natural Calcite Jade Bangle Bracelet For Womens Green Color (Medium Size(60-61)),3.6,USD,True,False,21.9,False,,,1,37,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",9.0,,https://m.media-amazon.com/images/I/51mxAdfbipL._AC_UL320_.jpg,organic,7454898011,calcite,1,8,810.3,0.0,0.0
B07DH596F1,21.9,Natural Calcite Jade Bangle Bracelet For Womens Green Color (Large Size(62-63)),3.7,USD,True,False,21.9,False,,,1,34,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",10.0,,https://m.media-amazon.com/images/I/51mxAdfbipL._AC_UL320_.jpg,organic,7454898011,calcite,1,9,744.5999999999999,0.0,0.0
B09Y2WH6JD,11.99,"AAA Natural “ HONEY CALCITE"" Gemstone 8mm Round Beaded Stretchable Bracelet,Gift for Men & Women,Designer Bracelet,Couple Bracelet, Bye Bye Anxiety Bracelet, Unisex Bracelet",0.0,USD,False,False,11.99,False,,,1,0,False,0.0,FREE delivery Sep 6 - 18 Or fastest delivery Aug 13 - 15,11.0,,https://m.media-amazon.com/images/I/61fdknN2VYL._AC_UL320_.jpg,organic,7454898011,calcite,1,10,0.0,0.0,0.0
