asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09MRM2H6N,11.99,Carnelian Crystal Necklace for Women Men Red Carnelian Rings Natural Relieve Anxiety Gemstone Bracelet Crystal Quartz Chakra Gems Stones,4.4,USD,True,False,11.99,False,,100+ bought in past month,1,458,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61bx5MWVyCL._AC_UL320_.jpg,organic,7454898011,carnelian,1,1,5491.42,0.0,0.0
B09BDFYLK3,9.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,9.95,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/51ls60C0jGL._AC_UL320_.jpg,organic,7454898011,carnelian,1,2,10507.199999999999,0.0,0.0
B0BCFLFBZC,8.99,Crystals and Healing Stones Bracelet for Women Fertility Bracelet Protection Luck Bracelet Anxiety and Stress Clam Bracelet Love and Happiness Bracelet Wish Bracelet Reiki Gift,4.3,USD,True,False,8.99,False,,100+ bought in past month,1,276,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/718Q0npP+qL._AC_UL320_.jpg,organic,7454898011,carnelian,1,3,2481.2400000000002,0.0,0.0
B0718ZW42S,14.99,Natural Moonstone Labradorite Pearl Bangle For Women 6X9Mm Pear Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gift For Mom Wife Her,4.3,USD,True,False,14.99,False,,,1,1830,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/611rr+tRrdL._AC_UL320_.jpg,organic,7454898011,carnelian,1,4,27431.7,0.0,0.0
B07Q1K6PLG,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,9.99,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/71FX0AZjZRL._AC_UL320_.jpg,organic,7454898011,carnelian,1,5,34445.520000000004,0.0,0.0
B01N7CE19S,9.99,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,9.99,False,,,1,2561,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/71MRCNyf3OL._AC_UL320_.jpg,organic,7454898011,carnelian,1,6,25584.39,0.0,0.0
B09BTLH4H4,9.99,"6mm Natural Carnelian Crystal Bracelet for Women,Red Agate Gemstone Beaded Bracelet Stretchy Chakra Red Gems Stones Healing Crystal Energy Quartz Jewelry",4.3,USD,True,False,9.99,False,,,1,174,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/517QKTZywAL._AC_UL320_.jpg,organic,7454898011,carnelian,1,7,1738.26,0.0,0.0
B07PY55QKL,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,9.99,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/71GT2+eIhGL._AC_UL320_.jpg,organic,7454898011,carnelian,1,8,27892.08,0.0,0.0
B07PP47WNT,16.95,"4mm Smooth Round Red Agate (Carnelian) Stretch Bracelet in Various Sizes (6, 6.5, 7, 7.5, 8 Inches)",4.4,USD,True,False,16.95,False,,,1,219,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/61ZeYYv6PmL._AC_UL320_.jpg,organic,7454898011,carnelian,1,9,3712.0499999999997,0.0,0.0
B07V5KKMQY,9.99,AD Beads Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 10mm (Carnelian),4.4,USD,True,False,9.99,False,,,1,645,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/51xJ5S9Ra9L._AC_UL320_.jpg,organic,7454898011,carnelian,1,10,6443.55,0.0,0.0
B09HT3Z59S,9.99,4-10mm Carnelian Crystal Bracelet Natural Carnelian Gemstone Bracelet for Women Orange Carnelian Bracelet Jewelry,4.0,USD,True,False,9.99,False,,,1,363,False,10.59,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/61dRc7LdkiL._AC_UL320_.jpg,organic,7454898011,carnelian,1,11,3626.37,0.5999999999999996,0.05665722379603396
B0CN2N8L5Q,7.19,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,7.19,False,,,1,7870,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/61wOxUIrlRL._AC_UL320_.jpg,organic,7454898011,carnelian,1,12,56585.3,0.7999999999999998,0.10012515644555692
B0CP9724F1,6.79,Healing Crystal Stone Bracelets for Women Men Stress Relief Anxiety Yoga Bracelet Semi-Precious Gemstone Bracelets Healing Gifts birthday Gifts For Teen Girls jade bracelet,3.7,USD,True,False,6.79,False,,,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/51YzGqTLeQL._AC_UL320_.jpg,organic,7454898011,carnelian,1,13,230.86,0.0,0.0
B09MCMGBXT,9.99,"Natural Carnelian Crystal Bracelet, Adjustable Gold Silver Carnelian Bracelet, Carnelian Gemstone Bracelet for Women Orange Carnelian Bracelet Jewelry",3.2,USD,True,False,9.99,False,,,1,22,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/51zsjkXrmWL._AC_UL320_.jpg,organic,7454898011,carnelian,1,14,219.78,0.0,0.0
