asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BYM3KM6Q,25.95,"Tourmaline Orgone Pyramid Charged for Wealth, Happiness, Good Fortune, Genuine Crystals and Healing Stones, Malachite, Lapis Lazuli, Amethyst, orgonite Chakra Pyramid Crystal, Energy Generator",4.3,USD,,False,25.95,True,,50+ bought in past month,1,65,False,29.95,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGEtvlUwqvXDsLNsZ_iXUL0AAAGRLRlgoAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICASTB_N,paid,7454898011,citrine,1,1,1686.75,4.0,0.1335559265442404
B08YWM3MB6,24.99,"Orgone Pyramid of Success, Citrine orgonite pyramids is Healing Crystals for Wealth & Wisdom and Orgonite Pyramid help in Healing Meditation",4.6,USD,,False,24.99,True,,#1 Top Rated,1,537,False,29.95,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JPfDJE0W1BH6jGI1qaOeRQ8AAAGRLRlg5wEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDkFtz6,paid,7454898011,citrine,1,2,13419.63,4.960000000000001,0.16560934891485812
B07CF44TTG,140.0,Gemstone Tennis Bracelet in Sterling Silver,4.4,USD,True,False,140.0,False,,,1,102,False,0.0,"FREE delivery Tomorrow, Aug 8",1.0,,https://m.media-amazon.com/images/I/71D06Apj7CL._AC_UL320_.jpg,organic,7454898011,citrine,1,1,14280.0,0.0,0.0
B09BZ74CXB,71.99,"Birthstone Bracelets Sterling Silver Tennis Bracelets Charm Fine Jewelry Birthday Jewelry Gifts for Women Mom 7""",4.3,USD,True,False,71.99,False,,,1,1100,False,89.99,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/61FgGOH29JL._AC_UL320_.jpg,organic,7454898011,citrine,1,2,79189.0,18.0,0.20002222469163242
B07JHND4V5,55.0,"Elaina Adjustable Chain Bracelet for Women, Fashion Jewelry, Gold-Plated",4.7,USD,True,False,55.0,False,,,1,2023,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/41GMwaQxnkL._AC_UL320_.jpg,organic,7454898011,citrine,1,3,111265.0,0.0,0.0
B07WRLKLM3,13.99,Gemstone Chakra Bracelet Anxiety Crystal Natural Stone Stress Relief Reiki Yoga Diffuser Semi Precious (Citrine Adjustable Length),4.2,USD,True,False,13.99,False,,,1,65,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/71fVrEhSqgL._AC_UL320_.jpg,organic,7454898011,citrine,1,4,909.35,0.0,0.0
B08HRNLSNG,39.99,"925 Sterling Silver Birthstone Bracelets for Women Dainty Simple Infinity Bracelet Fine Jewelry Birthday Anniversary Valentine‘s’ Day Gifts for Her Mom Wife, Chain Length 6.7""+1.2"" Extend",4.3,USD,True,False,39.99,False,,,1,1686,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/51ANXQjGt2L._AC_UL320_.jpg,organic,7454898011,citrine,1,5,67423.14,0.0,0.0
B09T7XXNWS,15.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.4,USD,False,False,15.99,False,,,1,922,False,0.0,"FREE delivery Wed, Aug 14",7.0,,https://m.media-amazon.com/images/I/716bm5JRuML._AC_UL320_.jpg,organic,7454898011,citrine,1,6,14742.78,0.0,0.0
B07PY55F5Z,12.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,12.95,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/71oJLXzaK+L._AC_UL320_.jpg,organic,7454898011,citrine,1,7,36156.4,0.0,0.0
B00YSLR4KG,149.99,"18K Yellow Gold Plated Silver Oval Yellow Citrine Tennis Bracelet For Women (8.55 Cttw, Gemstone Birthstone, 7 Inch with 1 Inch Extender)",4.8,USD,True,False,149.99,False,,,1,35,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sun, Aug 11",9.0,,https://m.media-amazon.com/images/I/61zBYXGOuFL._AC_UL320_.jpg,organic,7454898011,citrine,1,8,5249.650000000001,0.0,0.0
B0CSFN7JD8,13.99,Birthstone Bracelets for Women Gold Dainty Link Bracelet Birthstone Jewelry Birthday Gifts for Her Mom Wife Girlfriend Anniversary Jewelry,4.6,USD,True,False,13.99,False,,,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/518d-p-8sUL._AC_UL320_.jpg,organic,7454898011,citrine,1,9,335.76,0.0,0.0
B07N4JFD18,14.99,"Gemstone Beaded Stretch Bracelet Fit Various Wrist Sizes, 5 Layers Birthstone Chakra bracelet for Women Teen Girls",4.4,USD,True,False,14.99,False,,,1,357,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/61TNogtGsQL._AC_UL320_.jpg,organic,7454898011,citrine,1,10,5351.43,0.0,0.0
B072HWVDR5,13.99,"Eternity Tennis Bracelet & Round Cut CZ in Yellow Gold Plated, 7""",4.3,USD,True,False,13.99,False,,,1,835,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51wNxsW2QKL._AC_UL320_.jpg,organic,7454898011,citrine,1,11,11681.65,0.0,0.0
B07L3B8CF5,14.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,14.95,False,,,1,3448,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/810VLepsi-L._AC_UL320_.jpg,organic,7454898011,citrine,1,12,51547.6,0.0,0.0
B0D2NHP2D5,13.99,"Crystal Diamond Rhinestone Charm Bracelets for Women, Gold/Silver/Rose Gold Adjustable Chain Bracelet, Teardrop Birthstone Cubic Zirconia Prom Costume Wedding Jewelry",4.8,USD,True,False,13.99,False,,,1,22,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/61RAmVeiJJL._AC_UL320_.jpg,organic,7454898011,citrine,1,13,307.78000000000003,0.0,0.0
B098F3FDLN,129.0,Oval Gemstone Bracelet in 18kt Gold Over Sterling,4.8,USD,True,False,129.0,False,,,1,11,False,0.0,"FREE delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/710kgAj47EL._AC_UL320_.jpg,organic,7454898011,citrine,1,14,1419.0,0.0,0.0
B0BYCPC2LH,15.29,Genuine Layered Citrine Bracelet for Women Tumbled Stone Real Wrap Crystals Elastic Feng Shui Beaded Ancient Coin Attracting Wealth Bracelets,4.3,USD,True,False,15.29,False,,,1,6,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",16.0,,https://m.media-amazon.com/images/I/61BvGw9LALL._AC_UL320_.jpg,organic,7454898011,citrine,1,15,91.74,0.0,0.0
B01N6AZWHC,14.95,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,14.95,False,,,1,2561,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",17.0,,https://m.media-amazon.com/images/I/81Gy-Mej1lL._AC_UL320_.jpg,organic,7454898011,citrine,1,16,38286.95,0.0,0.0
